Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 8.09 , 7.97 , 8.03 , 8.00 
3 , 18 , 2010 , 8.04 , 7.95 , 8.00 , 8.02 
3 , 19 , 2010 , 8.04 , 7.90 , 8.03 , 7.94 
3 , 22 , 2010 , 8.07 , 7.86 , 7.87 , 8.03 
3 , 23 , 2010 , 8.17 , 8.00 , 8.06 , 8.16 
3 , 24 , 2010 , 8.22 , 8.13 , 8.13 , 8.19 
3 , 25 , 2010 , 8.25 , 8.08 , 8.25 , 8.09 
3 , 26 , 2010 , 8.28 , 8.16 , 8.18 , 8.25 
3 , 29 , 2010 , 8.35 , 8.27 , 8.32 , 8.30 
3 , 30 , 2010 , 8.48 , 8.37 , 8.45 , 8.42 
3 , 31 , 2010 , 8.45 , 8.37 , 8.41 , 8.39 
4 , 1 , 2010 , 8.53 , 8.31 , 8.48 , 8.43 
4 , 5 , 2010 , 8.52 , 8.38 , 8.39 , 8.52 
4 , 6 , 2010 , 8.58 , 8.46 , 8.51 , 8.55 
4 , 7 , 2010 , 8.64 , 8.52 , 8.56 , 8.59 
4 , 8 , 2010 , 8.63 , 8.50 , 8.59 , 8.57 
4 , 9 , 2010 , 8.64 , 8.59 , 8.62 , 8.64 
4 , 12 , 2010 , 8.68 , 8.64 , 8.65 , 8.65 
4 , 13 , 2010 , 8.67 , 8.61 , 8.64 , 8.66 
4 , 14 , 2010 , 8.78 , 8.72 , 8.76 , 8.77 
4 , 15 , 2010 , 8.89 , 8.77 , 8.78 , 8.89 
4 , 16 , 2010 , 8.97 , 8.73 , 8.88 , 8.84 
4 , 19 , 2010 , 8.85 , 8.63 , 8.82 , 8.82 
4 , 20 , 2010 , 8.90 , 8.68 , 8.88 , 8.74 
4 , 21 , 2010 , 9.29 , 9.13 , 9.24 , 9.26 
4 , 22 , 2010 , 9.53 , 9.15 , 9.22 , 9.52 
4 , 23 , 2010 , 9.72 , 9.54 , 9.57 , 9.67 
4 , 26 , 2010 , 9.73 , 9.58 , 9.71 , 9.63 
4 , 27 , 2010 , 9.57 , 9.30 , 9.55 , 9.36 
4 , 28 , 2010 , 9.43 , 9.16 , 9.40 , 9.34 
4 , 29 , 2010 , 9.64 , 9.36 , 9.39 , 9.59 
4 , 30 , 2010 , 9.66 , 9.32 , 9.62 , 9.32 
5 , 3 , 2010 , 9.57 , 9.39 , 9.42 , 9.51 
5 , 4 , 2010 , 9.40 , 9.17 , 9.39 , 9.24 
5 , 5 , 2010 , 9.22 , 8.88 , 9.04 , 9.14 
5 , 6 , 2010 , 9.22 , 7.14 , 9.07 , 8.79 
5 , 7 , 2010 , 8.81 , 8.04 , 8.70 , 8.42 
5 , 10 , 2010 , 9.09 , 8.88 , 8.94 , 9.07 
5 , 11 , 2010 , 9.28 , 8.95 , 8.99 , 9.16 
5 , 12 , 2010 , 9.40 , 9.24 , 9.26 , 9.36 
5 , 13 , 2010 , 9.46 , 9.16 , 9.40 , 9.23 
5 , 14 , 2010 , 9.16 , 8.91 , 9.11 , 9.07 
5 , 17 , 2010 , 9.15 , 8.85 , 9.10 , 9.08 
5 , 18 , 2010 , 9.23 , 8.94 , 9.18 , 9.01 
5 , 19 , 2010 , 9.03 , 8.74 , 8.91 , 8.87 
5 , 20 , 2010 , 8.71 , 8.44 , 8.64 , 8.49 
5 , 21 , 2010 , 8.73 , 8.26 , 8.32 , 8.65 
5 , 24 , 2010 , 8.96 , 8.80 , 8.83 , 8.81 
5 , 25 , 2010 , 8.81 , 8.47 , 8.55 , 8.76 
5 , 26 , 2010 , 9.00 , 8.71 , 8.93 , 8.72 
5 , 27 , 2010 , 9.07 , 8.90 , 8.95 , 9.05 
5 , 28 , 2010 , 9.26 , 9.05 , 9.26 , 9.17 
6 , 1 , 2010 , 9.50 , 9.25 , 9.27 , 9.32 
6 , 2 , 2010 , 9.46 , 9.30 , 9.45 , 9.43 
6 , 3 , 2010 , 9.48 , 9.30 , 9.47 , 9.40 
6 , 4 , 2010 , 9.35 , 9.09 , 9.22 , 9.14 
6 , 7 , 2010 , 9.26 , 8.95 , 9.23 , 8.96 
6 , 8 , 2010 , 9.06 , 8.77 , 9.04 , 8.90 
6 , 9 , 2010 , 9.00 , 8.66 , 8.98 , 8.69 
6 , 10 , 2010 , 8.96 , 8.65 , 8.75 , 8.95 
6 , 11 , 2010 , 9.07 , 8.83 , 8.87 , 9.05 
6 , 14 , 2010 , 9.26 , 9.07 , 9.14 , 9.08 
6 , 15 , 2010 , 9.28 , 9.13 , 9.13 , 9.27 
6 , 16 , 2010 , 9.56 , 9.31 , 9.33 , 9.54 
6 , 17 , 2010 , 9.75 , 9.63 , 9.66 , 9.71 
