Month , Day , Year , High , Low , Open , Close
3 , 15 , 2013 , 38.54 , 37.28 , 37.32 , 38.50 
3 , 18 , 2013 , 38.49 , 37.99 , 38.05 , 38.16 
3 , 19 , 2013 , 38.40 , 37.84 , 38.31 , 38.36 
3 , 20 , 2013 , 39.19 , 38.41 , 38.50 , 39.06 
3 , 21 , 2013 , 38.97 , 38.48 , 38.82 , 38.49 
3 , 22 , 2013 , 38.97 , 38.30 , 38.59 , 38.97 
3 , 25 , 2013 , 39.52 , 38.93 , 39.12 , 39.32 
3 , 26 , 2013 , 40.52 , 39.57 , 39.57 , 40.21 
3 , 27 , 2013 , 40.29 , 39.66 , 40.22 , 40.15 
3 , 28 , 2013 , 40.80 , 39.78 , 40.26 , 40.78 
4 , 1 , 2013 , 41.14 , 39.96 , 39.96 , 41.12 
4 , 2 , 2013 , 41.22 , 40.52 , 41.22 , 40.71 
4 , 3 , 2013 , 41.45 , 40.35 , 40.64 , 40.57 
4 , 4 , 2013 , 41.78 , 40.62 , 40.77 , 41.60 
4 , 5 , 2013 , 41.50 , 41.09 , 41.25 , 41.31 
4 , 8 , 2013 , 41.87 , 41.07 , 41.27 , 41.77 
4 , 9 , 2013 , 43.56 , 41.80 , 41.96 , 42.55 
4 , 10 , 2013 , 43.77 , 42.50 , 42.65 , 43.62 
4 , 11 , 2013 , 43.71 , 43.11 , 43.37 , 43.20 
4 , 12 , 2013 , 43.29 , 42.62 , 42.96 , 43.09 
4 , 15 , 2013 , 43.03 , 41.41 , 42.92 , 41.44 
4 , 16 , 2013 , 42.53 , 41.13 , 41.67 , 42.45 
4 , 17 , 2013 , 42.43 , 41.42 , 42.11 , 42.24 
4 , 18 , 2013 , 42.64 , 41.89 , 42.38 , 42.32 
4 , 19 , 2013 , 42.58 , 42.20 , 42.45 , 42.39 
4 , 22 , 2013 , 44.83 , 42.88 , 43.00 , 44.20 
4 , 23 , 2013 , 46.32 , 44.40 , 44.61 , 45.14 
4 , 24 , 2013 , 45.34 , 43.94 , 45.11 , 44.32 
4 , 25 , 2013 , 44.79 , 43.76 , 44.75 , 44.24 
4 , 26 , 2013 , 46.31 , 44.75 , 44.95 , 45.84 
4 , 29 , 2013 , 45.93 , 45.05 , 45.91 , 45.23 
4 , 30 , 2013 , 46.23 , 45.01 , 45.13 , 46.05 
5 , 1 , 2013 , 46.09 , 45.55 , 46.04 , 45.55 
5 , 2 , 2013 , 45.68 , 43.86 , 45.68 , 43.99 
5 , 3 , 2013 , 44.77 , 43.83 , 44.31 , 44.68 
5 , 6 , 2013 , 44.95 , 44.15 , 44.95 , 44.59 
5 , 7 , 2013 , 45.00 , 44.42 , 44.50 , 44.91 
5 , 8 , 2013 , 45.05 , 43.39 , 45.01 , 43.49 
5 , 9 , 2013 , 44.45 , 43.25 , 43.33 , 44.24 
5 , 10 , 2013 , 45.01 , 44.20 , 44.21 , 45.01 
5 , 13 , 2013 , 44.79 , 44.17 , 44.79 , 44.54 
5 , 14 , 2013 , 45.52 , 44.09 , 44.09 , 45.35 
5 , 15 , 2013 , 46.93 , 45.48 , 46.00 , 46.03 
5 , 16 , 2013 , 46.90 , 46.01 , 46.06 , 46.21 
5 , 17 , 2013 , 47.34 , 45.85 , 46.03 , 47.17 
5 , 20 , 2013 , 47.14 , 46.07 , 47.12 , 46.26 
5 , 21 , 2013 , 46.96 , 46.17 , 46.63 , 46.54 
5 , 22 , 2013 , 48.00 , 45.85 , 46.46 , 46.76 
5 , 23 , 2013 , 46.95 , 45.89 , 45.89 , 46.59 
5 , 24 , 2013 , 46.48 , 45.31 , 46.37 , 45.44 
5 , 28 , 2013 , 46.18 , 44.70 , 46.18 , 45.39 
5 , 29 , 2013 , 45.18 , 43.79 , 44.89 , 43.88 
5 , 30 , 2013 , 45.12 , 44.07 , 44.07 , 44.55 
5 , 31 , 2013 , 44.69 , 42.68 , 44.27 , 42.69 
6 , 3 , 2013 , 43.58 , 42.75 , 43.01 , 43.36 
6 , 4 , 2013 , 44.47 , 43.38 , 43.42 , 43.63 
6 , 5 , 2013 , 43.90 , 42.69 , 43.50 , 43.04 
