Month , Day , Year , High , Low , Open , Close
2 , 24 , 2021 , 208.15 , 189.00 , 190.98 , 200.20 
2 , 25 , 2021 , 199.80 , 180.00 , 197.41 , 182.06 
2 , 26 , 2021 , 214.10 , 185.75 , 194.18 , 206.35 
3 , 1 , 2021 , 199.69 , 192.62 , 195.82 , 196.42 
3 , 2 , 2021 , 200.00 , 188.50 , 195.63 , 189.90 
3 , 3 , 2021 , 188.48 , 178.80 , 186.97 , 180.40 
3 , 4 , 2021 , 183.90 , 170.87 , 178.64 , 180.23 
3 , 5 , 2021 , 183.50 , 161.90 , 181.50 , 179.81 
3 , 8 , 2021 , 186.40 , 177.03 , 179.99 , 180.81 
3 , 9 , 2021 , 189.46 , 180.72 , 184.99 , 183.11 
3 , 10 , 2021 , 191.00 , 181.55 , 184.57 , 183.79 
3 , 11 , 2021 , 201.00 , 188.50 , 189.90 , 197.87 
3 , 12 , 2021 , 208.70 , 192.20 , 196.27 , 206.74 
3 , 15 , 2021 , 213.74 , 203.81 , 209.54 , 209.99 
3 , 16 , 2021 , 215.49 , 198.18 , 209.11 , 200.01 
3 , 17 , 2021 , 203.46 , 194.44 , 195.63 , 201.36 
3 , 18 , 2021 , 199.90 , 190.68 , 196.80 , 191.45 
3 , 19 , 2021 , 196.49 , 187.81 , 193.01 , 194.39 
3 , 22 , 2021 , 203.30 , 194.71 , 196.85 , 195.00 
3 , 23 , 2021 , 196.75 , 185.74 , 195.50 , 187.14 
3 , 24 , 2021 , 189.78 , 178.51 , 189.00 , 178.85 
3 , 25 , 2021 , 179.54 , 170.50 , 173.10 , 176.16 
3 , 26 , 2021 , 181.00 , 168.00 , 178.42 , 174.40 
3 , 29 , 2021 , 185.46 , 173.50 , 175.36 , 182.50 
3 , 30 , 2021 , 185.23 , 178.38 , 182.35 , 183.10 
3 , 31 , 2021 , 192.28 , 185.13 , 185.43 , 187.94 
4 , 1 , 2021 , 193.99 , 185.37 , 192.50 , 188.24 
4 , 5 , 2021 , 192.10 , 185.81 , 191.66 , 186.69 
4 , 6 , 2021 , 194.48 , 187.52 , 188.70 , 190.03 
4 , 7 , 2021 , 190.62 , 179.47 , 189.38 , 179.94 
4 , 8 , 2021 , 183.90 , 179.30 , 181.65 , 180.18 
4 , 9 , 2021 , 182.46 , 177.25 , 179.62 , 179.50 
4 , 12 , 2021 , 181.49 , 176.25 , 179.68 , 176.49 
4 , 13 , 2021 , 178.61 , 172.14 , 175.27 , 177.95 
4 , 14 , 2021 , 181.47 , 175.31 , 179.50 , 176.43 
4 , 15 , 2021 , 178.24 , 174.25 , 177.00 , 175.35 
4 , 16 , 2021 , 179.51 , 172.94 , 176.01 , 178.69 
4 , 19 , 2021 , 178.72 , 171.50 , 177.32 , 174.58 
4 , 20 , 2021 , 175.00 , 165.52 , 173.18 , 169.57 
4 , 21 , 2021 , 170.32 , 164.12 , 168.09 , 167.07 
4 , 22 , 2021 , 176.92 , 168.43 , 168.49 , 170.71 
4 , 23 , 2021 , 178.25 , 172.00 , 172.92 , 174.25 
4 , 26 , 2021 , 176.03 , 171.07 , 175.21 , 174.88 
4 , 27 , 2021 , 179.61 , 174.80 , 176.17 , 177.94 
4 , 28 , 2021 , 181.67 , 173.35 , 174.44 , 180.00 
4 , 29 , 2021 , 183.22 , 173.35 , 182.33 , 177.68 
4 , 30 , 2021 , 176.45 , 172.01 , 173.00 , 172.71 
5 , 3 , 2021 , 173.44 , 167.80 , 173.19 , 168.11 
5 , 4 , 2021 , 169.04 , 161.96 , 167.02 , 168.90 
5 , 5 , 2021 , 170.18 , 162.12 , 169.30 , 162.33 
5 , 6 , 2021 , 162.11 , 150.70 , 161.91 , 153.64 
5 , 7 , 2021 , 157.05 , 148.78 , 156.44 , 151.21 
5 , 10 , 2021 , 150.50 , 144.52 , 150.28 , 146.73 
5 , 11 , 2021 , 144.35 , 136.01 , 139.10 , 142.73 
5 , 12 , 2021 , 144.77 , 138.75 , 140.90 , 140.25 
