Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 26.26 , 25.98 , 26.24 , 26.08 
3 , 18 , 2010 , 26.10 , 25.65 , 26.05 , 25.73 
3 , 19 , 2010 , 25.79 , 25.45 , 25.78 , 25.58 
3 , 22 , 2010 , 25.95 , 25.50 , 25.55 , 25.78 
3 , 23 , 2010 , 26.02 , 25.75 , 25.89 , 26.00 
3 , 24 , 2010 , 26.00 , 25.72 , 25.96 , 25.78 
3 , 25 , 2010 , 25.99 , 25.60 , 25.97 , 25.61 
3 , 26 , 2010 , 25.73 , 25.09 , 25.69 , 25.31 
3 , 29 , 2010 , 25.43 , 25.23 , 25.40 , 25.42 
3 , 30 , 2010 , 25.48 , 25.12 , 25.37 , 25.12 
3 , 31 , 2010 , 25.35 , 24.98 , 25.15 , 25.21 
4 , 1 , 2010 , 25.34 , 25.16 , 25.26 , 25.34 
4 , 5 , 2010 , 25.48 , 25.22 , 25.35 , 25.33 
4 , 6 , 2010 , 25.42 , 25.16 , 25.30 , 25.28 
4 , 7 , 2010 , 25.33 , 25.06 , 25.22 , 25.12 
4 , 8 , 2010 , 25.21 , 24.98 , 25.16 , 25.01 
4 , 9 , 2010 , 25.29 , 25.01 , 25.05 , 25.23 
4 , 12 , 2010 , 25.36 , 25.07 , 25.36 , 25.20 
4 , 13 , 2010 , 25.11 , 24.96 , 24.96 , 25.01 
4 , 14 , 2010 , 25.10 , 24.85 , 25.08 , 25.03 
4 , 15 , 2010 , 25.10 , 24.91 , 25.03 , 25.05 
4 , 16 , 2010 , 25.10 , 24.89 , 25.00 , 25.00 
4 , 19 , 2010 , 25.42 , 24.91 , 25.00 , 25.32 
4 , 20 , 2010 , 25.48 , 25.32 , 25.37 , 25.39 
4 , 21 , 2010 , 25.34 , 24.63 , 25.26 , 24.78 
4 , 22 , 2010 , 24.69 , 24.33 , 24.68 , 24.46 
4 , 23 , 2010 , 24.50 , 24.05 , 24.42 , 24.50 
4 , 26 , 2010 , 24.77 , 23.95 , 24.44 , 24.10 
4 , 27 , 2010 , 24.19 , 23.77 , 24.06 , 23.81 
4 , 28 , 2010 , 24.12 , 23.64 , 23.89 , 24.05 
4 , 29 , 2010 , 24.46 , 24.09 , 24.17 , 24.28 
4 , 30 , 2010 , 24.64 , 24.23 , 24.33 , 24.48 
5 , 3 , 2010 , 24.68 , 24.18 , 24.62 , 24.34 
5 , 4 , 2010 , 24.34 , 23.79 , 24.24 , 24.01 
5 , 5 , 2010 , 24.44 , 23.80 , 24.03 , 24.00 
5 , 6 , 2010 , 24.11 , 21.82 , 23.99 , 23.45 
5 , 7 , 2010 , 23.52 , 22.97 , 23.45 , 23.31 
5 , 10 , 2010 , 24.03 , 23.56 , 23.81 , 23.78 
5 , 11 , 2010 , 23.79 , 23.56 , 23.63 , 23.64 
5 , 12 , 2010 , 23.73 , 23.39 , 23.72 , 23.52 
5 , 13 , 2010 , 23.50 , 23.07 , 23.45 , 23.26 
5 , 14 , 2010 , 23.26 , 22.86 , 23.17 , 23.21 
5 , 17 , 2010 , 23.34 , 22.91 , 23.24 , 23.17 
5 , 18 , 2010 , 23.41 , 22.97 , 23.34 , 22.99 
5 , 19 , 2010 , 23.13 , 22.88 , 22.90 , 22.94 
5 , 20 , 2010 , 22.71 , 22.23 , 22.71 , 22.24 
5 , 21 , 2010 , 22.48 , 21.66 , 21.76 , 22.46 
5 , 24 , 2010 , 22.99 , 22.43 , 22.51 , 22.76 
5 , 25 , 2010 , 22.61 , 22.16 , 22.47 , 22.60 
5 , 26 , 2010 , 22.97 , 22.46 , 22.76 , 22.57 
5 , 27 , 2010 , 23.03 , 22.61 , 22.89 , 22.90 
5 , 28 , 2010 , 23.24 , 22.73 , 22.86 , 22.76 
6 , 1 , 2010 , 22.83 , 22.44 , 22.70 , 22.46 
6 , 2 , 2010 , 22.73 , 22.25 , 22.49 , 22.72 
6 , 3 , 2010 , 22.88 , 22.71 , 22.85 , 22.84 
6 , 4 , 2010 , 22.53 , 22.19 , 22.51 , 22.26 
6 , 7 , 2010 , 22.31 , 22.10 , 22.17 , 22.12 
6 , 8 , 2010 , 22.21 , 21.85 , 22.05 , 22.16 
6 , 9 , 2010 , 22.27 , 21.88 , 22.20 , 21.94 
6 , 10 , 2010 , 22.71 , 22.17 , 22.19 , 22.58 
6 , 11 , 2010 , 22.68 , 22.40 , 22.53 , 22.58 
6 , 14 , 2010 , 22.80 , 22.62 , 22.70 , 22.65 
6 , 15 , 2010 , 23.07 , 22.70 , 22.75 , 23.05 
6 , 16 , 2010 , 23.38 , 22.81 , 22.87 , 23.34 
6 , 17 , 2010 , 23.37 , 23.09 , 23.37 , 23.27 
6 , 18 , 2010 , 23.45 , 23.16 , 23.38 , 23.34 
6 , 21 , 2010 , 23.56 , 22.99 , 23.52 , 23.11 
6 , 22 , 2010 , 23.30 , 22.94 , 23.12 , 22.96 
