Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 42.99 , 41.89 , 42.08 , 42.24 
3 , 18 , 2010 , 42.77 , 41.94 , 42.35 , 42.28 
3 , 19 , 2010 , 42.33 , 41.40 , 42.24 , 42.06 
3 , 22 , 2010 , 42.52 , 41.79 , 41.87 , 42.43 
3 , 23 , 2010 , 42.71 , 42.17 , 42.58 , 42.40 
3 , 24 , 2010 , 42.40 , 41.67 , 42.29 , 41.79 
3 , 25 , 2010 , 42.48 , 41.50 , 42.10 , 41.52 
3 , 26 , 2010 , 42.50 , 41.28 , 41.31 , 42.40 
3 , 29 , 2010 , 42.93 , 42.09 , 42.66 , 42.30 
3 , 30 , 2010 , 42.33 , 41.90 , 42.11 , 42.21 
3 , 31 , 2010 , 42.21 , 41.72 , 41.98 , 41.95 
4 , 1 , 2010 , 42.65 , 41.66 , 42.17 , 41.84 
4 , 5 , 2010 , 42.17 , 41.61 , 41.82 , 41.96 
4 , 6 , 2010 , 42.31 , 41.45 , 42.02 , 41.52 
4 , 7 , 2010 , 41.88 , 41.37 , 41.51 , 41.56 
4 , 8 , 2010 , 42.04 , 41.23 , 41.41 , 41.90 
4 , 9 , 2010 , 42.90 , 42.03 , 42.06 , 42.83 
4 , 12 , 2010 , 43.08 , 42.71 , 42.71 , 43.07 
4 , 13 , 2010 , 43.12 , 42.55 , 42.83 , 43.10 
4 , 14 , 2010 , 43.36 , 42.88 , 43.02 , 43.04 
4 , 15 , 2010 , 43.32 , 42.98 , 43.04 , 43.24 
4 , 16 , 2010 , 43.36 , 42.95 , 42.95 , 43.15 
4 , 19 , 2010 , 43.05 , 42.36 , 42.93 , 42.83 
4 , 20 , 2010 , 43.74 , 42.90 , 43.29 , 43.67 
4 , 21 , 2010 , 44.00 , 43.59 , 43.68 , 43.98 
4 , 22 , 2010 , 43.97 , 43.29 , 43.53 , 43.92 
4 , 23 , 2010 , 44.67 , 43.75 , 43.78 , 44.67 
4 , 26 , 2010 , 44.52 , 44.02 , 44.18 , 44.07 
4 , 27 , 2010 , 43.88 , 43.10 , 43.44 , 43.20 
4 , 28 , 2010 , 43.60 , 43.13 , 43.46 , 43.52 
4 , 29 , 2010 , 44.38 , 43.89 , 43.92 , 44.19 
4 , 30 , 2010 , 44.21 , 43.59 , 44.10 , 43.64 
5 , 3 , 2010 , 43.82 , 43.26 , 43.44 , 43.75 
5 , 4 , 2010 , 43.31 , 42.73 , 43.24 , 43.00 
5 , 5 , 2010 , 42.71 , 41.94 , 42.48 , 42.17 
5 , 6 , 2010 , 42.30 , 31.72 , 41.94 , 41.09 
5 , 7 , 2010 , 41.09 , 40.17 , 40.94 , 40.32 
5 , 10 , 2010 , 41.73 , 40.80 , 41.27 , 41.05 
5 , 11 , 2010 , 41.60 , 40.84 , 41.00 , 41.15 
5 , 12 , 2010 , 41.61 , 41.30 , 41.39 , 41.46 
5 , 13 , 2010 , 41.63 , 40.79 , 41.27 , 40.82 
5 , 14 , 2010 , 40.50 , 38.71 , 40.37 , 38.99 
5 , 17 , 2010 , 39.82 , 38.97 , 39.00 , 39.82 
5 , 18 , 2010 , 40.35 , 39.21 , 39.80 , 39.26 
5 , 19 , 2010 , 39.50 , 38.78 , 39.26 , 39.24 
5 , 20 , 2010 , 38.91 , 37.82 , 38.56 , 37.96 
5 , 21 , 2010 , 38.79 , 37.00 , 37.25 , 38.14 
5 , 24 , 2010 , 38.75 , 38.05 , 38.09 , 38.34 
5 , 25 , 2010 , 37.98 , 37.38 , 37.51 , 37.93 
5 , 26 , 2010 , 38.51 , 37.40 , 38.02 , 37.41 
5 , 27 , 2010 , 38.34 , 37.61 , 38.05 , 38.25 
5 , 28 , 2010 , 38.22 , 37.46 , 38.11 , 37.52 
6 , 1 , 2010 , 37.38 , 36.68 , 37.28 , 36.71 
6 , 2 , 2010 , 37.12 , 36.46 , 36.83 , 36.83 
6 , 3 , 2010 , 37.88 , 36.79 , 36.96 , 37.85 
6 , 4 , 2010 , 37.84 , 36.87 , 37.21 , 36.93 
6 , 7 , 2010 , 37.20 , 36.44 , 37.16 , 36.55 
6 , 8 , 2010 , 36.64 , 36.05 , 36.46 , 36.44 
6 , 9 , 2010 , 37.02 , 36.30 , 36.71 , 36.44 
6 , 10 , 2010 , 37.69 , 36.99 , 37.01 , 37.66 
6 , 11 , 2010 , 37.65 , 37.17 , 37.32 , 37.64 
6 , 14 , 2010 , 38.24 , 37.74 , 37.74 , 37.80 
6 , 15 , 2010 , 38.56 , 37.28 , 37.46 , 38.54 
6 , 16 , 2010 , 38.88 , 37.74 , 37.78 , 38.69 
6 , 17 , 2010 , 38.85 , 38.25 , 38.73 , 38.49 
6 , 18 , 2010 , 39.34 , 38.44 , 38.70 , 38.93 
6 , 21 , 2010 , 39.25 , 38.59 , 39.17 , 38.81 
6 , 22 , 2010 , 39.10 , 38.22 , 38.55 , 38.24 
6 , 23 , 2010 , 38.63 , 37.81 , 38.45 , 38.17 
6 , 24 , 2010 , 38.29 , 37.37 , 38.14 , 37.55 
6 , 25 , 2010 , 41.13 , 39.24 , 39.40 , 40.55 
6 , 28 , 2010 , 40.55 , 39.56 , 40.36 , 39.72 
6 , 29 , 2010 , 39.23 , 38.49 , 39.00 , 38.65 
6 , 30 , 2010 , 39.45 , 38.52 , 39.34 , 38.65 
7 , 1 , 2010 , 38.54 , 37.77 , 38.36 , 38.28 
7 , 2 , 2010 , 38.43 , 37.68 , 38.19 , 37.94 
7 , 6 , 2010 , 38.72 , 37.99 , 38.20 , 38.41 
7 , 7 , 2010 , 39.26 , 38.34 , 38.40 , 39.26 
7 , 8 , 2010 , 39.65 , 39.01 , 39.34 , 39.34 
7 , 9 , 2010 , 39.52 , 38.88 , 39.25 , 39.42 
7 , 12 , 2010 , 39.80 , 39.01 , 39.19 , 39.73 
7 , 13 , 2010 , 40.35 , 39.78 , 39.78 , 40.25 
7 , 14 , 2010 , 40.33 , 39.99 , 40.00 , 40.10 
7 , 15 , 2010 , 40.09 , 39.57 , 39.96 , 40.02 
7 , 16 , 2010 , 39.73 , 38.90 , 39.64 , 39.00 
7 , 19 , 2010 , 39.46 , 38.99 , 39.12 , 39.17 
7 , 20 , 2010 , 39.00 , 37.98 , 38.50 , 38.90 
7 , 21 , 2010 , 39.27 , 38.39 , 39.27 , 38.61 
7 , 22 , 2010 , 39.89 , 39.04 , 39.04 , 39.76 
7 , 23 , 2010 , 40.42 , 39.38 , 39.59 , 40.38 
7 , 26 , 2010 , 40.62 , 40.12 , 40.26 , 40.48 
7 , 27 , 2010 , 40.57 , 40.17 , 40.39 , 40.33 
7 , 28 , 2010 , 40.33 , 39.73 , 40.11 , 39.86 
7 , 29 , 2010 , 40.27 , 39.16 , 40.27 , 39.25 
7 , 30 , 2010 , 39.79 , 39.00 , 39.00 , 39.64 
8 , 2 , 2010 , 40.33 , 39.79 , 40.17 , 40.33 
8 , 3 , 2010 , 40.53 , 39.93 , 40.33 , 40.00 
8 , 4 , 2010 , 40.43 , 39.92 , 39.97 , 40.34 
8 , 5 , 2010 , 40.22 , 39.92 , 40.17 , 39.97 
8 , 6 , 2010 , 40.37 , 39.65 , 39.75 , 40.27 
8 , 9 , 2010 , 40.75 , 39.99 , 39.99 , 40.57 
8 , 10 , 2010 , 40.74 , 39.70 , 39.85 , 40.47 
8 , 11 , 2010 , 40.19 , 39.72 , 39.86 , 39.99 
8 , 12 , 2010 , 39.58 , 39.18 , 39.31 , 39.46 
8 , 13 , 2010 , 39.51 , 38.83 , 39.25 , 38.85 
8 , 16 , 2010 , 39.23 , 38.48 , 38.88 , 38.91 
8 , 17 , 2010 , 39.96 , 39.14 , 39.25 , 39.66 
8 , 18 , 2010 , 39.76 , 39.39 , 39.71 , 39.66 
8 , 19 , 2010 , 39.62 , 38.65 , 39.42 , 38.90 
8 , 20 , 2010 , 38.76 , 38.19 , 38.71 , 38.42 
8 , 23 , 2010 , 38.73 , 37.51 , 38.42 , 38.00 
8 , 24 , 2010 , 37.94 , 37.19 , 37.53 , 37.19 
8 , 25 , 2010 , 37.39 , 36.83 , 36.92 , 37.28 
8 , 26 , 2010 , 37.70 , 37.10 , 37.50 , 37.14 
8 , 27 , 2010 , 37.49 , 36.97 , 37.37 , 37.20 
8 , 30 , 2010 , 37.34 , 36.80 , 36.90 , 36.90 
8 , 31 , 2010 , 36.86 , 36.45 , 36.61 , 36.60 
9 , 1 , 2010 , 37.83 , 36.97 , 36.97 , 37.40 
9 , 2 , 2010 , 38.02 , 37.22 , 37.38 , 37.99 
9 , 3 , 2010 , 38.60 , 38.07 , 38.47 , 38.58 
9 , 7 , 2010 , 38.82 , 38.28 , 38.61 , 38.35 
9 , 8 , 2010 , 38.67 , 38.09 , 38.37 , 38.13 
9 , 9 , 2010 , 38.52 , 38.12 , 38.52 , 38.21 
9 , 10 , 2010 , 38.93 , 38.33 , 38.33 , 38.82 
9 , 13 , 2010 , 39.16 , 38.89 , 39.00 , 39.09 
9 , 14 , 2010 , 39.32 , 38.87 , 38.87 , 39.21 
9 , 15 , 2010 , 39.72 , 38.88 , 39.19 , 39.64 
9 , 16 , 2010 , 39.93 , 39.55 , 39.57 , 39.87 
9 , 17 , 2010 , 40.57 , 39.75 , 39.85 , 40.56 
9 , 20 , 2010 , 41.58 , 40.47 , 40.47 , 41.55 
9 , 21 , 2010 , 41.58 , 41.08 , 41.42 , 41.54 
9 , 22 , 2010 , 42.26 , 41.00 , 41.58 , 42.26 
9 , 23 , 2010 , 42.49 , 41.71 , 41.82 , 42.43 
9 , 24 , 2010 , 42.71 , 41.72 , 42.50 , 41.90 
9 , 27 , 2010 , 42.19 , 41.68 , 41.83 , 41.68 
9 , 28 , 2010 , 41.98 , 41.50 , 41.84 , 41.92 
9 , 29 , 2010 , 42.50 , 41.93 , 41.98 , 42.30 
9 , 30 , 2010 , 42.80 , 41.91 , 42.38 , 42.49 
10 , 1 , 2010 , 45.20 , 43.83 , 44.03 , 44.38 
10 , 4 , 2010 , 44.58 , 44.10 , 44.27 , 44.39 
10 , 5 , 2010 , 45.40 , 44.03 , 44.05 , 45.15 
10 , 6 , 2010 , 45.40 , 44.99 , 45.02 , 45.20 
10 , 7 , 2010 , 45.90 , 45.15 , 45.22 , 45.84 
10 , 8 , 2010 , 45.82 , 45.21 , 45.66 , 45.78 
10 , 11 , 2010 , 45.74 , 45.35 , 45.48 , 45.56 
10 , 12 , 2010 , 45.85 , 45.25 , 45.36 , 45.73 
10 , 13 , 2010 , 45.50 , 44.86 , 45.46 , 45.25 
10 , 14 , 2010 , 45.59 , 45.06 , 45.11 , 45.43 
10 , 15 , 2010 , 45.51 , 45.17 , 45.36 , 45.29 
10 , 18 , 2010 , 45.57 , 45.03 , 45.13 , 45.43 
10 , 19 , 2010 , 45.56 , 44.66 , 44.95 , 45.45 
10 , 20 , 2010 , 45.75 , 45.24 , 45.36 , 45.56 
10 , 21 , 2010 , 45.97 , 45.35 , 45.57 , 45.75 
10 , 22 , 2010 , 45.80 , 45.46 , 45.73 , 45.64 
10 , 25 , 2010 , 45.89 , 45.50 , 45.74 , 45.53 
