Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 36.08 , 35.45 , 35.61 , 35.49 
3 , 18 , 2010 , 35.95 , 35.57 , 35.72 , 35.75 
3 , 19 , 2010 , 35.95 , 34.50 , 35.86 , 34.67 
3 , 22 , 2010 , 35.06 , 34.60 , 34.61 , 34.95 
3 , 23 , 2010 , 35.42 , 34.69 , 35.26 , 35.22 
3 , 24 , 2010 , 37.30 , 36.48 , 37.12 , 36.51 
3 , 25 , 2010 , 36.79 , 35.86 , 36.66 , 35.87 
3 , 26 , 2010 , 36.11 , 35.25 , 35.85 , 35.51 
3 , 29 , 2010 , 36.01 , 35.60 , 35.60 , 35.74 
3 , 30 , 2010 , 35.90 , 35.29 , 35.78 , 35.68 
3 , 31 , 2010 , 35.70 , 35.27 , 35.55 , 35.37 
4 , 1 , 2010 , 35.88 , 35.25 , 35.54 , 35.74 
4 , 5 , 2010 , 36.07 , 35.66 , 35.68 , 35.99 
4 , 6 , 2010 , 35.93 , 35.55 , 35.56 , 35.70 
4 , 7 , 2010 , 35.64 , 34.95 , 35.56 , 35.06 
4 , 8 , 2010 , 35.08 , 34.63 , 35.03 , 34.94 
4 , 9 , 2010 , 35.47 , 34.44 , 34.57 , 35.47 
4 , 12 , 2010 , 35.54 , 34.91 , 35.42 , 35.02 
4 , 13 , 2010 , 35.09 , 34.51 , 34.86 , 34.75 
4 , 14 , 2010 , 35.04 , 34.57 , 34.63 , 35.02 
4 , 15 , 2010 , 35.10 , 34.17 , 35.09 , 34.39 
4 , 16 , 2010 , 34.58 , 33.53 , 34.54 , 34.00 
4 , 19 , 2010 , 34.20 , 33.32 , 33.81 , 33.82 
4 , 20 , 2010 , 35.14 , 34.10 , 34.19 , 34.93 
4 , 21 , 2010 , 35.09 , 34.79 , 34.80 , 34.92 
4 , 22 , 2010 , 36.02 , 35.00 , 35.41 , 35.97 
4 , 23 , 2010 , 36.29 , 35.72 , 35.84 , 36.25 
4 , 26 , 2010 , 36.35 , 35.99 , 36.21 , 36.15 
4 , 27 , 2010 , 36.00 , 35.19 , 35.91 , 35.34 
4 , 28 , 2010 , 35.61 , 35.05 , 35.48 , 35.47 
4 , 29 , 2010 , 35.56 , 34.54 , 35.27 , 34.96 
4 , 30 , 2010 , 34.99 , 33.57 , 34.97 , 33.60 
5 , 3 , 2010 , 33.96 , 33.40 , 33.68 , 33.59 
5 , 4 , 2010 , 33.17 , 32.22 , 33.12 , 33.14 
5 , 5 , 2010 , 33.58 , 32.54 , 32.69 , 32.96 
5 , 6 , 2010 , 33.74 , 30.24 , 32.80 , 32.49 
5 , 7 , 2010 , 32.96 , 31.68 , 32.76 , 32.42 
5 , 10 , 2010 , 34.29 , 32.75 , 32.75 , 34.28 
5 , 11 , 2010 , 34.38 , 33.70 , 33.95 , 33.80 
5 , 12 , 2010 , 34.93 , 34.06 , 34.12 , 34.80 
5 , 13 , 2010 , 35.40 , 34.36 , 34.79 , 34.41 
5 , 14 , 2010 , 34.40 , 33.26 , 34.24 , 33.72 
5 , 17 , 2010 , 34.22 , 33.18 , 33.98 , 33.81 
5 , 18 , 2010 , 34.31 , 33.04 , 33.72 , 33.28 
5 , 19 , 2010 , 33.66 , 32.53 , 33.22 , 32.88 
5 , 20 , 2010 , 32.55 , 31.62 , 32.20 , 31.74 
5 , 21 , 2010 , 32.33 , 30.97 , 31.15 , 32.18 
