Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 30.58 , 30.03 , 30.11 , 30.43 
3 , 18 , 2010 , 30.54 , 30.00 , 30.54 , 30.16 
3 , 19 , 2010 , 30.38 , 29.64 , 30.23 , 29.75 
3 , 22 , 2010 , 30.22 , 29.59 , 29.60 , 30.07 
3 , 23 , 2010 , 30.44 , 30.01 , 30.13 , 30.43 
3 , 24 , 2010 , 30.32 , 29.03 , 30.32 , 29.06 
3 , 25 , 2010 , 29.52 , 28.87 , 29.30 , 28.94 
3 , 26 , 2010 , 29.18 , 28.21 , 28.94 , 28.49 
3 , 29 , 2010 , 29.08 , 28.53 , 28.53 , 28.82 
3 , 30 , 2010 , 29.13 , 28.63 , 28.89 , 29.01 
3 , 31 , 2010 , 29.12 , 28.72 , 28.81 , 28.82 
4 , 1 , 2010 , 29.35 , 28.53 , 29.02 , 28.82 
4 , 5 , 2010 , 29.57 , 28.89 , 28.89 , 29.45 
4 , 6 , 2010 , 29.45 , 28.98 , 29.34 , 29.29 
4 , 7 , 2010 , 29.65 , 29.04 , 29.16 , 29.46 
4 , 8 , 2010 , 29.40 , 28.75 , 29.30 , 28.99 
4 , 9 , 2010 , 29.12 , 28.81 , 29.05 , 29.11 
4 , 12 , 2010 , 29.75 , 29.11 , 29.19 , 29.55 
4 , 13 , 2010 , 29.80 , 29.35 , 29.56 , 29.78 
4 , 14 , 2010 , 31.37 , 30.23 , 30.24 , 31.35 
4 , 15 , 2010 , 31.50 , 30.99 , 31.19 , 31.35 
4 , 16 , 2010 , 31.18 , 30.33 , 31.18 , 30.58 
4 , 19 , 2010 , 30.66 , 29.73 , 30.46 , 30.41 
4 , 20 , 2010 , 30.94 , 30.40 , 30.52 , 30.75 
4 , 21 , 2010 , 31.06 , 29.93 , 30.90 , 30.29 
4 , 22 , 2010 , 30.48 , 29.24 , 29.81 , 30.42 
4 , 23 , 2010 , 30.68 , 29.78 , 30.37 , 30.67 
4 , 26 , 2010 , 31.31 , 30.69 , 30.76 , 31.13 
4 , 27 , 2010 , 30.99 , 30.03 , 30.97 , 30.04 
4 , 28 , 2010 , 30.43 , 29.53 , 30.24 , 30.25 
4 , 29 , 2010 , 30.94 , 30.07 , 30.33 , 30.85 
4 , 30 , 2010 , 30.96 , 29.69 , 30.96 , 29.93 
5 , 3 , 2010 , 30.43 , 29.87 , 30.23 , 30.09 
5 , 4 , 2010 , 29.66 , 28.90 , 29.66 , 29.40 
5 , 5 , 2010 , 29.69 , 28.47 , 29.04 , 29.24 
5 , 6 , 2010 , 29.47 , 26.28 , 29.04 , 28.08 
5 , 7 , 2010 , 28.55 , 27.06 , 27.91 , 27.74 
5 , 10 , 2010 , 29.19 , 28.62 , 28.92 , 29.18 
5 , 11 , 2010 , 29.24 , 28.21 , 28.88 , 28.86 
5 , 12 , 2010 , 29.40 , 28.83 , 29.02 , 29.36 
5 , 13 , 2010 , 29.43 , 28.46 , 29.13 , 28.58 
5 , 14 , 2010 , 28.41 , 27.25 , 28.41 , 27.78 
5 , 17 , 2010 , 28.39 , 27.37 , 27.82 , 28.35 
5 , 18 , 2010 , 28.86 , 27.45 , 28.67 , 27.60 
5 , 19 , 2010 , 29.18 , 27.57 , 28.07 , 28.77 
5 , 20 , 2010 , 28.67 , 27.75 , 28.11 , 28.12 
5 , 21 , 2010 , 29.04 , 27.51 , 27.76 , 28.64 
5 , 24 , 2010 , 28.90 , 28.18 , 28.45 , 28.47 
5 , 25 , 2010 , 28.67 , 27.39 , 27.73 , 28.67 
5 , 26 , 2010 , 28.98 , 28.43 , 28.85 , 28.48 
5 , 27 , 2010 , 29.72 , 28.95 , 29.02 , 29.72 
5 , 28 , 2010 , 29.74 , 28.86 , 29.66 , 29.17 
6 , 1 , 2010 , 29.49 , 28.75 , 28.98 , 28.87 
6 , 2 , 2010 , 29.81 , 28.69 , 28.94 , 29.81 
6 , 3 , 2010 , 30.40 , 29.69 , 29.69 , 30.37 
6 , 4 , 2010 , 30.13 , 28.81 , 29.60 , 29.00 
6 , 7 , 2010 , 29.30 , 27.93 , 29.13 , 27.96 
6 , 8 , 2010 , 28.14 , 27.28 , 28.11 , 28.09 
6 , 9 , 2010 , 28.62 , 27.72 , 28.49 , 27.87 
6 , 10 , 2010 , 28.77 , 28.16 , 28.24 , 28.62 
6 , 11 , 2010 , 29.11 , 28.11 , 28.11 , 29.04 
6 , 14 , 2010 , 29.45 , 28.85 , 29.37 , 28.88 
6 , 15 , 2010 , 30.42 , 28.87 , 29.08 , 30.36 
6 , 16 , 2010 , 30.83 , 29.97 , 30.17 , 30.60 
6 , 17 , 2010 , 30.86 , 30.32 , 30.80 , 30.65 
6 , 18 , 2010 , 30.82 , 30.42 , 30.64 , 30.52 
6 , 21 , 2010 , 30.98 , 30.07 , 30.91 , 30.28 
6 , 22 , 2010 , 30.66 , 29.49 , 30.31 , 29.58 
6 , 23 , 2010 , 30.16 , 29.22 , 29.61 , 29.80 
6 , 24 , 2010 , 29.78 , 29.12 , 29.77 , 29.27 
6 , 25 , 2010 , 29.37 , 28.65 , 29.37 , 29.12 
6 , 28 , 2010 , 29.45 , 28.97 , 29.19 , 29.22 
6 , 29 , 2010 , 28.76 , 27.95 , 28.74 , 28.24 
6 , 30 , 2010 , 28.52 , 27.75 , 28.23 , 27.86 
7 , 1 , 2010 , 28.26 , 27.25 , 27.86 , 27.92 
7 , 2 , 2010 , 28.12 , 27.43 , 28.02 , 27.87 
7 , 6 , 2010 , 28.57 , 27.61 , 28.26 , 27.89 
7 , 7 , 2010 , 29.45 , 27.88 , 27.88 , 29.44 
7 , 8 , 2010 , 29.76 , 28.67 , 29.76 , 29.08 
7 , 9 , 2010 , 29.33 , 28.90 , 29.12 , 29.30 
7 , 12 , 2010 , 29.64 , 29.10 , 29.15 , 29.36 
7 , 13 , 2010 , 30.19 , 29.54 , 29.65 , 30.05 
7 , 14 , 2010 , 30.50 , 29.41 , 30.50 , 29.60 
7 , 15 , 2010 , 29.82 , 29.22 , 29.57 , 29.73 
7 , 16 , 2010 , 29.70 , 29.18 , 29.54 , 29.21 
7 , 19 , 2010 , 30.05 , 29.25 , 29.30 , 30.01 
7 , 20 , 2010 , 30.05 , 28.95 , 29.38 , 30.05 
7 , 21 , 2010 , 30.14 , 29.36 , 30.07 , 29.57 
7 , 22 , 2010 , 30.66 , 29.73 , 29.93 , 30.61 
7 , 23 , 2010 , 30.86 , 30.17 , 30.57 , 30.86 
7 , 26 , 2010 , 31.21 , 30.37 , 30.67 , 31.20 
7 , 27 , 2010 , 31.37 , 30.85 , 31.33 , 31.04 
7 , 28 , 2010 , 31.04 , 30.19 , 30.88 , 30.31 
7 , 29 , 2010 , 30.59 , 29.40 , 30.51 , 29.74 
7 , 30 , 2010 , 29.88 , 29.07 , 29.50 , 29.71 
8 , 2 , 2010 , 30.26 , 29.64 , 30.16 , 30.09 
8 , 3 , 2010 , 30.07 , 29.70 , 30.06 , 29.87 
8 , 4 , 2010 , 30.26 , 29.73 , 30.02 , 30.24 
8 , 5 , 2010 , 30.61 , 30.05 , 30.09 , 30.23 
8 , 6 , 2010 , 30.39 , 29.78 , 29.92 , 30.17 
8 , 9 , 2010 , 30.59 , 30.02 , 30.35 , 30.49 
8 , 10 , 2010 , 30.12 , 29.46 , 30.12 , 29.89 
8 , 11 , 2010 , 29.32 , 28.76 , 29.32 , 29.09 
8 , 12 , 2010 , 29.09 , 28.03 , 28.60 , 28.23 
8 , 13 , 2010 , 28.42 , 28.02 , 28.16 , 28.07 
8 , 16 , 2010 , 28.44 , 27.72 , 27.95 , 28.36 
8 , 17 , 2010 , 29.07 , 28.40 , 28.62 , 28.81 
8 , 18 , 2010 , 30.25 , 29.05 , 29.37 , 30.08 
8 , 19 , 2010 , 30.22 , 29.53 , 30.02 , 29.67 
8 , 20 , 2010 , 29.95 , 29.27 , 29.58 , 29.62 
8 , 23 , 2010 , 29.93 , 29.33 , 29.75 , 29.91 
8 , 24 , 2010 , 29.50 , 28.68 , 29.47 , 29.32 
8 , 25 , 2010 , 29.06 , 28.51 , 29.00 , 29.01 
8 , 26 , 2010 , 29.24 , 28.70 , 29.10 , 28.96 
8 , 27 , 2010 , 29.32 , 28.22 , 29.21 , 29.22 
8 , 30 , 2010 , 29.12 , 28.38 , 29.12 , 28.38 
8 , 31 , 2010 , 28.46 , 27.65 , 28.38 , 27.88 
9 , 1 , 2010 , 28.75 , 27.90 , 28.19 , 28.50 
9 , 2 , 2010 , 29.20 , 28.58 , 28.64 , 29.19 
9 , 3 , 2010 , 29.76 , 29.08 , 29.47 , 29.59 
