Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 39.40 , 38.82 , 38.83 , 39.21 
3 , 18 , 2010 , 39.36 , 39.03 , 39.11 , 39.23 
3 , 19 , 2010 , 39.67 , 38.69 , 39.50 , 39.13 
3 , 22 , 2010 , 39.38 , 38.72 , 39.07 , 39.33 
3 , 23 , 2010 , 39.48 , 39.10 , 39.47 , 39.40 
3 , 24 , 2010 , 39.38 , 38.85 , 39.21 , 38.90 
3 , 25 , 2010 , 39.00 , 38.55 , 39.00 , 38.58 
3 , 26 , 2010 , 38.99 , 38.62 , 38.62 , 38.81 
3 , 29 , 2010 , 39.18 , 38.76 , 38.91 , 39.07 
3 , 30 , 2010 , 39.21 , 38.84 , 38.94 , 39.12 
3 , 31 , 2010 , 39.14 , 38.84 , 39.04 , 39.01 
4 , 1 , 2010 , 39.18 , 38.51 , 39.18 , 38.76 
4 , 5 , 2010 , 39.21 , 38.71 , 38.93 , 38.94 
4 , 6 , 2010 , 38.98 , 38.69 , 38.92 , 38.85 
4 , 7 , 2010 , 38.86 , 38.41 , 38.82 , 38.54 
4 , 8 , 2010 , 38.62 , 38.28 , 38.56 , 38.49 
4 , 9 , 2010 , 38.83 , 38.36 , 38.61 , 38.83 
4 , 12 , 2010 , 38.86 , 38.63 , 38.86 , 38.78 
4 , 13 , 2010 , 38.85 , 38.49 , 38.76 , 38.56 
4 , 14 , 2010 , 38.77 , 38.37 , 38.48 , 38.76 
4 , 15 , 2010 , 39.24 , 38.69 , 38.82 , 39.20 
4 , 16 , 2010 , 39.37 , 38.78 , 39.03 , 38.85 
4 , 19 , 2010 , 39.26 , 38.86 , 38.86 , 39.23 
4 , 20 , 2010 , 39.52 , 39.26 , 39.38 , 39.50 
4 , 21 , 2010 , 39.54 , 39.26 , 39.45 , 39.53 
4 , 22 , 2010 , 39.57 , 39.06 , 39.35 , 39.54 
4 , 23 , 2010 , 39.93 , 39.28 , 39.58 , 39.90 
4 , 26 , 2010 , 40.13 , 39.70 , 39.87 , 39.77 
4 , 27 , 2010 , 39.71 , 38.85 , 39.47 , 38.97 
4 , 28 , 2010 , 39.11 , 38.56 , 39.10 , 38.72 
4 , 29 , 2010 , 39.16 , 38.42 , 38.78 , 38.94 
4 , 30 , 2010 , 39.12 , 38.01 , 39.12 , 38.05 
5 , 3 , 2010 , 38.39 , 37.95 , 38.36 , 38.31 
5 , 4 , 2010 , 38.20 , 37.11 , 38.20 , 37.60 
5 , 5 , 2010 , 38.18 , 37.21 , 37.60 , 37.42 
5 , 6 , 2010 , 37.78 , 26.41 , 37.19 , 36.33 
5 , 7 , 2010 , 36.97 , 35.81 , 36.01 , 36.46 
5 , 10 , 2010 , 37.79 , 36.84 , 36.84 , 37.27 
5 , 11 , 2010 , 37.68 , 37.07 , 37.17 , 37.28 
5 , 12 , 2010 , 37.76 , 37.21 , 37.31 , 37.74 
5 , 13 , 2010 , 37.63 , 37.20 , 37.58 , 37.24 
5 , 14 , 2010 , 37.09 , 36.45 , 37.06 , 36.67 
5 , 17 , 2010 , 37.13 , 36.41 , 36.79 , 36.95 
5 , 18 , 2010 , 37.27 , 36.48 , 36.95 , 36.61 
5 , 19 , 2010 , 36.86 , 36.35 , 36.40 , 36.49 
5 , 20 , 2010 , 36.17 , 35.31 , 36.00 , 35.37 
5 , 21 , 2010 , 35.69 , 34.67 , 34.76 , 35.63 
5 , 24 , 2010 , 35.73 , 35.11 , 35.48 , 35.34 
5 , 25 , 2010 , 35.21 , 34.45 , 34.88 , 35.21 
5 , 26 , 2010 , 35.74 , 34.89 , 35.28 , 35.01 
5 , 27 , 2010 , 36.11 , 35.51 , 35.78 , 36.11 
5 , 28 , 2010 , 36.22 , 35.61 , 36.03 , 35.86 
6 , 1 , 2010 , 36.20 , 35.41 , 35.75 , 35.52 
6 , 2 , 2010 , 36.40 , 35.20 , 35.51 , 36.38 
6 , 3 , 2010 , 36.89 , 36.26 , 36.45 , 36.81 
6 , 4 , 2010 , 36.25 , 35.37 , 36.25 , 35.49 
6 , 7 , 2010 , 35.58 , 35.06 , 35.47 , 35.10 
6 , 8 , 2010 , 36.06 , 35.00 , 35.06 , 36.04 
6 , 9 , 2010 , 36.33 , 35.55 , 35.77 , 35.85 
6 , 10 , 2010 , 37.02 , 35.77 , 36.34 , 36.86 
6 , 11 , 2010 , 36.74 , 36.27 , 36.39 , 36.70 
