Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 29.96 , 29.49 , 29.91 , 29.52 
3 , 18 , 2010 , 29.73 , 29.35 , 29.69 , 29.42 
3 , 19 , 2010 , 29.64 , 28.93 , 29.64 , 29.11 
3 , 22 , 2010 , 29.70 , 28.95 , 29.03 , 29.50 
3 , 23 , 2010 , 29.82 , 29.50 , 29.58 , 29.71 
3 , 24 , 2010 , 29.79 , 29.39 , 29.72 , 29.43 
3 , 25 , 2010 , 29.96 , 29.48 , 29.79 , 29.49 
3 , 26 , 2010 , 29.76 , 29.23 , 29.37 , 29.50 
3 , 29 , 2010 , 29.75 , 29.44 , 29.55 , 29.56 
3 , 30 , 2010 , 29.58 , 29.08 , 29.53 , 29.40 
3 , 31 , 2010 , 29.60 , 29.13 , 29.20 , 29.38 
4 , 1 , 2010 , 29.59 , 28.70 , 28.79 , 29.16 
4 , 5 , 2010 , 30.36 , 29.20 , 29.20 , 30.18 
4 , 6 , 2010 , 31.00 , 29.94 , 30.30 , 30.91 
4 , 7 , 2010 , 30.84 , 30.43 , 30.66 , 30.65 
4 , 8 , 2010 , 31.22 , 30.38 , 30.44 , 31.09 
4 , 9 , 2010 , 31.23 , 30.93 , 31.02 , 31.13 
4 , 12 , 2010 , 31.50 , 31.03 , 31.15 , 31.43 
4 , 13 , 2010 , 31.72 , 31.28 , 31.46 , 31.70 
4 , 14 , 2010 , 31.75 , 31.48 , 31.59 , 31.70 
4 , 15 , 2010 , 31.89 , 31.46 , 31.62 , 31.88 
4 , 16 , 2010 , 32.01 , 31.44 , 31.86 , 31.55 
4 , 19 , 2010 , 31.59 , 30.83 , 31.50 , 31.26 
4 , 20 , 2010 , 32.20 , 31.36 , 31.45 , 32.16 
4 , 21 , 2010 , 32.50 , 31.88 , 32.06 , 32.45 
4 , 22 , 2010 , 33.72 , 32.08 , 32.30 , 33.64 
4 , 23 , 2010 , 34.23 , 33.34 , 33.67 , 34.22 
4 , 26 , 2010 , 35.18 , 34.08 , 34.38 , 34.72 
4 , 27 , 2010 , 34.97 , 33.76 , 34.56 , 33.85 
4 , 28 , 2010 , 34.21 , 33.82 , 33.91 , 34.13 
4 , 29 , 2010 , 34.67 , 34.10 , 34.22 , 34.67 
4 , 30 , 2010 , 34.82 , 33.88 , 34.68 , 33.99 
5 , 3 , 2010 , 34.95 , 33.88 , 34.07 , 34.89 
5 , 4 , 2010 , 34.28 , 32.92 , 34.27 , 33.25 
5 , 5 , 2010 , 33.20 , 31.71 , 33.06 , 31.71 
5 , 6 , 2010 , 31.98 , 28.65 , 31.66 , 30.56 
5 , 7 , 2010 , 30.83 , 29.16 , 30.68 , 30.06 
5 , 10 , 2010 , 32.47 , 31.27 , 31.27 , 32.40 
5 , 11 , 2010 , 32.32 , 31.53 , 32.17 , 31.62 
5 , 12 , 2010 , 32.82 , 31.41 , 31.53 , 32.77 
5 , 13 , 2010 , 33.49 , 32.30 , 32.83 , 32.36 
5 , 14 , 2010 , 32.21 , 30.43 , 32.12 , 30.77 
5 , 17 , 2010 , 31.13 , 30.12 , 30.87 , 30.72 
5 , 18 , 2010 , 31.19 , 29.95 , 30.99 , 30.15 
5 , 19 , 2010 , 30.50 , 29.63 , 30.21 , 30.35 
5 , 20 , 2010 , 30.76 , 28.22 , 30.76 , 28.28 
5 , 21 , 2010 , 29.45 , 27.31 , 27.58 , 29.37 
5 , 24 , 2010 , 29.82 , 28.84 , 29.21 , 29.42 
5 , 25 , 2010 , 29.00 , 27.77 , 28.60 , 28.97 
