Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 34.89 , 34.58 , 34.61 , 34.82 
3 , 18 , 2010 , 34.97 , 34.57 , 34.88 , 34.76 
3 , 19 , 2010 , 34.88 , 34.26 , 34.79 , 34.52 
3 , 22 , 2010 , 34.52 , 34.07 , 34.40 , 34.08 
3 , 23 , 2010 , 34.30 , 34.00 , 34.06 , 34.30 
3 , 24 , 2010 , 34.21 , 33.86 , 34.15 , 33.99 
3 , 25 , 2010 , 34.21 , 33.89 , 34.13 , 33.90 
3 , 26 , 2010 , 34.22 , 33.88 , 33.98 , 34.09 
3 , 29 , 2010 , 34.40 , 34.09 , 34.10 , 34.37 
3 , 30 , 2010 , 34.74 , 34.30 , 34.37 , 34.42 
3 , 31 , 2010 , 34.43 , 34.05 , 34.37 , 34.18 
4 , 1 , 2010 , 34.64 , 34.25 , 34.30 , 34.49 
4 , 5 , 2010 , 34.65 , 34.27 , 34.64 , 34.31 
4 , 6 , 2010 , 34.35 , 34.18 , 34.25 , 34.30 
4 , 7 , 2010 , 34.29 , 33.97 , 34.26 , 34.08 
4 , 8 , 2010 , 34.03 , 33.75 , 33.99 , 33.96 
4 , 9 , 2010 , 34.28 , 33.75 , 34.20 , 34.27 
4 , 12 , 2010 , 34.44 , 34.05 , 34.44 , 34.08 
4 , 13 , 2010 , 34.20 , 33.78 , 34.12 , 34.07 
4 , 14 , 2010 , 34.06 , 33.61 , 34.04 , 33.90 
4 , 15 , 2010 , 33.85 , 33.49 , 33.80 , 33.77 
4 , 16 , 2010 , 33.97 , 33.58 , 33.75 , 33.73 
4 , 19 , 2010 , 33.81 , 33.50 , 33.65 , 33.80 
4 , 20 , 2010 , 33.99 , 33.68 , 33.85 , 33.95 
4 , 21 , 2010 , 34.00 , 33.77 , 33.90 , 33.95 
4 , 22 , 2010 , 34.04 , 33.60 , 33.75 , 33.98 
4 , 23 , 2010 , 34.02 , 33.67 , 34.02 , 34.02 
4 , 26 , 2010 , 34.05 , 33.65 , 34.04 , 33.76 
4 , 27 , 2010 , 34.05 , 33.30 , 33.69 , 33.34 
4 , 28 , 2010 , 33.61 , 33.23 , 33.56 , 33.52 
4 , 29 , 2010 , 34.20 , 33.63 , 33.76 , 33.84 
4 , 30 , 2010 , 35.00 , 34.30 , 34.47 , 34.30 
5 , 3 , 2010 , 34.73 , 34.18 , 34.46 , 34.56 
5 , 4 , 2010 , 34.53 , 33.41 , 34.24 , 33.61 
5 , 5 , 2010 , 33.68 , 33.08 , 33.40 , 33.37 
5 , 6 , 2010 , 32.93 , 28.17 , 32.84 , 32.18 
5 , 7 , 2010 , 32.56 , 31.52 , 32.18 , 31.92 
5 , 10 , 2010 , 33.22 , 32.68 , 32.79 , 33.14 
5 , 11 , 2010 , 33.44 , 32.86 , 32.86 , 33.15 
5 , 12 , 2010 , 33.74 , 32.90 , 33.27 , 33.58 
5 , 13 , 2010 , 33.87 , 33.20 , 33.46 , 33.30 
5 , 14 , 2010 , 33.30 , 32.66 , 32.66 , 33.00 
5 , 17 , 2010 , 33.14 , 32.55 , 33.08 , 32.99 
5 , 18 , 2010 , 33.15 , 32.51 , 32.80 , 32.60 
5 , 19 , 2010 , 32.53 , 32.02 , 32.45 , 32.31 
5 , 20 , 2010 , 31.95 , 31.30 , 31.76 , 31.34 
5 , 21 , 2010 , 31.49 , 30.78 , 31.07 , 31.46 
5 , 24 , 2010 , 31.66 , 31.08 , 31.24 , 31.19 
5 , 25 , 2010 , 30.97 , 30.07 , 30.58 , 30.97 
5 , 26 , 2010 , 31.37 , 30.85 , 31.21 , 31.02 
5 , 27 , 2010 , 32.00 , 31.32 , 31.48 , 31.99 
5 , 28 , 2010 , 32.28 , 31.78 , 32.06 , 31.96 
6 , 1 , 2010 , 31.77 , 31.16 , 31.66 , 31.20 
6 , 2 , 2010 , 31.88 , 31.15 , 31.38 , 31.85 
6 , 3 , 2010 , 32.35 , 31.87 , 32.07 , 32.16 
6 , 4 , 2010 , 31.84 , 31.00 , 31.84 , 31.12 
6 , 7 , 2010 , 31.83 , 31.12 , 31.12 , 31.43 
6 , 8 , 2010 , 31.81 , 31.21 , 31.21 , 31.72 
6 , 9 , 2010 , 31.92 , 31.58 , 31.92 , 31.74 
6 , 10 , 2010 , 32.73 , 32.11 , 32.26 , 32.68 
6 , 11 , 2010 , 32.59 , 32.01 , 32.40 , 32.45 
6 , 14 , 2010 , 32.76 , 32.37 , 32.71 , 32.41 
6 , 15 , 2010 , 33.41 , 32.64 , 32.64 , 33.41 
6 , 16 , 2010 , 33.82 , 33.18 , 33.18 , 33.68 
6 , 17 , 2010 , 34.02 , 33.55 , 33.69 , 34.00 
6 , 18 , 2010 , 34.17 , 33.84 , 34.01 , 34.06 
6 , 21 , 2010 , 34.39 , 33.75 , 34.31 , 33.87 
6 , 22 , 2010 , 33.98 , 33.22 , 33.83 , 33.30 
6 , 23 , 2010 , 33.38 , 32.62 , 33.35 , 32.72 
6 , 24 , 2010 , 33.06 , 32.53 , 32.68 , 32.72 
6 , 25 , 2010 , 33.11 , 32.50 , 32.88 , 32.99 
6 , 28 , 2010 , 33.50 , 32.76 , 33.19 , 33.31 
6 , 29 , 2010 , 33.06 , 32.60 , 32.99 , 32.69 
6 , 30 , 2010 , 32.98 , 32.21 , 32.71 , 32.30 
7 , 1 , 2010 , 32.48 , 31.87 , 32.42 , 32.22 
7 , 2 , 2010 , 32.60 , 32.20 , 32.35 , 32.39 
7 , 6 , 2010 , 33.30 , 32.56 , 32.62 , 33.26 
7 , 7 , 2010 , 34.42 , 33.27 , 33.47 , 34.37 
7 , 8 , 2010 , 34.83 , 34.35 , 34.53 , 34.77 
7 , 9 , 2010 , 34.87 , 34.26 , 34.79 , 34.84 
7 , 12 , 2010 , 34.89 , 34.47 , 34.79 , 34.87 
7 , 13 , 2010 , 34.95 , 34.45 , 34.95 , 34.77 
7 , 14 , 2010 , 34.94 , 34.43 , 34.70 , 34.86 
7 , 15 , 2010 , 35.33 , 34.60 , 34.77 , 35.28 
7 , 16 , 2010 , 35.31 , 34.69 , 35.14 , 34.76 
7 , 19 , 2010 , 35.49 , 34.86 , 34.97 , 35.38 
7 , 20 , 2010 , 35.94 , 35.06 , 35.15 , 35.92 
7 , 21 , 2010 , 35.97 , 34.97 , 35.97 , 35.26 
