Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 27.50 , 26.93 , 27.04 , 27.32 
3 , 18 , 2010 , 27.42 , 27.20 , 27.37 , 27.41 
3 , 19 , 2010 , 27.60 , 27.03 , 27.55 , 27.05 
3 , 22 , 2010 , 26.93 , 26.53 , 26.75 , 26.93 
3 , 23 , 2010 , 26.77 , 26.31 , 26.60 , 26.75 
3 , 24 , 2010 , 26.94 , 26.60 , 26.71 , 26.83 
3 , 25 , 2010 , 27.15 , 26.56 , 27.01 , 26.61 
3 , 26 , 2010 , 27.03 , 26.61 , 26.67 , 26.74 
3 , 29 , 2010 , 27.01 , 26.74 , 26.86 , 26.83 
3 , 30 , 2010 , 26.98 , 26.69 , 26.86 , 26.90 
3 , 31 , 2010 , 27.16 , 26.73 , 26.73 , 27.15 
4 , 1 , 2010 , 27.59 , 27.22 , 27.37 , 27.37 
4 , 5 , 2010 , 27.76 , 27.45 , 27.54 , 27.76 
4 , 6 , 2010 , 28.06 , 27.56 , 27.61 , 27.98 
4 , 7 , 2010 , 27.90 , 27.43 , 27.90 , 27.64 
4 , 8 , 2010 , 27.83 , 27.43 , 27.51 , 27.70 
4 , 9 , 2010 , 27.88 , 27.53 , 27.77 , 27.88 
4 , 12 , 2010 , 27.98 , 27.72 , 27.96 , 27.78 
4 , 13 , 2010 , 27.82 , 27.42 , 27.73 , 27.74 
4 , 14 , 2010 , 28.28 , 27.80 , 27.95 , 28.28 
4 , 15 , 2010 , 28.14 , 27.61 , 28.02 , 27.74 
4 , 16 , 2010 , 27.71 , 26.87 , 27.60 , 27.21 
4 , 19 , 2010 , 27.33 , 26.83 , 26.94 , 27.30 
4 , 20 , 2010 , 27.70 , 27.37 , 27.44 , 27.66 
4 , 21 , 2010 , 27.88 , 27.07 , 27.75 , 27.38 
4 , 22 , 2010 , 27.33 , 26.75 , 27.18 , 27.30 
4 , 23 , 2010 , 27.80 , 27.16 , 27.32 , 27.74 
4 , 26 , 2010 , 27.81 , 27.34 , 27.70 , 27.37 
4 , 27 , 2010 , 27.19 , 26.11 , 27.13 , 26.21 
4 , 28 , 2010 , 27.12 , 24.37 , 27.07 , 24.82 
4 , 29 , 2010 , 26.29 , 25.25 , 25.41 , 26.17 
4 , 30 , 2010 , 26.18 , 25.47 , 26.03 , 25.48 
5 , 3 , 2010 , 25.87 , 25.42 , 25.70 , 25.72 
5 , 4 , 2010 , 25.25 , 24.03 , 25.16 , 24.41 
5 , 5 , 2010 , 24.68 , 23.63 , 24.03 , 24.07 
5 , 6 , 2010 , 24.51 , 21.25 , 23.93 , 23.14 
5 , 7 , 2010 , 23.25 , 21.70 , 23.13 , 22.14 
5 , 10 , 2010 , 25.20 , 22.26 , 23.70 , 24.88 
5 , 11 , 2010 , 25.13 , 24.18 , 24.25 , 24.47 
5 , 12 , 2010 , 25.09 , 24.38 , 24.53 , 25.02 
5 , 13 , 2010 , 25.05 , 24.21 , 25.05 , 24.21 
5 , 14 , 2010 , 23.96 , 22.50 , 23.93 , 22.95 
5 , 17 , 2010 , 23.13 , 22.32 , 22.71 , 22.99 
5 , 18 , 2010 , 23.84 , 22.26 , 23.84 , 22.51 
5 , 19 , 2010 , 22.60 , 21.56 , 22.35 , 22.17 
5 , 20 , 2010 , 21.64 , 20.62 , 21.54 , 20.81 
5 , 21 , 2010 , 21.93 , 20.26 , 20.45 , 21.70 
5 , 24 , 2010 , 21.74 , 21.08 , 21.74 , 21.11 
5 , 25 , 2010 , 21.29 , 20.16 , 20.49 , 21.25 
5 , 26 , 2010 , 22.02 , 21.28 , 21.74 , 21.38 
5 , 27 , 2010 , 22.96 , 21.84 , 21.97 , 22.92 
5 , 28 , 2010 , 22.93 , 22.05 , 22.93 , 22.15 
6 , 1 , 2010 , 22.32 , 21.50 , 21.82 , 21.57 
6 , 2 , 2010 , 22.34 , 21.42 , 21.77 , 22.32 
6 , 3 , 2010 , 22.54 , 21.83 , 22.39 , 22.23 
6 , 4 , 2010 , 21.73 , 20.52 , 21.37 , 20.67 
6 , 7 , 2010 , 21.04 , 20.19 , 20.91 , 20.24 
6 , 8 , 2010 , 20.90 , 19.96 , 20.37 , 20.88 
6 , 9 , 2010 , 21.35 , 20.52 , 21.09 , 20.61 
6 , 10 , 2010 , 21.43 , 20.87 , 20.96 , 21.39 
6 , 11 , 2010 , 21.43 , 20.83 , 20.83 , 21.40 
6 , 14 , 2010 , 21.79 , 21.15 , 21.42 , 21.25 
