Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 26.40 , 25.54 , 26.20 , 26.13 
3 , 18 , 2010 , 27.10 , 25.82 , 26.56 , 26.36 
3 , 19 , 2010 , 26.74 , 25.57 , 26.64 , 26.52 
3 , 22 , 2010 , 25.90 , 24.82 , 25.54 , 25.11 
3 , 23 , 2010 , 25.52 , 23.97 , 25.37 , 25.00 
3 , 24 , 2010 , 26.05 , 24.66 , 24.73 , 24.89 
3 , 25 , 2010 , 27.39 , 25.06 , 25.43 , 26.23 
3 , 26 , 2010 , 27.32 , 25.58 , 26.55 , 25.93 
3 , 29 , 2010 , 26.72 , 25.58 , 26.37 , 26.17 
3 , 30 , 2010 , 26.87 , 25.80 , 26.58 , 25.91 
3 , 31 , 2010 , 26.44 , 25.32 , 25.67 , 25.86 
4 , 1 , 2010 , 26.21 , 25.53 , 25.97 , 25.83 
4 , 5 , 2010 , 27.17 , 25.62 , 26.15 , 26.78 
4 , 6 , 2010 , 28.10 , 26.92 , 27.21 , 27.63 
4 , 7 , 2010 , 31.62 , 27.64 , 28.26 , 31.41 
4 , 8 , 2010 , 32.52 , 29.24 , 31.64 , 29.31 
4 , 9 , 2010 , 31.02 , 29.47 , 29.88 , 29.86 
4 , 12 , 2010 , 33.72 , 30.39 , 30.85 , 32.94 
4 , 13 , 2010 , 33.46 , 31.62 , 33.03 , 31.87 
4 , 14 , 2010 , 32.69 , 31.22 , 32.11 , 31.46 
4 , 15 , 2010 , 32.91 , 31.22 , 31.70 , 31.70 
4 , 16 , 2010 , 33.67 , 30.74 , 31.78 , 30.87 
4 , 19 , 2010 , 31.59 , 30.05 , 30.46 , 30.81 
4 , 20 , 2010 , 33.84 , 31.08 , 31.34 , 33.35 
4 , 21 , 2010 , 34.62 , 32.22 , 33.49 , 32.62 
4 , 22 , 2010 , 35.22 , 31.92 , 32.46 , 34.97 
4 , 23 , 2010 , 36.72 , 35.07 , 35.45 , 36.10 
4 , 26 , 2010 , 37.62 , 35.92 , 36.54 , 36.23 
4 , 27 , 2010 , 34.42 , 28.75 , 33.90 , 29.09 
4 , 28 , 2010 , 32.19 , 29.94 , 30.28 , 31.23 
4 , 29 , 2010 , 32.60 , 31.62 , 32.22 , 31.95 
4 , 30 , 2010 , 32.45 , 29.94 , 32.17 , 30.62 
5 , 3 , 2010 , 31.88 , 30.81 , 31.25 , 31.26 
5 , 4 , 2010 , 30.92 , 29.57 , 30.42 , 29.97 
5 , 5 , 2010 , 29.92 , 27.81 , 28.72 , 29.42 
5 , 6 , 2010 , 30.34 , 25.09 , 29.50 , 28.47 
5 , 7 , 2010 , 31.72 , 26.72 , 29.79 , 30.42 
5 , 10 , 2010 , 33.56 , 32.08 , 32.99 , 32.70 
5 , 11 , 2010 , 35.71 , 31.75 , 32.33 , 34.61 
5 , 12 , 2010 , 36.08 , 33.02 , 35.54 , 33.12 
5 , 13 , 2010 , 34.36 , 32.23 , 33.27 , 32.37 
5 , 14 , 2010 , 31.90 , 30.89 , 31.69 , 31.44 
5 , 17 , 2010 , 31.68 , 29.11 , 31.34 , 30.72 
5 , 18 , 2010 , 31.70 , 29.22 , 31.17 , 29.50 
5 , 19 , 2010 , 30.66 , 28.12 , 28.95 , 29.05 
5 , 20 , 2010 , 28.68 , 26.32 , 28.02 , 26.53 
5 , 21 , 2010 , 28.30 , 25.35 , 25.97 , 27.68 
5 , 24 , 2010 , 28.37 , 26.22 , 27.97 , 26.25 
5 , 25 , 2010 , 26.29 , 23.83 , 24.75 , 26.21 
5 , 26 , 2010 , 27.35 , 25.62 , 27.01 , 25.77 
5 , 27 , 2010 , 28.18 , 26.31 , 26.73 , 28.18 
5 , 28 , 2010 , 28.72 , 26.71 , 28.71 , 27.10 
6 , 1 , 2010 , 27.62 , 25.90 , 26.46 , 25.97 
6 , 2 , 2010 , 27.40 , 25.77 , 26.03 , 26.78 
