Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 25.68 , 25.40 , 25.51 , 25.64 
3 , 18 , 2010 , 25.84 , 25.61 , 25.66 , 25.73 
3 , 19 , 2010 , 25.60 , 24.96 , 25.14 , 25.58 
3 , 22 , 2010 , 25.50 , 24.92 , 25.50 , 24.97 
3 , 23 , 2010 , 25.21 , 24.76 , 24.93 , 25.21 
3 , 24 , 2010 , 25.17 , 24.74 , 25.17 , 25.06 
3 , 25 , 2010 , 25.28 , 25.06 , 25.21 , 25.17 
3 , 26 , 2010 , 25.31 , 25.02 , 25.25 , 25.09 
3 , 29 , 2010 , 25.12 , 24.77 , 25.01 , 24.95 
3 , 30 , 2010 , 25.04 , 24.76 , 24.98 , 24.91 
3 , 31 , 2010 , 24.94 , 24.53 , 24.86 , 24.55 
4 , 1 , 2010 , 24.73 , 24.33 , 24.56 , 24.50 
4 , 5 , 2010 , 24.65 , 24.46 , 24.65 , 24.60 
4 , 6 , 2010 , 24.82 , 24.46 , 24.46 , 24.73 
4 , 7 , 2010 , 24.77 , 24.46 , 24.57 , 24.68 
4 , 8 , 2010 , 24.73 , 24.50 , 24.61 , 24.58 
4 , 9 , 2010 , 24.62 , 24.29 , 24.49 , 24.61 
4 , 12 , 2010 , 24.81 , 24.30 , 24.59 , 24.81 
4 , 13 , 2010 , 25.02 , 24.71 , 24.73 , 25.02 
4 , 14 , 2010 , 25.24 , 24.99 , 25.06 , 25.24 
4 , 15 , 2010 , 25.42 , 25.10 , 25.18 , 25.34 
4 , 16 , 2010 , 25.53 , 25.17 , 25.31 , 25.37 
4 , 19 , 2010 , 25.44 , 25.07 , 25.21 , 25.40 
4 , 20 , 2010 , 25.84 , 25.31 , 25.52 , 25.84 
4 , 21 , 2010 , 25.89 , 25.51 , 25.79 , 25.76 
4 , 22 , 2010 , 26.35 , 25.51 , 25.68 , 26.31 
4 , 23 , 2010 , 27.00 , 26.21 , 26.46 , 26.51 
4 , 26 , 2010 , 26.65 , 26.38 , 26.55 , 26.44 
4 , 27 , 2010 , 26.79 , 26.02 , 26.40 , 26.06 
4 , 28 , 2010 , 26.29 , 25.71 , 26.21 , 25.81 
4 , 29 , 2010 , 26.56 , 25.80 , 25.88 , 26.56 
4 , 30 , 2010 , 26.56 , 26.22 , 26.44 , 26.27 
5 , 3 , 2010 , 26.61 , 26.30 , 26.34 , 26.59 
5 , 4 , 2010 , 26.53 , 26.26 , 26.31 , 26.41 
5 , 5 , 2010 , 26.50 , 25.74 , 26.16 , 25.87 
5 , 6 , 2010 , 25.85 , 22.63 , 25.68 , 24.58 
5 , 7 , 2010 , 24.73 , 24.03 , 24.62 , 24.29 
5 , 10 , 2010 , 25.24 , 24.60 , 25.24 , 25.19 
5 , 11 , 2010 , 25.58 , 24.91 , 24.96 , 25.29 
5 , 12 , 2010 , 25.54 , 25.14 , 25.39 , 25.46 
