Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 12.69 , 12.45 , 12.50 , 12.66 
3 , 18 , 2010 , 12.77 , 12.53 , 12.67 , 12.63 
3 , 19 , 2010 , 12.71 , 12.37 , 12.67 , 12.49 
3 , 22 , 2010 , 12.82 , 12.39 , 12.44 , 12.78 
3 , 23 , 2010 , 13.32 , 12.80 , 12.82 , 13.24 
3 , 24 , 2010 , 13.23 , 12.91 , 13.18 , 13.00 
3 , 25 , 2010 , 13.38 , 13.09 , 13.12 , 13.16 
3 , 26 , 2010 , 13.45 , 13.01 , 13.28 , 13.21 
3 , 29 , 2010 , 13.45 , 13.22 , 13.28 , 13.31 
3 , 30 , 2010 , 13.60 , 13.23 , 13.38 , 13.45 
3 , 31 , 2010 , 13.75 , 13.43 , 13.44 , 13.47 
4 , 1 , 2010 , 13.73 , 13.27 , 13.63 , 13.35 
4 , 5 , 2010 , 13.61 , 13.37 , 13.42 , 13.52 
4 , 6 , 2010 , 13.56 , 13.39 , 13.43 , 13.48 
4 , 7 , 2010 , 13.71 , 13.37 , 13.47 , 13.58 
4 , 8 , 2010 , 13.50 , 13.30 , 13.50 , 13.34 
4 , 9 , 2010 , 13.47 , 13.31 , 13.36 , 13.47 
4 , 12 , 2010 , 13.74 , 13.42 , 13.50 , 13.63 
4 , 13 , 2010 , 13.84 , 13.56 , 13.60 , 13.80 
4 , 14 , 2010 , 14.50 , 14.00 , 14.04 , 14.41 
4 , 15 , 2010 , 14.49 , 14.26 , 14.45 , 14.34 
4 , 16 , 2010 , 14.45 , 14.18 , 14.27 , 14.36 
4 , 19 , 2010 , 14.39 , 13.99 , 14.26 , 14.30 
4 , 20 , 2010 , 14.46 , 14.23 , 14.37 , 14.46 
4 , 21 , 2010 , 14.50 , 14.12 , 14.47 , 14.43 
4 , 22 , 2010 , 14.41 , 13.97 , 14.22 , 14.37 
4 , 23 , 2010 , 14.48 , 14.18 , 14.37 , 14.47 
4 , 26 , 2010 , 14.57 , 14.30 , 14.45 , 14.36 
4 , 27 , 2010 , 14.39 , 13.90 , 14.31 , 13.93 
4 , 28 , 2010 , 14.16 , 13.85 , 14.02 , 14.05 
4 , 29 , 2010 , 14.28 , 14.01 , 14.10 , 14.26 
4 , 30 , 2010 , 14.31 , 13.76 , 14.31 , 13.78 
5 , 3 , 2010 , 14.10 , 13.77 , 13.85 , 14.00 
5 , 4 , 2010 , 13.82 , 13.18 , 13.82 , 13.39 
5 , 5 , 2010 , 13.48 , 13.08 , 13.27 , 13.22 
5 , 6 , 2010 , 13.36 , 11.99 , 13.12 , 12.71 
5 , 7 , 2010 , 12.74 , 12.03 , 12.64 , 12.50 
5 , 10 , 2010 , 13.39 , 12.85 , 12.99 , 13.19 
5 , 11 , 2010 , 13.61 , 12.96 , 13.03 , 13.36 
5 , 12 , 2010 , 13.81 , 13.39 , 13.44 , 13.77 
5 , 13 , 2010 , 13.76 , 13.15 , 13.68 , 13.23 
5 , 14 , 2010 , 13.16 , 12.75 , 13.16 , 12.95 
5 , 17 , 2010 , 13.24 , 12.80 , 12.96 , 13.18 
5 , 18 , 2010 , 13.45 , 12.88 , 13.37 , 12.94 
5 , 19 , 2010 , 13.21 , 12.78 , 12.90 , 13.02 
5 , 20 , 2010 , 13.04 , 12.34 , 12.50 , 12.69 
5 , 21 , 2010 , 12.92 , 12.30 , 12.32 , 12.72 
5 , 24 , 2010 , 12.70 , 12.41 , 12.53 , 12.49 
5 , 25 , 2010 , 12.69 , 12.05 , 12.14 , 12.67 
5 , 26 , 2010 , 12.94 , 12.52 , 12.75 , 12.52 
5 , 27 , 2010 , 13.11 , 12.80 , 12.80 , 13.07 
5 , 28 , 2010 , 13.10 , 12.75 , 13.01 , 12.92 
6 , 1 , 2010 , 13.00 , 12.58 , 12.83 , 12.59 
6 , 2 , 2010 , 12.87 , 12.53 , 12.67 , 12.85 
6 , 3 , 2010 , 13.08 , 12.79 , 12.87 , 13.03 
6 , 4 , 2010 , 12.99 , 12.50 , 12.69 , 12.57 
6 , 7 , 2010 , 12.73 , 12.17 , 12.60 , 12.18 
6 , 8 , 2010 , 12.36 , 11.98 , 12.23 , 12.34 
6 , 9 , 2010 , 12.67 , 12.13 , 12.41 , 12.19 
6 , 10 , 2010 , 12.63 , 12.32 , 12.40 , 12.53 
6 , 11 , 2010 , 12.78 , 12.37 , 12.40 , 12.69 
6 , 14 , 2010 , 12.92 , 12.66 , 12.80 , 12.69 
6 , 15 , 2010 , 13.30 , 12.66 , 12.71 , 13.26 
6 , 16 , 2010 , 13.49 , 13.10 , 13.20 , 13.39 
6 , 17 , 2010 , 13.50 , 13.09 , 13.50 , 13.40 
6 , 18 , 2010 , 13.50 , 13.25 , 13.40 , 13.34 
6 , 21 , 2010 , 13.54 , 13.16 , 13.52 , 13.26 
6 , 22 , 2010 , 13.50 , 13.01 , 13.32 , 13.06 
6 , 23 , 2010 , 13.30 , 12.90 , 13.13 , 13.12 
6 , 24 , 2010 , 13.07 , 12.67 , 13.03 , 12.76 
6 , 25 , 2010 , 13.01 , 12.50 , 12.76 , 12.95 
6 , 28 , 2010 , 12.99 , 12.67 , 12.88 , 12.83 
6 , 29 , 2010 , 12.65 , 12.25 , 12.65 , 12.32 
6 , 30 , 2010 , 12.47 , 12.00 , 12.30 , 12.02 
7 , 1 , 2010 , 12.18 , 11.73 , 12.01 , 12.00 
7 , 2 , 2010 , 12.11 , 11.76 , 12.03 , 12.00 
7 , 6 , 2010 , 12.17 , 11.61 , 12.12 , 11.78 
7 , 7 , 2010 , 12.21 , 11.72 , 11.80 , 12.19 
7 , 8 , 2010 , 12.31 , 11.92 , 12.30 , 12.11 
7 , 9 , 2010 , 12.31 , 12.01 , 12.15 , 12.30 
7 , 12 , 2010 , 12.47 , 12.18 , 12.20 , 12.31 
7 , 13 , 2010 , 12.62 , 12.46 , 12.50 , 12.52 
7 , 14 , 2010 , 12.78 , 12.46 , 12.67 , 12.53 
7 , 15 , 2010 , 12.57 , 12.27 , 12.51 , 12.46 
7 , 16 , 2010 , 12.45 , 12.18 , 12.42 , 12.19 
7 , 19 , 2010 , 12.40 , 12.19 , 12.25 , 12.38 
7 , 20 , 2010 , 12.37 , 11.89 , 12.12 , 12.34 
7 , 21 , 2010 , 12.71 , 12.17 , 12.60 , 12.20 
7 , 22 , 2010 , 12.61 , 12.33 , 12.34 , 12.45 
7 , 23 , 2010 , 12.55 , 12.25 , 12.39 , 12.51 
7 , 26 , 2010 , 12.64 , 12.29 , 12.49 , 12.56 
7 , 27 , 2010 , 12.67 , 12.30 , 12.58 , 12.61 
7 , 28 , 2010 , 12.65 , 12.26 , 12.63 , 12.35 
7 , 29 , 2010 , 12.39 , 11.78 , 12.35 , 11.94 
7 , 30 , 2010 , 11.92 , 11.66 , 11.89 , 11.80 
8 , 2 , 2010 , 12.15 , 11.94 , 12.00 , 12.01 
8 , 3 , 2010 , 11.91 , 11.65 , 11.87 , 11.82 
8 , 4 , 2010 , 12.02 , 11.65 , 11.88 , 11.87 
8 , 5 , 2010 , 11.97 , 11.70 , 11.86 , 11.81 
8 , 6 , 2010 , 11.87 , 11.66 , 11.70 , 11.84 
8 , 9 , 2010 , 11.97 , 11.73 , 11.96 , 11.87 
8 , 10 , 2010 , 11.81 , 11.39 , 11.76 , 11.53 
8 , 11 , 2010 , 11.37 , 11.11 , 11.37 , 11.21 
8 , 12 , 2010 , 11.22 , 10.94 , 10.99 , 11.16 
8 , 13 , 2010 , 11.34 , 11.11 , 11.12 , 11.17 
8 , 16 , 2010 , 11.37 , 11.03 , 11.11 , 11.21 
8 , 17 , 2010 , 11.47 , 11.25 , 11.35 , 11.39 
8 , 18 , 2010 , 11.53 , 11.28 , 11.35 , 11.38 
8 , 19 , 2010 , 11.62 , 11.29 , 11.44 , 11.36 
8 , 20 , 2010 , 11.42 , 11.07 , 11.25 , 11.09 
8 , 23 , 2010 , 11.22 , 10.95 , 11.11 , 10.99 
8 , 24 , 2010 , 10.90 , 10.59 , 10.82 , 10.59 
8 , 25 , 2010 , 10.77 , 10.33 , 10.49 , 10.71 
8 , 26 , 2010 , 10.81 , 10.51 , 10.75 , 10.53 
8 , 27 , 2010 , 10.78 , 10.30 , 10.58 , 10.69 
8 , 30 , 2010 , 10.74 , 10.47 , 10.67 , 10.47 
8 , 31 , 2010 , 10.60 , 10.27 , 10.44 , 10.37 
9 , 1 , 2010 , 10.90 , 10.50 , 10.51 , 10.71 
9 , 2 , 2010 , 10.81 , 10.59 , 10.67 , 10.79 
9 , 3 , 2010 , 11.10 , 10.79 , 11.01 , 10.98 
9 , 7 , 2010 , 10.95 , 10.72 , 10.91 , 10.82 
9 , 8 , 2010 , 10.89 , 10.47 , 10.89 , 10.58 
9 , 9 , 2010 , 10.96 , 10.61 , 10.71 , 10.78 
9 , 10 , 2010 , 10.91 , 10.54 , 10.77 , 10.68 
9 , 13 , 2010 , 10.87 , 10.71 , 10.74 , 10.78 
9 , 14 , 2010 , 11.19 , 10.72 , 10.79 , 11.11 
9 , 15 , 2010 , 11.09 , 10.86 , 11.06 , 11.04 
