Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 9.74 , 9.42 , 9.47 , 9.67 
3 , 18 , 2010 , 9.66 , 9.26 , 9.62 , 9.39 
3 , 19 , 2010 , 9.41 , 9.10 , 9.38 , 9.11 
3 , 22 , 2010 , 9.32 , 8.79 , 8.91 , 9.31 
3 , 23 , 2010 , 9.49 , 9.26 , 9.34 , 9.45 
3 , 24 , 2010 , 9.38 , 9.20 , 9.38 , 9.23 
3 , 25 , 2010 , 9.44 , 9.02 , 9.35 , 9.03 
3 , 26 , 2010 , 9.19 , 8.91 , 9.11 , 9.02 
3 , 29 , 2010 , 9.20 , 9.06 , 9.08 , 9.11 
3 , 30 , 2010 , 9.28 , 9.09 , 9.21 , 9.27 
3 , 31 , 2010 , 9.44 , 9.13 , 9.15 , 9.27 
4 , 1 , 2010 , 9.49 , 9.22 , 9.34 , 9.37 
4 , 5 , 2010 , 9.54 , 9.42 , 9.47 , 9.53 
4 , 6 , 2010 , 9.49 , 9.18 , 9.44 , 9.35 
4 , 7 , 2010 , 9.83 , 9.25 , 9.38 , 9.66 
4 , 8 , 2010 , 9.63 , 9.33 , 9.63 , 9.42 
4 , 9 , 2010 , 9.58 , 9.28 , 9.49 , 9.30 
4 , 12 , 2010 , 9.53 , 9.35 , 9.37 , 9.42 
4 , 13 , 2010 , 9.59 , 9.35 , 9.42 , 9.56 
4 , 14 , 2010 , 9.97 , 9.71 , 9.82 , 9.89 
4 , 15 , 2010 , 10.24 , 9.90 , 9.97 , 10.16 
4 , 16 , 2010 , 9.90 , 9.37 , 9.78 , 9.81 
4 , 19 , 2010 , 9.84 , 9.29 , 9.73 , 9.58 
4 , 20 , 2010 , 9.81 , 9.63 , 9.74 , 9.77 
4 , 21 , 2010 , 9.91 , 9.49 , 9.80 , 9.78 
4 , 22 , 2010 , 9.90 , 9.45 , 9.57 , 9.86 
4 , 23 , 2010 , 9.85 , 9.61 , 9.81 , 9.76 
