Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 57.43 , 56.90 , 57.36 , 57.43 
3 , 18 , 2010 , 58.44 , 57.16 , 57.41 , 58.31 
3 , 19 , 2010 , 60.13 , 57.65 , 58.92 , 60.00 
3 , 22 , 2010 , 60.39 , 59.50 , 59.61 , 60.09 
3 , 23 , 2010 , 60.08 , 59.61 , 59.91 , 60.06 
3 , 24 , 2010 , 60.00 , 58.96 , 59.79 , 59.07 
3 , 25 , 2010 , 59.79 , 59.00 , 59.16 , 59.26 
3 , 26 , 2010 , 59.92 , 59.00 , 59.34 , 59.41 
3 , 29 , 2010 , 60.15 , 59.61 , 59.70 , 59.91 
3 , 30 , 2010 , 60.27 , 59.56 , 59.81 , 60.09 
3 , 31 , 2010 , 60.22 , 59.69 , 60.00 , 59.84 
4 , 1 , 2010 , 60.94 , 59.95 , 59.95 , 60.80 
4 , 5 , 2010 , 60.89 , 60.27 , 60.59 , 60.42 
4 , 6 , 2010 , 60.49 , 59.84 , 60.25 , 60.29 
4 , 7 , 2010 , 60.76 , 60.08 , 60.29 , 60.35 
4 , 8 , 2010 , 60.83 , 59.87 , 60.41 , 60.52 
4 , 9 , 2010 , 60.92 , 60.26 , 60.26 , 60.90 
4 , 12 , 2010 , 60.90 , 60.17 , 60.66 , 60.37 
4 , 13 , 2010 , 60.90 , 59.93 , 59.93 , 60.68 
4 , 14 , 2010 , 61.20 , 60.38 , 60.42 , 61.14 
4 , 15 , 2010 , 61.07 , 60.45 , 60.87 , 60.64 
4 , 16 , 2010 , 61.06 , 60.04 , 60.68 , 60.72 
4 , 19 , 2010 , 61.26 , 60.16 , 60.29 , 61.07 
4 , 20 , 2010 , 61.10 , 59.90 , 61.10 , 60.18 
4 , 21 , 2010 , 60.00 , 58.11 , 59.85 , 58.71 
4 , 22 , 2010 , 58.73 , 57.03 , 57.81 , 58.16 
4 , 23 , 2010 , 59.00 , 57.76 , 58.09 , 58.88 
4 , 26 , 2010 , 59.20 , 58.41 , 58.98 , 58.43 
4 , 27 , 2010 , 58.92 , 57.78 , 58.20 , 57.84 
4 , 28 , 2010 , 58.56 , 57.78 , 57.92 , 58.18 
4 , 29 , 2010 , 59.05 , 58.07 , 58.38 , 58.59 
4 , 30 , 2010 , 59.03 , 57.29 , 58.88 , 57.31 
5 , 3 , 2010 , 57.95 , 57.13 , 57.45 , 57.59 
5 , 4 , 2010 , 57.23 , 55.91 , 57.11 , 56.83 
5 , 5 , 2010 , 57.35 , 56.30 , 56.94 , 56.60 
5 , 6 , 2010 , 56.49 , 52.80 , 56.43 , 54.75 
5 , 7 , 2010 , 55.28 , 53.52 , 54.53 , 54.46 
5 , 10 , 2010 , 56.95 , 55.16 , 55.30 , 55.58 
5 , 11 , 2010 , 56.74 , 55.00 , 55.29 , 55.93 
5 , 12 , 2010 , 56.84 , 55.52 , 55.92 , 56.60 
5 , 13 , 2010 , 56.51 , 55.78 , 56.36 , 55.88 
5 , 14 , 2010 , 55.88 , 54.21 , 55.70 , 54.69 
5 , 17 , 2010 , 55.38 , 53.88 , 55.38 , 54.81 
5 , 18 , 2010 , 55.35 , 54.56 , 54.93 , 54.67 
5 , 19 , 2010 , 55.76 , 54.34 , 54.50 , 55.26 
5 , 20 , 2010 , 54.74 , 52.84 , 54.18 , 52.94 
5 , 21 , 2010 , 53.49 , 51.82 , 52.19 , 52.44 
5 , 24 , 2010 , 53.15 , 51.63 , 52.01 , 52.66 
5 , 25 , 2010 , 52.66 , 51.17 , 51.95 , 52.55 
5 , 26 , 2010 , 52.44 , 50.32 , 52.28 , 50.36 
5 , 27 , 2010 , 51.45 , 50.66 , 51.03 , 51.43 
5 , 28 , 2010 , 52.23 , 51.46 , 51.75 , 51.78 
6 , 1 , 2010 , 52.39 , 50.75 , 51.72 , 50.76 
6 , 2 , 2010 , 56.32 , 53.31 , 53.55 , 56.09 
6 , 3 , 2010 , 56.03 , 54.94 , 55.89 , 55.64 
6 , 4 , 2010 , 55.36 , 54.15 , 54.82 , 54.34 
6 , 7 , 2010 , 54.21 , 53.20 , 54.17 , 53.51 
6 , 8 , 2010 , 53.89 , 52.96 , 53.52 , 53.82 
6 , 9 , 2010 , 54.06 , 52.94 , 53.85 , 53.15 
6 , 10 , 2010 , 54.29 , 53.28 , 53.61 , 54.01 
6 , 11 , 2010 , 54.46 , 53.53 , 53.63 , 54.10 
6 , 14 , 2010 , 54.82 , 54.03 , 54.21 , 54.07 
6 , 15 , 2010 , 55.16 , 54.08 , 54.16 , 55.12 
6 , 16 , 2010 , 55.52 , 54.70 , 54.88 , 55.22 
6 , 17 , 2010 , 55.45 , 54.51 , 55.19 , 55.44 
6 , 18 , 2010 , 55.82 , 54.60 , 55.44 , 55.20 
6 , 21 , 2010 , 58.32 , 56.31 , 56.86 , 56.52 
6 , 22 , 2010 , 57.20 , 56.04 , 56.34 , 56.12 
6 , 23 , 2010 , 56.64 , 55.37 , 55.76 , 56.20 
6 , 24 , 2010 , 56.78 , 55.72 , 55.91 , 56.15 
6 , 25 , 2010 , 57.08 , 55.50 , 56.61 , 56.26 
6 , 28 , 2010 , 56.09 , 55.00 , 56.05 , 55.41 
6 , 29 , 2010 , 54.96 , 53.83 , 54.83 , 54.12 
6 , 30 , 2010 , 54.49 , 52.60 , 53.87 , 52.60 
7 , 1 , 2010 , 52.59 , 51.00 , 52.59 , 52.02 
7 , 2 , 2010 , 52.50 , 51.41 , 52.01 , 51.70 
7 , 6 , 2010 , 52.24 , 50.75 , 52.04 , 51.30 
7 , 7 , 2010 , 51.90 , 50.56 , 51.76 , 51.40 
7 , 8 , 2010 , 52.26 , 51.02 , 51.51 , 52.23 
7 , 9 , 2010 , 52.61 , 51.90 , 52.35 , 52.56 
7 , 12 , 2010 , 52.56 , 51.90 , 52.24 , 52.44 
7 , 13 , 2010 , 53.29 , 52.54 , 52.66 , 52.76 
7 , 14 , 2010 , 53.00 , 52.28 , 52.30 , 52.62 
7 , 15 , 2010 , 53.22 , 52.29 , 52.54 , 52.92 
7 , 16 , 2010 , 53.13 , 51.93 , 52.91 , 52.17 
7 , 19 , 2010 , 53.61 , 52.31 , 52.46 , 53.60 
7 , 20 , 2010 , 53.20 , 52.08 , 52.96 , 53.20 
7 , 21 , 2010 , 53.31 , 52.09 , 53.10 , 52.25 
7 , 22 , 2010 , 53.83 , 52.62 , 52.62 , 53.31 
7 , 23 , 2010 , 53.18 , 51.61 , 53.02 , 52.75 
7 , 26 , 2010 , 53.89 , 52.58 , 52.58 , 53.67 
7 , 27 , 2010 , 55.06 , 53.78 , 53.92 , 54.51 
7 , 28 , 2010 , 54.68 , 52.76 , 54.60 , 53.76 
7 , 29 , 2010 , 54.40 , 52.83 , 54.14 , 53.37 
7 , 30 , 2010 , 55.04 , 52.43 , 53.21 , 54.53 
8 , 2 , 2010 , 55.34 , 54.68 , 55.25 , 54.87 
8 , 3 , 2010 , 55.28 , 54.49 , 54.52 , 54.71 
8 , 4 , 2010 , 55.96 , 54.68 , 55.01 , 55.76 
8 , 5 , 2010 , 55.61 , 55.17 , 55.38 , 55.32 
8 , 6 , 2010 , 56.00 , 54.52 , 54.71 , 55.94 
8 , 9 , 2010 , 56.00 , 55.42 , 55.97 , 55.66 
8 , 10 , 2010 , 56.14 , 54.83 , 55.37 , 55.72 
8 , 11 , 2010 , 54.90 , 53.50 , 54.75 , 53.69 
8 , 12 , 2010 , 54.98 , 53.04 , 53.63 , 54.75 
8 , 13 , 2010 , 55.36 , 54.18 , 54.39 , 55.02 
8 , 16 , 2010 , 54.60 , 53.57 , 54.23 , 54.08 
8 , 17 , 2010 , 54.38 , 53.69 , 53.78 , 53.96 
8 , 18 , 2010 , 54.30 , 53.15 , 53.69 , 54.14 
8 , 19 , 2010 , 53.99 , 52.29 , 53.91 , 52.72 
8 , 20 , 2010 , 52.67 , 52.07 , 52.55 , 52.34 
8 , 23 , 2010 , 52.97 , 51.93 , 52.47 , 51.95 
8 , 24 , 2010 , 51.70 , 50.91 , 51.70 , 51.06 
8 , 25 , 2010 , 52.02 , 50.71 , 50.88 , 51.84 
8 , 26 , 2010 , 52.07 , 50.73 , 51.96 , 50.93 
8 , 27 , 2010 , 52.41 , 50.26 , 51.00 , 52.08 
8 , 30 , 2010 , 52.58 , 51.63 , 51.98 , 51.63 
8 , 31 , 2010 , 51.66 , 50.85 , 51.39 , 51.04 
9 , 1 , 2010 , 52.75 , 51.28 , 51.61 , 52.59 
9 , 2 , 2010 , 52.66 , 52.18 , 52.59 , 52.51 
9 , 3 , 2010 , 53.07 , 52.57 , 52.57 , 52.91 
9 , 7 , 2010 , 52.87 , 52.31 , 52.65 , 52.51 
9 , 8 , 2010 , 53.14 , 52.26 , 52.47 , 52.94 
9 , 9 , 2010 , 53.90 , 53.18 , 53.33 , 53.79 
9 , 10 , 2010 , 54.62 , 53.70 , 53.86 , 54.35 
9 , 13 , 2010 , 54.75 , 54.10 , 54.74 , 54.40 
