Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 45.05 , 44.05 , 44.28 , 44.88 
3 , 18 , 2010 , 45.10 , 44.54 , 44.71 , 44.82 
3 , 19 , 2010 , 45.22 , 44.06 , 45.06 , 44.18 
3 , 22 , 2010 , 44.45 , 43.16 , 43.75 , 44.39 
3 , 23 , 2010 , 44.84 , 44.05 , 44.28 , 44.69 
3 , 24 , 2010 , 44.91 , 44.25 , 44.44 , 44.68 
3 , 25 , 2010 , 45.88 , 44.68 , 45.00 , 44.70 
3 , 26 , 2010 , 44.76 , 43.72 , 44.56 , 43.96 
3 , 29 , 2010 , 44.55 , 43.95 , 44.18 , 44.50 
3 , 30 , 2010 , 45.45 , 44.34 , 44.50 , 45.27 
3 , 31 , 2010 , 45.63 , 44.90 , 44.96 , 45.36 
4 , 1 , 2010 , 46.17 , 45.55 , 45.91 , 46.17 
4 , 5 , 2010 , 46.60 , 45.82 , 46.27 , 46.24 
4 , 6 , 2010 , 46.09 , 45.55 , 46.02 , 45.99 
4 , 7 , 2010 , 45.97 , 45.05 , 45.73 , 45.29 
4 , 8 , 2010 , 46.07 , 45.03 , 45.17 , 46.01 
4 , 9 , 2010 , 46.32 , 45.85 , 46.32 , 46.16 
4 , 12 , 2010 , 46.79 , 46.12 , 46.12 , 46.72 
4 , 13 , 2010 , 47.67 , 46.42 , 46.53 , 47.59 
4 , 14 , 2010 , 48.40 , 47.60 , 47.89 , 48.33 
4 , 15 , 2010 , 48.35 , 47.93 , 48.16 , 48.22 
4 , 16 , 2010 , 48.26 , 46.51 , 47.93 , 47.12 
4 , 19 , 2010 , 47.91 , 46.54 , 46.81 , 47.67 
4 , 20 , 2010 , 48.46 , 47.58 , 48.03 , 48.45 
4 , 21 , 2010 , 48.57 , 47.78 , 48.26 , 48.37 
4 , 22 , 2010 , 48.71 , 47.44 , 47.94 , 48.58 
4 , 23 , 2010 , 49.31 , 48.22 , 48.40 , 49.05 
4 , 26 , 2010 , 49.54 , 48.45 , 48.98 , 48.51 
4 , 27 , 2010 , 47.26 , 44.68 , 46.89 , 44.93 
4 , 28 , 2010 , 46.90 , 45.44 , 45.44 , 46.47 
4 , 29 , 2010 , 48.25 , 46.80 , 46.94 , 48.10 
4 , 30 , 2010 , 48.13 , 46.35 , 47.92 , 46.36 
5 , 3 , 2010 , 47.62 , 46.62 , 46.67 , 47.50 
5 , 4 , 2010 , 47.08 , 45.60 , 46.60 , 45.92 
5 , 5 , 2010 , 46.40 , 44.86 , 44.98 , 45.51 
5 , 6 , 2010 , 46.02 , 40.56 , 45.28 , 43.68 
5 , 7 , 2010 , 44.11 , 42.07 , 43.67 , 42.54 
5 , 10 , 2010 , 45.68 , 44.18 , 44.43 , 45.65 
5 , 11 , 2010 , 47.17 , 45.07 , 45.07 , 46.18 
5 , 12 , 2010 , 46.46 , 45.74 , 46.34 , 46.32 
5 , 13 , 2010 , 46.14 , 45.25 , 46.09 , 45.25 
5 , 14 , 2010 , 44.75 , 42.84 , 44.75 , 43.39 
5 , 17 , 2010 , 44.02 , 42.24 , 43.40 , 43.18 
5 , 18 , 2010 , 43.94 , 41.12 , 43.66 , 41.41 
5 , 19 , 2010 , 41.80 , 40.55 , 41.14 , 41.24 
5 , 20 , 2010 , 40.41 , 38.14 , 40.05 , 38.51 
5 , 21 , 2010 , 40.47 , 37.39 , 37.83 , 40.41 
5 , 24 , 2010 , 40.45 , 38.92 , 40.45 , 39.01 
5 , 25 , 2010 , 38.53 , 36.82 , 38.14 , 38.45 
5 , 26 , 2010 , 39.83 , 38.66 , 39.08 , 38.72 
5 , 27 , 2010 , 40.99 , 39.13 , 39.49 , 40.94 
5 , 28 , 2010 , 40.86 , 39.54 , 40.79 , 39.79 
6 , 1 , 2010 , 39.68 , 38.72 , 39.38 , 38.79 
6 , 2 , 2010 , 40.34 , 38.46 , 39.11 , 40.30 
6 , 3 , 2010 , 40.57 , 39.61 , 40.31 , 40.24 
6 , 4 , 2010 , 39.51 , 38.26 , 39.22 , 38.41 
6 , 7 , 2010 , 38.98 , 37.50 , 38.59 , 37.53 
6 , 8 , 2010 , 38.23 , 36.73 , 37.69 , 38.12 
6 , 9 , 2010 , 39.32 , 37.75 , 38.42 , 37.89 
6 , 10 , 2010 , 39.15 , 38.13 , 38.40 , 39.07 
6 , 11 , 2010 , 39.53 , 38.62 , 38.64 , 39.47 
6 , 14 , 2010 , 40.45 , 39.44 , 39.78 , 39.48 
6 , 15 , 2010 , 40.63 , 39.65 , 39.90 , 40.55 
6 , 16 , 2010 , 41.06 , 40.03 , 40.03 , 40.74 
6 , 17 , 2010 , 40.96 , 39.41 , 40.96 , 39.93 
6 , 18 , 2010 , 40.09 , 39.55 , 40.09 , 39.76 
6 , 21 , 2010 , 40.72 , 39.58 , 40.36 , 39.75 
6 , 22 , 2010 , 40.28 , 39.05 , 39.74 , 39.11 
6 , 23 , 2010 , 39.35 , 38.45 , 39.24 , 38.65 
6 , 24 , 2010 , 38.56 , 37.65 , 38.41 , 37.76 
6 , 25 , 2010 , 38.72 , 37.49 , 38.16 , 38.49 
6 , 28 , 2010 , 38.64 , 37.94 , 38.57 , 38.05 
6 , 29 , 2010 , 38.02 , 35.85 , 38.02 , 35.99 
6 , 30 , 2010 , 36.87 , 36.03 , 36.10 , 36.13 
7 , 1 , 2010 , 36.38 , 34.68 , 36.05 , 35.83 
7 , 2 , 2010 , 36.53 , 35.70 , 36.17 , 36.18 
7 , 6 , 2010 , 37.42 , 36.05 , 36.89 , 36.47 
7 , 7 , 2010 , 38.16 , 36.62 , 36.66 , 38.14 
7 , 8 , 2010 , 39.33 , 37.72 , 38.69 , 38.22 
7 , 9 , 2010 , 39.09 , 37.94 , 38.23 , 39.00 
7 , 12 , 2010 , 38.85 , 38.14 , 38.85 , 38.61 
7 , 13 , 2010 , 39.74 , 39.02 , 39.06 , 39.58 
7 , 14 , 2010 , 39.62 , 38.88 , 39.31 , 39.42 
7 , 15 , 2010 , 39.65 , 38.48 , 39.46 , 39.20 
7 , 16 , 2010 , 38.92 , 37.41 , 38.67 , 37.55 
7 , 19 , 2010 , 37.81 , 36.96 , 37.66 , 37.70 
7 , 20 , 2010 , 38.41 , 36.81 , 36.90 , 38.38 
7 , 21 , 2010 , 39.01 , 37.17 , 39.01 , 37.31 
7 , 22 , 2010 , 39.00 , 37.76 , 37.83 , 38.83 
7 , 23 , 2010 , 39.10 , 38.25 , 38.65 , 38.65 
7 , 26 , 2010 , 38.76 , 38.15 , 38.73 , 38.50 
