Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 43.94 , 43.61 , 43.92 , 43.90 
3 , 18 , 2010 , 44.15 , 43.39 , 43.90 , 43.66 
3 , 19 , 2010 , 44.07 , 43.64 , 43.64 , 43.94 
3 , 22 , 2010 , 44.11 , 43.46 , 43.62 , 43.90 
3 , 23 , 2010 , 44.33 , 43.85 , 43.95 , 44.22 
3 , 24 , 2010 , 44.50 , 43.60 , 44.21 , 44.12 
3 , 25 , 2010 , 44.27 , 41.98 , 44.20 , 42.11 
3 , 26 , 2010 , 42.46 , 41.01 , 42.22 , 41.30 
3 , 29 , 2010 , 42.65 , 41.54 , 41.54 , 42.42 
3 , 30 , 2010 , 42.52 , 42.15 , 42.21 , 42.43 
3 , 31 , 2010 , 42.78 , 42.06 , 42.25 , 42.26 
4 , 1 , 2010 , 42.94 , 42.02 , 42.56 , 42.35 
4 , 5 , 2010 , 43.09 , 42.34 , 42.42 , 42.97 
4 , 6 , 2010 , 42.84 , 42.41 , 42.84 , 42.46 
4 , 7 , 2010 , 42.32 , 41.25 , 42.32 , 41.48 
4 , 8 , 2010 , 41.72 , 41.17 , 41.70 , 41.68 
4 , 9 , 2010 , 42.43 , 41.67 , 41.72 , 42.27 
4 , 12 , 2010 , 42.63 , 41.85 , 42.40 , 42.00 
4 , 13 , 2010 , 41.94 , 41.27 , 41.89 , 41.80 
4 , 14 , 2010 , 41.93 , 41.25 , 41.76 , 41.76 
4 , 15 , 2010 , 41.88 , 41.28 , 41.64 , 41.68 
4 , 16 , 2010 , 41.84 , 40.85 , 41.56 , 41.62 
4 , 19 , 2010 , 41.73 , 40.86 , 41.50 , 41.19 
4 , 20 , 2010 , 41.97 , 41.32 , 41.49 , 41.83 
4 , 21 , 2010 , 42.02 , 41.45 , 42.02 , 41.67 
4 , 22 , 2010 , 41.87 , 41.09 , 41.28 , 41.82 
4 , 23 , 2010 , 42.06 , 41.40 , 41.80 , 42.02 
4 , 26 , 2010 , 42.14 , 41.43 , 42.03 , 41.51 
4 , 27 , 2010 , 41.40 , 40.74 , 41.30 , 40.79 
4 , 28 , 2010 , 41.12 , 40.20 , 40.96 , 40.44 
4 , 29 , 2010 , 41.05 , 40.45 , 40.59 , 40.70 
4 , 30 , 2010 , 41.50 , 40.46 , 40.84 , 40.46 
5 , 3 , 2010 , 41.19 , 40.58 , 40.87 , 40.93 
5 , 4 , 2010 , 41.06 , 39.65 , 40.57 , 40.66 
5 , 5 , 2010 , 40.82 , 40.16 , 40.17 , 40.53 
5 , 6 , 2010 , 40.82 , 37.75 , 40.40 , 39.68 
5 , 7 , 2010 , 39.92 , 37.96 , 39.43 , 38.51 
5 , 10 , 2010 , 40.87 , 39.50 , 39.88 , 40.51 
5 , 11 , 2010 , 41.29 , 40.30 , 40.80 , 40.62 
5 , 12 , 2010 , 41.46 , 40.72 , 40.83 , 41.37 
5 , 13 , 2010 , 41.69 , 41.23 , 41.36 , 41.40 
5 , 14 , 2010 , 41.29 , 40.55 , 41.16 , 40.83 
5 , 17 , 2010 , 41.27 , 40.53 , 40.88 , 41.17 
5 , 18 , 2010 , 41.85 , 40.62 , 41.42 , 40.78 
5 , 19 , 2010 , 40.67 , 39.51 , 40.58 , 40.14 
5 , 20 , 2010 , 39.45 , 38.42 , 39.28 , 38.70 
5 , 21 , 2010 , 40.03 , 37.74 , 37.75 , 40.03 
5 , 24 , 2010 , 40.19 , 39.13 , 39.83 , 39.16 
5 , 25 , 2010 , 39.33 , 38.05 , 38.47 , 39.28 
5 , 26 , 2010 , 40.16 , 39.25 , 39.47 , 39.40 
5 , 27 , 2010 , 40.67 , 39.67 , 39.95 , 40.64 
5 , 28 , 2010 , 40.91 , 39.98 , 40.39 , 40.18 
6 , 1 , 2010 , 40.61 , 39.47 , 39.96 , 39.49 
6 , 2 , 2010 , 41.16 , 39.79 , 39.79 , 41.10 
6 , 3 , 2010 , 42.25 , 41.22 , 41.37 , 42.13 
6 , 4 , 2010 , 41.96 , 40.91 , 41.32 , 41.16 
6 , 7 , 2010 , 42.12 , 41.13 , 41.40 , 41.55 
6 , 8 , 2010 , 42.27 , 41.24 , 41.67 , 41.90 
6 , 9 , 2010 , 42.59 , 41.46 , 42.04 , 41.62 
6 , 10 , 2010 , 42.85 , 42.01 , 42.14 , 42.84 
6 , 11 , 2010 , 44.01 , 42.37 , 42.37 , 43.87 
6 , 14 , 2010 , 44.63 , 43.22 , 43.97 , 43.32 
6 , 15 , 2010 , 44.11 , 43.42 , 43.53 , 44.04 
6 , 16 , 2010 , 44.60 , 43.60 , 43.65 , 44.35 
6 , 17 , 2010 , 44.65 , 44.16 , 44.51 , 44.62 
6 , 18 , 2010 , 44.95 , 44.52 , 44.66 , 44.72 
6 , 21 , 2010 , 45.86 , 44.56 , 45.26 , 44.77 
6 , 22 , 2010 , 45.11 , 43.94 , 44.80 , 44.02 
6 , 23 , 2010 , 44.85 , 43.50 , 44.06 , 44.36 
6 , 24 , 2010 , 44.40 , 43.15 , 44.24 , 43.19 
6 , 25 , 2010 , 44.10 , 43.16 , 43.34 , 43.63 
6 , 28 , 2010 , 45.37 , 43.84 , 43.85 , 44.98 
6 , 29 , 2010 , 44.57 , 43.78 , 44.39 , 44.16 
6 , 30 , 2010 , 44.87 , 43.88 , 44.08 , 44.15 
7 , 1 , 2010 , 44.43 , 42.91 , 43.98 , 43.74 
7 , 2 , 2010 , 44.07 , 43.02 , 43.94 , 43.35 
7 , 6 , 2010 , 45.00 , 43.75 , 43.99 , 44.76 
7 , 7 , 2010 , 46.56 , 44.83 , 45.08 , 46.53 
7 , 8 , 2010 , 46.86 , 45.64 , 46.79 , 46.04 
7 , 9 , 2010 , 46.47 , 45.46 , 45.96 , 45.66 
7 , 12 , 2010 , 45.60 , 44.73 , 45.38 , 44.97 
7 , 13 , 2010 , 45.62 , 44.89 , 45.48 , 45.25 
7 , 14 , 2010 , 45.59 , 44.90 , 45.50 , 45.43 
7 , 15 , 2010 , 45.53 , 44.72 , 45.29 , 45.20 
7 , 16 , 2010 , 45.08 , 43.67 , 44.95 , 43.84 
7 , 19 , 2010 , 44.01 , 43.39 , 43.95 , 43.78 
7 , 20 , 2010 , 46.40 , 44.27 , 44.28 , 46.23 
7 , 21 , 2010 , 46.40 , 44.84 , 46.38 , 45.27 
7 , 22 , 2010 , 46.15 , 45.49 , 45.79 , 46.04 
7 , 23 , 2010 , 46.42 , 45.37 , 46.01 , 46.42 
7 , 26 , 2010 , 46.57 , 45.62 , 46.57 , 45.95 
7 , 27 , 2010 , 46.26 , 44.90 , 46.21 , 45.26 
7 , 28 , 2010 , 45.81 , 45.06 , 45.17 , 45.36 
7 , 29 , 2010 , 45.93 , 44.98 , 45.58 , 45.18 
7 , 30 , 2010 , 46.06 , 44.38 , 44.72 , 45.89 
8 , 2 , 2010 , 46.74 , 45.75 , 46.46 , 46.34 
8 , 3 , 2010 , 46.46 , 45.61 , 46.26 , 46.11 
8 , 4 , 2010 , 46.69 , 46.05 , 46.10 , 46.59 
8 , 5 , 2010 , 46.71 , 46.07 , 46.42 , 46.61 
8 , 6 , 2010 , 47.07 , 45.78 , 46.31 , 46.40 
8 , 9 , 2010 , 46.92 , 46.17 , 46.64 , 46.40 
8 , 10 , 2010 , 46.57 , 45.72 , 46.10 , 46.32 
8 , 11 , 2010 , 45.56 , 44.82 , 45.55 , 44.87 
8 , 12 , 2010 , 45.76 , 43.92 , 44.16 , 45.54 
8 , 13 , 2010 , 45.71 , 45.18 , 45.45 , 45.41 
8 , 16 , 2010 , 45.71 , 44.79 , 45.06 , 45.69 
8 , 17 , 2010 , 47.11 , 45.65 , 45.90 , 47.06 
8 , 18 , 2010 , 47.98 , 46.66 , 47.12 , 47.67 
8 , 19 , 2010 , 47.63 , 46.81 , 47.45 , 47.14 
8 , 20 , 2010 , 47.41 , 46.39 , 47.16 , 47.08 
8 , 23 , 2010 , 47.37 , 46.56 , 47.00 , 46.59 
8 , 24 , 2010 , 46.41 , 45.67 , 46.01 , 45.87 
8 , 25 , 2010 , 46.91 , 45.43 , 45.44 , 46.81 
8 , 26 , 2010 , 47.51 , 46.60 , 46.90 , 46.75 
8 , 27 , 2010 , 47.32 , 46.19 , 47.22 , 47.01 
8 , 30 , 2010 , 46.99 , 46.11 , 46.85 , 46.11 
8 , 31 , 2010 , 46.69 , 45.73 , 45.77 , 46.51 
9 , 1 , 2010 , 47.25 , 46.69 , 46.97 , 46.90 
9 , 2 , 2010 , 47.50 , 46.87 , 46.87 , 47.49 
9 , 3 , 2010 , 48.00 , 47.29 , 47.82 , 47.87 
9 , 7 , 2010 , 48.17 , 47.38 , 47.85 , 48.02 
9 , 8 , 2010 , 49.27 , 47.90 , 48.06 , 49.01 
9 , 9 , 2010 , 49.60 , 48.36 , 49.55 , 48.74 
9 , 10 , 2010 , 48.93 , 48.30 , 48.76 , 48.72 
9 , 13 , 2010 , 49.20 , 48.64 , 49.01 , 48.65 
9 , 14 , 2010 , 48.87 , 48.30 , 48.53 , 48.38 
9 , 15 , 2010 , 48.83 , 48.03 , 48.32 , 48.53 
9 , 16 , 2010 , 48.70 , 48.00 , 48.41 , 48.01 
9 , 17 , 2010 , 48.94 , 48.27 , 48.38 , 48.92 
9 , 20 , 2010 , 49.83 , 48.96 , 49.15 , 49.72 
9 , 21 , 2010 , 50.67 , 49.58 , 49.75 , 50.13 
9 , 22 , 2010 , 50.53 , 49.88 , 50.16 , 50.15 
9 , 23 , 2010 , 50.50 , 49.49 , 49.69 , 50.23 
9 , 24 , 2010 , 51.41 , 50.49 , 50.77 , 51.34 
9 , 27 , 2010 , 51.74 , 50.86 , 51.28 , 51.47 
9 , 28 , 2010 , 51.87 , 50.86 , 51.50 , 51.76 
9 , 29 , 2010 , 51.85 , 51.20 , 51.46 , 51.44 
9 , 30 , 2010 , 51.97 , 50.89 , 51.75 , 50.91 
10 , 1 , 2010 , 51.38 , 50.80 , 51.10 , 51.27 
10 , 4 , 2010 , 51.49 , 50.51 , 51.24 , 50.71 
10 , 5 , 2010 , 51.99 , 51.04 , 51.08 , 51.53 
10 , 6 , 2010 , 51.70 , 49.96 , 51.59 , 50.40 
10 , 7 , 2010 , 51.28 , 49.96 , 50.68 , 50.06 
10 , 8 , 2010 , 50.21 , 49.78 , 50.18 , 50.02 
10 , 11 , 2010 , 50.11 , 49.51 , 50.02 , 49.66 
10 , 12 , 2010 , 50.50 , 49.03 , 49.44 , 50.27 
10 , 13 , 2010 , 50.82 , 50.30 , 50.57 , 50.41 
10 , 14 , 2010 , 51.22 , 50.38 , 50.38 , 51.03 
10 , 15 , 2010 , 51.52 , 50.03 , 51.44 , 50.46 
10 , 18 , 2010 , 50.52 , 49.93 , 50.39 , 50.14 
10 , 19 , 2010 , 50.00 , 49.12 , 49.71 , 49.44 
10 , 20 , 2010 , 50.49 , 49.47 , 49.60 , 50.10 
10 , 21 , 2010 , 50.46 , 49.05 , 50.46 , 49.67 
10 , 22 , 2010 , 50.00 , 49.55 , 49.76 , 49.87 
10 , 25 , 2010 , 50.68 , 50.09 , 50.15 , 50.46 
10 , 26 , 2010 , 50.63 , 49.94 , 50.22 , 50.49 
10 , 27 , 2010 , 50.48 , 49.82 , 50.20 , 50.35 
10 , 28 , 2010 , 51.56 , 50.58 , 50.58 , 51.39 
10 , 29 , 2010 , 51.53 , 50.81 , 51.18 , 51.26 
11 , 1 , 2010 , 51.50 , 50.99 , 51.43 , 51.44 
11 , 2 , 2010 , 51.90 , 51.25 , 51.83 , 51.53 
11 , 3 , 2010 , 51.83 , 51.15 , 51.73 , 51.78 
11 , 4 , 2010 , 52.26 , 51.61 , 52.20 , 52.06 
11 , 5 , 2010 , 52.14 , 49.65 , 51.69 , 51.57 
11 , 8 , 2010 , 52.07 , 51.20 , 51.59 , 52.02 
11 , 9 , 2010 , 52.73 , 51.72 , 52.55 , 51.84 
11 , 10 , 2010 , 53.17 , 51.90 , 51.95 , 52.76 
11 , 11 , 2010 , 52.87 , 52.27 , 52.55 , 52.79 
11 , 12 , 2010 , 52.66 , 51.75 , 52.52 , 52.01 
11 , 15 , 2010 , 52.14 , 50.95 , 52.05 , 51.11 
11 , 16 , 2010 , 50.83 , 50.01 , 50.77 , 50.19 
11 , 17 , 2010 , 50.86 , 50.15 , 50.24 , 50.69 
11 , 18 , 2010 , 51.51 , 51.06 , 51.18 , 51.24 
11 , 19 , 2010 , 51.81 , 50.79 , 51.17 , 51.59 
11 , 22 , 2010 , 51.59 , 50.76 , 51.37 , 51.48 
11 , 23 , 2010 , 51.21 , 50.42 , 50.78 , 50.80 
11 , 24 , 2010 , 51.79 , 50.81 , 51.03 , 51.69 
11 , 26 , 2010 , 51.75 , 51.16 , 51.25 , 51.42 
11 , 29 , 2010 , 51.19 , 50.15 , 51.17 , 50.47 
11 , 30 , 2010 , 50.65 , 49.80 , 50.00 , 50.22 
12 , 1 , 2010 , 51.14 , 50.66 , 51.14 , 50.68 
12 , 2 , 2010 , 51.78 , 50.90 , 51.15 , 51.46 
12 , 3 , 2010 , 52.13 , 51.03 , 51.37 , 51.23 
12 , 6 , 2010 , 51.50 , 50.86 , 51.21 , 51.42 
12 , 7 , 2010 , 52.02 , 51.29 , 51.74 , 51.41 
12 , 8 , 2010 , 51.64 , 50.45 , 51.35 , 50.72 
12 , 9 , 2010 , 51.00 , 50.02 , 51.00 , 50.50 
12 , 10 , 2010 , 50.65 , 50.06 , 50.65 , 50.11 
12 , 13 , 2010 , 50.48 , 49.66 , 50.29 , 49.66 
12 , 14 , 2010 , 50.42 , 49.76 , 49.81 , 50.09 
12 , 15 , 2010 , 50.20 , 49.70 , 50.04 , 49.78 
12 , 16 , 2010 , 49.83 , 48.48 , 49.76 , 49.64 
12 , 17 , 2010 , 49.59 , 49.16 , 49.59 , 49.26 
12 , 20 , 2010 , 50.83 , 49.40 , 49.42 , 50.70 
12 , 21 , 2010 , 50.91 , 50.24 , 50.76 , 50.37 
12 , 22 , 2010 , 50.65 , 50.27 , 50.48 , 50.44 
12 , 23 , 2010 , 50.44 , 50.05 , 50.28 , 50.18 
12 , 27 , 2010 , 50.55 , 50.07 , 50.38 , 50.49 
12 , 28 , 2010 , 50.70 , 50.32 , 50.52 , 50.58 
12 , 29 , 2010 , 50.93 , 50.26 , 50.64 , 50.83 
12 , 30 , 2010 , 51.19 , 50.69 , 50.73 , 51.12 
12 , 31 , 2010 , 51.38 , 50.90 , 51.13 , 51.29 
1 , 3 , 2011 , 51.80 , 51.11 , 51.56 , 51.28 
1 , 4 , 2011 , 51.84 , 51.00 , 51.28 , 51.12 
1 , 5 , 2011 , 51.05 , 50.39 , 50.87 , 50.41 
1 , 6 , 2011 , 50.83 , 50.13 , 50.44 , 50.27 
1 , 7 , 2011 , 50.74 , 50.07 , 50.61 , 50.15 
1 , 10 , 2011 , 50.33 , 49.72 , 49.91 , 50.06 
1 , 11 , 2011 , 50.45 , 49.87 , 50.20 , 50.12 
1 , 12 , 2011 , 50.49 , 50.17 , 50.32 , 50.35 
1 , 13 , 2011 , 51.21 , 50.27 , 50.52 , 50.40 
1 , 14 , 2011 , 50.48 , 49.42 , 50.23 , 49.50 
1 , 18 , 2011 , 49.87 , 48.98 , 49.57 , 49.14 
1 , 19 , 2011 , 49.02 , 48.43 , 48.85 , 48.83 
1 , 20 , 2011 , 50.18 , 48.59 , 48.70 , 49.97 
1 , 21 , 2011 , 50.62 , 50.03 , 50.29 , 50.17 
1 , 24 , 2011 , 50.66 , 49.99 , 50.12 , 50.66 
1 , 25 , 2011 , 51.49 , 49.91 , 50.51 , 51.02 
1 , 26 , 2011 , 51.89 , 51.05 , 51.43 , 51.59 
1 , 27 , 2011 , 51.81 , 51.21 , 51.70 , 51.65 
1 , 28 , 2011 , 52.13 , 50.82 , 51.61 , 50.97 
1 , 31 , 2011 , 51.19 , 50.38 , 50.92 , 50.51 
2 , 1 , 2011 , 51.55 , 50.70 , 50.73 , 51.43 
2 , 2 , 2011 , 51.76 , 51.26 , 51.26 , 51.56 
2 , 3 , 2011 , 52.43 , 51.26 , 51.41 , 52.33 
2 , 4 , 2011 , 53.45 , 52.36 , 52.39 , 53.24 
2 , 7 , 2011 , 53.84 , 53.18 , 53.61 , 53.31 
2 , 8 , 2011 , 53.95 , 53.31 , 53.31 , 53.93 
2 , 9 , 2011 , 54.39 , 53.79 , 53.95 , 54.24 
2 , 10 , 2011 , 54.73 , 53.91 , 54.08 , 54.65 
2 , 11 , 2011 , 56.40 , 54.43 , 54.55 , 56.38 
2 , 14 , 2011 , 56.49 , 55.52 , 56.28 , 55.66 
2 , 15 , 2011 , 55.86 , 55.15 , 55.58 , 55.46 
2 , 16 , 2011 , 56.13 , 55.08 , 55.71 , 55.27 
2 , 17 , 2011 , 55.43 , 54.09 , 55.23 , 54.30 
2 , 18 , 2011 , 54.56 , 53.16 , 54.41 , 53.91 
2 , 22 , 2011 , 54.24 , 52.40 , 53.46 , 52.63 
2 , 23 , 2011 , 53.41 , 50.97 , 52.65 , 51.50 
2 , 24 , 2011 , 52.59 , 51.50 , 51.65 , 52.50 
2 , 25 , 2011 , 53.45 , 52.28 , 52.64 , 53.41 
2 , 28 , 2011 , 53.65 , 53.06 , 53.61 , 53.61 
3 , 1 , 2011 , 53.77 , 52.35 , 53.64 , 52.37 
3 , 2 , 2011 , 52.77 , 51.47 , 52.36 , 51.93 
3 , 3 , 2011 , 53.10 , 52.31 , 52.33 , 52.98 
3 , 4 , 2011 , 52.98 , 52.30 , 52.91 , 52.72 
3 , 7 , 2011 , 53.37 , 52.71 , 52.76 , 52.73 
3 , 8 , 2011 , 52.21 , 50.53 , 51.87 , 51.77 
3 , 9 , 2011 , 52.04 , 51.32 , 51.76 , 51.84 
3 , 10 , 2011 , 51.23 , 50.22 , 51.23 , 50.43 
3 , 11 , 2011 , 50.55 , 50.05 , 50.10 , 50.46 
3 , 14 , 2011 , 50.16 , 49.22 , 50.07 , 49.87 
3 , 15 , 2011 , 49.83 , 48.65 , 48.85 , 49.67 
3 , 16 , 2011 , 50.87 , 49.69 , 49.69 , 50.09 
3 , 17 , 2011 , 50.89 , 50.17 , 50.67 , 50.69 
3 , 18 , 2011 , 51.46 , 50.02 , 51.39 , 50.27 
3 , 21 , 2011 , 47.06 , 45.50 , 46.30 , 46.26 
3 , 22 , 2011 , 48.41 , 46.62 , 46.69 , 48.37 
3 , 23 , 2011 , 49.53 , 48.08 , 48.25 , 49.12 
3 , 24 , 2011 , 50.36 , 48.63 , 49.60 , 48.72 
3 , 25 , 2011 , 49.38 , 48.52 , 48.62 , 49.29 
3 , 28 , 2011 , 50.12 , 49.29 , 50.02 , 49.65 
3 , 29 , 2011 , 50.24 , 49.11 , 49.51 , 50.16 
3 , 30 , 2011 , 51.44 , 50.36 , 50.37 , 51.39 
3 , 31 , 2011 , 51.65 , 50.94 , 51.27 , 51.47 
4 , 1 , 2011 , 52.40 , 51.60 , 51.63 , 51.98 
4 , 4 , 2011 , 52.18 , 51.55 , 52.06 , 51.62 
4 , 5 , 2011 , 51.48 , 50.27 , 51.43 , 50.39 
4 , 6 , 2011 , 50.75 , 50.20 , 50.47 , 50.55 
4 , 7 , 2011 , 50.64 , 50.03 , 50.45 , 50.42 
4 , 8 , 2011 , 50.70 , 49.76 , 50.62 , 49.93 
4 , 11 , 2011 , 50.37 , 49.68 , 50.00 , 49.78 
4 , 12 , 2011 , 49.81 , 49.21 , 49.71 , 49.28 
4 , 13 , 2011 , 50.12 , 49.27 , 49.39 , 50.01 
4 , 14 , 2011 , 49.90 , 49.21 , 49.87 , 49.83 
4 , 15 , 2011 , 50.45 , 49.73 , 49.92 , 50.23 
4 , 18 , 2011 , 49.71 , 49.06 , 49.69 , 49.21 
4 , 19 , 2011 , 49.56 , 48.73 , 49.27 , 49.17 
4 , 20 , 2011 , 50.80 , 49.64 , 49.65 , 50.70 
4 , 21 , 2011 , 51.21 , 50.82 , 51.01 , 50.96 
4 , 25 , 2011 , 51.00 , 50.63 , 50.82 , 50.70 
4 , 26 , 2011 , 51.47 , 50.41 , 50.74 , 51.44 
4 , 27 , 2011 , 52.59 , 51.45 , 51.60 , 52.52 
4 , 28 , 2011 , 52.79 , 51.96 , 52.37 , 52.03 
4 , 29 , 2011 , 52.31 , 51.63 , 51.90 , 51.96 
5 , 2 , 2011 , 52.19 , 51.03 , 52.11 , 51.19 
5 , 3 , 2011 , 52.93 , 51.80 , 51.93 , 52.17 
5 , 4 , 2011 , 52.46 , 51.03 , 52.14 , 51.39 
5 , 5 , 2011 , 53.09 , 50.88 , 51.02 , 52.61 
5 , 6 , 2011 , 53.39 , 51.77 , 52.96 , 52.06 
5 , 9 , 2011 , 53.08 , 52.05 , 52.05 , 52.72 
5 , 10 , 2011 , 53.40 , 52.55 , 52.76 , 53.34 
5 , 11 , 2011 , 53.59 , 52.73 , 53.24 , 53.17 
5 , 12 , 2011 , 53.16 , 52.73 , 53.03 , 52.96 
5 , 13 , 2011 , 53.05 , 52.15 , 52.83 , 52.59 
5 , 16 , 2011 , 52.64 , 52.08 , 52.42 , 52.15 
5 , 17 , 2011 , 52.15 , 51.51 , 51.98 , 51.85 
5 , 18 , 2011 , 52.06 , 51.68 , 51.86 , 51.81 
5 , 19 , 2011 , 52.22 , 51.54 , 51.99 , 51.73 
5 , 20 , 2011 , 53.65 , 51.55 , 51.97 , 53.29 
5 , 23 , 2011 , 53.21 , 52.34 , 52.82 , 52.80 
5 , 24 , 2011 , 54.30 , 52.84 , 52.84 , 53.79 
5 , 25 , 2011 , 54.47 , 53.18 , 53.58 , 53.95 
5 , 26 , 2011 , 54.91 , 53.66 , 53.82 , 54.87 
5 , 27 , 2011 , 55.03 , 54.30 , 54.97 , 54.56 
5 , 31 , 2011 , 55.16 , 54.30 , 55.15 , 55.13 
6 , 1 , 2011 , 55.17 , 53.74 , 55.11 , 53.78 
6 , 2 , 2011 , 54.47 , 53.78 , 53.90 , 54.03 
6 , 3 , 2011 , 52.32 , 49.90 , 49.95 , 50.86 
6 , 6 , 2011 , 52.17 , 51.09 , 51.36 , 51.42 
6 , 7 , 2011 , 51.74 , 50.92 , 51.48 , 50.94 
6 , 8 , 2011 , 51.13 , 49.76 , 50.83 , 49.80 
6 , 9 , 2011 , 50.13 , 48.84 , 50.08 , 49.50 
6 , 10 , 2011 , 50.17 , 49.52 , 49.56 , 49.65 
6 , 13 , 2011 , 50.43 , 49.55 , 49.64 , 49.74 
6 , 14 , 2011 , 50.56 , 50.10 , 50.16 , 50.36 
6 , 15 , 2011 , 50.89 , 49.91 , 49.93 , 50.37 
6 , 16 , 2011 , 50.39 , 49.62 , 50.30 , 49.77 
6 , 17 , 2011 , 50.32 , 49.82 , 50.09 , 49.85 
6 , 20 , 2011 , 50.60 , 49.54 , 49.65 , 50.33 
6 , 21 , 2011 , 51.55 , 50.46 , 50.52 , 51.43 
6 , 22 , 2011 , 51.82 , 51.13 , 51.20 , 51.59 
6 , 23 , 2011 , 52.23 , 50.90 , 51.07 , 52.14 
6 , 24 , 2011 , 52.17 , 51.24 , 52.08 , 51.40 
6 , 27 , 2011 , 51.73 , 50.65 , 51.20 , 51.51 
6 , 28 , 2011 , 51.87 , 51.55 , 51.57 , 51.65 
6 , 29 , 2011 , 52.26 , 51.77 , 51.93 , 51.92 
6 , 30 , 2011 , 52.27 , 51.76 , 52.19 , 51.98 
7 , 1 , 2011 , 54.01 , 51.98 , 52.25 , 53.93 
7 , 5 , 2011 , 54.04 , 53.18 , 53.81 , 53.24 
7 , 6 , 2011 , 54.03 , 52.68 , 53.05 , 53.39 
7 , 7 , 2011 , 54.03 , 53.20 , 53.80 , 53.33 
7 , 8 , 2011 , 53.15 , 52.54 , 52.84 , 53.13 
7 , 11 , 2011 , 52.92 , 52.54 , 52.61 , 52.71 
7 , 12 , 2011 , 53.07 , 52.37 , 52.56 , 52.56 
7 , 13 , 2011 , 53.34 , 52.64 , 52.80 , 52.77 
7 , 14 , 2011 , 53.04 , 51.65 , 52.74 , 51.97 
