Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 6.63 , 6.56 , 6.62 , 6.57 
3 , 18 , 2010 , 6.64 , 6.52 , 6.55 , 6.64 
3 , 19 , 2010 , 6.69 , 6.48 , 6.69 , 6.52 
3 , 22 , 2010 , 6.55 , 6.43 , 6.51 , 6.52 
3 , 23 , 2010 , 6.55 , 6.40 , 6.54 , 6.46 
3 , 24 , 2010 , 6.47 , 6.36 , 6.43 , 6.40 
3 , 25 , 2010 , 6.85 , 6.40 , 6.46 , 6.74 
3 , 26 , 2010 , 6.85 , 6.69 , 6.74 , 6.75 
3 , 29 , 2010 , 6.83 , 6.72 , 6.77 , 6.76 
3 , 30 , 2010 , 6.91 , 6.77 , 6.79 , 6.83 
3 , 31 , 2010 , 6.84 , 6.72 , 6.80 , 6.79 
4 , 1 , 2010 , 6.83 , 6.56 , 6.79 , 6.59 
4 , 5 , 2010 , 6.69 , 6.54 , 6.64 , 6.57 
4 , 6 , 2010 , 6.80 , 6.56 , 6.56 , 6.78 
4 , 7 , 2010 , 6.80 , 6.69 , 6.80 , 6.74 
4 , 8 , 2010 , 7.06 , 6.74 , 6.74 , 7.05 
4 , 9 , 2010 , 7.07 , 6.95 , 7.04 , 7.00 
4 , 12 , 2010 , 7.15 , 6.98 , 7.00 , 7.06 
4 , 13 , 2010 , 7.10 , 6.96 , 7.06 , 7.01 
4 , 14 , 2010 , 7.23 , 6.96 , 7.02 , 7.21 
4 , 15 , 2010 , 7.35 , 7.20 , 7.23 , 7.29 
4 , 16 , 2010 , 7.36 , 7.07 , 7.24 , 7.11 
4 , 19 , 2010 , 7.18 , 6.96 , 7.12 , 7.12 
4 , 20 , 2010 , 7.23 , 7.11 , 7.19 , 7.21 
4 , 21 , 2010 , 7.45 , 7.18 , 7.26 , 7.32 
4 , 22 , 2010 , 7.55 , 7.29 , 7.35 , 7.50 
4 , 23 , 2010 , 7.45 , 7.12 , 7.27 , 7.18 
4 , 26 , 2010 , 7.39 , 7.14 , 7.16 , 7.36 
4 , 27 , 2010 , 7.32 , 7.06 , 7.28 , 7.10 
4 , 28 , 2010 , 7.14 , 6.93 , 7.13 , 6.97 
4 , 29 , 2010 , 7.12 , 6.99 , 7.00 , 7.09 
4 , 30 , 2010 , 7.07 , 6.85 , 7.07 , 6.86 
5 , 3 , 2010 , 6.97 , 6.81 , 6.86 , 6.87 
5 , 4 , 2010 , 6.79 , 6.42 , 6.78 , 6.49 
5 , 5 , 2010 , 6.58 , 6.38 , 6.40 , 6.55 
5 , 6 , 2010 , 6.62 , 6.03 , 6.50 , 6.44 
