Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 42.20 , 41.80 , 41.87 , 42.02 
3 , 18 , 2010 , 42.35 , 42.00 , 42.02 , 42.34 
3 , 19 , 2010 , 42.68 , 42.34 , 42.37 , 42.65 
3 , 22 , 2010 , 42.80 , 41.62 , 41.84 , 42.69 
3 , 23 , 2010 , 42.89 , 42.48 , 42.49 , 42.89 
3 , 24 , 2010 , 42.78 , 42.36 , 42.75 , 42.42 
3 , 25 , 2010 , 42.79 , 42.44 , 42.61 , 42.59 
3 , 26 , 2010 , 42.77 , 42.39 , 42.41 , 42.58 
3 , 29 , 2010 , 43.06 , 42.47 , 42.59 , 42.90 
3 , 30 , 2010 , 43.16 , 42.83 , 42.99 , 42.89 
3 , 31 , 2010 , 42.94 , 42.57 , 42.57 , 42.71 
4 , 1 , 2010 , 43.00 , 42.61 , 42.81 , 42.99 
4 , 5 , 2010 , 43.00 , 42.81 , 42.99 , 42.93 
4 , 6 , 2010 , 43.13 , 42.83 , 42.88 , 43.01 
4 , 7 , 2010 , 43.25 , 42.84 , 42.98 , 43.07 
4 , 8 , 2010 , 43.25 , 42.98 , 43.01 , 43.18 
4 , 9 , 2010 , 43.37 , 43.06 , 43.23 , 43.14 
4 , 12 , 2010 , 43.42 , 42.99 , 43.01 , 43.42 
4 , 13 , 2010 , 43.45 , 43.18 , 43.35 , 43.36 
4 , 14 , 2010 , 43.50 , 43.13 , 43.39 , 43.31 
4 , 15 , 2010 , 43.56 , 42.99 , 43.16 , 43.41 
4 , 16 , 2010 , 43.93 , 43.08 , 43.41 , 43.08 
4 , 19 , 2010 , 43.36 , 42.88 , 42.91 , 43.34 
4 , 20 , 2010 , 44.05 , 43.34 , 43.41 , 44.01 
4 , 21 , 2010 , 44.16 , 43.76 , 43.94 , 44.12 
4 , 22 , 2010 , 44.34 , 43.52 , 43.91 , 44.26 
4 , 23 , 2010 , 44.25 , 43.87 , 44.23 , 44.08 
4 , 26 , 2010 , 44.30 , 43.81 , 44.07 , 43.81 
4 , 27 , 2010 , 44.09 , 42.95 , 43.61 , 43.03 
4 , 28 , 2010 , 43.70 , 43.06 , 43.30 , 43.47 
4 , 29 , 2010 , 44.14 , 43.35 , 43.53 , 44.00 
4 , 30 , 2010 , 43.50 , 42.09 , 43.26 , 42.46 
5 , 3 , 2010 , 42.69 , 41.90 , 42.69 , 42.41 
5 , 4 , 2010 , 42.31 , 41.54 , 41.89 , 42.04 
5 , 5 , 2010 , 42.49 , 41.78 , 41.93 , 42.01 
5 , 6 , 2010 , 42.12 , 40.11 , 41.90 , 41.14 
5 , 7 , 2010 , 41.50 , 40.01 , 40.01 , 41.13 
5 , 10 , 2010 , 42.73 , 41.60 , 42.73 , 42.34 
5 , 11 , 2010 , 42.98 , 41.93 , 41.97 , 42.40 
5 , 12 , 2010 , 43.00 , 42.51 , 42.60 , 42.99 
5 , 13 , 2010 , 43.03 , 42.42 , 42.99 , 42.42 
5 , 14 , 2010 , 42.50 , 41.41 , 42.17 , 41.61 
5 , 17 , 2010 , 42.00 , 41.29 , 41.68 , 41.85 
5 , 18 , 2010 , 41.99 , 40.58 , 41.85 , 40.70 
5 , 19 , 2010 , 41.11 , 40.14 , 40.62 , 40.45 
5 , 20 , 2010 , 40.42 , 38.88 , 40.10 , 38.92 
5 , 21 , 2010 , 39.64 , 38.35 , 38.64 , 39.64 
5 , 24 , 2010 , 39.69 , 38.94 , 39.20 , 38.95 
5 , 25 , 2010 , 38.82 , 38.11 , 38.31 , 38.78 
5 , 26 , 2010 , 39.12 , 38.43 , 39.05 , 38.48 
5 , 27 , 2010 , 39.66 , 38.70 , 38.92 , 39.61 
5 , 28 , 2010 , 39.87 , 39.11 , 39.44 , 39.47 
6 , 1 , 2010 , 39.31 , 38.63 , 39.25 , 38.63 
6 , 2 , 2010 , 39.65 , 38.74 , 38.88 , 39.65 
6 , 3 , 2010 , 39.90 , 39.58 , 39.58 , 39.81 
6 , 4 , 2010 , 39.44 , 38.32 , 39.27 , 38.42 
6 , 7 , 2010 , 38.96 , 38.42 , 38.58 , 38.42 
6 , 8 , 2010 , 38.77 , 38.02 , 38.43 , 38.70 
6 , 9 , 2010 , 39.05 , 37.69 , 39.01 , 37.80 
6 , 10 , 2010 , 38.41 , 37.90 , 38.38 , 38.36 
6 , 11 , 2010 , 38.59 , 37.78 , 38.03 , 38.59 
6 , 14 , 2010 , 39.25 , 38.25 , 38.65 , 38.27 
6 , 15 , 2010 , 39.29 , 38.30 , 38.86 , 39.25 
6 , 16 , 2010 , 39.46 , 39.02 , 39.13 , 39.38 
6 , 17 , 2010 , 39.67 , 39.24 , 39.40 , 39.66 
6 , 18 , 2010 , 39.80 , 39.60 , 39.79 , 39.74 
6 , 21 , 2010 , 40.04 , 39.40 , 40.04 , 39.56 
6 , 22 , 2010 , 39.84 , 39.07 , 39.53 , 39.10 
6 , 23 , 2010 , 39.19 , 38.72 , 39.05 , 38.94 
6 , 24 , 2010 , 39.02 , 38.32 , 38.90 , 38.40 
6 , 25 , 2010 , 38.85 , 38.07 , 38.54 , 38.72 
6 , 28 , 2010 , 38.87 , 38.42 , 38.79 , 38.60 
6 , 29 , 2010 , 38.28 , 37.50 , 38.17 , 37.72 
6 , 30 , 2010 , 37.79 , 37.06 , 37.58 , 37.12 
7 , 1 , 2010 , 37.01 , 36.32 , 37.01 , 36.78 
7 , 2 , 2010 , 37.37 , 36.84 , 36.85 , 37.11 
7 , 6 , 2010 , 37.79 , 36.95 , 37.50 , 37.24 
7 , 7 , 2010 , 38.15 , 37.26 , 37.44 , 38.10 
7 , 8 , 2010 , 38.39 , 37.82 , 38.23 , 38.21 
7 , 9 , 2010 , 38.37 , 38.05 , 38.26 , 38.34 
7 , 12 , 2010 , 36.31 , 35.10 , 35.48 , 35.62 
7 , 13 , 2010 , 37.15 , 35.70 , 35.73 , 37.07 
7 , 14 , 2010 , 37.31 , 36.47 , 36.81 , 37.10 
7 , 15 , 2010 , 37.07 , 36.62 , 37.01 , 36.98 
7 , 16 , 2010 , 36.93 , 36.10 , 36.55 , 36.24 
7 , 19 , 2010 , 36.33 , 35.40 , 36.28 , 35.68 
7 , 20 , 2010 , 36.05 , 35.16 , 35.52 , 35.99 
7 , 21 , 2010 , 36.50 , 35.59 , 36.40 , 35.63 
7 , 22 , 2010 , 36.77 , 35.55 , 35.97 , 36.47 
7 , 23 , 2010 , 36.68 , 36.27 , 36.58 , 36.62 
7 , 26 , 2010 , 36.91 , 35.87 , 36.45 , 36.81 
7 , 27 , 2010 , 37.09 , 36.29 , 36.98 , 36.41 
7 , 28 , 2010 , 36.86 , 36.26 , 36.36 , 36.65 
7 , 29 , 2010 , 36.98 , 36.24 , 36.79 , 36.63 
