Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 69.61 , 68.56 , 69.35 , 68.92 
3 , 18 , 2010 , 69.24 , 68.50 , 69.20 , 69.12 
3 , 19 , 2010 , 69.56 , 68.52 , 69.25 , 68.82 
3 , 22 , 2010 , 69.59 , 68.39 , 68.39 , 69.35 
3 , 23 , 2010 , 69.84 , 68.74 , 69.30 , 69.84 
3 , 24 , 2010 , 69.56 , 68.78 , 69.49 , 69.16 
3 , 25 , 2010 , 69.74 , 68.10 , 69.64 , 68.14 
3 , 26 , 2010 , 69.25 , 68.15 , 68.32 , 68.71 
3 , 29 , 2010 , 69.42 , 67.89 , 68.94 , 68.69 
3 , 30 , 2010 , 68.64 , 67.29 , 68.17 , 68.50 
3 , 31 , 2010 , 68.95 , 68.26 , 68.50 , 68.37 
4 , 1 , 2010 , 68.91 , 67.96 , 68.82 , 68.29 
4 , 5 , 2010 , 68.72 , 67.82 , 68.40 , 68.57 
4 , 6 , 2010 , 69.05 , 68.21 , 68.30 , 69.00 
4 , 7 , 2010 , 69.20 , 68.27 , 68.51 , 68.47 
4 , 8 , 2010 , 68.58 , 67.66 , 68.18 , 68.51 
4 , 9 , 2010 , 69.74 , 68.32 , 68.69 , 69.67 
4 , 12 , 2010 , 69.86 , 69.30 , 69.67 , 69.65 
4 , 13 , 2010 , 69.65 , 68.95 , 69.46 , 69.29 
4 , 14 , 2010 , 70.35 , 69.34 , 69.66 , 70.27 
4 , 15 , 2010 , 71.26 , 69.74 , 69.92 , 70.96 
4 , 16 , 2010 , 71.42 , 70.07 , 70.77 , 70.29 
4 , 19 , 2010 , 70.34 , 69.08 , 69.84 , 70.12 
4 , 20 , 2010 , 71.01 , 70.34 , 70.71 , 70.69 
4 , 21 , 2010 , 71.19 , 70.39 , 70.77 , 70.88 
4 , 22 , 2010 , 71.56 , 69.66 , 70.67 , 71.48 
4 , 23 , 2010 , 73.27 , 71.42 , 71.42 , 73.24 
4 , 26 , 2010 , 74.18 , 73.04 , 74.11 , 73.04 
4 , 27 , 2010 , 73.18 , 71.40 , 72.87 , 71.58 
4 , 28 , 2010 , 72.40 , 70.63 , 72.19 , 72.17 
4 , 29 , 2010 , 72.93 , 71.90 , 72.55 , 72.14 
4 , 30 , 2010 , 72.61 , 70.98 , 72.31 , 70.98 
5 , 3 , 2010 , 71.52 , 70.68 , 71.46 , 71.20 
5 , 4 , 2010 , 70.69 , 68.76 , 70.27 , 69.13 
5 , 5 , 2010 , 69.04 , 67.95 , 68.50 , 68.54 
5 , 6 , 2010 , 68.85 , 63.41 , 68.05 , 66.82 
5 , 7 , 2010 , 67.72 , 65.21 , 66.69 , 65.62 
5 , 10 , 2010 , 68.02 , 66.39 , 67.32 , 67.11 
5 , 11 , 2010 , 67.29 , 66.17 , 66.54 , 66.26 
5 , 12 , 2010 , 67.12 , 66.12 , 66.39 , 67.09 
5 , 13 , 2010 , 66.97 , 66.07 , 66.80 , 66.07 
5 , 14 , 2010 , 65.45 , 63.60 , 65.42 , 64.32 
5 , 17 , 2010 , 65.78 , 63.93 , 64.36 , 65.25 
5 , 18 , 2010 , 67.03 , 64.55 , 65.83 , 64.76 
5 , 19 , 2010 , 64.54 , 63.44 , 64.51 , 64.15 
5 , 20 , 2010 , 63.13 , 61.02 , 62.53 , 61.03 
5 , 21 , 2010 , 61.99 , 59.70 , 59.87 , 61.89 
5 , 24 , 2010 , 62.09 , 60.96 , 61.48 , 60.99 
5 , 25 , 2010 , 62.33 , 59.60 , 59.75 , 62.27 
5 , 26 , 2010 , 64.29 , 62.37 , 62.79 , 63.40 
5 , 27 , 2010 , 65.34 , 63.31 , 64.56 , 65.34 
5 , 28 , 2010 , 65.33 , 63.53 , 65.33 , 63.85 
6 , 1 , 2010 , 64.15 , 62.27 , 63.14 , 62.33 
6 , 2 , 2010 , 63.91 , 62.36 , 62.51 , 63.90 
6 , 3 , 2010 , 64.13 , 62.69 , 64.01 , 63.76 
6 , 4 , 2010 , 63.01 , 61.44 , 62.34 , 61.53 
6 , 7 , 2010 , 62.19 , 60.59 , 61.78 , 60.65 
6 , 8 , 2010 , 61.82 , 60.56 , 60.73 , 61.77 
6 , 9 , 2010 , 63.54 , 62.11 , 62.40 , 62.40 
6 , 10 , 2010 , 64.12 , 63.00 , 63.32 , 63.71 
6 , 11 , 2010 , 64.19 , 63.10 , 63.18 , 64.19 
6 , 14 , 2010 , 65.18 , 63.75 , 64.56 , 63.81 
6 , 15 , 2010 , 64.94 , 64.05 , 64.44 , 64.94 
6 , 16 , 2010 , 65.45 , 64.33 , 64.33 , 65.21 
6 , 17 , 2010 , 65.62 , 64.44 , 65.56 , 65.32 
6 , 18 , 2010 , 66.60 , 65.48 , 65.54 , 66.14 
