Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 5.61 , 5.55 , 5.55 , 5.57 
3 , 18 , 2010 , 5.55 , 5.49 , 5.55 , 5.53 
3 , 19 , 2010 , 5.57 , 5.43 , 5.54 , 5.44 
3 , 22 , 2010 , 5.40 , 5.36 , 5.39 , 5.37 
3 , 23 , 2010 , 5.39 , 5.26 , 5.38 , 5.28 
3 , 24 , 2010 , 5.28 , 5.23 , 5.27 , 5.25 
3 , 25 , 2010 , 5.36 , 5.24 , 5.29 , 5.24 
3 , 26 , 2010 , 5.27 , 5.13 , 5.26 , 5.18 
3 , 29 , 2010 , 5.31 , 5.20 , 5.21 , 5.30 
3 , 30 , 2010 , 5.32 , 5.24 , 5.30 , 5.28 
3 , 31 , 2010 , 5.30 , 5.25 , 5.25 , 5.27 
4 , 1 , 2010 , 5.35 , 5.26 , 5.31 , 5.30 
4 , 5 , 2010 , 5.39 , 5.32 , 5.32 , 5.37 
4 , 6 , 2010 , 5.38 , 5.29 , 5.33 , 5.37 
4 , 7 , 2010 , 5.39 , 5.32 , 5.39 , 5.35 
4 , 8 , 2010 , 5.36 , 5.29 , 5.34 , 5.35 
4 , 9 , 2010 , 5.42 , 5.31 , 5.35 , 5.41 
4 , 12 , 2010 , 5.46 , 5.40 , 5.41 , 5.44 
4 , 13 , 2010 , 5.45 , 5.40 , 5.44 , 5.44 
4 , 14 , 2010 , 5.60 , 5.44 , 5.46 , 5.59 
4 , 15 , 2010 , 5.61 , 5.54 , 5.56 , 5.55 
4 , 16 , 2010 , 5.57 , 5.46 , 5.53 , 5.48 
4 , 19 , 2010 , 5.50 , 5.38 , 5.48 , 5.50 
4 , 20 , 2010 , 5.94 , 5.70 , 5.77 , 5.93 
4 , 21 , 2010 , 5.98 , 5.80 , 5.90 , 5.84 
4 , 22 , 2010 , 5.84 , 5.69 , 5.76 , 5.84 
4 , 23 , 2010 , 5.93 , 5.82 , 5.85 , 5.87 
4 , 26 , 2010 , 5.95 , 5.86 , 5.87 , 5.92 
4 , 27 , 2010 , 5.90 , 5.72 , 5.87 , 5.74 
4 , 28 , 2010 , 5.83 , 5.71 , 5.79 , 5.80 
4 , 29 , 2010 , 5.88 , 5.81 , 5.85 , 5.84 
4 , 30 , 2010 , 5.88 , 5.76 , 5.83 , 5.78 
5 , 3 , 2010 , 5.89 , 5.80 , 5.81 , 5.89 
5 , 4 , 2010 , 5.82 , 5.55 , 5.82 , 5.60 
5 , 5 , 2010 , 5.54 , 5.32 , 5.51 , 5.51 
5 , 6 , 2010 , 5.59 , 5.12 , 5.47 , 5.42 
5 , 7 , 2010 , 5.44 , 5.20 , 5.42 , 5.31 
5 , 10 , 2010 , 5.68 , 5.51 , 5.56 , 5.66 
5 , 11 , 2010 , 5.73 , 5.54 , 5.59 , 5.62 
5 , 12 , 2010 , 5.69 , 5.62 , 5.66 , 5.68 
5 , 13 , 2010 , 5.73 , 5.62 , 5.67 , 5.63 
5 , 14 , 2010 , 5.61 , 5.43 , 5.59 , 5.50 
5 , 17 , 2010 , 5.62 , 5.49 , 5.51 , 5.60 
5 , 18 , 2010 , 5.69 , 5.50 , 5.66 , 5.52 
5 , 19 , 2010 , 5.51 , 5.30 , 5.48 , 5.37 
5 , 20 , 2010 , 5.29 , 5.12 , 5.23 , 5.15 
5 , 21 , 2010 , 5.30 , 5.02 , 5.06 , 5.24 
5 , 24 , 2010 , 5.29 , 5.19 , 5.22 , 5.20 
5 , 25 , 2010 , 5.20 , 4.97 , 5.04 , 5.19 
5 , 26 , 2010 , 5.29 , 5.13 , 5.23 , 5.15 
5 , 27 , 2010 , 5.38 , 5.24 , 5.27 , 5.37 
5 , 28 , 2010 , 5.37 , 5.28 , 5.35 , 5.30 
6 , 1 , 2010 , 5.29 , 5.12 , 5.24 , 5.13 
6 , 2 , 2010 , 5.25 , 5.06 , 5.16 , 5.24 
6 , 3 , 2010 , 5.31 , 5.23 , 5.26 , 5.28 
6 , 4 , 2010 , 5.23 , 5.06 , 5.18 , 5.10 
6 , 7 , 2010 , 5.12 , 4.97 , 5.11 , 4.98 
6 , 8 , 2010 , 5.02 , 4.80 , 4.98 , 4.90 
6 , 9 , 2010 , 5.05 , 4.90 , 4.92 , 4.92 
6 , 10 , 2010 , 5.08 , 4.97 , 5.01 , 5.08 
6 , 11 , 2010 , 5.13 , 5.00 , 5.00 , 5.13 
6 , 14 , 2010 , 5.23 , 5.13 , 5.18 , 5.13 
6 , 15 , 2010 , 5.38 , 5.17 , 5.19 , 5.38 
6 , 16 , 2010 , 5.37 , 5.30 , 5.33 , 5.33 
6 , 17 , 2010 , 5.37 , 5.27 , 5.37 , 5.33 
6 , 18 , 2010 , 5.38 , 5.30 , 5.34 , 5.33 
6 , 21 , 2010 , 5.45 , 5.28 , 5.41 , 5.32 
6 , 22 , 2010 , 5.37 , 5.22 , 5.33 , 5.23 
6 , 23 , 2010 , 5.27 , 5.13 , 5.24 , 5.22 
6 , 24 , 2010 , 5.24 , 5.11 , 5.18 , 5.12 
6 , 25 , 2010 , 5.21 , 5.04 , 5.16 , 5.18 
6 , 28 , 2010 , 5.23 , 5.15 , 5.19 , 5.19 
6 , 29 , 2010 , 5.11 , 4.96 , 5.09 , 5.01 
6 , 30 , 2010 , 5.05 , 4.89 , 4.99 , 4.91 
7 , 1 , 2010 , 4.99 , 4.80 , 4.89 , 4.94 
7 , 2 , 2010 , 5.00 , 4.83 , 4.96 , 4.87 
7 , 6 , 2010 , 4.98 , 4.81 , 4.98 , 4.86 
7 , 7 , 2010 , 5.05 , 4.85 , 4.88 , 5.04 
7 , 8 , 2010 , 5.16 , 5.01 , 5.10 , 5.09 
7 , 9 , 2010 , 5.11 , 5.05 , 5.09 , 5.08 
7 , 12 , 2010 , 5.10 , 5.00 , 5.05 , 5.07 
7 , 13 , 2010 , 5.27 , 5.11 , 5.13 , 5.25 
7 , 14 , 2010 , 5.34 , 5.24 , 5.26 , 5.29 
7 , 15 , 2010 , 5.34 , 5.23 , 5.29 , 5.33 
7 , 16 , 2010 , 5.29 , 5.12 , 5.29 , 5.14 
7 , 19 , 2010 , 5.22 , 5.11 , 5.17 , 5.20 
7 , 20 , 2010 , 5.31 , 5.09 , 5.11 , 5.31 
7 , 21 , 2010 , 5.57 , 5.29 , 5.51 , 5.31 
7 , 22 , 2010 , 5.49 , 5.37 , 5.39 , 5.49 
7 , 23 , 2010 , 5.66 , 5.49 , 5.49 , 5.64 
7 , 26 , 2010 , 5.74 , 5.58 , 5.63 , 5.73 
7 , 27 , 2010 , 5.79 , 5.63 , 5.77 , 5.63 
7 , 28 , 2010 , 5.66 , 5.58 , 5.61 , 5.61 
7 , 29 , 2010 , 5.66 , 5.53 , 5.64 , 5.60 
7 , 30 , 2010 , 5.63 , 5.46 , 5.53 , 5.60 
8 , 2 , 2010 , 5.75 , 5.66 , 5.70 , 5.71 
8 , 3 , 2010 , 5.73 , 5.62 , 5.69 , 5.65 
8 , 4 , 2010 , 5.74 , 5.65 , 5.67 , 5.71 
8 , 5 , 2010 , 5.68 , 5.61 , 5.65 , 5.66 
8 , 6 , 2010 , 5.66 , 5.54 , 5.58 , 5.63 
8 , 9 , 2010 , 5.72 , 5.63 , 5.65 , 5.71 
8 , 10 , 2010 , 5.66 , 5.56 , 5.63 , 5.62 
8 , 11 , 2010 , 5.53 , 5.32 , 5.53 , 5.33 
8 , 12 , 2010 , 5.25 , 5.19 , 5.21 , 5.21 
8 , 13 , 2010 , 5.20 , 5.10 , 5.19 , 5.10 
8 , 16 , 2010 , 5.17 , 5.04 , 5.07 , 5.16 
8 , 17 , 2010 , 5.34 , 5.19 , 5.21 , 5.29 
8 , 18 , 2010 , 5.34 , 5.23 , 5.28 , 5.29 
8 , 19 , 2010 , 5.29 , 5.17 , 5.26 , 5.19 
8 , 20 , 2010 , 5.22 , 5.10 , 5.18 , 5.21 
8 , 23 , 2010 , 5.24 , 5.09 , 5.20 , 5.10 
8 , 24 , 2010 , 5.08 , 4.95 , 5.02 , 5.05 
8 , 25 , 2010 , 5.09 , 4.97 , 5.00 , 5.07 
8 , 26 , 2010 , 5.17 , 5.08 , 5.10 , 5.13 
8 , 27 , 2010 , 5.25 , 5.06 , 5.17 , 5.24 
8 , 30 , 2010 , 5.27 , 5.15 , 5.21 , 5.15 
8 , 31 , 2010 , 5.18 , 5.06 , 5.13 , 5.09 
9 , 1 , 2010 , 5.50 , 5.18 , 5.18 , 5.49 
9 , 2 , 2010 , 5.59 , 5.47 , 5.48 , 5.58 
9 , 3 , 2010 , 5.74 , 5.64 , 5.64 , 5.73 
9 , 7 , 2010 , 5.86 , 5.71 , 5.73 , 5.78 
9 , 8 , 2010 , 5.90 , 5.76 , 5.82 , 5.86 
9 , 9 , 2010 , 5.94 , 5.73 , 5.94 , 5.78 
9 , 10 , 2010 , 5.80 , 5.73 , 5.77 , 5.74 
9 , 13 , 2010 , 5.93 , 5.78 , 5.80 , 5.93 
9 , 14 , 2010 , 5.96 , 5.85 , 5.91 , 5.93 
9 , 15 , 2010 , 5.94 , 5.86 , 5.92 , 5.92 
9 , 16 , 2010 , 5.93 , 5.85 , 5.90 , 5.86 
9 , 17 , 2010 , 5.95 , 5.86 , 5.91 , 5.92 
9 , 20 , 2010 , 6.04 , 5.91 , 5.94 , 6.03 
9 , 21 , 2010 , 6.05 , 5.93 , 6.03 , 5.97 
9 , 22 , 2010 , 6.00 , 5.83 , 5.95 , 5.84 
9 , 23 , 2010 , 5.94 , 5.76 , 5.79 , 5.86 
9 , 24 , 2010 , 6.09 , 5.92 , 5.93 , 6.09 
9 , 27 , 2010 , 6.11 , 6.00 , 6.07 , 6.06 
9 , 28 , 2010 , 6.13 , 5.94 , 6.07 , 6.12 
9 , 29 , 2010 , 6.17 , 6.05 , 6.08 , 6.15 
9 , 30 , 2010 , 6.25 , 6.11 , 6.19 , 6.12 
10 , 1 , 2010 , 6.21 , 6.08 , 6.19 , 6.13 
10 , 4 , 2010 , 6.12 , 5.98 , 6.11 , 6.03 
10 , 5 , 2010 , 6.29 , 6.12 , 6.12 , 6.27 
10 , 6 , 2010 , 6.29 , 6.14 , 6.26 , 6.18 
10 , 7 , 2010 , 6.21 , 6.11 , 6.21 , 6.18 
10 , 8 , 2010 , 6.20 , 6.13 , 6.19 , 6.16 
10 , 11 , 2010 , 6.19 , 6.13 , 6.15 , 6.17 
10 , 12 , 2010 , 6.20 , 6.08 , 6.15 , 6.16 
10 , 13 , 2010 , 6.28 , 6.14 , 6.19 , 6.23 
10 , 14 , 2010 , 6.24 , 6.13 , 6.22 , 6.18 
10 , 15 , 2010 , 6.27 , 6.17 , 6.25 , 6.27 
10 , 18 , 2010 , 6.31 , 6.22 , 6.27 , 6.24 
10 , 19 , 2010 , 6.19 , 6.04 , 6.13 , 6.10 
10 , 20 , 2010 , 6.10 , 5.92 , 6.05 , 6.08 
10 , 21 , 2010 , 6.18 , 6.03 , 6.13 , 6.18 
10 , 22 , 2010 , 6.19 , 6.10 , 6.16 , 6.14 
10 , 25 , 2010 , 6.30 , 6.18 , 6.19 , 6.26 
10 , 26 , 2010 , 6.26 , 6.16 , 6.19 , 6.24 
10 , 27 , 2010 , 6.22 , 6.11 , 6.17 , 6.18 
10 , 28 , 2010 , 6.23 , 6.12 , 6.22 , 6.17 
10 , 29 , 2010 , 6.28 , 6.11 , 6.15 , 6.27 
11 , 1 , 2010 , 6.32 , 6.21 , 6.28 , 6.25 
11 , 2 , 2010 , 6.44 , 6.30 , 6.33 , 6.39 
11 , 3 , 2010 , 6.44 , 6.35 , 6.38 , 6.44 
11 , 4 , 2010 , 6.63 , 6.48 , 6.53 , 6.62 
11 , 5 , 2010 , 6.63 , 6.57 , 6.61 , 6.61 
11 , 8 , 2010 , 6.58 , 6.52 , 6.52 , 6.56 
11 , 9 , 2010 , 6.59 , 6.48 , 6.59 , 6.52 
11 , 10 , 2010 , 6.57 , 6.46 , 6.51 , 6.57 
11 , 11 , 2010 , 6.46 , 6.34 , 6.42 , 6.41 
11 , 12 , 2010 , 6.42 , 6.28 , 6.34 , 6.32 
11 , 15 , 2010 , 6.37 , 6.29 , 6.37 , 6.29 
11 , 16 , 2010 , 6.25 , 6.07 , 6.23 , 6.12 
11 , 17 , 2010 , 6.17 , 6.09 , 6.13 , 6.13 
11 , 18 , 2010 , 6.37 , 6.21 , 6.22 , 6.31 
11 , 19 , 2010 , 6.41 , 6.27 , 6.29 , 6.41 
11 , 22 , 2010 , 6.40 , 6.30 , 6.37 , 6.38 
11 , 23 , 2010 , 6.32 , 6.19 , 6.29 , 6.21 
11 , 24 , 2010 , 6.39 , 6.23 , 6.25 , 6.38 
11 , 26 , 2010 , 6.38 , 6.30 , 6.32 , 6.33 
11 , 29 , 2010 , 6.34 , 6.21 , 6.26 , 6.33 
11 , 30 , 2010 , 6.30 , 6.20 , 6.24 , 6.25 
12 , 1 , 2010 , 6.48 , 6.34 , 6.37 , 6.46 
12 , 2 , 2010 , 6.61 , 6.44 , 6.47 , 6.60 
12 , 3 , 2010 , 6.64 , 6.55 , 6.57 , 6.62 
12 , 6 , 2010 , 6.65 , 6.58 , 6.60 , 6.63 
12 , 7 , 2010 , 6.73 , 6.60 , 6.69 , 6.62 
12 , 8 , 2010 , 6.64 , 6.53 , 6.62 , 6.57 
12 , 9 , 2010 , 6.66 , 6.61 , 6.64 , 6.65 
12 , 10 , 2010 , 6.70 , 6.65 , 6.68 , 6.66 
12 , 13 , 2010 , 6.76 , 6.66 , 6.72 , 6.66 
12 , 14 , 2010 , 6.69 , 6.63 , 6.66 , 6.65 
12 , 15 , 2010 , 6.65 , 6.56 , 6.63 , 6.60 
12 , 16 , 2010 , 6.65 , 6.57 , 6.62 , 6.65 
12 , 17 , 2010 , 6.68 , 6.58 , 6.67 , 6.64 
12 , 20 , 2010 , 6.69 , 6.54 , 6.67 , 6.59 
12 , 21 , 2010 , 6.65 , 6.57 , 6.63 , 6.60 
12 , 22 , 2010 , 6.63 , 6.59 , 6.60 , 6.63 
12 , 23 , 2010 , 6.63 , 6.55 , 6.61 , 6.57 
12 , 27 , 2010 , 6.64 , 6.50 , 6.52 , 6.61 
12 , 28 , 2010 , 6.66 , 6.56 , 6.65 , 6.61 
12 , 29 , 2010 , 6.66 , 6.61 , 6.63 , 6.63 
12 , 30 , 2010 , 6.65 , 6.60 , 6.63 , 6.61 
12 , 31 , 2010 , 6.62 , 6.56 , 6.59 , 6.60 
1 , 3 , 2011 , 6.74 , 6.65 , 6.66 , 6.68 
1 , 4 , 2011 , 6.70 , 6.53 , 6.68 , 6.54 
1 , 5 , 2011 , 6.55 , 6.46 , 6.53 , 6.49 
1 , 6 , 2011 , 6.55 , 6.43 , 6.46 , 6.46 
1 , 7 , 2011 , 6.52 , 6.46 , 6.46 , 6.48 
1 , 10 , 2011 , 6.51 , 6.41 , 6.45 , 6.49 
1 , 11 , 2011 , 6.56 , 6.49 , 6.51 , 6.55 
