Month , Day , Year , High , Low , Open , Close
6 , 10 , 2011 , 16.14 , 15.15 , 16.11 , 15.31 
6 , 13 , 2011 , 15.46 , 14.94 , 15.36 , 15.18 
6 , 14 , 2011 , 15.70 , 15.29 , 15.32 , 15.67 
6 , 15 , 2011 , 15.92 , 15.47 , 15.57 , 15.64 
6 , 16 , 2011 , 15.72 , 15.30 , 15.38 , 15.54 
6 , 17 , 2011 , 15.68 , 15.48 , 15.62 , 15.62 
6 , 20 , 2011 , 15.66 , 15.29 , 15.45 , 15.37 
6 , 21 , 2011 , 15.97 , 15.43 , 15.56 , 15.67 
6 , 22 , 2011 , 16.13 , 15.64 , 15.65 , 15.99 
6 , 23 , 2011 , 15.96 , 15.67 , 15.89 , 15.77 
6 , 24 , 2011 , 15.86 , 15.66 , 15.75 , 15.67 
6 , 27 , 2011 , 15.92 , 15.66 , 15.83 , 15.79 
6 , 28 , 2011 , 16.73 , 15.92 , 16.09 , 16.26 
6 , 29 , 2011 , 17.35 , 15.95 , 16.10 , 16.80 
6 , 30 , 2011 , 16.94 , 16.72 , 16.87 , 16.87 
7 , 1 , 2011 , 16.90 , 16.55 , 16.80 , 16.81 
7 , 5 , 2011 , 16.92 , 16.58 , 16.69 , 16.66 
7 , 6 , 2011 , 16.67 , 16.37 , 16.47 , 16.55 
7 , 7 , 2011 , 16.84 , 16.43 , 16.79 , 16.54 
7 , 8 , 2011 , 16.95 , 16.37 , 16.83 , 16.67 
7 , 11 , 2011 , 16.66 , 16.03 , 16.49 , 16.21 
7 , 12 , 2011 , 16.57 , 15.93 , 16.25 , 16.32 
7 , 13 , 2011 , 16.46 , 15.72 , 16.31 , 16.06 
7 , 14 , 2011 , 16.42 , 15.69 , 16.00 , 15.93 
7 , 15 , 2011 , 16.47 , 15.89 , 16.21 , 16.17 
7 , 18 , 2011 , 16.20 , 15.44 , 16.15 , 15.57 
7 , 19 , 2011 , 15.91 , 15.50 , 15.80 , 15.67 
7 , 20 , 2011 , 16.04 , 15.63 , 15.85 , 16.01 
7 , 21 , 2011 , 16.61 , 16.09 , 16.14 , 16.42 
7 , 22 , 2011 , 16.67 , 16.22 , 16.46 , 16.61 
7 , 25 , 2011 , 17.10 , 16.57 , 16.74 , 16.87 
7 , 26 , 2011 , 17.12 , 16.77 , 17.01 , 16.95 
7 , 27 , 2011 , 17.05 , 16.34 , 16.84 , 16.48 
7 , 28 , 2011 , 16.66 , 16.24 , 16.54 , 16.54 
7 , 29 , 2011 , 17.05 , 16.00 , 16.43 , 16.98 
8 , 1 , 2011 , 17.61 , 16.64 , 17.07 , 17.17 
8 , 2 , 2011 , 17.30 , 16.04 , 17.12 , 16.49 
8 , 3 , 2011 , 17.05 , 15.90 , 16.51 , 16.40 
8 , 4 , 2011 , 16.64 , 14.47 , 16.37 , 14.60 
8 , 5 , 2011 , 15.05 , 12.62 , 14.67 , 13.72 
8 , 8 , 2011 , 13.81 , 12.48 , 13.36 , 12.91 
8 , 9 , 2011 , 14.91 , 12.42 , 12.63 , 13.81 
