Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 2.00 , 1.96 , 1.96 , 1.99 
3 , 18 , 2010 , 2.00 , 1.95 , 1.99 , 2.00 
3 , 19 , 2010 , 2.03 , 1.97 , 2.00 , 2.01 
3 , 22 , 2010 , 2.01 , 1.97 , 1.99 , 1.99 
3 , 23 , 2010 , 2.03 , 2.00 , 2.00 , 2.02 
3 , 24 , 2010 , 2.02 , 1.96 , 2.02 , 1.96 
3 , 25 , 2010 , 1.98 , 1.93 , 1.98 , 1.97 
3 , 26 , 2010 , 2.02 , 1.97 , 1.97 , 1.99 
3 , 29 , 2010 , 2.04 , 1.99 , 2.01 , 2.02 
3 , 30 , 2010 , 2.05 , 2.00 , 2.03 , 2.04 
3 , 31 , 2010 , 2.07 , 2.02 , 2.04 , 2.06 
4 , 1 , 2010 , 2.08 , 2.01 , 2.07 , 2.05 
4 , 5 , 2010 , 2.07 , 1.98 , 2.07 , 2.03 
4 , 6 , 2010 , 2.08 , 2.00 , 2.00 , 2.07 
4 , 7 , 2010 , 2.07 , 2.04 , 2.06 , 2.05 
4 , 8 , 2010 , 2.05 , 2.01 , 2.05 , 2.01 
4 , 9 , 2010 , 2.01 , 1.98 , 2.01 , 2.00 
4 , 12 , 2010 , 2.01 , 1.97 , 1.99 , 2.00 
4 , 13 , 2010 , 2.02 , 1.98 , 1.99 , 2.01 
4 , 14 , 2010 , 2.16 , 2.05 , 2.06 , 2.16 
4 , 15 , 2010 , 2.20 , 2.16 , 2.16 , 2.20 
4 , 16 , 2010 , 2.20 , 2.17 , 2.20 , 2.19 
4 , 19 , 2010 , 2.20 , 2.13 , 2.17 , 2.19 
4 , 20 , 2010 , 2.29 , 2.22 , 2.25 , 2.24 
4 , 21 , 2010 , 2.28 , 2.15 , 2.25 , 2.18 
4 , 22 , 2010 , 2.19 , 2.10 , 2.18 , 2.15 
4 , 23 , 2010 , 2.16 , 2.11 , 2.14 , 2.15 
4 , 26 , 2010 , 2.20 , 2.13 , 2.14 , 2.18 
4 , 27 , 2010 , 2.19 , 2.08 , 2.19 , 2.10 
4 , 28 , 2010 , 2.13 , 2.07 , 2.12 , 2.10 
4 , 29 , 2010 , 2.18 , 2.13 , 2.13 , 2.14 
4 , 30 , 2010 , 2.17 , 2.05 , 2.16 , 2.05 
5 , 3 , 2010 , 2.15 , 2.04 , 2.07 , 2.11 
5 , 4 , 2010 , 2.10 , 1.99 , 2.10 , 2.00 
5 , 5 , 2010 , 2.01 , 1.92 , 1.99 , 1.96 
5 , 6 , 2010 , 1.96 , 1.85 , 1.96 , 1.92 
5 , 7 , 2010 , 1.95 , 1.84 , 1.92 , 1.93 
5 , 10 , 2010 , 2.09 , 2.00 , 2.00 , 2.07 
5 , 11 , 2010 , 2.08 , 2.02 , 2.03 , 2.07 
5 , 12 , 2010 , 2.09 , 2.05 , 2.06 , 2.07 
5 , 13 , 2010 , 2.08 , 2.03 , 2.08 , 2.05 
5 , 14 , 2010 , 2.05 , 1.97 , 2.04 , 2.02 
5 , 17 , 2010 , 2.05 , 1.99 , 2.03 , 2.05 
5 , 18 , 2010 , 2.09 , 1.99 , 2.06 , 2.01 
5 , 19 , 2010 , 2.03 , 1.89 , 1.98 , 2.00 
5 , 20 , 2010 , 2.03 , 1.94 , 1.98 , 2.01 
5 , 21 , 2010 , 2.03 , 1.95 , 1.99 , 1.98 
5 , 24 , 2010 , 2.00 , 1.93 , 1.98 , 1.94 
5 , 25 , 2010 , 1.93 , 1.85 , 1.90 , 1.92 
5 , 26 , 2010 , 2.04 , 1.95 , 1.96 , 2.00 
5 , 27 , 2010 , 2.16 , 2.03 , 2.04 , 2.13 
5 , 28 , 2010 , 2.15 , 2.03 , 2.14 , 2.07 
6 , 1 , 2010 , 2.10 , 2.03 , 2.07 , 2.04 
6 , 2 , 2010 , 2.11 , 2.03 , 2.03 , 2.11 
6 , 3 , 2010 , 2.20 , 2.11 , 2.11 , 2.17 
6 , 4 , 2010 , 2.14 , 2.06 , 2.14 , 2.08 
6 , 7 , 2010 , 2.11 , 2.06 , 2.09 , 2.08 
6 , 8 , 2010 , 2.11 , 2.06 , 2.09 , 2.11 
6 , 9 , 2010 , 2.19 , 2.10 , 2.13 , 2.11 
6 , 10 , 2010 , 2.20 , 2.15 , 2.15 , 2.18 
6 , 11 , 2010 , 2.20 , 2.14 , 2.15 , 2.19 
6 , 14 , 2010 , 2.22 , 2.13 , 2.22 , 2.15 
6 , 15 , 2010 , 2.27 , 2.16 , 2.18 , 2.23 
6 , 16 , 2010 , 2.35 , 2.21 , 2.22 , 2.29 
6 , 17 , 2010 , 2.37 , 2.30 , 2.33 , 2.34 
6 , 18 , 2010 , 2.35 , 2.28 , 2.33 , 2.30 
6 , 21 , 2010 , 2.34 , 2.24 , 2.34 , 2.30 
6 , 22 , 2010 , 2.30 , 2.21 , 2.29 , 2.23 
6 , 23 , 2010 , 2.27 , 2.15 , 2.25 , 2.25 
6 , 24 , 2010 , 2.27 , 2.07 , 2.26 , 2.12 
6 , 25 , 2010 , 2.21 , 2.11 , 2.14 , 2.15 
6 , 28 , 2010 , 2.19 , 2.05 , 2.15 , 2.18 
6 , 29 , 2010 , 2.13 , 2.04 , 2.13 , 2.10 
6 , 30 , 2010 , 2.13 , 2.07 , 2.09 , 2.11 
7 , 1 , 2010 , 2.16 , 2.07 , 2.13 , 2.14 
7 , 2 , 2010 , 2.17 , 2.13 , 2.15 , 2.16 
7 , 6 , 2010 , 2.22 , 2.08 , 2.18 , 2.09 
7 , 7 , 2010 , 2.17 , 2.05 , 2.08 , 2.17 
7 , 8 , 2010 , 2.20 , 2.14 , 2.18 , 2.18 
7 , 9 , 2010 , 2.20 , 2.15 , 2.17 , 2.20 
7 , 12 , 2010 , 2.24 , 2.15 , 2.19 , 2.21 
7 , 13 , 2010 , 2.25 , 2.21 , 2.23 , 2.25 
7 , 14 , 2010 , 2.29 , 2.22 , 2.25 , 2.23 
7 , 15 , 2010 , 2.30 , 2.19 , 2.23 , 2.29 
7 , 16 , 2010 , 2.30 , 2.20 , 2.27 , 2.20 
7 , 19 , 2010 , 2.24 , 2.18 , 2.21 , 2.23 
7 , 20 , 2010 , 2.21 , 2.16 , 2.20 , 2.20 
7 , 21 , 2010 , 2.24 , 2.17 , 2.22 , 2.18 
7 , 22 , 2010 , 2.29 , 2.19 , 2.20 , 2.29 
7 , 23 , 2010 , 2.31 , 2.25 , 2.29 , 2.29 
7 , 26 , 2010 , 2.30 , 2.19 , 2.29 , 2.28 
7 , 27 , 2010 , 2.31 , 2.22 , 2.29 , 2.24 
7 , 28 , 2010 , 2.26 , 2.18 , 2.24 , 2.18 
7 , 29 , 2010 , 2.20 , 2.14 , 2.19 , 2.18 
7 , 30 , 2010 , 2.19 , 2.11 , 2.16 , 2.18 
8 , 2 , 2010 , 2.28 , 2.16 , 2.20 , 2.18 
8 , 3 , 2010 , 2.19 , 2.14 , 2.17 , 2.16 
8 , 4 , 2010 , 2.25 , 2.13 , 2.17 , 2.23 
8 , 5 , 2010 , 2.28 , 2.21 , 2.21 , 2.27 
8 , 6 , 2010 , 2.27 , 2.24 , 2.26 , 2.26 
8 , 9 , 2010 , 2.29 , 2.25 , 2.27 , 2.29 
8 , 10 , 2010 , 2.28 , 2.22 , 2.26 , 2.23 
8 , 11 , 2010 , 2.08 , 1.93 , 2.05 , 2.02 
8 , 12 , 2010 , 2.09 , 2.02 , 2.05 , 2.04 
8 , 13 , 2010 , 2.05 , 2.00 , 2.04 , 2.00 
8 , 16 , 2010 , 2.03 , 1.97 , 2.00 , 2.03 
8 , 17 , 2010 , 2.07 , 2.03 , 2.04 , 2.04 
8 , 18 , 2010 , 2.08 , 2.01 , 2.03 , 2.08 
8 , 19 , 2010 , 2.09 , 2.04 , 2.07 , 2.05 
8 , 20 , 2010 , 2.05 , 2.03 , 2.03 , 2.04 
8 , 23 , 2010 , 2.06 , 2.02 , 2.04 , 2.04 
8 , 24 , 2010 , 2.05 , 2.00 , 2.00 , 2.02 
8 , 25 , 2010 , 2.04 , 1.97 , 2.00 , 2.03 
8 , 26 , 2010 , 2.10 , 2.03 , 2.05 , 2.06 
8 , 27 , 2010 , 2.06 , 2.00 , 2.06 , 2.03 
8 , 30 , 2010 , 2.04 , 1.99 , 2.02 , 2.00 
8 , 31 , 2010 , 2.03 , 1.97 , 1.98 , 2.01 
9 , 1 , 2010 , 2.14 , 2.02 , 2.03 , 2.10 
9 , 2 , 2010 , 2.12 , 2.08 , 2.12 , 2.11 
9 , 3 , 2010 , 2.12 , 2.07 , 2.12 , 2.10 
9 , 7 , 2010 , 2.10 , 2.05 , 2.08 , 2.06 
9 , 8 , 2010 , 2.07 , 1.98 , 2.06 , 2.01 
9 , 9 , 2010 , 2.03 , 1.95 , 2.01 , 1.97 
9 , 10 , 2010 , 1.97 , 1.84 , 1.95 , 1.87 
9 , 13 , 2010 , 1.91 , 1.88 , 1.88 , 1.90 
9 , 14 , 2010 , 2.02 , 1.86 , 1.88 , 1.99 
9 , 15 , 2010 , 2.01 , 1.89 , 1.98 , 1.91 
9 , 16 , 2010 , 1.97 , 1.90 , 1.90 , 1.93 
