Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 6.88 , 6.68 , 6.85 , 6.70 
3 , 18 , 2010 , 6.78 , 6.39 , 6.75 , 6.39 
3 , 19 , 2010 , 6.49 , 6.32 , 6.43 , 6.32 
3 , 22 , 2010 , 6.48 , 6.15 , 6.27 , 6.44 
3 , 23 , 2010 , 6.60 , 6.40 , 6.42 , 6.60 
3 , 24 , 2010 , 6.72 , 6.52 , 6.58 , 6.63 
3 , 25 , 2010 , 6.74 , 6.29 , 6.70 , 6.31 
3 , 26 , 2010 , 6.37 , 5.87 , 6.32 , 6.00 
3 , 29 , 2010 , 6.07 , 5.90 , 6.01 , 6.06 
3 , 30 , 2010 , 6.11 , 5.97 , 6.07 , 6.03 
3 , 31 , 2010 , 6.03 , 5.86 , 6.01 , 5.87 
4 , 1 , 2010 , 5.97 , 5.76 , 5.93 , 5.78 
4 , 5 , 2010 , 5.64 , 5.35 , 5.61 , 5.59 
4 , 6 , 2010 , 5.80 , 5.54 , 5.60 , 5.62 
4 , 7 , 2010 , 5.72 , 5.50 , 5.60 , 5.54 
4 , 8 , 2010 , 5.57 , 5.43 , 5.54 , 5.48 
4 , 9 , 2010 , 5.60 , 5.37 , 5.50 , 5.52 
4 , 12 , 2010 , 5.57 , 5.40 , 5.49 , 5.47 
4 , 13 , 2010 , 5.47 , 5.27 , 5.47 , 5.33 
4 , 14 , 2010 , 5.43 , 5.33 , 5.39 , 5.43 
4 , 15 , 2010 , 5.46 , 5.27 , 5.44 , 5.37 
4 , 16 , 2010 , 5.40 , 5.21 , 5.37 , 5.21 
4 , 19 , 2010 , 5.40 , 5.20 , 5.27 , 5.30 
4 , 20 , 2010 , 5.43 , 5.31 , 5.35 , 5.39 
4 , 21 , 2010 , 5.43 , 5.31 , 5.39 , 5.38 
4 , 22 , 2010 , 5.63 , 5.32 , 5.34 , 5.61 
4 , 23 , 2010 , 5.39 , 4.87 , 5.33 , 4.90 
4 , 26 , 2010 , 4.96 , 4.74 , 4.93 , 4.77 
4 , 27 , 2010 , 5.07 , 4.80 , 4.92 , 4.95 
4 , 28 , 2010 , 4.99 , 4.80 , 4.99 , 4.83 
4 , 29 , 2010 , 4.90 , 4.81 , 4.86 , 4.87 
4 , 30 , 2010 , 4.91 , 4.73 , 4.86 , 4.75 
5 , 3 , 2010 , 4.85 , 4.61 , 4.76 , 4.84 
5 , 4 , 2010 , 4.81 , 4.69 , 4.79 , 4.76 
5 , 5 , 2010 , 4.78 , 4.65 , 4.74 , 4.75 
5 , 6 , 2010 , 4.78 , 4.48 , 4.72 , 4.61 
5 , 7 , 2010 , 4.65 , 4.40 , 4.55 , 4.41 
5 , 10 , 2010 , 4.67 , 4.52 , 4.63 , 4.65 
5 , 11 , 2010 , 4.76 , 4.56 , 4.60 , 4.68 
5 , 12 , 2010 , 4.90 , 4.65 , 4.68 , 4.89 
5 , 13 , 2010 , 5.17 , 4.85 , 4.90 , 5.10 
5 , 14 , 2010 , 5.12 , 4.89 , 5.05 , 5.04 
5 , 17 , 2010 , 5.10 , 4.95 , 5.07 , 5.06 
5 , 18 , 2010 , 5.17 , 4.93 , 5.11 , 4.96 
5 , 19 , 2010 , 4.98 , 4.83 , 4.95 , 4.86 
