Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 41.31 , 40.70 , 41.18 , 41.01 
3 , 18 , 2010 , 41.06 , 40.48 , 40.90 , 41.00 
3 , 19 , 2010 , 41.28 , 40.28 , 41.23 , 40.33 
3 , 22 , 2010 , 41.24 , 39.83 , 39.90 , 41.08 
3 , 23 , 2010 , 41.37 , 40.82 , 41.10 , 41.24 
3 , 24 , 2010 , 41.46 , 40.85 , 41.04 , 41.01 
3 , 25 , 2010 , 42.28 , 41.20 , 41.37 , 41.42 
3 , 26 , 2010 , 41.77 , 40.91 , 41.57 , 41.12 
3 , 29 , 2010 , 41.68 , 41.00 , 41.27 , 41.48 
3 , 30 , 2010 , 41.50 , 41.07 , 41.31 , 41.29 
3 , 31 , 2010 , 41.60 , 40.83 , 41.01 , 41.26 
4 , 1 , 2010 , 41.90 , 41.36 , 41.68 , 41.70 
4 , 5 , 2010 , 42.68 , 41.74 , 41.83 , 42.67 
4 , 6 , 2010 , 43.14 , 42.30 , 42.39 , 43.12 
4 , 7 , 2010 , 43.37 , 42.03 , 42.88 , 42.37 
4 , 8 , 2010 , 43.84 , 42.06 , 42.22 , 43.69 
4 , 9 , 2010 , 44.09 , 43.54 , 43.69 , 43.88 
4 , 12 , 2010 , 44.58 , 43.94 , 44.01 , 44.54 
4 , 13 , 2010 , 45.06 , 44.33 , 44.39 , 44.99 
4 , 14 , 2010 , 46.63 , 45.22 , 45.46 , 46.46 
4 , 15 , 2010 , 46.68 , 46.02 , 46.22 , 46.67 
4 , 16 , 2010 , 46.61 , 44.18 , 46.49 , 45.10 
4 , 19 , 2010 , 45.79 , 44.63 , 44.81 , 45.76 
4 , 20 , 2010 , 46.29 , 45.52 , 46.11 , 46.20 
4 , 21 , 2010 , 46.38 , 45.50 , 46.16 , 45.99 
4 , 22 , 2010 , 47.11 , 45.18 , 45.66 , 46.77 
4 , 23 , 2010 , 49.19 , 47.66 , 47.92 , 48.05 
4 , 26 , 2010 , 47.97 , 46.81 , 47.12 , 47.14 
4 , 27 , 2010 , 47.49 , 45.61 , 46.71 , 45.79 
4 , 28 , 2010 , 46.37 , 45.52 , 46.23 , 46.08 
4 , 29 , 2010 , 47.81 , 46.41 , 46.63 , 47.60 
4 , 30 , 2010 , 48.03 , 45.80 , 47.52 , 46.12 
5 , 3 , 2010 , 47.37 , 46.12 , 46.39 , 47.20 
5 , 4 , 2010 , 46.80 , 45.45 , 46.70 , 45.86 
5 , 5 , 2010 , 46.19 , 43.93 , 45.41 , 44.43 
5 , 6 , 2010 , 45.14 , 40.16 , 44.41 , 42.50 
5 , 7 , 2010 , 42.84 , 40.50 , 42.24 , 40.60 
5 , 10 , 2010 , 43.30 , 42.57 , 42.99 , 43.09 
5 , 11 , 2010 , 44.27 , 42.55 , 42.79 , 43.33 
5 , 12 , 2010 , 44.21 , 43.18 , 43.56 , 44.10 
5 , 13 , 2010 , 44.06 , 42.72 , 43.85 , 42.81 
5 , 14 , 2010 , 42.11 , 40.06 , 42.03 , 40.64 
5 , 17 , 2010 , 41.74 , 39.80 , 41.25 , 41.22 
5 , 18 , 2010 , 41.74 , 39.26 , 41.56 , 39.84 
5 , 19 , 2010 , 40.78 , 39.14 , 39.35 , 40.17 
5 , 20 , 2010 , 40.57 , 38.56 , 39.67 , 38.62 
5 , 21 , 2010 , 40.06 , 37.36 , 37.66 , 39.82 
5 , 24 , 2010 , 40.00 , 38.93 , 39.91 , 39.04 
5 , 25 , 2010 , 39.00 , 37.60 , 37.96 , 39.00 
5 , 26 , 2010 , 39.66 , 37.96 , 39.46 , 38.17 
5 , 27 , 2010 , 40.42 , 39.03 , 39.12 , 40.33 
5 , 28 , 2010 , 40.71 , 39.55 , 40.17 , 39.87 
6 , 1 , 2010 , 40.30 , 39.05 , 39.18 , 39.19 
6 , 2 , 2010 , 41.00 , 39.00 , 39.46 , 40.97 
6 , 3 , 2010 , 41.37 , 40.18 , 41.31 , 40.54 
6 , 4 , 2010 , 39.83 , 38.20 , 39.47 , 38.41 
6 , 7 , 2010 , 39.05 , 37.61 , 38.69 , 37.71 
6 , 8 , 2010 , 38.52 , 37.13 , 37.94 , 38.43 
6 , 9 , 2010 , 39.24 , 37.97 , 38.84 , 38.11 
6 , 10 , 2010 , 40.12 , 38.67 , 38.75 , 40.03 
6 , 11 , 2010 , 40.20 , 39.33 , 39.49 , 40.13 
6 , 14 , 2010 , 40.68 , 39.87 , 40.47 , 39.89 
6 , 15 , 2010 , 41.64 , 40.18 , 40.46 , 41.59 
6 , 16 , 2010 , 42.51 , 41.19 , 41.44 , 42.34 
6 , 17 , 2010 , 42.73 , 41.45 , 42.70 , 42.06 
6 , 18 , 2010 , 42.26 , 41.67 , 42.14 , 42.03 
6 , 21 , 2010 , 43.14 , 42.03 , 42.76 , 42.60 
6 , 22 , 2010 , 42.92 , 41.84 , 42.64 , 41.94 
6 , 23 , 2010 , 42.48 , 41.12 , 41.99 , 42.17 
6 , 24 , 2010 , 42.34 , 40.94 , 41.82 , 41.06 
6 , 25 , 2010 , 42.67 , 40.94 , 41.51 , 42.67 
6 , 28 , 2010 , 42.74 , 41.81 , 42.52 , 42.11 
6 , 29 , 2010 , 41.54 , 39.75 , 41.49 , 40.09 
6 , 30 , 2010 , 40.60 , 39.58 , 39.82 , 39.70 
7 , 1 , 2010 , 40.08 , 38.42 , 39.55 , 39.48 
7 , 2 , 2010 , 39.89 , 38.91 , 39.81 , 39.42 
7 , 6 , 2010 , 40.33 , 38.74 , 40.16 , 39.21 
7 , 7 , 2010 , 41.22 , 39.02 , 39.07 , 41.15 
7 , 8 , 2010 , 42.18 , 41.41 , 41.75 , 42.12 
7 , 9 , 2010 , 42.61 , 41.93 , 42.11 , 42.58 
7 , 12 , 2010 , 42.96 , 42.25 , 42.40 , 42.83 
