Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 173.03 , 168.48 , 168.48 , 172.00 
3 , 18 , 2010 , 174.15 , 171.29 , 172.49 , 172.21 
3 , 19 , 2010 , 173.19 , 170.15 , 170.35 , 172.28 
3 , 22 , 2010 , 174.82 , 171.62 , 172.65 , 174.19 
3 , 23 , 2010 , 175.39 , 173.64 , 173.81 , 175.05 
3 , 24 , 2010 , 174.33 , 172.75 , 173.88 , 173.57 
3 , 25 , 2010 , 175.23 , 173.82 , 173.82 , 173.93 
3 , 26 , 2010 , 175.35 , 173.31 , 173.93 , 174.22 
3 , 29 , 2010 , 174.73 , 172.87 , 174.22 , 173.23 
3 , 30 , 2010 , 174.89 , 172.73 , 172.84 , 173.58 
3 , 31 , 2010 , 173.84 , 172.43 , 173.11 , 173.09 
4 , 1 , 2010 , 175.33 , 173.82 , 173.82 , 174.88 
4 , 5 , 2010 , 174.99 , 172.90 , 174.59 , 173.53 
4 , 6 , 2010 , 174.14 , 172.59 , 173.51 , 173.97 
4 , 7 , 2010 , 176.63 , 172.62 , 173.70 , 176.00 
4 , 8 , 2010 , 176.09 , 174.17 , 175.44 , 175.05 
4 , 9 , 2010 , 175.60 , 174.20 , 175.40 , 175.29 
4 , 12 , 2010 , 176.10 , 174.83 , 175.12 , 175.42 
4 , 13 , 2010 , 176.06 , 174.68 , 175.23 , 175.44 
4 , 14 , 2010 , 180.20 , 175.62 , 176.44 , 179.80 
4 , 15 , 2010 , 181.25 , 179.02 , 179.64 , 181.05 
4 , 16 , 2010 , 181.50 , 179.54 , 181.01 , 180.11 
4 , 19 , 2010 , 180.73 , 177.67 , 179.56 , 180.00 
4 , 20 , 2010 , 180.99 , 179.20 , 180.47 , 179.76 
4 , 21 , 2010 , 181.32 , 179.08 , 179.99 , 181.00 
4 , 22 , 2010 , 183.27 , 180.05 , 180.44 , 182.24 
4 , 23 , 2010 , 184.07 , 181.67 , 182.05 , 184.05 
