Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 69.49 , 68.29 , 68.97 , 69.38 
3 , 18 , 2010 , 70.93 , 69.19 , 69.35 , 70.87 
3 , 19 , 2010 , 73.30 , 70.72 , 73.20 , 70.72 
3 , 22 , 2010 , 72.64 , 71.51 , 71.66 , 71.91 
3 , 23 , 2010 , 72.63 , 71.51 , 72.54 , 72.18 
3 , 24 , 2010 , 73.20 , 71.78 , 72.42 , 72.32 
3 , 25 , 2010 , 73.43 , 72.00 , 72.95 , 72.49 
3 , 26 , 2010 , 72.99 , 72.35 , 72.66 , 72.59 
3 , 29 , 2010 , 74.53 , 73.00 , 73.08 , 74.11 
3 , 30 , 2010 , 74.18 , 72.70 , 73.84 , 73.53 
3 , 31 , 2010 , 73.06 , 71.95 , 72.92 , 72.61 
4 , 1 , 2010 , 73.51 , 72.30 , 73.24 , 72.99 
4 , 5 , 2010 , 73.05 , 70.95 , 72.99 , 72.04 
4 , 6 , 2010 , 73.18 , 71.77 , 71.84 , 72.36 
4 , 7 , 2010 , 72.52 , 71.47 , 72.16 , 72.10 
4 , 8 , 2010 , 72.46 , 71.21 , 71.89 , 72.28 
4 , 9 , 2010 , 72.66 , 71.81 , 72.26 , 72.42 
4 , 12 , 2010 , 72.57 , 71.80 , 72.15 , 71.92 
4 , 13 , 2010 , 71.69 , 70.50 , 71.54 , 71.19 
4 , 14 , 2010 , 71.76 , 70.81 , 70.83 , 71.70 
4 , 15 , 2010 , 72.61 , 71.34 , 71.34 , 72.09 
4 , 16 , 2010 , 72.10 , 69.88 , 72.10 , 70.79 
4 , 19 , 2010 , 71.28 , 70.16 , 70.27 , 70.96 
4 , 20 , 2010 , 71.98 , 70.95 , 71.54 , 71.41 
4 , 21 , 2010 , 74.65 , 71.51 , 71.51 , 74.16 
4 , 22 , 2010 , 76.00 , 73.68 , 74.46 , 75.59 
4 , 23 , 2010 , 75.68 , 74.55 , 75.04 , 75.13 
4 , 26 , 2010 , 75.29 , 74.14 , 74.58 , 74.34 
4 , 27 , 2010 , 74.93 , 72.23 , 74.65 , 72.48 
4 , 28 , 2010 , 72.99 , 71.34 , 72.95 , 72.37 
4 , 29 , 2010 , 74.00 , 72.67 , 73.00 , 73.79 
4 , 30 , 2010 , 74.48 , 72.26 , 73.80 , 72.43 
5 , 3 , 2010 , 74.70 , 72.46 , 72.62 , 74.39 
5 , 4 , 2010 , 73.45 , 72.23 , 73.39 , 72.79 
5 , 5 , 2010 , 72.04 , 70.44 , 71.90 , 71.00 
5 , 6 , 2010 , 71.49 , 62.00 , 70.66 , 67.97 
5 , 7 , 2010 , 69.12 , 65.80 , 68.29 , 66.72 
5 , 10 , 2010 , 71.73 , 69.80 , 69.96 , 71.00 
5 , 11 , 2010 , 72.67 , 70.14 , 70.31 , 71.42 
5 , 12 , 2010 , 73.37 , 72.04 , 72.04 , 72.87 
5 , 13 , 2010 , 73.30 , 71.56 , 72.66 , 71.76 
5 , 14 , 2010 , 71.40 , 68.98 , 71.08 , 69.82 
5 , 17 , 2010 , 70.37 , 67.62 , 70.36 , 69.68 
5 , 18 , 2010 , 70.13 , 67.30 , 69.89 , 67.73 
5 , 19 , 2010 , 67.55 , 65.29 , 66.85 , 66.21 
5 , 20 , 2010 , 65.11 , 62.80 , 65.00 , 63.00 
5 , 21 , 2010 , 65.00 , 61.39 , 61.99 , 64.56 
5 , 24 , 2010 , 64.61 , 63.06 , 63.66 , 63.15 
5 , 25 , 2010 , 62.98 , 60.61 , 61.00 , 62.78 
5 , 26 , 2010 , 65.41 , 63.00 , 63.60 , 63.26 
5 , 27 , 2010 , 65.23 , 63.91 , 64.86 , 65.13 
5 , 28 , 2010 , 65.26 , 63.51 , 65.15 , 64.18 
6 , 1 , 2010 , 65.20 , 62.86 , 64.27 , 62.95 
6 , 2 , 2010 , 64.37 , 62.06 , 63.39 , 64.34 
6 , 3 , 2010 , 64.84 , 63.51 , 64.84 , 64.31 
6 , 4 , 2010 , 63.41 , 60.93 , 63.25 , 61.15 
6 , 7 , 2010 , 61.70 , 60.07 , 61.69 , 60.11 
6 , 8 , 2010 , 61.10 , 59.84 , 60.33 , 61.02 
6 , 9 , 2010 , 63.18 , 61.17 , 61.48 , 61.71 
6 , 10 , 2010 , 64.01 , 62.30 , 62.81 , 63.89 
6 , 11 , 2010 , 65.70 , 63.15 , 63.16 , 65.38 
6 , 14 , 2010 , 66.55 , 64.71 , 66.22 , 64.82 
6 , 15 , 2010 , 67.57 , 65.47 , 65.67 , 67.48 
6 , 16 , 2010 , 67.56 , 66.60 , 66.93 , 67.03 
6 , 17 , 2010 , 67.49 , 65.88 , 67.48 , 67.26 
6 , 18 , 2010 , 68.14 , 67.16 , 67.38 , 67.96 
6 , 21 , 2010 , 69.34 , 67.57 , 68.95 , 67.97 
