Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 17.30 , 17.03 , 17.17 , 17.27 
3 , 18 , 2010 , 17.32 , 16.98 , 17.29 , 17.08 
3 , 19 , 2010 , 17.23 , 16.74 , 17.16 , 16.82 
3 , 22 , 2010 , 16.97 , 16.60 , 16.62 , 16.96 
3 , 23 , 2010 , 17.22 , 16.94 , 17.08 , 17.13 
3 , 24 , 2010 , 17.73 , 17.10 , 17.12 , 17.57 
3 , 25 , 2010 , 18.35 , 17.70 , 17.84 , 17.74 
3 , 26 , 2010 , 18.23 , 17.75 , 17.98 , 17.90 
3 , 29 , 2010 , 18.20 , 17.77 , 18.17 , 18.04 
3 , 30 , 2010 , 18.12 , 17.67 , 18.06 , 17.76 
3 , 31 , 2010 , 17.98 , 17.67 , 17.69 , 17.85 
4 , 1 , 2010 , 18.10 , 17.89 , 18.02 , 18.04 
4 , 5 , 2010 , 18.25 , 18.02 , 18.16 , 18.13 
4 , 6 , 2010 , 18.54 , 18.10 , 18.16 , 18.49 
4 , 7 , 2010 , 18.86 , 18.53 , 18.58 , 18.62 
4 , 8 , 2010 , 18.84 , 18.31 , 18.59 , 18.65 
4 , 9 , 2010 , 18.85 , 18.50 , 18.82 , 18.59 
4 , 12 , 2010 , 18.82 , 18.60 , 18.68 , 18.66 
4 , 13 , 2010 , 18.72 , 18.49 , 18.61 , 18.67 
4 , 14 , 2010 , 19.42 , 18.92 , 18.98 , 19.40 
4 , 15 , 2010 , 19.86 , 19.36 , 19.63 , 19.48 
4 , 16 , 2010 , 19.48 , 18.05 , 19.47 , 18.41 
4 , 19 , 2010 , 18.65 , 17.87 , 18.10 , 18.39 
4 , 20 , 2010 , 18.83 , 18.44 , 18.79 , 18.61 
4 , 21 , 2010 , 18.91 , 18.11 , 18.67 , 18.28 
4 , 22 , 2010 , 18.60 , 17.95 , 18.03 , 18.54 
4 , 23 , 2010 , 18.53 , 18.28 , 18.40 , 18.43 
4 , 26 , 2010 , 18.44 , 18.03 , 18.41 , 18.05 
4 , 27 , 2010 , 18.18 , 17.41 , 17.91 , 17.47 
4 , 28 , 2010 , 17.96 , 17.51 , 17.65 , 17.78 
4 , 29 , 2010 , 18.40 , 17.99 , 18.04 , 18.30 
4 , 30 , 2010 , 18.30 , 17.61 , 18.28 , 17.83 
5 , 3 , 2010 , 18.15 , 17.78 , 17.88 , 18.06 
5 , 4 , 2010 , 17.91 , 17.48 , 17.77 , 17.56 
5 , 5 , 2010 , 17.84 , 16.89 , 17.20 , 17.53 
5 , 6 , 2010 , 17.61 , 15.50 , 17.48 , 16.28 
5 , 7 , 2010 , 16.79 , 15.95 , 16.48 , 16.18 
5 , 10 , 2010 , 17.39 , 17.01 , 17.23 , 17.30 
5 , 11 , 2010 , 17.49 , 16.97 , 17.08 , 17.16 
5 , 12 , 2010 , 17.33 , 16.99 , 17.27 , 17.07 
5 , 13 , 2010 , 17.18 , 16.85 , 17.03 , 16.87 
5 , 14 , 2010 , 16.72 , 16.12 , 16.71 , 16.34 
5 , 17 , 2010 , 16.45 , 15.85 , 16.39 , 16.35 
5 , 18 , 2010 , 16.75 , 15.67 , 16.71 , 15.95 
5 , 19 , 2010 , 16.46 , 15.80 , 15.80 , 16.31 
5 , 20 , 2010 , 16.05 , 15.28 , 15.96 , 15.30 
5 , 21 , 2010 , 16.00 , 14.95 , 14.96 , 15.99 
5 , 24 , 2010 , 16.08 , 15.39 , 15.98 , 15.40 
5 , 25 , 2010 , 15.54 , 14.80 , 14.91 , 15.49 
5 , 26 , 2010 , 16.10 , 15.38 , 15.91 , 15.47 
5 , 27 , 2010 , 16.20 , 15.59 , 15.81 , 16.18 
5 , 28 , 2010 , 16.18 , 15.71 , 16.17 , 15.74 
6 , 1 , 2010 , 15.98 , 15.40 , 15.58 , 15.44 
6 , 2 , 2010 , 15.92 , 15.35 , 15.58 , 15.89 
6 , 3 , 2010 , 16.07 , 15.69 , 15.96 , 15.81 
6 , 4 , 2010 , 15.73 , 15.25 , 15.50 , 15.35 
6 , 7 , 2010 , 15.40 , 14.77 , 15.36 , 14.83 
6 , 8 , 2010 , 15.35 , 14.79 , 14.88 , 15.33 
6 , 9 , 2010 , 15.49 , 14.94 , 15.43 , 15.01 
6 , 10 , 2010 , 15.48 , 15.11 , 15.27 , 15.46 
6 , 11 , 2010 , 15.70 , 15.31 , 15.33 , 15.60 
6 , 14 , 2010 , 15.79 , 15.39 , 15.70 , 15.41 
6 , 15 , 2010 , 15.84 , 15.31 , 15.56 , 15.80 
6 , 16 , 2010 , 15.97 , 15.65 , 15.70 , 15.87 
6 , 17 , 2010 , 16.07 , 15.59 , 15.96 , 15.82 
6 , 18 , 2010 , 15.91 , 15.74 , 15.88 , 15.82 
6 , 21 , 2010 , 16.10 , 15.75 , 16.03 , 15.79 
6 , 22 , 2010 , 15.91 , 15.56 , 15.78 , 15.58 
6 , 23 , 2010 , 15.71 , 15.29 , 15.60 , 15.43 
6 , 24 , 2010 , 15.31 , 14.98 , 15.27 , 15.02 
6 , 25 , 2010 , 15.62 , 15.11 , 15.26 , 15.42 
6 , 28 , 2010 , 15.55 , 15.21 , 15.50 , 15.24 
6 , 29 , 2010 , 15.05 , 14.45 , 15.01 , 14.57 
6 , 30 , 2010 , 14.80 , 14.30 , 14.62 , 14.37 
7 , 1 , 2010 , 14.35 , 13.50 , 14.32 , 14.02 
7 , 2 , 2010 , 14.10 , 13.68 , 14.10 , 13.84 
7 , 6 , 2010 , 14.31 , 13.83 , 14.13 , 14.06 
7 , 7 , 2010 , 14.73 , 14.10 , 14.12 , 14.71 
7 , 8 , 2010 , 14.94 , 14.60 , 14.88 , 14.86 
7 , 9 , 2010 , 15.13 , 14.75 , 14.86 , 15.11 
7 , 12 , 2010 , 15.25 , 14.97 , 15.07 , 15.21 
7 , 13 , 2010 , 15.72 , 15.40 , 15.48 , 15.67 
7 , 14 , 2010 , 15.72 , 15.42 , 15.60 , 15.67 
7 , 15 , 2010 , 15.69 , 15.06 , 15.66 , 15.39 
7 , 16 , 2010 , 14.67 , 13.96 , 14.63 , 13.98 
7 , 19 , 2010 , 14.02 , 13.30 , 13.97 , 13.61 
7 , 20 , 2010 , 13.85 , 13.30 , 13.36 , 13.77 
7 , 21 , 2010 , 13.97 , 13.33 , 13.96 , 13.36 
7 , 22 , 2010 , 13.89 , 13.54 , 13.55 , 13.66 
7 , 23 , 2010 , 13.80 , 13.47 , 13.68 , 13.74 
7 , 26 , 2010 , 14.21 , 13.71 , 13.85 , 14.15 
7 , 27 , 2010 , 14.65 , 14.18 , 14.52 , 14.19 
7 , 28 , 2010 , 14.24 , 13.96 , 14.12 , 13.99 
7 , 29 , 2010 , 14.21 , 13.90 , 14.15 , 14.03 
7 , 30 , 2010 , 14.24 , 13.85 , 13.88 , 14.04 
8 , 2 , 2010 , 14.47 , 14.23 , 14.38 , 14.44 
8 , 3 , 2010 , 14.46 , 14.29 , 14.36 , 14.34 
8 , 4 , 2010 , 14.39 , 14.12 , 14.36 , 14.19 
8 , 5 , 2010 , 14.13 , 13.96 , 14.09 , 14.02 
8 , 6 , 2010 , 14.04 , 13.75 , 13.91 , 13.96 
8 , 9 , 2010 , 14.07 , 13.75 , 14.06 , 13.91 
8 , 10 , 2010 , 13.82 , 13.61 , 13.77 , 13.63 
8 , 11 , 2010 , 13.52 , 13.16 , 13.50 , 13.19 
8 , 12 , 2010 , 13.35 , 13.02 , 13.05 , 13.06 
8 , 13 , 2010 , 13.34 , 13.11 , 13.11 , 13.23 
8 , 16 , 2010 , 13.29 , 13.09 , 13.13 , 13.19 
8 , 17 , 2010 , 13.45 , 13.15 , 13.41 , 13.21 
8 , 18 , 2010 , 13.50 , 13.24 , 13.25 , 13.32 
8 , 19 , 2010 , 13.37 , 13.01 , 13.28 , 13.02 
8 , 20 , 2010 , 12.99 , 12.75 , 12.98 , 12.87 
8 , 23 , 2010 , 13.10 , 12.86 , 13.07 , 12.87 
8 , 24 , 2010 , 12.83 , 12.59 , 12.75 , 12.64 
8 , 25 , 2010 , 12.72 , 12.42 , 12.56 , 12.66 
8 , 26 , 2010 , 12.90 , 12.47 , 12.74 , 12.47 
8 , 27 , 2010 , 12.72 , 12.41 , 12.57 , 12.64 
8 , 30 , 2010 , 12.60 , 12.27 , 12.54 , 12.32 
8 , 31 , 2010 , 12.52 , 12.18 , 12.33 , 12.46 
9 , 1 , 2010 , 13.21 , 12.60 , 12.64 , 13.21 
9 , 2 , 2010 , 13.44 , 13.15 , 13.15 , 13.28 
9 , 3 , 2010 , 13.69 , 13.33 , 13.50 , 13.50 
9 , 7 , 2010 , 13.42 , 13.20 , 13.38 , 13.21 
9 , 8 , 2010 , 13.49 , 13.23 , 13.26 , 13.37 
9 , 9 , 2010 , 13.87 , 13.48 , 13.58 , 13.50 
9 , 10 , 2010 , 13.66 , 13.51 , 13.60 , 13.55 
9 , 13 , 2010 , 14.06 , 13.87 , 13.94 , 13.95 
9 , 14 , 2010 , 13.97 , 13.64 , 13.96 , 13.68 
9 , 15 , 2010 , 13.79 , 13.51 , 13.62 , 13.71 
9 , 16 , 2010 , 13.66 , 13.51 , 13.62 , 13.55 
9 , 17 , 2010 , 13.70 , 13.34 , 13.69 , 13.40 
9 , 20 , 2010 , 13.81 , 13.37 , 13.46 , 13.74 
9 , 21 , 2010 , 14.00 , 13.64 , 13.95 , 13.65 
9 , 22 , 2010 , 13.77 , 13.41 , 13.63 , 13.42 
9 , 23 , 2010 , 13.43 , 13.12 , 13.31 , 13.17 
9 , 24 , 2010 , 13.60 , 13.30 , 13.37 , 13.60 
9 , 27 , 2010 , 13.63 , 13.23 , 13.61 , 13.24 
9 , 28 , 2010 , 13.32 , 13.15 , 13.31 , 13.27 
9 , 29 , 2010 , 13.29 , 13.05 , 13.24 , 13.11 
9 , 30 , 2010 , 13.39 , 13.05 , 13.21 , 13.10 
10 , 1 , 2010 , 13.42 , 13.06 , 13.22 , 13.30 
10 , 4 , 2010 , 13.45 , 13.13 , 13.27 , 13.15 
10 , 5 , 2010 , 13.64 , 13.21 , 13.32 , 13.56 
10 , 6 , 2010 , 13.66 , 13.32 , 13.63 , 13.39 
