Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 77.57 , 76.87 , 77.56 , 77.25 
3 , 18 , 2010 , 77.59 , 76.94 , 77.02 , 77.40 
3 , 19 , 2010 , 77.67 , 76.74 , 77.67 , 77.12 
3 , 22 , 2010 , 78.54 , 77.02 , 77.10 , 78.13 
3 , 23 , 2010 , 78.43 , 77.32 , 78.16 , 77.71 
3 , 24 , 2010 , 77.67 , 76.82 , 77.44 , 77.03 
3 , 25 , 2010 , 77.66 , 76.77 , 77.45 , 76.89 
3 , 26 , 2010 , 77.01 , 76.28 , 76.89 , 76.54 
3 , 29 , 2010 , 77.18 , 76.44 , 76.49 , 77.02 
3 , 30 , 2010 , 77.19 , 76.92 , 77.19 , 77.07 
3 , 31 , 2010 , 77.41 , 76.44 , 77.00 , 76.76 
4 , 1 , 2010 , 77.25 , 76.45 , 76.95 , 76.98 
4 , 5 , 2010 , 77.23 , 76.45 , 77.22 , 76.54 
4 , 6 , 2010 , 76.86 , 76.15 , 76.45 , 76.46 
4 , 7 , 2010 , 77.21 , 76.06 , 76.06 , 76.53 
4 , 8 , 2010 , 76.95 , 76.25 , 76.59 , 76.66 
4 , 9 , 2010 , 77.00 , 76.41 , 76.79 , 76.93 
4 , 12 , 2010 , 77.28 , 76.75 , 77.04 , 77.02 
4 , 13 , 2010 , 77.02 , 76.25 , 76.95 , 76.75 
4 , 14 , 2010 , 76.81 , 76.17 , 76.57 , 76.52 
4 , 15 , 2010 , 76.78 , 76.02 , 76.28 , 76.09 
4 , 16 , 2010 , 76.44 , 75.52 , 76.03 , 75.79 
4 , 19 , 2010 , 76.70 , 75.87 , 76.13 , 76.49 
4 , 20 , 2010 , 77.85 , 76.63 , 76.73 , 77.66 
4 , 21 , 2010 , 77.92 , 76.40 , 77.77 , 76.59 
4 , 22 , 2010 , 75.88 , 74.12 , 75.62 , 75.33 
4 , 23 , 2010 , 76.40 , 75.21 , 75.61 , 75.61 
4 , 26 , 2010 , 76.12 , 74.47 , 75.64 , 74.49 
4 , 27 , 2010 , 74.78 , 73.72 , 74.78 , 74.13 
4 , 28 , 2010 , 75.11 , 74.10 , 74.18 , 74.78 
4 , 29 , 2010 , 76.41 , 73.39 , 73.39 , 74.68 
4 , 30 , 2010 , 75.22 , 74.14 , 74.82 , 74.46 
5 , 3 , 2010 , 74.61 , 73.27 , 74.47 , 74.31 
5 , 4 , 2010 , 74.00 , 73.09 , 73.64 , 73.55 
5 , 5 , 2010 , 74.27 , 72.89 , 73.52 , 73.72 
5 , 6 , 2010 , 73.99 , 70.66 , 73.49 , 73.00 
5 , 7 , 2010 , 73.17 , 71.29 , 73.11 , 71.81 
5 , 10 , 2010 , 74.78 , 72.83 , 72.89 , 73.68 
5 , 11 , 2010 , 73.45 , 72.38 , 73.45 , 72.88 
5 , 12 , 2010 , 73.41 , 72.40 , 73.13 , 73.22 
5 , 13 , 2010 , 73.79 , 72.54 , 73.34 , 72.60 
5 , 14 , 2010 , 72.44 , 70.99 , 72.44 , 71.42 
5 , 17 , 2010 , 72.19 , 71.28 , 71.28 , 71.93 
5 , 18 , 2010 , 73.23 , 72.28 , 72.74 , 72.44 
5 , 19 , 2010 , 72.69 , 71.43 , 72.32 , 71.88 
5 , 20 , 2010 , 70.99 , 69.85 , 70.93 , 69.85 
5 , 21 , 2010 , 70.01 , 68.20 , 69.44 , 69.70 
5 , 24 , 2010 , 70.33 , 69.46 , 69.62 , 69.54 
5 , 25 , 2010 , 69.75 , 67.84 , 68.74 , 69.65 
5 , 26 , 2010 , 70.48 , 68.85 , 69.79 , 68.89 
5 , 27 , 2010 , 70.44 , 69.31 , 69.77 , 70.40 
5 , 28 , 2010 , 70.42 , 69.39 , 70.42 , 69.51 
6 , 1 , 2010 , 70.07 , 68.91 , 69.31 , 68.94 
6 , 2 , 2010 , 70.65 , 68.49 , 68.87 , 70.59 
6 , 3 , 2010 , 71.05 , 69.94 , 70.38 , 70.58 
6 , 4 , 2010 , 69.80 , 68.20 , 69.80 , 68.32 
6 , 7 , 2010 , 68.78 , 67.53 , 68.60 , 67.55 
6 , 8 , 2010 , 67.64 , 66.40 , 67.34 , 67.19 
6 , 9 , 2010 , 67.93 , 66.78 , 67.17 , 66.92 
6 , 10 , 2010 , 68.05 , 67.48 , 67.67 , 68.01 
6 , 11 , 2010 , 68.07 , 67.44 , 67.81 , 67.94 
6 , 14 , 2010 , 69.26 , 68.34 , 69.26 , 68.43 
6 , 15 , 2010 , 69.33 , 68.44 , 68.69 , 69.33 
6 , 16 , 2010 , 70.24 , 68.71 , 69.12 , 70.24 
6 , 17 , 2010 , 70.41 , 69.68 , 70.28 , 70.12 
6 , 18 , 2010 , 70.22 , 69.48 , 70.17 , 69.53 
6 , 21 , 2010 , 70.34 , 69.46 , 69.93 , 69.69 
6 , 22 , 2010 , 70.74 , 69.37 , 69.69 , 69.38 
6 , 23 , 2010 , 69.47 , 68.15 , 69.43 , 68.29 
6 , 24 , 2010 , 68.54 , 67.59 , 68.26 , 67.68 
6 , 25 , 2010 , 68.17 , 67.02 , 67.59 , 67.32 
6 , 28 , 2010 , 67.87 , 66.78 , 67.58 , 67.43 
6 , 29 , 2010 , 66.61 , 65.32 , 66.35 , 65.76 
6 , 30 , 2010 , 66.43 , 65.37 , 65.55 , 65.93 
7 , 1 , 2010 , 66.03 , 64.96 , 66.03 , 65.60 
7 , 2 , 2010 , 66.65 , 65.60 , 65.65 , 66.27 
7 , 6 , 2010 , 67.11 , 65.90 , 66.91 , 66.47 
7 , 7 , 2010 , 68.54 , 66.20 , 66.43 , 68.52 
7 , 8 , 2010 , 69.24 , 67.70 , 68.75 , 68.21 
7 , 9 , 2010 , 68.33 , 67.32 , 68.16 , 67.72 
7 , 12 , 2010 , 67.72 , 67.11 , 67.66 , 67.35 
7 , 13 , 2010 , 68.32 , 67.66 , 67.81 , 67.78 
7 , 14 , 2010 , 67.85 , 66.80 , 67.54 , 67.85 
7 , 15 , 2010 , 67.94 , 67.14 , 67.56 , 67.62 
7 , 16 , 2010 , 67.60 , 65.93 , 67.43 , 66.05 
7 , 19 , 2010 , 66.67 , 66.11 , 66.28 , 66.35 
7 , 20 , 2010 , 66.46 , 65.46 , 65.84 , 66.42 
7 , 21 , 2010 , 66.55 , 64.97 , 66.55 , 65.24 
7 , 22 , 2010 , 66.53 , 65.42 , 65.57 , 65.71 
7 , 23 , 2010 , 65.39 , 64.80 , 65.39 , 65.21 
7 , 26 , 2010 , 66.92 , 65.05 , 65.38 , 66.83 
7 , 27 , 2010 , 67.52 , 66.38 , 67.49 , 66.56 
7 , 28 , 2010 , 67.08 , 65.70 , 66.38 , 66.62 
7 , 29 , 2010 , 68.18 , 65.45 , 67.58 , 65.85 
7 , 30 , 2010 , 67.42 , 65.19 , 65.47 , 67.08 
8 , 2 , 2010 , 68.73 , 67.47 , 67.81 , 68.64 
8 , 3 , 2010 , 69.11 , 68.35 , 68.60 , 68.69 
8 , 4 , 2010 , 69.48 , 68.49 , 68.86 , 69.41 
8 , 5 , 2010 , 69.98 , 68.97 , 68.97 , 69.82 
8 , 6 , 2010 , 70.00 , 68.72 , 69.41 , 69.88 
8 , 9 , 2010 , 70.20 , 69.70 , 69.81 , 70.08 
8 , 10 , 2010 , 70.87 , 69.28 , 69.65 , 70.58 
8 , 11 , 2010 , 69.98 , 68.76 , 69.81 , 69.32 
8 , 12 , 2010 , 69.44 , 68.46 , 68.46 , 69.28 
8 , 13 , 2010 , 69.47 , 68.87 , 69.22 , 69.18 
8 , 16 , 2010 , 69.03 , 68.38 , 68.85 , 68.86 
8 , 17 , 2010 , 70.50 , 68.90 , 69.13 , 70.18 
8 , 18 , 2010 , 70.86 , 69.78 , 70.17 , 70.52 
8 , 19 , 2010 , 70.23 , 68.94 , 70.16 , 69.52 
8 , 20 , 2010 , 69.68 , 68.20 , 69.09 , 69.05 
8 , 23 , 2010 , 70.00 , 69.21 , 69.29 , 69.23 
8 , 24 , 2010 , 68.59 , 67.33 , 68.59 , 67.56 
8 , 25 , 2010 , 68.32 , 67.21 , 67.27 , 68.01 
8 , 26 , 2010 , 68.20 , 67.10 , 68.07 , 67.11 
8 , 27 , 2010 , 68.04 , 66.96 , 67.31 , 67.97 
8 , 30 , 2010 , 68.16 , 67.51 , 67.78 , 67.52 
8 , 31 , 2010 , 67.54 , 66.36 , 67.36 , 66.48 
9 , 1 , 2010 , 68.04 , 67.11 , 67.11 , 67.78 
9 , 2 , 2010 , 68.51 , 67.80 , 67.88 , 68.51 
9 , 3 , 2010 , 68.92 , 68.22 , 68.83 , 68.85 
9 , 7 , 2010 , 68.62 , 67.87 , 68.15 , 68.08 
9 , 8 , 2010 , 68.29 , 67.80 , 68.12 , 67.96 
9 , 9 , 2010 , 69.22 , 68.17 , 68.43 , 69.05 
9 , 10 , 2010 , 69.60 , 68.83 , 69.02 , 69.48 
9 , 13 , 2010 , 70.24 , 69.17 , 69.90 , 69.41 
9 , 14 , 2010 , 70.14 , 69.08 , 69.43 , 69.80 
9 , 15 , 2010 , 70.96 , 69.45 , 69.45 , 70.73 
9 , 16 , 2010 , 71.23 , 70.09 , 70.45 , 70.93 
9 , 17 , 2010 , 71.66 , 71.04 , 71.22 , 71.64 
9 , 20 , 2010 , 71.84 , 70.93 , 71.72 , 71.74 
9 , 21 , 2010 , 72.15 , 71.49 , 71.95 , 71.86 
9 , 22 , 2010 , 72.43 , 71.20 , 71.85 , 71.64 
9 , 23 , 2010 , 71.78 , 71.08 , 71.16 , 71.28 
9 , 24 , 2010 , 72.44 , 71.72 , 71.87 , 72.42 
9 , 27 , 2010 , 73.02 , 72.34 , 72.83 , 72.36 
9 , 28 , 2010 , 72.98 , 72.12 , 72.58 , 72.94 
9 , 29 , 2010 , 72.83 , 72.00 , 72.67 , 72.31 
9 , 30 , 2010 , 72.95 , 72.12 , 72.50 , 72.24 
10 , 1 , 2010 , 72.85 , 71.84 , 72.69 , 72.44 
10 , 4 , 2010 , 72.43 , 71.55 , 72.29 , 71.82 
10 , 5 , 2010 , 73.21 , 72.18 , 72.24 , 72.99 
10 , 6 , 2010 , 73.50 , 72.83 , 73.05 , 73.25 
10 , 7 , 2010 , 73.60 , 72.39 , 73.43 , 72.65 
10 , 8 , 2010 , 73.12 , 72.58 , 72.83 , 72.88 
10 , 11 , 2010 , 73.59 , 72.92 , 73.10 , 73.04 
10 , 12 , 2010 , 73.76 , 72.52 , 72.84 , 73.66 
10 , 13 , 2010 , 74.25 , 73.59 , 73.86 , 74.11 
10 , 14 , 2010 , 74.45 , 73.83 , 74.26 , 74.17 
10 , 15 , 2010 , 74.58 , 73.71 , 74.58 , 74.22 
10 , 18 , 2010 , 74.93 , 74.20 , 74.24 , 74.89 
10 , 19 , 2010 , 74.70 , 73.98 , 74.35 , 74.44 
10 , 20 , 2010 , 75.08 , 74.50 , 74.53 , 74.97 
10 , 21 , 2010 , 75.69 , 74.81 , 75.07 , 75.07 
10 , 22 , 2010 , 75.33 , 74.40 , 74.90 , 74.49 
10 , 25 , 2010 , 75.30 , 74.76 , 74.76 , 74.98 
10 , 26 , 2010 , 75.08 , 74.66 , 74.70 , 74.81 
10 , 27 , 2010 , 74.69 , 73.73 , 74.44 , 74.24 
10 , 28 , 2010 , 75.28 , 74.19 , 75.09 , 74.48 
10 , 29 , 2010 , 74.23 , 73.63 , 73.97 , 73.63 
11 , 1 , 2010 , 74.15 , 73.04 , 74.15 , 73.40 
11 , 2 , 2010 , 74.31 , 73.35 , 73.95 , 73.49 
11 , 3 , 2010 , 74.10 , 72.78 , 73.72 , 73.65 
11 , 4 , 2010 , 76.79 , 74.40 , 74.40 , 76.29 
11 , 5 , 2010 , 76.20 , 75.40 , 75.95 , 75.60 
11 , 8 , 2010 , 76.03 , 74.71 , 75.03 , 75.62 
11 , 9 , 2010 , 76.23 , 75.33 , 75.56 , 75.83 
11 , 10 , 2010 , 76.28 , 75.23 , 75.52 , 76.22 
11 , 11 , 2010 , 76.39 , 75.28 , 75.76 , 76.31 
11 , 12 , 2010 , 75.87 , 75.20 , 75.83 , 75.33 
11 , 15 , 2010 , 76.16 , 74.88 , 74.88 , 75.45 
