Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 30.76 , 30.19 , 30.37 , 30.69 
3 , 18 , 2010 , 30.85 , 30.30 , 30.63 , 30.82 
3 , 19 , 2010 , 31.07 , 30.55 , 30.84 , 30.64 
3 , 22 , 2010 , 30.94 , 30.41 , 30.44 , 30.83 
3 , 23 , 2010 , 31.37 , 30.78 , 30.83 , 31.35 
3 , 24 , 2010 , 31.25 , 30.58 , 31.19 , 30.68 
3 , 25 , 2010 , 31.46 , 30.76 , 30.90 , 30.84 
3 , 26 , 2010 , 31.30 , 30.65 , 30.86 , 30.90 
3 , 29 , 2010 , 31.22 , 30.68 , 31.09 , 30.96 
3 , 30 , 2010 , 30.97 , 30.61 , 30.88 , 30.72 
3 , 31 , 2010 , 31.05 , 30.42 , 30.56 , 30.88 
4 , 1 , 2010 , 31.29 , 30.91 , 31.14 , 31.26 
4 , 5 , 2010 , 31.59 , 31.18 , 31.40 , 31.50 
4 , 6 , 2010 , 31.75 , 31.17 , 31.39 , 31.70 
4 , 7 , 2010 , 31.89 , 31.33 , 31.71 , 31.46 
4 , 8 , 2010 , 31.91 , 31.32 , 31.38 , 31.85 
4 , 9 , 2010 , 32.07 , 31.69 , 31.87 , 31.95 
4 , 12 , 2010 , 32.65 , 32.10 , 32.10 , 32.54 
4 , 13 , 2010 , 32.65 , 32.06 , 32.48 , 32.47 
4 , 14 , 2010 , 32.50 , 31.58 , 32.23 , 32.18 
4 , 15 , 2010 , 32.49 , 31.91 , 32.25 , 32.02 
4 , 16 , 2010 , 32.04 , 30.77 , 31.87 , 31.57 
4 , 19 , 2010 , 32.18 , 31.39 , 31.75 , 32.14 
4 , 20 , 2010 , 32.32 , 31.54 , 31.91 , 32.15 
4 , 21 , 2010 , 32.45 , 31.95 , 32.11 , 32.22 
4 , 22 , 2010 , 32.42 , 31.75 , 31.94 , 32.42 
4 , 23 , 2010 , 32.33 , 31.77 , 32.30 , 31.95 
4 , 26 , 2010 , 32.03 , 31.64 , 31.87 , 31.65 
4 , 27 , 2010 , 31.80 , 30.81 , 31.40 , 30.87 
4 , 28 , 2010 , 31.50 , 30.95 , 31.13 , 31.24 
4 , 29 , 2010 , 32.17 , 31.37 , 31.56 , 31.97 
4 , 30 , 2010 , 31.92 , 31.09 , 31.82 , 31.13 
5 , 3 , 2010 , 31.48 , 31.03 , 31.16 , 31.33 
5 , 4 , 2010 , 31.08 , 30.45 , 31.02 , 30.61 
5 , 5 , 2010 , 31.71 , 30.05 , 30.20 , 31.18 
5 , 6 , 2010 , 31.53 , 29.00 , 31.01 , 30.22 
5 , 7 , 2010 , 31.04 , 29.90 , 30.15 , 30.06 
5 , 10 , 2010 , 31.69 , 30.64 , 30.99 , 31.57 
5 , 11 , 2010 , 31.48 , 30.60 , 31.27 , 30.98 
5 , 12 , 2010 , 31.23 , 30.76 , 31.17 , 30.92 
5 , 13 , 2010 , 30.82 , 29.90 , 30.76 , 29.98 
5 , 14 , 2010 , 30.02 , 29.51 , 29.91 , 29.70 
5 , 17 , 2010 , 29.85 , 29.24 , 29.68 , 29.80 
5 , 18 , 2010 , 30.08 , 29.00 , 30.08 , 29.16 
5 , 19 , 2010 , 29.37 , 28.56 , 29.01 , 28.78 
5 , 20 , 2010 , 28.45 , 27.64 , 28.14 , 27.65 
5 , 21 , 2010 , 27.91 , 26.63 , 26.68 , 27.82 
5 , 24 , 2010 , 27.93 , 27.15 , 27.66 , 27.17 
5 , 25 , 2010 , 27.19 , 26.25 , 26.59 , 27.19 
5 , 26 , 2010 , 27.97 , 27.24 , 27.55 , 27.34 
5 , 27 , 2010 , 28.10 , 27.63 , 27.96 , 28.03 
5 , 28 , 2010 , 27.98 , 27.12 , 27.95 , 27.20 
6 , 1 , 2010 , 27.19 , 26.48 , 27.05 , 26.50 
6 , 2 , 2010 , 27.32 , 26.62 , 26.64 , 27.29 
6 , 3 , 2010 , 27.43 , 26.97 , 27.31 , 27.28 
6 , 4 , 2010 , 26.69 , 25.90 , 26.38 , 26.00 
6 , 7 , 2010 , 26.29 , 25.61 , 26.17 , 25.62 
6 , 8 , 2010 , 25.77 , 24.90 , 25.69 , 25.41 
6 , 9 , 2010 , 25.63 , 25.18 , 25.53 , 25.33 
6 , 10 , 2010 , 25.99 , 25.47 , 25.66 , 25.92 
6 , 11 , 2010 , 26.21 , 25.60 , 25.63 , 26.19 
6 , 14 , 2010 , 26.31 , 25.65 , 26.31 , 25.67 
6 , 15 , 2010 , 26.50 , 25.73 , 25.90 , 26.50 
6 , 16 , 2010 , 26.50 , 26.14 , 26.23 , 26.37 
6 , 17 , 2010 , 26.40 , 26.00 , 26.33 , 26.31 
6 , 18 , 2010 , 26.61 , 26.26 , 26.32 , 26.58 
6 , 21 , 2010 , 26.91 , 26.31 , 26.85 , 26.42 
6 , 22 , 2010 , 26.74 , 26.24 , 26.41 , 26.25 
6 , 23 , 2010 , 26.46 , 25.96 , 26.23 , 26.12 
6 , 24 , 2010 , 26.04 , 25.47 , 25.93 , 25.52 
6 , 25 , 2010 , 26.07 , 25.52 , 25.71 , 25.88 
6 , 28 , 2010 , 26.29 , 25.87 , 25.99 , 25.95 
