Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 246.01 , 239.65 , 242.79 , 242.92 
3 , 18 , 2010 , 244.90 , 240.37 , 243.95 , 242.81 
3 , 19 , 2010 , 244.61 , 238.47 , 244.61 , 239.01 
3 , 22 , 2010 , 243.51 , 236.67 , 238.34 , 243.02 
3 , 23 , 2010 , 244.80 , 238.69 , 244.13 , 244.41 
3 , 24 , 2010 , 244.49 , 241.57 , 242.52 , 243.80 
3 , 25 , 2010 , 262.67 , 246.51 , 246.60 , 255.03 
3 , 26 , 2010 , 256.24 , 250.02 , 254.95 , 252.11 
3 , 29 , 2010 , 259.92 , 254.39 , 257.12 , 255.67 
3 , 30 , 2010 , 258.06 , 253.10 , 255.50 , 255.99 
3 , 31 , 2010 , 258.96 , 253.01 , 255.51 , 255.00 
4 , 1 , 2010 , 260.28 , 253.81 , 257.94 , 257.00 
4 , 5 , 2010 , 259.16 , 255.15 , 257.98 , 257.65 
4 , 6 , 2010 , 262.96 , 255.15 , 255.15 , 261.60 
4 , 7 , 2010 , 267.02 , 258.00 , 262.98 , 259.81 
4 , 8 , 2010 , 260.86 , 256.51 , 259.09 , 259.31 
4 , 9 , 2010 , 260.44 , 256.31 , 260.44 , 259.49 
4 , 12 , 2010 , 262.92 , 259.49 , 260.25 , 260.23 
4 , 13 , 2010 , 257.71 , 251.13 , 254.33 , 257.60 
4 , 14 , 2010 , 265.65 , 256.04 , 256.04 , 265.26 
4 , 15 , 2010 , 266.88 , 262.55 , 264.06 , 264.98 
4 , 16 , 2010 , 263.76 , 252.78 , 263.07 , 254.86 
4 , 19 , 2010 , 254.34 , 244.20 , 253.66 , 247.58 
4 , 20 , 2010 , 256.95 , 249.04 , 251.12 , 255.28 
4 , 21 , 2010 , 256.19 , 250.16 , 253.49 , 253.15 
4 , 22 , 2010 , 258.98 , 248.64 , 251.64 , 258.31 
4 , 23 , 2010 , 264.00 , 255.09 , 259.29 , 261.70 
4 , 26 , 2010 , 273.82 , 262.80 , 263.52 , 270.36 
4 , 27 , 2010 , 269.95 , 262.34 , 268.51 , 264.30 
4 , 28 , 2010 , 268.51 , 258.51 , 265.55 , 261.78 
4 , 29 , 2010 , 273.93 , 263.20 , 263.20 , 273.00 
4 , 30 , 2010 , 273.87 , 261.51 , 273.84 , 262.05 
5 , 3 , 2010 , 270.49 , 264.50 , 264.53 , 269.08 
5 , 4 , 2010 , 265.63 , 256.28 , 265.00 , 258.37 
5 , 5 , 2010 , 256.26 , 241.02 , 251.49 , 246.98 
5 , 6 , 2010 , 248.21 , 202.69 , 243.79 , 233.10 
5 , 7 , 2010 , 236.88 , 224.40 , 231.97 , 225.39 
5 , 10 , 2010 , 249.79 , 240.15 , 241.75 , 249.75 
5 , 11 , 2010 , 222.74 , 208.89 , 212.15 , 219.57 
5 , 12 , 2010 , 221.75 , 213.46 , 221.75 , 217.88 
5 , 13 , 2010 , 221.18 , 211.86 , 215.64 , 212.89 
5 , 14 , 2010 , 210.19 , 204.00 , 208.86 , 208.28 
5 , 17 , 2010 , 206.99 , 196.01 , 206.57 , 200.15 
5 , 18 , 2010 , 206.77 , 192.60 , 201.73 , 192.86 
5 , 19 , 2010 , 196.00 , 184.21 , 191.21 , 190.11 
5 , 20 , 2010 , 188.08 , 179.10 , 182.61 , 181.00 
5 , 21 , 2010 , 191.80 , 176.00 , 177.13 , 191.24 
5 , 24 , 2010 , 197.50 , 192.68 , 193.79 , 193.14 
5 , 25 , 2010 , 194.25 , 185.13 , 186.54 , 193.44 
5 , 26 , 2010 , 200.97 , 191.77 , 197.02 , 192.42 
5 , 27 , 2010 , 198.68 , 191.39 , 197.86 , 197.59 
5 , 28 , 2010 , 197.88 , 190.50 , 197.67 , 191.16 
6 , 1 , 2010 , 192.86 , 184.88 , 191.12 , 185.01 
6 , 2 , 2010 , 189.83 , 183.86 , 185.60 , 189.83 
6 , 3 , 2010 , 189.82 , 182.18 , 189.52 , 185.11 
6 , 4 , 2010 , 188.80 , 177.64 , 180.36 , 178.54 
6 , 7 , 2010 , 182.68 , 176.29 , 179.60 , 176.39 
6 , 8 , 2010 , 180.34 , 173.32 , 177.65 , 176.73 
6 , 9 , 2010 , 182.24 , 174.69 , 178.35 , 175.19 
