Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 226.65 , 219.49 , 220.00 , 222.80 
3 , 18 , 2010 , 227.00 , 222.27 , 223.00 , 225.66 
3 , 19 , 2010 , 225.99 , 221.16 , 225.45 , 224.35 
3 , 22 , 2010 , 225.80 , 222.01 , 222.79 , 225.70 
3 , 23 , 2010 , 227.77 , 224.80 , 224.80 , 227.00 
3 , 24 , 2010 , 226.92 , 223.75 , 226.50 , 225.00 
3 , 25 , 2010 , 227.70 , 224.35 , 224.51 , 225.41 
3 , 26 , 2010 , 225.94 , 218.08 , 225.93 , 219.27 
3 , 29 , 2010 , 220.43 , 215.43 , 219.96 , 220.05 
3 , 30 , 2010 , 220.12 , 217.72 , 220.01 , 219.13 
3 , 31 , 2010 , 221.78 , 216.71 , 218.77 , 217.76 
4 , 1 , 2010 , 211.98 , 206.95 , 211.44 , 211.05 
4 , 5 , 2010 , 210.69 , 205.57 , 210.69 , 206.00 
4 , 6 , 2010 , 205.09 , 198.06 , 203.62 , 198.55 
4 , 7 , 2010 , 201.41 , 197.86 , 198.75 , 199.02 
4 , 8 , 2010 , 204.59 , 197.40 , 197.56 , 204.56 
4 , 9 , 2010 , 208.90 , 203.98 , 203.98 , 206.11 
4 , 12 , 2010 , 207.00 , 204.65 , 205.37 , 205.80 
4 , 13 , 2010 , 207.72 , 204.54 , 205.69 , 206.90 
4 , 14 , 2010 , 211.43 , 207.51 , 208.20 , 211.38 
4 , 15 , 2010 , 212.27 , 206.62 , 212.27 , 206.70 
4 , 16 , 2010 , 206.68 , 199.23 , 206.10 , 200.75 
4 , 19 , 2010 , 203.63 , 199.42 , 199.52 , 202.61 
4 , 20 , 2010 , 204.85 , 201.77 , 204.50 , 203.18 
4 , 21 , 2010 , 205.35 , 199.28 , 202.40 , 201.20 
4 , 22 , 2010 , 208.33 , 200.66 , 202.00 , 207.79 
4 , 23 , 2010 , 211.89 , 206.91 , 206.91 , 211.02 
4 , 26 , 2010 , 204.30 , 192.40 , 204.30 , 192.95 
4 , 27 , 2010 , 193.78 , 185.01 , 192.00 , 185.50 
4 , 28 , 2010 , 190.99 , 181.18 , 187.79 , 184.44 
4 , 29 , 2010 , 191.17 , 185.52 , 186.85 , 190.39 
4 , 30 , 2010 , 189.92 , 182.48 , 189.43 , 184.00 
5 , 3 , 2010 , 187.41 , 184.26 , 185.61 , 185.76 
5 , 4 , 2010 , 184.50 , 176.96 , 184.12 , 177.68 
5 , 5 , 2010 , 178.44 , 173.49 , 174.40 , 174.80 
5 , 6 , 2010 , 179.42 , 167.24 , 173.80 , 171.62 
5 , 7 , 2010 , 175.99 , 169.53 , 171.60 , 172.12 
5 , 10 , 2010 , 181.11 , 174.61 , 176.52 , 176.57 
5 , 11 , 2010 , 174.62 , 169.76 , 174.62 , 170.99 
5 , 12 , 2010 , 174.18 , 171.01 , 171.53 , 173.97 
5 , 13 , 2010 , 175.26 , 172.05 , 174.24 , 172.37 
5 , 14 , 2010 , 172.73 , 168.66 , 171.66 , 169.72 
5 , 17 , 2010 , 172.70 , 167.14 , 169.54 , 171.00 
5 , 18 , 2010 , 175.81 , 167.53 , 172.26 , 168.49 
5 , 19 , 2010 , 169.65 , 164.00 , 167.92 , 167.95 
5 , 20 , 2010 , 165.77 , 160.10 , 165.77 , 160.10 
5 , 21 , 2010 , 167.05 , 158.00 , 158.00 , 166.47 
5 , 24 , 2010 , 169.68 , 161.95 , 167.51 , 161.96 
5 , 25 , 2010 , 162.57 , 155.50 , 158.02 , 162.44 
5 , 26 , 2010 , 165.78 , 162.34 , 164.75 , 164.04 
5 , 27 , 2010 , 172.48 , 166.35 , 168.64 , 172.39 
5 , 28 , 2010 , 174.08 , 166.73 , 172.91 , 167.88 
6 , 1 , 2010 , 167.88 , 162.90 , 165.09 , 163.20 
6 , 2 , 2010 , 165.70 , 162.56 , 165.40 , 164.77 
6 , 3 , 2010 , 167.88 , 162.22 , 167.88 , 163.84 
6 , 4 , 2010 , 162.38 , 159.06 , 160.99 , 159.49 
6 , 7 , 2010 , 162.18 , 157.32 , 160.62 , 157.50 
6 , 8 , 2010 , 158.39 , 151.81 , 156.92 , 156.49 
6 , 9 , 2010 , 158.85 , 154.39 , 158.85 , 154.91 
6 , 10 , 2010 , 158.52 , 153.96 , 156.18 , 156.98 
6 , 11 , 2010 , 159.26 , 154.11 , 154.11 , 159.14 
6 , 14 , 2010 , 161.20 , 157.95 , 158.96 , 158.77 
6 , 15 , 2010 , 163.29 , 158.84 , 159.99 , 163.28 
6 , 16 , 2010 , 163.42 , 160.31 , 161.31 , 161.52 
6 , 17 , 2010 , 162.39 , 157.69 , 162.26 , 159.37 
6 , 18 , 2010 , 160.45 , 158.40 , 158.75 , 158.77 
6 , 21 , 2010 , 161.85 , 157.02 , 160.78 , 157.92 
6 , 22 , 2010 , 158.81 , 155.83 , 156.90 , 155.84 
6 , 23 , 2010 , 156.60 , 153.95 , 155.12 , 155.05 
6 , 24 , 2010 , 154.79 , 150.55 , 154.44 , 150.74 
6 , 25 , 2010 , 155.67 , 150.28 , 151.79 , 152.34 
6 , 28 , 2010 , 153.84 , 151.53 , 152.80 , 152.14 
6 , 29 , 2010 , 149.93 , 145.20 , 149.47 , 145.60 
6 , 30 , 2010 , 147.05 , 143.01 , 144.86 , 143.40 
7 , 1 , 2010 , 145.35 , 138.42 , 145.35 , 140.32 
7 , 2 , 2010 , 144.02 , 139.28 , 140.14 , 142.79 
7 , 6 , 2010 , 147.61 , 143.35 , 144.18 , 145.21 
7 , 7 , 2010 , 148.61 , 144.62 , 145.40 , 148.48 
7 , 8 , 2010 , 152.25 , 148.88 , 149.95 , 152.25 
7 , 9 , 2010 , 155.26 , 150.55 , 152.20 , 154.97 
7 , 12 , 2010 , 155.69 , 152.94 , 153.51 , 154.15 
7 , 13 , 2010 , 158.45 , 155.11 , 155.70 , 156.90 
7 , 14 , 2010 , 156.76 , 153.11 , 156.68 , 155.25 
7 , 15 , 2010 , 155.38 , 151.02 , 154.77 , 153.99 
7 , 16 , 2010 , 152.97 , 148.96 , 152.97 , 149.14 
7 , 19 , 2010 , 150.21 , 146.84 , 150.21 , 148.13 
7 , 20 , 2010 , 149.47 , 145.20 , 146.01 , 149.36 
7 , 21 , 2010 , 150.99 , 141.01 , 150.25 , 143.33 
7 , 22 , 2010 , 152.20 , 144.00 , 144.00 , 151.21 
