Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 26.07 , 25.78 , 25.97 , 25.98 
3 , 18 , 2010 , 26.12 , 25.85 , 25.91 , 26.07 
3 , 19 , 2010 , 26.25 , 25.86 , 26.13 , 26.01 
3 , 22 , 2010 , 26.60 , 25.90 , 25.93 , 26.48 
3 , 23 , 2010 , 26.81 , 26.33 , 26.51 , 26.79 
3 , 24 , 2010 , 26.78 , 26.63 , 26.70 , 26.69 
3 , 25 , 2010 , 26.93 , 26.70 , 26.87 , 26.78 
3 , 26 , 2010 , 26.86 , 26.66 , 26.81 , 26.69 
3 , 29 , 2010 , 27.07 , 26.70 , 26.78 , 27.00 
3 , 30 , 2010 , 26.93 , 26.52 , 26.76 , 26.76 
3 , 31 , 2010 , 26.81 , 26.29 , 26.65 , 26.70 
4 , 1 , 2010 , 27.01 , 26.77 , 26.77 , 26.95 
4 , 5 , 2010 , 26.95 , 26.56 , 26.94 , 26.77 
4 , 6 , 2010 , 26.77 , 26.33 , 26.72 , 26.38 
4 , 7 , 2010 , 26.69 , 26.27 , 26.34 , 26.55 
4 , 8 , 2010 , 26.54 , 26.16 , 26.54 , 26.17 
4 , 9 , 2010 , 26.36 , 26.10 , 26.20 , 26.25 
4 , 12 , 2010 , 26.40 , 26.15 , 26.25 , 26.29 
4 , 13 , 2010 , 26.30 , 25.97 , 26.24 , 25.98 
4 , 14 , 2010 , 25.96 , 25.59 , 25.91 , 25.70 
4 , 15 , 2010 , 25.64 , 25.30 , 25.64 , 25.34 
4 , 16 , 2010 , 25.56 , 25.20 , 25.27 , 25.48 
4 , 19 , 2010 , 25.82 , 24.97 , 25.22 , 25.81 
4 , 20 , 2010 , 25.90 , 25.34 , 25.86 , 25.43 
4 , 21 , 2010 , 25.43 , 24.97 , 25.41 , 25.10 
4 , 22 , 2010 , 25.05 , 24.28 , 25.01 , 24.44 
4 , 23 , 2010 , 24.84 , 24.12 , 24.47 , 24.74 
4 , 26 , 2010 , 24.84 , 24.48 , 24.80 , 24.50 
4 , 27 , 2010 , 24.57 , 24.13 , 24.45 , 24.21 
4 , 28 , 2010 , 24.59 , 24.07 , 24.30 , 24.34 
4 , 29 , 2010 , 25.93 , 25.00 , 25.28 , 25.37 
4 , 30 , 2010 , 25.58 , 25.18 , 25.42 , 25.31 
5 , 3 , 2010 , 25.40 , 25.10 , 25.31 , 25.13 
5 , 4 , 2010 , 25.70 , 25.02 , 25.10 , 25.27 
5 , 5 , 2010 , 25.37 , 24.92 , 25.10 , 25.06 
5 , 6 , 2010 , 25.03 , 22.80 , 24.94 , 24.28 
5 , 7 , 2010 , 24.96 , 24.07 , 24.28 , 24.34 
5 , 10 , 2010 , 24.75 , 23.93 , 24.33 , 24.14 
5 , 11 , 2010 , 24.71 , 24.02 , 24.03 , 24.37 
5 , 12 , 2010 , 24.50 , 24.19 , 24.46 , 24.44 
5 , 13 , 2010 , 24.44 , 23.97 , 24.40 , 24.00 
5 , 14 , 2010 , 24.00 , 23.38 , 24.00 , 23.56 
5 , 17 , 2010 , 24.00 , 23.36 , 23.75 , 23.70 
5 , 18 , 2010 , 23.92 , 23.50 , 23.90 , 23.55 
5 , 19 , 2010 , 23.85 , 23.31 , 23.46 , 23.71 
5 , 20 , 2010 , 23.71 , 23.05 , 23.40 , 23.09 
5 , 21 , 2010 , 23.05 , 22.50 , 22.90 , 22.96 
5 , 24 , 2010 , 23.18 , 22.74 , 22.93 , 22.99 
5 , 25 , 2010 , 22.89 , 22.24 , 22.60 , 22.86 
5 , 26 , 2010 , 23.07 , 22.64 , 23.03 , 22.72 
5 , 27 , 2010 , 23.35 , 23.01 , 23.07 , 23.34 
5 , 28 , 2010 , 23.45 , 23.11 , 23.38 , 23.21 
6 , 1 , 2010 , 23.47 , 22.90 , 23.11 , 23.02 
6 , 2 , 2010 , 23.24 , 22.86 , 23.06 , 23.00 
6 , 3 , 2010 , 23.18 , 22.73 , 23.18 , 22.88 
6 , 4 , 2010 , 22.85 , 22.31 , 22.71 , 22.44 
6 , 7 , 2010 , 24.36 , 23.53 , 23.85 , 23.86 
6 , 8 , 2010 , 24.35 , 23.74 , 23.93 , 24.30 
6 , 9 , 2010 , 24.40 , 24.09 , 24.34 , 24.14 
6 , 10 , 2010 , 24.68 , 24.25 , 24.34 , 24.64 
6 , 11 , 2010 , 25.76 , 24.95 , 25.54 , 25.08 
6 , 14 , 2010 , 25.50 , 25.06 , 25.08 , 25.29 
6 , 15 , 2010 , 25.67 , 25.23 , 25.39 , 25.63 
6 , 16 , 2010 , 25.88 , 25.30 , 25.30 , 25.88 
6 , 17 , 2010 , 25.91 , 25.65 , 25.72 , 25.86 
6 , 18 , 2010 , 25.87 , 25.46 , 25.80 , 25.78 
6 , 21 , 2010 , 25.95 , 25.30 , 25.89 , 25.44 
6 , 22 , 2010 , 25.78 , 25.38 , 25.41 , 25.44 
6 , 23 , 2010 , 25.49 , 25.14 , 25.43 , 25.24 
6 , 24 , 2010 , 25.49 , 25.01 , 25.12 , 25.35 
6 , 25 , 2010 , 25.83 , 25.23 , 25.45 , 25.57 
6 , 28 , 2010 , 25.68 , 25.30 , 25.64 , 25.57 
6 , 29 , 2010 , 25.61 , 25.14 , 25.40 , 25.29 
6 , 30 , 2010 , 25.22 , 24.73 , 24.98 , 24.94 
7 , 1 , 2010 , 24.94 , 24.22 , 24.84 , 24.76 
7 , 2 , 2010 , 25.04 , 24.50 , 24.87 , 24.69 
7 , 6 , 2010 , 25.40 , 24.76 , 24.93 , 25.24 
7 , 7 , 2010 , 25.88 , 25.13 , 25.24 , 25.80 
7 , 8 , 2010 , 25.95 , 25.39 , 25.95 , 25.58 
7 , 9 , 2010 , 25.65 , 25.29 , 25.57 , 25.60 
7 , 12 , 2010 , 25.60 , 25.11 , 25.60 , 25.26 
7 , 13 , 2010 , 25.60 , 25.20 , 25.36 , 25.31 
7 , 14 , 2010 , 25.26 , 24.90 , 25.22 , 25.09 
7 , 15 , 2010 , 25.53 , 25.03 , 25.10 , 25.50 
7 , 16 , 2010 , 25.47 , 25.10 , 25.44 , 25.17 
7 , 19 , 2010 , 25.27 , 24.78 , 25.27 , 24.84 
7 , 20 , 2010 , 25.09 , 24.46 , 24.65 , 25.02 
7 , 21 , 2010 , 25.11 , 24.59 , 24.92 , 24.75 
7 , 22 , 2010 , 25.22 , 24.75 , 24.96 , 24.93 
7 , 23 , 2010 , 24.95 , 24.26 , 24.94 , 24.65 
7 , 26 , 2010 , 25.03 , 24.57 , 24.57 , 24.97 
7 , 27 , 2010 , 25.35 , 24.84 , 25.09 , 25.32 
7 , 28 , 2010 , 25.36 , 25.02 , 25.25 , 25.12 
7 , 29 , 2010 , 25.50 , 24.85 , 25.37 , 25.08 
7 , 30 , 2010 , 25.13 , 24.78 , 24.98 , 24.92 
8 , 2 , 2010 , 25.61 , 25.29 , 25.33 , 25.53 
8 , 3 , 2010 , 25.85 , 25.58 , 25.65 , 25.68 
8 , 4 , 2010 , 26.13 , 25.61 , 25.70 , 26.03 
8 , 5 , 2010 , 26.38 , 25.80 , 25.83 , 26.38 
8 , 6 , 2010 , 26.45 , 26.05 , 26.29 , 26.37 
8 , 9 , 2010 , 26.54 , 26.30 , 26.37 , 26.51 
8 , 10 , 2010 , 26.78 , 26.30 , 26.32 , 26.66 
8 , 11 , 2010 , 26.50 , 26.15 , 26.32 , 26.25 
8 , 12 , 2010 , 26.39 , 26.00 , 26.01 , 26.33 
8 , 13 , 2010 , 26.46 , 26.10 , 26.24 , 26.32 
8 , 16 , 2010 , 26.34 , 26.04 , 26.24 , 26.28 
8 , 17 , 2010 , 26.79 , 26.26 , 26.40 , 26.59 
8 , 18 , 2010 , 26.57 , 26.23 , 26.53 , 26.28 
8 , 19 , 2010 , 26.29 , 25.81 , 26.20 , 26.06 
8 , 20 , 2010 , 26.54 , 26.08 , 26.31 , 26.44 
8 , 23 , 2010 , 26.76 , 26.38 , 26.48 , 26.48 
8 , 24 , 2010 , 26.37 , 25.95 , 26.26 , 26.02 
8 , 25 , 2010 , 26.15 , 25.74 , 25.90 , 26.08 
8 , 26 , 2010 , 26.18 , 25.75 , 26.11 , 25.85 
8 , 27 , 2010 , 26.27 , 25.66 , 25.97 , 26.12 
8 , 30 , 2010 , 26.18 , 25.84 , 26.12 , 25.85 
8 , 31 , 2010 , 26.34 , 25.97 , 26.11 , 26.08 
9 , 1 , 2010 , 26.55 , 26.11 , 26.24 , 26.41 
9 , 2 , 2010 , 26.49 , 26.26 , 26.35 , 26.43 
9 , 3 , 2010 , 26.62 , 26.38 , 26.46 , 26.58 
9 , 7 , 2010 , 26.76 , 26.37 , 26.45 , 26.61 
9 , 8 , 2010 , 26.97 , 26.64 , 26.67 , 26.75 
9 , 9 , 2010 , 26.99 , 26.70 , 26.91 , 26.87 
9 , 10 , 2010 , 27.10 , 26.72 , 26.90 , 27.05 
9 , 13 , 2010 , 27.20 , 26.93 , 27.14 , 27.16 
9 , 14 , 2010 , 27.20 , 26.78 , 27.15 , 26.96 
9 , 15 , 2010 , 27.08 , 26.80 , 26.92 , 27.01 
9 , 16 , 2010 , 27.15 , 26.85 , 27.01 , 26.95 
9 , 17 , 2010 , 27.44 , 27.00 , 27.02 , 27.31 
9 , 20 , 2010 , 27.87 , 27.41 , 27.42 , 27.81 
9 , 21 , 2010 , 28.00 , 27.71 , 27.87 , 27.79 
9 , 22 , 2010 , 27.90 , 27.57 , 27.66 , 27.82 
9 , 23 , 2010 , 28.00 , 27.54 , 27.62 , 27.68 
9 , 24 , 2010 , 27.93 , 27.57 , 27.75 , 27.62 
9 , 27 , 2010 , 27.77 , 27.59 , 27.65 , 27.60 
9 , 28 , 2010 , 27.99 , 27.60 , 27.68 , 27.93 
9 , 29 , 2010 , 27.71 , 27.21 , 27.57 , 27.37 
9 , 30 , 2010 , 27.53 , 27.03 , 27.44 , 27.11 
10 , 1 , 2010 , 27.32 , 26.95 , 27.11 , 27.28 
10 , 4 , 2010 , 27.14 , 26.69 , 26.95 , 26.73 
10 , 5 , 2010 , 27.20 , 26.89 , 26.89 , 27.14 
10 , 6 , 2010 , 27.28 , 27.09 , 27.10 , 27.19 
10 , 7 , 2010 , 27.40 , 27.22 , 27.34 , 27.30 
10 , 8 , 2010 , 27.38 , 27.10 , 27.30 , 27.16 
10 , 11 , 2010 , 27.56 , 27.14 , 27.14 , 27.36 
10 , 12 , 2010 , 27.48 , 27.10 , 27.43 , 27.23 
10 , 13 , 2010 , 27.42 , 27.23 , 27.28 , 27.34 
10 , 14 , 2010 , 27.65 , 27.35 , 27.41 , 27.51 
10 , 15 , 2010 , 27.72 , 27.18 , 27.62 , 27.20 
10 , 18 , 2010 , 27.33 , 26.95 , 27.29 , 27.33 
10 , 19 , 2010 , 27.14 , 26.62 , 27.03 , 26.84 
10 , 20 , 2010 , 27.13 , 26.80 , 26.82 , 26.89 
