Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 82.64 , 82.01 , 82.49 , 82.50 
3 , 18 , 2010 , 82.55 , 82.00 , 82.50 , 82.35 
3 , 19 , 2010 , 82.98 , 81.80 , 82.78 , 82.06 
3 , 22 , 2010 , 82.38 , 81.20 , 81.55 , 82.37 
3 , 23 , 2010 , 82.45 , 81.70 , 82.45 , 82.33 
3 , 24 , 2010 , 82.00 , 81.00 , 81.96 , 81.44 
3 , 25 , 2010 , 82.28 , 81.36 , 81.67 , 81.70 
3 , 26 , 2010 , 82.15 , 80.95 , 81.68 , 81.30 
3 , 29 , 2010 , 81.96 , 81.54 , 81.54 , 81.75 
3 , 30 , 2010 , 81.82 , 81.43 , 81.66 , 81.60 
3 , 31 , 2010 , 81.49 , 80.81 , 81.20 , 81.27 
4 , 1 , 2010 , 81.95 , 81.03 , 81.60 , 81.65 
4 , 5 , 2010 , 81.95 , 81.00 , 81.92 , 81.16 
4 , 6 , 2010 , 81.02 , 80.52 , 81.00 , 80.91 
4 , 7 , 2010 , 80.84 , 79.51 , 80.81 , 79.95 
4 , 8 , 2010 , 79.74 , 79.11 , 79.45 , 79.68 
4 , 9 , 2010 , 80.55 , 79.51 , 79.82 , 80.49 
4 , 12 , 2010 , 81.09 , 80.13 , 80.80 , 80.48 
4 , 13 , 2010 , 80.69 , 79.70 , 80.21 , 80.45 
4 , 14 , 2010 , 81.05 , 80.27 , 80.56 , 80.89 
4 , 15 , 2010 , 80.80 , 79.80 , 80.78 , 80.07 
4 , 16 , 2010 , 80.23 , 75.52 , 79.85 , 78.72 
4 , 19 , 2010 , 79.59 , 77.58 , 78.17 , 79.48 
4 , 20 , 2010 , 80.12 , 79.32 , 79.87 , 80.01 
4 , 21 , 2010 , 80.20 , 78.11 , 80.20 , 78.87 
4 , 22 , 2010 , 78.85 , 77.35 , 78.25 , 78.68 
4 , 23 , 2010 , 79.09 , 77.95 , 78.56 , 78.95 
4 , 26 , 2010 , 79.67 , 78.95 , 78.99 , 79.24 
4 , 27 , 2010 , 78.67 , 76.57 , 78.31 , 76.69 
4 , 28 , 2010 , 77.68 , 76.90 , 77.00 , 77.17 
4 , 29 , 2010 , 78.14 , 77.64 , 77.71 , 78.09 
4 , 30 , 2010 , 78.46 , 77.00 , 77.90 , 77.00 
5 , 3 , 2010 , 78.62 , 77.46 , 77.70 , 78.44 
5 , 4 , 2010 , 78.05 , 76.29 , 78.05 , 76.61 
5 , 5 , 2010 , 76.98 , 75.51 , 75.80 , 76.70 
5 , 6 , 2010 , 77.25 , 71.50 , 76.41 , 74.59 
5 , 7 , 2010 , 75.85 , 72.73 , 74.25 , 74.41 
5 , 10 , 2010 , 78.30 , 76.63 , 77.07 , 78.23 
