Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 7.19 , 6.89 , 7.17 , 6.95 
3 , 18 , 2010 , 7.09 , 6.80 , 7.01 , 7.07 
3 , 19 , 2010 , 7.24 , 7.04 , 7.20 , 7.13 
3 , 22 , 2010 , 7.17 , 6.94 , 7.17 , 6.95 
3 , 23 , 2010 , 7.08 , 6.81 , 6.97 , 7.02 
3 , 24 , 2010 , 7.08 , 6.94 , 6.96 , 7.04 
3 , 25 , 2010 , 7.12 , 6.70 , 7.10 , 6.96 
3 , 26 , 2010 , 7.03 , 6.91 , 6.95 , 7.01 
3 , 29 , 2010 , 7.20 , 6.97 , 7.04 , 7.19 
3 , 30 , 2010 , 7.27 , 7.01 , 7.07 , 7.25 
3 , 31 , 2010 , 7.26 , 7.16 , 7.18 , 7.22 
4 , 1 , 2010 , 7.32 , 7.15 , 7.29 , 7.23 
4 , 5 , 2010 , 7.24 , 7.15 , 7.24 , 7.21 
4 , 6 , 2010 , 7.22 , 7.09 , 7.15 , 7.14 
4 , 7 , 2010 , 7.16 , 7.05 , 7.11 , 7.15 
4 , 8 , 2010 , 7.13 , 6.97 , 7.09 , 6.98 
4 , 9 , 2010 , 7.02 , 6.89 , 6.99 , 6.97 
4 , 12 , 2010 , 7.06 , 6.94 , 6.98 , 6.94 
4 , 13 , 2010 , 6.98 , 6.84 , 6.95 , 6.90 
4 , 14 , 2010 , 7.22 , 6.92 , 6.92 , 7.16 
4 , 15 , 2010 , 7.20 , 7.09 , 7.12 , 7.14 
4 , 16 , 2010 , 7.54 , 7.23 , 7.52 , 7.34 
4 , 19 , 2010 , 7.44 , 7.24 , 7.33 , 7.35 
4 , 20 , 2010 , 7.45 , 7.30 , 7.43 , 7.33 
4 , 21 , 2010 , 7.35 , 7.16 , 7.31 , 7.23 
4 , 22 , 2010 , 7.29 , 7.11 , 7.21 , 7.21 
4 , 23 , 2010 , 7.33 , 7.12 , 7.29 , 7.21 
4 , 26 , 2010 , 7.29 , 7.02 , 7.23 , 7.06 
4 , 27 , 2010 , 7.24 , 6.76 , 6.88 , 7.10 
4 , 28 , 2010 , 7.13 , 6.94 , 7.11 , 6.99 
4 , 29 , 2010 , 7.07 , 6.95 , 6.99 , 6.96 
4 , 30 , 2010 , 7.05 , 6.87 , 6.98 , 6.88 
5 , 3 , 2010 , 6.92 , 6.83 , 6.90 , 6.86 
5 , 4 , 2010 , 6.84 , 6.63 , 6.82 , 6.68 
5 , 5 , 2010 , 6.80 , 6.52 , 6.68 , 6.76 
5 , 6 , 2010 , 6.88 , 6.38 , 6.81 , 6.59 
5 , 7 , 2010 , 6.61 , 6.30 , 6.61 , 6.38 
5 , 10 , 2010 , 6.69 , 6.51 , 6.56 , 6.60 
5 , 11 , 2010 , 6.61 , 6.50 , 6.59 , 6.58 
5 , 12 , 2010 , 6.86 , 6.56 , 6.61 , 6.81 
5 , 13 , 2010 , 6.95 , 6.84 , 6.90 , 6.85 
5 , 14 , 2010 , 6.93 , 6.78 , 6.82 , 6.83 
5 , 17 , 2010 , 6.83 , 6.54 , 6.82 , 6.81 
5 , 18 , 2010 , 6.91 , 6.65 , 6.91 , 6.69 
5 , 19 , 2010 , 6.73 , 6.57 , 6.68 , 6.70 
5 , 20 , 2010 , 6.58 , 6.33 , 6.58 , 6.34 
5 , 21 , 2010 , 6.41 , 6.15 , 6.30 , 6.24 
5 , 24 , 2010 , 6.39 , 6.16 , 6.21 , 6.25 
5 , 25 , 2010 , 6.14 , 5.91 , 6.14 , 6.10 
5 , 26 , 2010 , 6.17 , 6.04 , 6.10 , 6.04 
5 , 27 , 2010 , 6.20 , 6.01 , 6.14 , 6.20 
5 , 28 , 2010 , 6.20 , 6.04 , 6.20 , 6.05 
6 , 1 , 2010 , 6.10 , 5.97 , 6.00 , 5.97 
6 , 2 , 2010 , 6.14 , 5.96 , 6.00 , 6.11 
6 , 3 , 2010 , 6.15 , 5.96 , 6.15 , 6.03 
6 , 4 , 2010 , 5.98 , 5.73 , 5.95 , 5.74 
6 , 7 , 2010 , 5.78 , 5.57 , 5.78 , 5.59 
6 , 8 , 2010 , 5.59 , 5.41 , 5.57 , 5.52 
6 , 9 , 2010 , 5.60 , 5.43 , 5.54 , 5.44 
6 , 10 , 2010 , 5.65 , 5.49 , 5.49 , 5.57 
6 , 11 , 2010 , 5.79 , 5.50 , 5.52 , 5.77 
6 , 14 , 2010 , 5.91 , 5.78 , 5.83 , 5.82 
6 , 15 , 2010 , 6.12 , 5.87 , 5.89 , 6.11 
6 , 16 , 2010 , 6.12 , 6.01 , 6.06 , 6.10 
6 , 17 , 2010 , 6.17 , 5.98 , 6.08 , 6.11 
6 , 18 , 2010 , 6.36 , 6.02 , 6.14 , 6.33 
6 , 21 , 2010 , 6.41 , 6.15 , 6.41 , 6.18 
6 , 22 , 2010 , 6.25 , 6.02 , 6.13 , 6.02 
6 , 23 , 2010 , 6.08 , 5.93 , 6.03 , 6.04 
6 , 24 , 2010 , 6.13 , 5.91 , 6.02 , 5.96 
6 , 25 , 2010 , 6.14 , 5.91 , 5.98 , 6.11 
6 , 28 , 2010 , 6.16 , 5.99 , 6.11 , 6.05 
6 , 29 , 2010 , 6.00 , 5.76 , 5.99 , 5.77 
6 , 30 , 2010 , 5.88 , 5.73 , 5.75 , 5.80 
7 , 1 , 2010 , 5.92 , 5.72 , 5.79 , 5.90 
7 , 2 , 2010 , 6.19 , 5.90 , 5.93 , 6.14 
7 , 6 , 2010 , 6.24 , 6.00 , 6.16 , 6.03 
7 , 7 , 2010 , 6.30 , 5.95 , 6.03 , 6.28 
7 , 8 , 2010 , 6.38 , 6.16 , 6.33 , 6.38 
7 , 9 , 2010 , 6.47 , 6.32 , 6.37 , 6.46 
7 , 12 , 2010 , 6.46 , 6.36 , 6.45 , 6.45 
7 , 13 , 2010 , 6.52 , 6.42 , 6.51 , 6.50 
7 , 14 , 2010 , 6.53 , 6.42 , 6.50 , 6.52 
7 , 15 , 2010 , 6.62 , 6.40 , 6.51 , 6.59 
7 , 16 , 2010 , 6.60 , 6.11 , 6.55 , 6.11 
7 , 19 , 2010 , 6.21 , 6.04 , 6.12 , 6.11 
7 , 20 , 2010 , 6.27 , 6.03 , 6.04 , 6.27 
7 , 21 , 2010 , 6.40 , 5.82 , 6.32 , 5.97 
7 , 22 , 2010 , 6.15 , 5.90 , 6.01 , 5.93 
7 , 23 , 2010 , 6.00 , 5.87 , 5.93 , 5.95 
7 , 26 , 2010 , 6.00 , 5.91 , 5.93 , 5.95 
7 , 27 , 2010 , 6.00 , 5.88 , 5.99 , 5.90 
7 , 28 , 2010 , 5.91 , 5.67 , 5.88 , 5.69 
7 , 29 , 2010 , 5.74 , 5.57 , 5.73 , 5.60 
7 , 30 , 2010 , 5.63 , 5.52 , 5.58 , 5.60 
8 , 2 , 2010 , 5.77 , 5.53 , 5.68 , 5.54 
8 , 3 , 2010 , 5.61 , 5.50 , 5.55 , 5.55 
8 , 4 , 2010 , 5.79 , 5.51 , 5.54 , 5.75 
8 , 5 , 2010 , 5.88 , 5.66 , 5.71 , 5.69 
8 , 6 , 2010 , 5.82 , 5.63 , 5.65 , 5.80 
8 , 9 , 2010 , 5.89 , 5.76 , 5.81 , 5.88 
8 , 10 , 2010 , 5.90 , 5.76 , 5.82 , 5.84 
8 , 11 , 2010 , 5.76 , 5.56 , 5.76 , 5.57 
8 , 12 , 2010 , 5.62 , 5.50 , 5.56 , 5.52 
8 , 13 , 2010 , 5.57 , 5.42 , 5.52 , 5.48 
8 , 16 , 2010 , 5.52 , 5.41 , 5.44 , 5.47 
8 , 17 , 2010 , 5.88 , 5.43 , 5.50 , 5.80 
8 , 18 , 2010 , 6.05 , 5.77 , 5.77 , 5.95 
8 , 19 , 2010 , 5.97 , 5.79 , 5.91 , 5.84 
8 , 20 , 2010 , 5.82 , 5.58 , 5.78 , 5.69 
8 , 23 , 2010 , 5.75 , 5.61 , 5.71 , 5.63 
8 , 24 , 2010 , 5.57 , 5.29 , 5.56 , 5.49 
8 , 25 , 2010 , 5.49 , 5.38 , 5.45 , 5.45 
8 , 26 , 2010 , 5.49 , 5.32 , 5.46 , 5.40 
8 , 27 , 2010 , 5.49 , 5.33 , 5.45 , 5.49 
8 , 30 , 2010 , 5.47 , 5.39 , 5.47 , 5.40 
8 , 31 , 2010 , 5.43 , 5.14 , 5.38 , 5.19 
9 , 1 , 2010 , 5.33 , 5.04 , 5.26 , 5.13 
9 , 2 , 2010 , 5.33 , 5.11 , 5.16 , 5.31 
9 , 3 , 2010 , 5.40 , 5.25 , 5.31 , 5.35 
9 , 7 , 2010 , 5.35 , 5.17 , 5.34 , 5.21 
9 , 8 , 2010 , 5.24 , 5.09 , 5.23 , 5.15 
9 , 9 , 2010 , 5.34 , 5.20 , 5.20 , 5.30 
9 , 10 , 2010 , 5.43 , 5.21 , 5.21 , 5.33 
9 , 13 , 2010 , 5.45 , 5.22 , 5.38 , 5.24 
9 , 14 , 2010 , 5.36 , 5.18 , 5.22 , 5.33 
9 , 15 , 2010 , 5.45 , 5.24 , 5.30 , 5.39 
9 , 16 , 2010 , 5.50 , 5.32 , 5.39 , 5.45 
9 , 17 , 2010 , 5.51 , 5.35 , 5.49 , 5.42 
9 , 20 , 2010 , 5.56 , 5.40 , 5.46 , 5.54 
9 , 21 , 2010 , 5.81 , 5.51 , 5.55 , 5.59 
9 , 22 , 2010 , 5.64 , 5.51 , 5.59 , 5.62 
