Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 14.86 , 14.40 , 14.50 , 14.65 
3 , 18 , 2010 , 14.71 , 14.40 , 14.62 , 14.50 
3 , 19 , 2010 , 14.55 , 13.95 , 14.54 , 13.96 
3 , 22 , 2010 , 14.17 , 13.89 , 13.90 , 14.12 
3 , 23 , 2010 , 14.39 , 13.98 , 14.07 , 14.39 
3 , 24 , 2010 , 14.56 , 14.07 , 14.25 , 14.52 
3 , 25 , 2010 , 15.10 , 14.52 , 14.61 , 14.69 
3 , 26 , 2010 , 14.81 , 14.42 , 14.79 , 14.53 
3 , 29 , 2010 , 14.62 , 14.21 , 14.55 , 14.27 
3 , 30 , 2010 , 14.36 , 14.13 , 14.32 , 14.29 
3 , 31 , 2010 , 14.39 , 14.00 , 14.31 , 14.00 
4 , 1 , 2010 , 14.31 , 14.11 , 14.11 , 14.30 
4 , 5 , 2010 , 14.54 , 14.23 , 14.33 , 14.48 
4 , 6 , 2010 , 14.75 , 14.46 , 14.46 , 14.64 
4 , 7 , 2010 , 14.80 , 14.55 , 14.70 , 14.68 
4 , 8 , 2010 , 14.70 , 14.36 , 14.67 , 14.62 
4 , 9 , 2010 , 14.75 , 14.57 , 14.69 , 14.73 
4 , 12 , 2010 , 15.19 , 14.80 , 14.86 , 15.03 
4 , 13 , 2010 , 15.45 , 15.06 , 15.10 , 15.25 
4 , 14 , 2010 , 15.49 , 15.03 , 15.44 , 15.26 
4 , 15 , 2010 , 15.37 , 15.06 , 15.26 , 15.19 
4 , 16 , 2010 , 15.13 , 14.25 , 15.11 , 14.74 
4 , 19 , 2010 , 14.78 , 14.33 , 14.49 , 14.68 
4 , 20 , 2010 , 14.91 , 14.63 , 14.77 , 14.77 
4 , 21 , 2010 , 15.07 , 14.76 , 14.88 , 14.95 
4 , 22 , 2010 , 15.15 , 14.45 , 15.12 , 14.84 
4 , 23 , 2010 , 15.06 , 14.78 , 14.92 , 14.90 
4 , 26 , 2010 , 15.12 , 14.79 , 14.95 , 14.99 
4 , 27 , 2010 , 14.99 , 14.50 , 14.96 , 14.51 
4 , 28 , 2010 , 14.65 , 14.04 , 14.60 , 14.21 
4 , 29 , 2010 , 14.62 , 14.18 , 14.39 , 14.55 
4 , 30 , 2010 , 14.47 , 13.98 , 14.47 , 13.98 
5 , 3 , 2010 , 14.53 , 13.95 , 14.01 , 14.43 
5 , 4 , 2010 , 14.19 , 13.45 , 14.12 , 13.88 
5 , 5 , 2010 , 13.77 , 13.13 , 13.60 , 13.30 
5 , 6 , 2010 , 13.34 , 11.87 , 13.16 , 12.61 
5 , 7 , 2010 , 12.67 , 11.89 , 12.65 , 12.17 
5 , 10 , 2010 , 13.34 , 12.72 , 12.95 , 13.18 
5 , 11 , 2010 , 13.30 , 12.79 , 12.91 , 13.02 
5 , 12 , 2010 , 13.09 , 12.80 , 13.09 , 12.99 
5 , 13 , 2010 , 13.17 , 12.71 , 13.04 , 13.00 
5 , 14 , 2010 , 12.77 , 12.00 , 12.74 , 12.25 
5 , 17 , 2010 , 12.38 , 11.82 , 12.35 , 12.08 
5 , 18 , 2010 , 12.29 , 11.62 , 12.29 , 11.63 
5 , 19 , 2010 , 11.63 , 11.06 , 11.57 , 11.55 
5 , 20 , 2010 , 11.37 , 10.53 , 11.23 , 11.00 
5 , 21 , 2010 , 11.25 , 10.56 , 10.66 , 11.07 
5 , 24 , 2010 , 10.98 , 10.47 , 10.62 , 10.50 
5 , 25 , 2010 , 10.69 , 9.88 , 10.05 , 10.63 
5 , 26 , 2010 , 11.23 , 10.72 , 10.80 , 10.80 
5 , 27 , 2010 , 11.18 , 10.75 , 11.11 , 11.02 
5 , 28 , 2010 , 11.11 , 10.50 , 11.11 , 10.65 
6 , 1 , 2010 , 10.57 , 10.16 , 10.47 , 10.23 
6 , 2 , 2010 , 10.58 , 10.18 , 10.38 , 10.53 
6 , 3 , 2010 , 10.67 , 10.36 , 10.50 , 10.49 
6 , 4 , 2010 , 10.40 , 10.00 , 10.21 , 10.12 
6 , 7 , 2010 , 10.19 , 9.82 , 10.18 , 9.86 
6 , 8 , 2010 , 10.05 , 9.67 , 9.93 , 9.96 
6 , 9 , 2010 , 10.33 , 9.85 , 10.11 , 9.95 
6 , 10 , 2010 , 10.40 , 10.05 , 10.09 , 10.40 
6 , 11 , 2010 , 10.60 , 10.29 , 10.33 , 10.56 
6 , 14 , 2010 , 10.66 , 10.30 , 10.62 , 10.39 
6 , 15 , 2010 , 10.67 , 10.29 , 10.43 , 10.64 
6 , 16 , 2010 , 10.80 , 10.44 , 10.55 , 10.60 
6 , 17 , 2010 , 10.70 , 10.38 , 10.62 , 10.48 
6 , 18 , 2010 , 10.54 , 10.40 , 10.43 , 10.43 
6 , 21 , 2010 , 10.79 , 10.34 , 10.65 , 10.37 
6 , 22 , 2010 , 10.42 , 10.05 , 10.32 , 10.09 
6 , 23 , 2010 , 10.27 , 9.95 , 10.09 , 10.17 
6 , 24 , 2010 , 10.11 , 9.85 , 10.11 , 9.89 
6 , 25 , 2010 , 10.35 , 10.05 , 10.15 , 10.25 
6 , 28 , 2010 , 10.28 , 10.05 , 10.21 , 10.05 
6 , 29 , 2010 , 9.90 , 9.34 , 9.90 , 9.52 
6 , 30 , 2010 , 9.78 , 9.52 , 9.57 , 9.56 
7 , 1 , 2010 , 9.59 , 9.26 , 9.46 , 9.47 
7 , 2 , 2010 , 9.55 , 9.13 , 9.51 , 9.34 
7 , 6 , 2010 , 9.58 , 9.07 , 9.53 , 9.20 
7 , 7 , 2010 , 9.56 , 8.93 , 9.15 , 9.56 
7 , 8 , 2010 , 10.19 , 9.73 , 9.78 , 10.17 
7 , 9 , 2010 , 10.55 , 10.02 , 10.10 , 10.50 
7 , 12 , 2010 , 10.52 , 10.17 , 10.44 , 10.31 
7 , 13 , 2010 , 10.59 , 10.33 , 10.55 , 10.54 
7 , 14 , 2010 , 10.59 , 10.26 , 10.59 , 10.28 
7 , 15 , 2010 , 10.57 , 10.08 , 10.44 , 10.56 
7 , 16 , 2010 , 10.54 , 10.06 , 10.54 , 10.19 
7 , 19 , 2010 , 10.26 , 9.99 , 10.17 , 10.10 
7 , 20 , 2010 , 10.33 , 9.75 , 9.90 , 10.31 
7 , 21 , 2010 , 10.52 , 10.17 , 10.36 , 10.31 
7 , 22 , 2010 , 10.83 , 10.44 , 10.56 , 10.74 
7 , 23 , 2010 , 11.30 , 10.83 , 10.88 , 11.25 
7 , 26 , 2010 , 11.90 , 11.37 , 11.60 , 11.70 
7 , 27 , 2010 , 11.92 , 11.42 , 11.85 , 11.44 
7 , 28 , 2010 , 11.48 , 11.04 , 11.35 , 11.23 
7 , 29 , 2010 , 11.57 , 11.19 , 11.40 , 11.30 
7 , 30 , 2010 , 11.31 , 11.10 , 11.10 , 11.15 
8 , 2 , 2010 , 11.82 , 11.30 , 11.50 , 11.70 
8 , 3 , 2010 , 11.70 , 11.44 , 11.70 , 11.50 
