Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 41.70 , 39.90 , 41.00 , 40.50 
3 , 18 , 2010 , 40.90 , 40.00 , 40.90 , 40.20 
3 , 19 , 2010 , 40.50 , 39.00 , 40.30 , 39.00 
3 , 22 , 2010 , 41.03 , 38.80 , 38.90 , 40.40 
3 , 23 , 2010 , 41.50 , 40.74 , 40.90 , 41.30 
3 , 24 , 2010 , 41.90 , 41.00 , 41.00 , 41.50 
3 , 25 , 2010 , 43.80 , 42.30 , 42.40 , 42.70 
3 , 26 , 2010 , 43.70 , 42.60 , 43.40 , 43.10 
3 , 29 , 2010 , 44.10 , 41.10 , 43.80 , 41.80 
3 , 30 , 2010 , 41.80 , 40.50 , 41.30 , 40.90 
3 , 31 , 2010 , 41.10 , 40.10 , 40.80 , 40.50 
4 , 1 , 2010 , 41.80 , 40.20 , 41.10 , 41.80 
4 , 5 , 2010 , 42.80 , 42.30 , 42.70 , 42.60 
4 , 6 , 2010 , 43.00 , 42.50 , 42.70 , 42.90 
4 , 7 , 2010 , 44.00 , 43.00 , 43.10 , 43.60 
4 , 8 , 2010 , 44.90 , 43.10 , 43.50 , 44.70 
4 , 9 , 2010 , 45.70 , 45.20 , 45.40 , 45.50 
4 , 12 , 2010 , 46.40 , 45.80 , 46.25 , 46.40 
4 , 13 , 2010 , 46.83 , 45.90 , 46.20 , 46.20 
4 , 14 , 2010 , 49.40 , 47.00 , 47.20 , 49.30 
4 , 15 , 2010 , 50.70 , 47.40 , 49.90 , 48.10 
4 , 16 , 2010 , 48.30 , 44.10 , 48.20 , 45.60 
4 , 19 , 2010 , 49.30 , 46.40 , 46.45 , 48.80 
4 , 20 , 2010 , 50.60 , 49.20 , 50.20 , 49.70 
4 , 21 , 2010 , 50.40 , 48.20 , 50.30 , 49.30 
4 , 22 , 2010 , 48.90 , 47.70 , 48.50 , 48.70 
4 , 23 , 2010 , 49.50 , 48.30 , 48.70 , 48.60 
4 , 26 , 2010 , 48.00 , 46.00 , 47.85 , 46.10 
4 , 27 , 2010 , 45.70 , 43.30 , 45.50 , 43.40 
4 , 28 , 2010 , 45.55 , 44.00 , 44.20 , 44.50 
4 , 29 , 2010 , 46.29 , 44.96 , 45.30 , 45.60 
4 , 30 , 2010 , 45.50 , 43.70 , 45.50 , 43.70 
5 , 3 , 2010 , 44.80 , 43.80 , 44.60 , 44.10 
5 , 4 , 2010 , 43.60 , 42.30 , 43.40 , 42.60 
5 , 5 , 2010 , 42.50 , 40.40 , 41.60 , 41.80 
5 , 6 , 2010 , 42.70 , 39.00 , 42.00 , 40.40 
5 , 7 , 2010 , 41.30 , 39.20 , 40.80 , 40.00 
5 , 10 , 2010 , 43.50 , 41.60 , 43.30 , 42.20 
5 , 11 , 2010 , 42.40 , 41.10 , 41.30 , 41.70 
5 , 12 , 2010 , 42.30 , 41.36 , 42.30 , 41.80 
5 , 13 , 2010 , 41.60 , 40.80 , 41.50 , 40.90 
5 , 14 , 2010 , 40.40 , 39.10 , 40.30 , 39.80 
5 , 17 , 2010 , 40.10 , 37.60 , 40.00 , 38.60 
5 , 18 , 2010 , 39.60 , 37.10 , 39.50 , 37.30 
5 , 19 , 2010 , 38.50 , 37.10 , 37.30 , 38.10 
5 , 20 , 2010 , 37.70 , 36.10 , 37.50 , 36.30 
5 , 21 , 2010 , 38.10 , 35.30 , 35.40 , 37.50 
5 , 24 , 2010 , 39.45 , 37.70 , 38.60 , 37.80 
5 , 25 , 2010 , 38.00 , 35.60 , 36.40 , 37.80 
5 , 26 , 2010 , 40.30 , 38.60 , 39.70 , 38.60 
5 , 27 , 2010 , 40.70 , 39.80 , 40.30 , 40.20 
5 , 28 , 2010 , 40.40 , 39.50 , 40.20 , 39.60 
6 , 1 , 2010 , 39.60 , 38.40 , 39.00 , 38.50 
6 , 2 , 2010 , 39.30 , 38.50 , 38.90 , 39.20 
6 , 3 , 2010 , 40.30 , 39.30 , 39.60 , 39.60 
6 , 4 , 2010 , 39.16 , 37.70 , 38.50 , 37.90 
6 , 7 , 2010 , 38.20 , 36.20 , 38.10 , 36.40 
6 , 8 , 2010 , 37.50 , 36.50 , 36.90 , 37.20 
6 , 9 , 2010 , 38.90 , 37.60 , 37.80 , 38.70 
6 , 10 , 2010 , 39.60 , 38.70 , 39.50 , 39.00 
6 , 11 , 2010 , 39.20 , 38.50 , 38.60 , 38.80 
6 , 14 , 2010 , 39.30 , 38.80 , 39.20 , 38.80 
6 , 15 , 2010 , 39.90 , 38.90 , 39.30 , 39.90 
6 , 16 , 2010 , 40.00 , 39.30 , 39.60 , 39.90 
6 , 17 , 2010 , 40.30 , 39.10 , 40.10 , 39.60 
6 , 18 , 2010 , 40.10 , 39.30 , 39.70 , 40.10 
6 , 21 , 2010 , 40.70 , 40.10 , 40.50 , 40.20 
6 , 22 , 2010 , 40.30 , 39.40 , 40.00 , 39.40 
6 , 23 , 2010 , 39.80 , 38.70 , 39.50 , 38.90 
6 , 24 , 2010 , 38.60 , 37.70 , 38.60 , 37.80 
6 , 25 , 2010 , 39.50 , 38.20 , 38.50 , 39.40 
6 , 28 , 2010 , 40.24 , 39.20 , 39.30 , 40.00 
6 , 29 , 2010 , 39.20 , 37.10 , 39.20 , 37.30 
6 , 30 , 2010 , 38.60 , 37.10 , 38.10 , 37.60 
7 , 1 , 2010 , 38.50 , 36.20 , 38.30 , 37.80 
7 , 2 , 2010 , 38.87 , 37.10 , 38.20 , 37.90 
7 , 6 , 2010 , 39.00 , 37.20 , 38.70 , 37.90 
7 , 7 , 2010 , 39.10 , 37.70 , 38.20 , 39.00 
7 , 8 , 2010 , 40.00 , 39.20 , 39.50 , 39.70 
7 , 9 , 2010 , 40.50 , 39.40 , 39.70 , 40.40 
7 , 12 , 2010 , 41.30 , 40.40 , 40.50 , 41.10 
7 , 13 , 2010 , 43.00 , 41.80 , 41.85 , 43.00 
7 , 14 , 2010 , 42.80 , 41.50 , 42.70 , 42.10 
7 , 15 , 2010 , 42.40 , 40.50 , 42.30 , 41.60 
7 , 16 , 2010 , 41.00 , 39.00 , 40.50 , 39.00 
7 , 19 , 2010 , 40.40 , 38.50 , 39.30 , 39.80 
7 , 20 , 2010 , 40.60 , 39.00 , 39.10 , 39.90 
7 , 21 , 2010 , 40.60 , 39.20 , 40.50 , 39.40 
7 , 22 , 2010 , 40.90 , 39.90 , 39.90 , 40.90 
7 , 23 , 2010 , 40.62 , 39.90 , 40.20 , 40.20 
7 , 26 , 2010 , 41.50 , 40.20 , 40.20 , 41.50 
7 , 27 , 2010 , 42.70 , 41.60 , 42.10 , 41.60 
7 , 28 , 2010 , 41.60 , 40.70 , 41.30 , 40.90 
7 , 29 , 2010 , 41.50 , 40.60 , 41.40 , 41.20 
7 , 30 , 2010 , 41.20 , 40.60 , 40.60 , 41.00 
8 , 2 , 2010 , 42.00 , 41.60 , 41.90 , 41.90 
8 , 3 , 2010 , 41.70 , 41.05 , 41.60 , 41.30 
8 , 4 , 2010 , 41.60 , 41.10 , 41.50 , 41.40 
8 , 5 , 2010 , 41.10 , 40.69 , 41.10 , 41.00 
8 , 6 , 2010 , 40.80 , 40.10 , 40.70 , 40.60 
8 , 9 , 2010 , 41.15 , 40.10 , 40.80 , 40.80 
8 , 10 , 2010 , 40.60 , 40.00 , 40.30 , 40.00 
8 , 11 , 2010 , 39.70 , 38.40 , 39.50 , 38.50 
8 , 12 , 2010 , 38.90 , 38.30 , 38.40 , 38.70 
8 , 13 , 2010 , 39.50 , 38.80 , 39.00 , 38.80 
8 , 16 , 2010 , 39.10 , 38.50 , 38.70 , 38.70 
8 , 17 , 2010 , 39.20 , 38.30 , 39.15 , 38.50 
8 , 18 , 2010 , 39.00 , 38.40 , 38.60 , 38.60 
8 , 19 , 2010 , 38.90 , 37.80 , 38.50 , 37.90 
8 , 20 , 2010 , 37.90 , 37.10 , 37.80 , 37.50 
8 , 23 , 2010 , 38.30 , 37.50 , 37.90 , 37.50 
8 , 24 , 2010 , 37.50 , 36.80 , 37.00 , 37.10 
8 , 25 , 2010 , 37.20 , 36.40 , 36.95 , 36.80 
8 , 26 , 2010 , 37.50 , 36.60 , 37.30 , 36.60 
8 , 27 , 2010 , 37.60 , 36.40 , 36.95 , 37.60 
8 , 30 , 2010 , 37.60 , 36.70 , 37.50 , 36.70 
8 , 31 , 2010 , 37.30 , 36.30 , 36.80 , 37.09 
9 , 1 , 2010 , 38.50 , 37.40 , 37.50 , 38.48 
9 , 2 , 2010 , 39.30 , 38.30 , 38.35 , 38.80 
9 , 3 , 2010 , 39.80 , 39.00 , 39.40 , 39.10 
9 , 7 , 2010 , 38.80 , 38.20 , 38.80 , 38.30 
9 , 8 , 2010 , 38.60 , 38.30 , 38.50 , 38.40 
9 , 9 , 2010 , 39.50 , 38.80 , 38.90 , 39.10 
9 , 10 , 2010 , 39.40 , 39.00 , 39.20 , 39.10 
9 , 13 , 2010 , 40.10 , 39.60 , 39.60 , 39.90 
9 , 14 , 2010 , 39.90 , 39.10 , 39.75 , 39.40 
9 , 15 , 2010 , 39.30 , 39.00 , 39.20 , 39.20 
9 , 16 , 2010 , 39.80 , 38.80 , 38.90 , 39.70 
9 , 17 , 2010 , 40.20 , 39.50 , 40.00 , 39.50 
9 , 20 , 2010 , 40.00 , 39.40 , 39.50 , 39.90 
9 , 21 , 2010 , 40.20 , 39.40 , 40.20 , 39.40 
9 , 22 , 2010 , 39.80 , 38.80 , 39.30 , 38.80 
9 , 23 , 2010 , 38.90 , 38.00 , 38.40 , 38.00 
9 , 24 , 2010 , 39.10 , 38.50 , 38.60 , 39.04 
9 , 27 , 2010 , 39.30 , 38.70 , 39.00 , 38.70 
9 , 28 , 2010 , 39.00 , 38.40 , 38.90 , 38.83 
9 , 29 , 2010 , 39.90 , 38.70 , 38.85 , 39.20 
9 , 30 , 2010 , 40.10 , 38.90 , 39.60 , 39.10 
10 , 1 , 2010 , 41.00 , 39.40 , 39.80 , 40.90 
10 , 4 , 2010 , 41.20 , 40.30 , 40.80 , 40.30 
10 , 5 , 2010 , 41.50 , 40.70 , 40.70 , 41.30 
10 , 6 , 2010 , 41.60 , 40.80 , 41.40 , 41.00 
10 , 7 , 2010 , 41.90 , 41.30 , 41.40 , 41.80 
10 , 8 , 2010 , 42.00 , 41.40 , 41.80 , 41.90 
10 , 11 , 2010 , 42.10 , 41.20 , 42.10 , 41.80 
10 , 12 , 2010 , 42.40 , 41.30 , 41.50 , 42.40 
10 , 13 , 2010 , 43.00 , 41.80 , 42.50 , 42.50 
10 , 14 , 2010 , 41.70 , 39.90 , 41.70 , 40.60 
10 , 15 , 2010 , 41.10 , 39.10 , 41.00 , 39.50 
10 , 18 , 2010 , 42.00 , 39.70 , 40.00 , 41.70 
10 , 19 , 2010 , 41.90 , 40.40 , 41.30 , 40.60 
10 , 20 , 2010 , 41.20 , 40.30 , 41.00 , 41.10 
10 , 21 , 2010 , 41.70 , 40.30 , 41.30 , 40.70 
10 , 22 , 2010 , 41.40 , 40.90 , 41.00 , 41.10 
10 , 25 , 2010 , 42.30 , 41.40 , 42.20 , 42.10 
10 , 26 , 2010 , 42.10 , 41.50 , 41.60 , 41.80 
10 , 27 , 2010 , 41.90 , 41.40 , 41.60 , 41.70 
10 , 28 , 2010 , 42.00 , 41.50 , 41.90 , 41.70 
10 , 29 , 2010 , 41.80 , 41.50 , 41.60 , 41.70 
11 , 1 , 2010 , 42.00 , 41.00 , 41.90 , 41.50 
11 , 2 , 2010 , 42.00 , 41.50 , 41.91 , 41.70 
11 , 3 , 2010 , 41.90 , 41.50 , 41.70 , 41.90 
11 , 4 , 2010 , 43.30 , 41.90 , 42.20 , 43.30 
11 , 5 , 2010 , 45.10 , 43.20 , 43.30 , 44.90 
11 , 8 , 2010 , 45.20 , 44.10 , 45.15 , 44.38 
