Month , Day , Year , High , Low , Open , Close
6 , 1 , 2020 , 21.95 , 20.55 , 20.55 , 21.82 
6 , 2 , 2020 , 21.83 , 20.91 , 21.69 , 21.36 
6 , 3 , 2020 , 22.58 , 21.38 , 21.47 , 22.22 
6 , 4 , 2020 , 23.12 , 22.03 , 22.03 , 22.68 
6 , 5 , 2020 , 24.40 , 23.38 , 23.54 , 23.56 
6 , 8 , 2020 , 24.38 , 23.31 , 23.63 , 24.37 
6 , 9 , 2020 , 23.96 , 23.21 , 23.74 , 23.21 
6 , 10 , 2020 , 23.15 , 22.04 , 22.31 , 22.20 
6 , 11 , 2020 , 21.80 , 20.00 , 20.26 , 21.06 
6 , 12 , 2020 , 22.31 , 21.02 , 22.00 , 21.54 
6 , 15 , 2020 , 22.54 , 20.63 , 20.72 , 21.97 
6 , 16 , 2020 , 22.98 , 21.93 , 22.94 , 22.07 
6 , 17 , 2020 , 22.34 , 21.08 , 22.17 , 21.26 
6 , 18 , 2020 , 21.89 , 21.00 , 21.00 , 21.25 
6 , 19 , 2020 , 21.85 , 21.00 , 21.76 , 21.45 
6 , 22 , 2020 , 22.83 , 21.31 , 21.52 , 22.74 
6 , 23 , 2020 , 23.24 , 22.32 , 23.12 , 22.39 
6 , 24 , 2020 , 22.66 , 21.45 , 22.10 , 21.82 
6 , 25 , 2020 , 21.87 , 21.04 , 21.62 , 21.52 
6 , 26 , 2020 , 21.74 , 20.59 , 21.52 , 20.97 
6 , 29 , 2020 , 22.47 , 21.00 , 21.08 , 22.12 
6 , 30 , 2020 , 22.41 , 21.41 , 21.81 , 22.22 
7 , 1 , 2020 , 23.01 , 21.87 , 22.32 , 22.61 
7 , 2 , 2020 , 23.22 , 22.57 , 22.99 , 22.91 
7 , 6 , 2020 , 24.29 , 23.13 , 23.13 , 24.21 
7 , 7 , 2020 , 24.18 , 23.72 , 23.76 , 24.01 
7 , 8 , 2020 , 24.09 , 23.46 , 23.88 , 23.99 
7 , 9 , 2020 , 24.22 , 23.76 , 24.00 , 23.91 
7 , 10 , 2020 , 26.06 , 23.72 , 23.84 , 24.89 
7 , 13 , 2020 , 25.21 , 23.26 , 25.14 , 24.28 
7 , 14 , 2020 , 25.16 , 24.23 , 24.30 , 25.15 
7 , 15 , 2020 , 26.57 , 25.54 , 25.58 , 26.45 
7 , 16 , 2020 , 26.99 , 25.92 , 26.12 , 26.61 
7 , 17 , 2020 , 26.90 , 26.33 , 26.89 , 26.48 
7 , 20 , 2020 , 26.54 , 26.07 , 26.22 , 26.41 
7 , 21 , 2020 , 26.80 , 26.16 , 26.29 , 26.57 
7 , 22 , 2020 , 27.06 , 26.32 , 26.34 , 26.60 
7 , 23 , 2020 , 27.63 , 26.52 , 26.66 , 27.35 
7 , 24 , 2020 , 27.26 , 26.54 , 27.25 , 26.58 
7 , 27 , 2020 , 26.78 , 26.08 , 26.50 , 26.25 
7 , 28 , 2020 , 26.40 , 25.85 , 26.07 , 26.07 
7 , 29 , 2020 , 27.72 , 26.11 , 26.11 , 27.18 
7 , 30 , 2020 , 27.50 , 25.60 , 25.85 , 26.90 
7 , 31 , 2020 , 27.36 , 26.63 , 26.85 , 27.24 
8 , 3 , 2020 , 27.89 , 27.01 , 27.24 , 27.62 
8 , 4 , 2020 , 27.87 , 27.16 , 27.40 , 27.77 
8 , 5 , 2020 , 28.18 , 27.66 , 27.66 , 28.11 
8 , 6 , 2020 , 28.54 , 27.94 , 28.02 , 28.27 
8 , 7 , 2020 , 29.03 , 28.44 , 28.72 , 28.97 
8 , 10 , 2020 , 29.57 , 28.91 , 29.02 , 29.46 
8 , 11 , 2020 , 30.32 , 29.44 , 30.16 , 29.49 
8 , 12 , 2020 , 30.19 , 29.62 , 29.87 , 29.79 
8 , 13 , 2020 , 30.28 , 29.37 , 29.90 , 29.54 
8 , 14 , 2020 , 30.05 , 29.28 , 29.71 , 29.52 
8 , 17 , 2020 , 30.19 , 29.14 , 29.50 , 29.84 
8 , 18 , 2020 , 30.05 , 29.37 , 29.72 , 29.46 
8 , 19 , 2020 , 29.69 , 29.12 , 29.54 , 29.25 
8 , 20 , 2020 , 29.41 , 28.75 , 29.02 , 29.01 
8 , 21 , 2020 , 29.82 , 29.09 , 29.16 , 29.52 
8 , 24 , 2020 , 30.44 , 29.74 , 29.76 , 30.38 
8 , 25 , 2020 , 30.81 , 30.41 , 30.50 , 30.47 
8 , 26 , 2020 , 31.24 , 30.41 , 30.51 , 31.03 
8 , 27 , 2020 , 31.24 , 30.16 , 31.07 , 30.28 
8 , 28 , 2020 , 30.48 , 29.96 , 30.38 , 30.30 
8 , 31 , 2020 , 30.46 , 29.83 , 30.19 , 29.85 
9 , 1 , 2020 , 30.36 , 29.17 , 29.66 , 30.30 
9 , 2 , 2020 , 30.95 , 29.84 , 30.22 , 30.78 
9 , 3 , 2020 , 30.69 , 28.96 , 30.50 , 29.33 
9 , 4 , 2020 , 30.10 , 28.83 , 29.43 , 30.00 
9 , 8 , 2020 , 30.25 , 29.20 , 29.35 , 29.57 
9 , 9 , 2020 , 30.35 , 29.55 , 29.93 , 30.13 
9 , 10 , 2020 , 30.01 , 28.58 , 29.90 , 29.14 
9 , 11 , 2020 , 29.65 , 29.01 , 29.17 , 29.24 
9 , 14 , 2020 , 29.44 , 28.83 , 29.40 , 29.15 
9 , 15 , 2020 , 30.04 , 29.30 , 29.48 , 29.69 
9 , 16 , 2020 , 30.54 , 29.53 , 30.16 , 30.25 
9 , 17 , 2020 , 30.70 , 29.37 , 29.77 , 30.66 
9 , 18 , 2020 , 31.20 , 30.50 , 30.50 , 30.79 
9 , 21 , 2020 , 30.77 , 29.22 , 30.29 , 29.51 
9 , 22 , 2020 , 30.33 , 29.49 , 29.51 , 30.26 
9 , 23 , 2020 , 30.42 , 29.10 , 30.40 , 29.11 
9 , 24 , 2020 , 29.97 , 28.79 , 29.12 , 29.88 
9 , 25 , 2020 , 30.50 , 29.35 , 29.40 , 30.49 
9 , 28 , 2020 , 31.56 , 30.43 , 30.75 , 30.74 
9 , 29 , 2020 , 30.69 , 30.08 , 30.51 , 30.50 
