Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 60.50 , 59.49 , 59.65 , 60.22 
3 , 18 , 2010 , 60.39 , 59.34 , 59.61 , 59.77 
3 , 19 , 2010 , 60.31 , 58.95 , 60.11 , 59.37 
3 , 22 , 2010 , 60.27 , 58.66 , 58.70 , 59.95 
3 , 23 , 2010 , 62.51 , 60.01 , 60.10 , 62.41 
3 , 24 , 2010 , 62.54 , 61.42 , 61.96 , 62.06 
3 , 25 , 2010 , 63.71 , 62.05 , 62.68 , 62.14 
3 , 26 , 2010 , 63.18 , 61.99 , 62.40 , 62.44 
3 , 29 , 2010 , 63.60 , 62.76 , 62.76 , 63.48 
3 , 30 , 2010 , 63.63 , 62.81 , 63.38 , 63.16 
3 , 31 , 2010 , 63.50 , 62.63 , 62.76 , 62.85 
4 , 1 , 2010 , 64.20 , 63.29 , 63.29 , 63.99 
4 , 5 , 2010 , 65.00 , 64.20 , 64.36 , 64.99 
4 , 6 , 2010 , 65.47 , 64.57 , 64.81 , 65.29 
4 , 7 , 2010 , 65.38 , 64.00 , 65.25 , 64.47 
4 , 8 , 2010 , 64.65 , 63.55 , 64.05 , 64.48 
4 , 9 , 2010 , 65.52 , 64.82 , 64.90 , 65.27 
4 , 12 , 2010 , 67.00 , 65.76 , 65.93 , 66.73 
4 , 13 , 2010 , 67.25 , 66.16 , 66.80 , 66.19 
4 , 14 , 2010 , 67.37 , 66.20 , 66.37 , 67.28 
4 , 15 , 2010 , 68.71 , 67.16 , 67.16 , 68.22 
4 , 16 , 2010 , 68.23 , 66.34 , 68.05 , 66.88 
4 , 19 , 2010 , 67.70 , 65.77 , 66.60 , 66.99 
4 , 20 , 2010 , 68.30 , 67.40 , 67.75 , 67.50 
4 , 21 , 2010 , 67.92 , 66.70 , 67.74 , 67.75 
4 , 22 , 2010 , 67.65 , 65.97 , 66.67 , 67.51 
4 , 23 , 2010 , 68.95 , 66.99 , 67.20 , 68.78 
4 , 26 , 2010 , 72.83 , 70.65 , 70.88 , 71.65 
4 , 27 , 2010 , 71.58 , 68.28 , 71.25 , 68.53 
4 , 28 , 2010 , 70.27 , 68.60 , 69.43 , 68.97 
4 , 29 , 2010 , 70.76 , 69.62 , 69.96 , 70.75 
4 , 30 , 2010 , 71.36 , 67.82 , 70.99 , 68.09 
5 , 3 , 2010 , 70.16 , 68.09 , 68.37 , 69.94 
5 , 4 , 2010 , 68.56 , 66.25 , 68.56 , 66.70 
5 , 5 , 2010 , 67.44 , 64.08 , 65.86 , 65.96 
