Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 52.03 , 51.29 , 51.44 , 51.50 
3 , 18 , 2010 , 51.61 , 50.95 , 51.37 , 51.52 
3 , 19 , 2010 , 52.73 , 51.69 , 51.69 , 52.70 
3 , 22 , 2010 , 52.55 , 51.98 , 52.50 , 52.43 
3 , 23 , 2010 , 52.81 , 52.11 , 52.59 , 52.79 
3 , 24 , 2010 , 53.29 , 52.49 , 52.82 , 52.88 
3 , 25 , 2010 , 53.24 , 52.65 , 53.24 , 52.67 
3 , 26 , 2010 , 53.32 , 52.51 , 52.81 , 52.76 
3 , 29 , 2010 , 52.86 , 52.39 , 52.75 , 52.69 
3 , 30 , 2010 , 52.88 , 52.58 , 52.76 , 52.61 
3 , 31 , 2010 , 52.60 , 52.21 , 52.60 , 52.30 
4 , 1 , 2010 , 52.82 , 52.44 , 52.47 , 52.82 
4 , 5 , 2010 , 53.05 , 52.08 , 52.45 , 52.56 
4 , 6 , 2010 , 52.92 , 52.39 , 52.65 , 52.73 
4 , 7 , 2010 , 53.66 , 52.32 , 52.57 , 53.56 
4 , 8 , 2010 , 53.45 , 53.00 , 53.33 , 53.30 
4 , 9 , 2010 , 53.71 , 53.22 , 53.55 , 53.44 
4 , 12 , 2010 , 53.47 , 52.87 , 53.32 , 53.05 
4 , 13 , 2010 , 53.51 , 52.89 , 52.93 , 53.40 
4 , 14 , 2010 , 53.91 , 53.46 , 53.63 , 53.89 
4 , 15 , 2010 , 53.65 , 53.22 , 53.60 , 53.35 
4 , 16 , 2010 , 53.69 , 52.50 , 53.36 , 52.62 
4 , 19 , 2010 , 52.54 , 52.07 , 52.37 , 52.42 
4 , 20 , 2010 , 52.73 , 51.92 , 52.43 , 52.71 
4 , 21 , 2010 , 52.87 , 52.15 , 52.74 , 52.45 
4 , 22 , 2010 , 52.39 , 51.74 , 51.98 , 52.20 
4 , 23 , 2010 , 53.14 , 51.80 , 51.96 , 53.13 
4 , 26 , 2010 , 53.25 , 52.63 , 53.19 , 52.65 
4 , 27 , 2010 , 52.69 , 51.97 , 52.40 , 52.40 
4 , 28 , 2010 , 53.85 , 52.95 , 53.45 , 53.65 
4 , 29 , 2010 , 54.17 , 52.12 , 52.66 , 53.14 
4 , 30 , 2010 , 53.35 , 52.57 , 53.02 , 53.19 
5 , 3 , 2010 , 53.34 , 52.71 , 53.21 , 52.87 
5 , 4 , 2010 , 52.61 , 51.89 , 52.43 , 52.08 
5 , 5 , 2010 , 52.51 , 51.60 , 51.62 , 52.26 
