Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 6.51 , 6.26 , 6.26 , 6.50 
3 , 18 , 2010 , 6.68 , 6.45 , 6.45 , 6.68 
3 , 19 , 2010 , 6.92 , 6.65 , 6.68 , 6.87 
3 , 22 , 2010 , 6.85 , 6.65 , 6.85 , 6.72 
3 , 23 , 2010 , 6.78 , 6.66 , 6.72 , 6.72 
3 , 24 , 2010 , 6.79 , 6.62 , 6.66 , 6.73 
3 , 25 , 2010 , 6.80 , 6.60 , 6.79 , 6.64 
3 , 26 , 2010 , 6.74 , 6.57 , 6.65 , 6.62 
3 , 29 , 2010 , 6.72 , 6.59 , 6.66 , 6.68 
3 , 30 , 2010 , 6.74 , 6.61 , 6.70 , 6.65 
3 , 31 , 2010 , 6.74 , 6.60 , 6.61 , 6.67 
4 , 1 , 2010 , 6.79 , 6.56 , 6.56 , 6.77 
4 , 5 , 2010 , 7.03 , 6.76 , 6.77 , 7.03 
4 , 6 , 2010 , 7.03 , 6.71 , 7.03 , 6.76 
4 , 7 , 2010 , 6.88 , 6.78 , 6.78 , 6.82 
4 , 8 , 2010 , 6.87 , 6.74 , 6.79 , 6.80 
4 , 9 , 2010 , 6.90 , 6.76 , 6.78 , 6.84 
4 , 12 , 2010 , 7.02 , 6.84 , 6.85 , 6.90 
4 , 13 , 2010 , 6.96 , 6.80 , 6.89 , 6.89 
4 , 14 , 2010 , 7.10 , 6.93 , 6.93 , 6.99 
4 , 15 , 2010 , 7.07 , 6.90 , 6.97 , 7.01 
4 , 16 , 2010 , 7.20 , 6.92 , 6.98 , 7.11 
4 , 19 , 2010 , 7.23 , 6.90 , 7.05 , 7.22 
4 , 20 , 2010 , 7.25 , 7.11 , 7.20 , 7.18 
4 , 21 , 2010 , 7.21 , 6.99 , 7.18 , 7.17 
4 , 22 , 2010 , 7.35 , 7.02 , 7.11 , 7.34 
4 , 23 , 2010 , 7.38 , 7.21 , 7.32 , 7.35 
4 , 26 , 2010 , 7.43 , 7.29 , 7.33 , 7.37 
4 , 27 , 2010 , 7.45 , 7.16 , 7.33 , 7.16 
4 , 28 , 2010 , 7.23 , 7.02 , 7.17 , 7.15 
4 , 29 , 2010 , 7.66 , 7.20 , 7.20 , 7.65 
4 , 30 , 2010 , 7.68 , 7.36 , 7.68 , 7.45 
5 , 3 , 2010 , 7.66 , 7.46 , 7.47 , 7.64 
5 , 4 , 2010 , 7.59 , 7.18 , 7.55 , 7.30 
5 , 5 , 2010 , 7.25 , 7.03 , 7.17 , 7.12 
5 , 6 , 2010 , 7.22 , 6.50 , 7.10 , 6.91 
5 , 7 , 2010 , 6.89 , 6.53 , 6.87 , 6.59 
5 , 10 , 2010 , 6.90 , 6.66 , 6.90 , 6.81 
5 , 11 , 2010 , 6.86 , 6.67 , 6.71 , 6.74 
5 , 12 , 2010 , 6.88 , 6.71 , 6.74 , 6.87 
5 , 13 , 2010 , 7.05 , 6.82 , 6.88 , 6.87 
5 , 14 , 2010 , 6.98 , 6.70 , 6.82 , 6.77 
5 , 17 , 2010 , 6.91 , 6.61 , 6.77 , 6.88 
5 , 18 , 2010 , 6.98 , 6.66 , 6.92 , 6.69 
5 , 19 , 2010 , 6.73 , 6.53 , 6.65 , 6.69 
5 , 20 , 2010 , 6.60 , 6.32 , 6.56 , 6.39 
5 , 21 , 2010 , 6.55 , 6.15 , 6.32 , 6.44 
5 , 24 , 2010 , 6.50 , 6.35 , 6.46 , 6.36 
5 , 25 , 2010 , 6.43 , 6.10 , 6.27 , 6.39 
5 , 26 , 2010 , 6.79 , 6.32 , 6.39 , 6.64 
5 , 27 , 2010 , 6.84 , 6.62 , 6.74 , 6.84 
