Month , Day , Year , High , Low , Open , Close
3 , 31 , 2022 , 59.08 , 55.78 , 58.34 , 56.25 
4 , 1 , 2022 , 58.30 , 55.70 , 56.36 , 58.02 
4 , 4 , 2022 , 58.70 , 57.53 , 58.36 , 58.38 
4 , 5 , 2022 , 60.32 , 58.45 , 58.65 , 59.00 
4 , 6 , 2022 , 60.08 , 58.37 , 58.90 , 59.60 
4 , 7 , 2022 , 61.07 , 59.35 , 59.76 , 60.91 
4 , 8 , 2022 , 64.90 , 60.90 , 61.22 , 64.02 
4 , 11 , 2022 , 64.66 , 60.41 , 64.18 , 60.68 
4 , 12 , 2022 , 63.21 , 60.88 , 61.21 , 61.87 
4 , 13 , 2022 , 64.55 , 61.75 , 62.04 , 64.20 
4 , 14 , 2022 , 64.72 , 62.18 , 64.12 , 62.55 
4 , 18 , 2022 , 64.17 , 62.29 , 62.29 , 63.31 
4 , 19 , 2022 , 66.89 , 62.88 , 63.63 , 66.71 
4 , 20 , 2022 , 68.68 , 65.07 , 67.82 , 65.41 
4 , 21 , 2022 , 66.30 , 62.15 , 65.00 , 62.67 
4 , 22 , 2022 , 64.46 , 62.29 , 62.50 , 62.43 
4 , 25 , 2022 , 62.84 , 59.44 , 62.36 , 62.27 
4 , 26 , 2022 , 62.22 , 59.91 , 61.80 , 59.95 
4 , 27 , 2022 , 61.19 , 59.73 , 60.01 , 60.09 
4 , 28 , 2022 , 61.35 , 58.80 , 60.22 , 61.31 
4 , 29 , 2022 , 61.86 , 59.15 , 61.50 , 59.21 
5 , 2 , 2022 , 59.99 , 56.90 , 59.30 , 58.20 
5 , 3 , 2022 , 60.45 , 58.45 , 58.45 , 59.70 
5 , 4 , 2022 , 62.30 , 59.84 , 60.12 , 61.81 
5 , 5 , 2022 , 61.99 , 59.17 , 61.22 , 60.16 
5 , 6 , 2022 , 61.23 , 58.70 , 60.26 , 60.27 
5 , 9 , 2022 , 60.57 , 56.57 , 60.57 , 57.62 
5 , 10 , 2022 , 59.87 , 56.74 , 58.25 , 57.04 
5 , 11 , 2022 , 59.03 , 56.53 , 57.11 , 57.37 
5 , 12 , 2022 , 57.85 , 53.08 , 57.31 , 53.47 
5 , 13 , 2022 , 55.90 , 53.63 , 54.53 , 54.61 
5 , 16 , 2022 , 57.13 , 54.34 , 54.42 , 56.59 
5 , 17 , 2022 , 59.48 , 55.98 , 56.85 , 59.32 
5 , 18 , 2022 , 60.26 , 56.93 , 59.42 , 57.28 
5 , 19 , 2022 , 57.51 , 54.92 , 57.13 , 57.23 
5 , 20 , 2022 , 58.94 , 55.49 , 57.51 , 56.65 
5 , 23 , 2022 , 57.59 , 55.86 , 57.50 , 56.60 
5 , 24 , 2022 , 57.36 , 55.07 , 56.55 , 56.78 
5 , 25 , 2022 , 59.34 , 56.88 , 56.88 , 59.17 
5 , 26 , 2022 , 63.04 , 59.17 , 59.18 , 62.47 
5 , 27 , 2022 , 66.64 , 62.00 , 62.40 , 66.60 
5 , 31 , 2022 , 66.39 , 61.37 , 65.54 , 62.08 
6 , 1 , 2022 , 63.92 , 62.15 , 62.38 , 63.65 
6 , 2 , 2022 , 64.12 , 61.98 , 64.00 , 63.75 
6 , 3 , 2022 , 65.82 , 63.12 , 63.26 , 65.17 
6 , 6 , 2022 , 66.94 , 65.39 , 65.57 , 66.39 
6 , 7 , 2022 , 66.70 , 65.16 , 65.52 , 66.55 
6 , 8 , 2022 , 66.47 , 63.13 , 66.44 , 64.77 
6 , 9 , 2022 , 64.46 , 61.16 , 64.26 , 61.21 
6 , 10 , 2022 , 61.06 , 59.21 , 59.85 , 59.79 
6 , 13 , 2022 , 58.99 , 55.20 , 58.27 , 55.48 
6 , 14 , 2022 , 56.48 , 53.32 , 56.03 , 54.44 
6 , 15 , 2022 , 59.56 , 55.68 , 55.70 , 58.20 
6 , 16 , 2022 , 58.35 , 56.08 , 56.33 , 58.26 
6 , 17 , 2022 , 59.50 , 55.49 , 58.55 , 58.10 
6 , 21 , 2022 , 60.94 , 58.10 , 58.10 , 60.38 
6 , 22 , 2022 , 60.43 , 58.87 , 59.28 , 59.21 
6 , 23 , 2022 , 61.23 , 57.79 , 59.88 , 58.65 
6 , 24 , 2022 , 60.34 , 57.98 , 58.84 , 59.28 
6 , 27 , 2022 , 59.87 , 58.42 , 59.12 , 59.42 
6 , 28 , 2022 , 60.91 , 57.83 , 59.84 , 58.08 
6 , 29 , 2022 , 58.16 , 56.32 , 57.96 , 57.31 
6 , 30 , 2022 , 58.83 , 56.55 , 56.90 , 57.26 
7 , 1 , 2022 , 58.09 , 56.62 , 56.72 , 57.60 
7 , 5 , 2022 , 57.37 , 52.89 , 57.15 , 54.94 
7 , 6 , 2022 , 57.22 , 54.56 , 55.13 , 56.76 
7 , 7 , 2022 , 59.90 , 57.57 , 57.57 , 59.11 
7 , 8 , 2022 , 59.81 , 57.42 , 58.94 , 59.65 
7 , 11 , 2022 , 60.14 , 58.41 , 59.65 , 59.84 
7 , 12 , 2022 , 61.11 , 58.92 , 59.41 , 59.23 
7 , 13 , 2022 , 60.28 , 58.15 , 58.15 , 59.82 
7 , 14 , 2022 , 58.97 , 57.09 , 58.29 , 57.92 
7 , 15 , 2022 , 56.65 , 52.64 , 54.96 , 55.66 
7 , 18 , 2022 , 56.67 , 54.59 , 56.33 , 54.81 
7 , 19 , 2022 , 55.50 , 54.17 , 55.44 , 55.00 
7 , 20 , 2022 , 55.35 , 53.37 , 55.16 , 54.07 
7 , 21 , 2022 , 54.86 , 53.31 , 53.86 , 54.16 
