Month , Day , Year , High , Low , Open , Close
3 , 25 , 2010 , 35.00 , 34.50 , 34.75 , 34.50 
3 , 26 , 2010 , 35.00 , 34.75 , 35.00 , 34.75 
3 , 29 , 2010 , 35.00 , 34.40 , 34.50 , 34.50 
3 , 30 , 2010 , 34.52 , 34.45 , 34.50 , 34.45 
3 , 31 , 2010 , 34.50 , 34.25 , 34.50 , 34.50 
4 , 1 , 2010 , 35.00 , 34.35 , 34.50 , 35.00 
4 , 5 , 2010 , 35.00 , 34.50 , 34.50 , 35.00 
4 , 6 , 2010 , 35.00 , 34.55 , 35.00 , 34.55 
4 , 7 , 2010 , 35.00 , 34.55 , 34.55 , 34.55 
4 , 9 , 2010 , 34.70 , 34.55 , 34.55 , 34.70 
4 , 12 , 2010 , 35.25 , 34.75 , 34.75 , 35.00 
4 , 14 , 2010 , 35.75 , 35.25 , 35.25 , 35.25 
4 , 15 , 2010 , 36.00 , 35.30 , 35.45 , 36.00 
4 , 16 , 2010 , 36.10 , 36.10 , 36.10 , 36.10 
4 , 19 , 2010 , 36.05 , 36.00 , 36.00 , 36.01 
4 , 21 , 2010 , 35.51 , 35.51 , 35.51 , 35.51 
4 , 22 , 2010 , 36.00 , 35.95 , 36.00 , 36.00 
4 , 23 , 2010 , 36.25 , 36.25 , 36.25 , 36.25 
4 , 26 , 2010 , 36.50 , 36.27 , 36.27 , 36.50 
4 , 27 , 2010 , 36.50 , 36.50 , 36.50 , 36.50 
4 , 28 , 2010 , 36.50 , 36.33 , 36.50 , 36.50 
4 , 29 , 2010 , 37.25 , 36.50 , 36.50 , 37.25 
4 , 30 , 2010 , 38.00 , 37.25 , 37.50 , 37.90 
5 , 3 , 2010 , 39.50 , 38.50 , 38.50 , 39.50 
5 , 4 , 2010 , 39.99 , 39.00 , 39.50 , 39.75 
5 , 5 , 2010 , 39.75 , 39.00 , 39.50 , 39.50 
5 , 6 , 2010 , 39.00 , 37.00 , 39.00 , 38.35 
5 , 7 , 2010 , 38.00 , 37.50 , 37.80 , 37.85 
5 , 10 , 2010 , 38.25 , 37.50 , 37.50 , 37.75 
5 , 11 , 2010 , 38.00 , 37.75 , 37.75 , 38.00 
5 , 12 , 2010 , 38.00 , 38.00 , 38.00 , 38.00 
5 , 14 , 2010 , 37.65 , 37.50 , 37.65 , 37.60 
5 , 17 , 2010 , 38.00 , 37.60 , 37.60 , 38.00 
5 , 18 , 2010 , 37.25 , 37.00 , 37.00 , 37.25 
5 , 19 , 2010 , 38.20 , 37.00 , 37.00 , 38.20 
5 , 20 , 2010 , 38.00 , 37.00 , 38.00 , 37.00 
5 , 21 , 2010 , 36.80 , 36.50 , 36.80 , 36.75 
5 , 24 , 2010 , 36.50 , 36.25 , 36.50 , 36.30 
5 , 25 , 2010 , 36.50 , 35.25 , 36.00 , 36.00 
5 , 26 , 2010 , 36.00 , 36.00 , 36.00 , 36.00 
5 , 27 , 2010 , 36.15 , 36.00 , 36.13 , 36.00 
5 , 28 , 2010 , 36.00 , 36.00 , 36.00 , 36.00 
6 , 1 , 2010 , 36.00 , 35.88 , 36.00 , 35.88 
6 , 2 , 2010 , 35.30 , 35.00 , 35.25 , 35.00 
6 , 3 , 2010 , 35.00 , 35.00 , 35.00 , 35.00 
6 , 4 , 2010 , 35.00 , 34.75 , 35.00 , 35.00 
6 , 7 , 2010 , 35.00 , 33.75 , 34.75 , 33.75 
6 , 8 , 2010 , 34.50 , 33.80 , 34.00 , 34.50 
6 , 9 , 2010 , 34.75 , 34.00 , 34.00 , 34.52 
6 , 11 , 2010 , 34.55 , 34.25 , 34.25 , 34.50 
6 , 14 , 2010 , 34.75 , 34.10 , 34.75 , 34.10 
6 , 15 , 2010 , 34.55 , 34.00 , 34.10 , 34.50 
6 , 16 , 2010 , 34.70 , 34.50 , 34.50 , 34.70 
6 , 17 , 2010 , 34.95 , 34.25 , 34.25 , 34.75 
6 , 18 , 2010 , 35.25 , 34.75 , 34.75 , 35.25 
6 , 21 , 2010 , 35.25 , 35.25 , 35.25 , 35.25 
6 , 22 , 2010 , 35.50 , 35.30 , 35.30 , 35.50 
6 , 23 , 2010 , 35.65 , 35.65 , 35.65 , 35.65 
6 , 24 , 2010 , 35.60 , 35.60 , 35.60 , 35.60 
6 , 28 , 2010 , 35.35 , 35.00 , 35.25 , 35.35 
6 , 29 , 2010 , 35.50 , 35.15 , 35.30 , 35.50 
6 , 30 , 2010 , 35.35 , 35.25 , 35.35 , 35.30 
7 , 1 , 2010 , 35.50 , 35.50 , 35.50 , 35.50 
7 , 2 , 2010 , 35.50 , 35.45 , 35.45 , 35.50 
7 , 6 , 2010 , 36.50 , 35.65 , 35.65 , 36.50 
7 , 7 , 2010 , 37.00 , 36.00 , 36.50 , 36.50 
7 , 8 , 2010 , 36.50 , 36.00 , 36.50 , 36.00 
