Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 35.09 , 34.42 , 35.09 , 34.83 
3 , 18 , 2010 , 36.02 , 34.00 , 34.25 , 35.84 
3 , 19 , 2010 , 38.01 , 35.99 , 36.03 , 37.08 
3 , 22 , 2010 , 37.97 , 36.81 , 37.39 , 37.28 
3 , 23 , 2010 , 37.47 , 36.67 , 37.42 , 36.94 
3 , 24 , 2010 , 37.08 , 36.25 , 37.02 , 36.39 
3 , 25 , 2010 , 36.85 , 36.03 , 36.83 , 36.10 
3 , 26 , 2010 , 36.48 , 35.60 , 36.27 , 35.90 
3 , 29 , 2010 , 36.43 , 35.78 , 35.99 , 36.35 
3 , 30 , 2010 , 36.82 , 36.17 , 36.40 , 36.58 
3 , 31 , 2010 , 36.67 , 36.06 , 36.46 , 36.58 
4 , 1 , 2010 , 37.19 , 36.64 , 36.64 , 37.15 
4 , 5 , 2010 , 37.61 , 36.97 , 37.33 , 37.00 
4 , 6 , 2010 , 37.36 , 36.77 , 36.90 , 37.09 
4 , 7 , 2010 , 36.97 , 35.89 , 36.97 , 36.25 
4 , 8 , 2010 , 36.63 , 35.50 , 36.07 , 36.62 
4 , 9 , 2010 , 36.70 , 36.15 , 36.55 , 36.63 
4 , 12 , 2010 , 36.67 , 36.31 , 36.57 , 36.42 
4 , 13 , 2010 , 36.30 , 35.22 , 36.27 , 35.71 
4 , 14 , 2010 , 35.75 , 34.64 , 35.75 , 34.68 
4 , 15 , 2010 , 34.88 , 34.06 , 34.68 , 34.72 
4 , 16 , 2010 , 35.17 , 34.00 , 34.60 , 34.49 
4 , 19 , 2010 , 35.70 , 34.28 , 34.28 , 35.30 
4 , 20 , 2010 , 36.04 , 34.37 , 35.58 , 34.93 
4 , 21 , 2010 , 35.08 , 33.81 , 34.92 , 34.00 
4 , 22 , 2010 , 33.90 , 33.14 , 33.85 , 33.53 
4 , 23 , 2010 , 34.21 , 33.28 , 33.42 , 33.99 
4 , 26 , 2010 , 34.24 , 32.85 , 34.10 , 32.88 
4 , 27 , 2010 , 33.28 , 32.17 , 32.50 , 32.36 
4 , 28 , 2010 , 33.36 , 32.22 , 32.59 , 33.10 
4 , 29 , 2010 , 34.58 , 33.18 , 33.18 , 33.81 
4 , 30 , 2010 , 33.90 , 32.00 , 33.90 , 32.06 
5 , 3 , 2010 , 32.77 , 31.90 , 32.39 , 32.72 
5 , 4 , 2010 , 32.21 , 31.15 , 32.18 , 31.22 
5 , 5 , 2010 , 32.26 , 30.78 , 30.78 , 32.00 
5 , 6 , 2010 , 33.97 , 30.78 , 32.80 , 32.93 
5 , 7 , 2010 , 33.06 , 30.97 , 33.06 , 31.39 
5 , 10 , 2010 , 33.06 , 32.10 , 32.45 , 32.65 
5 , 11 , 2010 , 33.66 , 32.17 , 32.30 , 33.13 
5 , 12 , 2010 , 34.12 , 33.07 , 33.28 , 33.96 
5 , 13 , 2010 , 34.60 , 33.50 , 33.72 , 33.84 
5 , 14 , 2010 , 33.76 , 32.82 , 33.57 , 33.43 
