Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 42.37 , 41.90 , 42.37 , 42.32 
3 , 18 , 2010 , 42.43 , 41.96 , 42.26 , 42.39 
3 , 19 , 2010 , 42.55 , 42.15 , 42.46 , 42.42 
3 , 22 , 2010 , 42.81 , 42.19 , 42.19 , 42.48 
3 , 23 , 2010 , 42.79 , 42.24 , 42.48 , 42.67 
3 , 24 , 2010 , 42.59 , 42.05 , 42.58 , 42.17 
3 , 25 , 2010 , 42.27 , 41.69 , 42.24 , 41.71 
3 , 26 , 2010 , 42.34 , 41.75 , 41.75 , 42.22 
3 , 29 , 2010 , 42.62 , 42.13 , 42.18 , 42.49 
3 , 30 , 2010 , 42.82 , 42.32 , 42.46 , 42.73 
3 , 31 , 2010 , 42.78 , 42.49 , 42.60 , 42.63 
4 , 1 , 2010 , 42.97 , 42.64 , 42.68 , 42.91 
4 , 5 , 2010 , 43.08 , 42.70 , 43.00 , 42.81 
4 , 6 , 2010 , 42.66 , 42.16 , 42.65 , 42.47 
4 , 7 , 2010 , 42.68 , 42.25 , 42.40 , 42.56 
4 , 8 , 2010 , 42.62 , 42.21 , 42.54 , 42.28 
4 , 9 , 2010 , 42.38 , 42.01 , 42.28 , 42.14 
4 , 12 , 2010 , 42.42 , 42.09 , 42.25 , 42.40 
4 , 13 , 2010 , 42.50 , 42.11 , 42.39 , 42.28 
4 , 14 , 2010 , 42.37 , 41.97 , 42.20 , 42.32 
4 , 15 , 2010 , 42.28 , 41.76 , 42.28 , 42.13 
4 , 16 , 2010 , 42.37 , 41.85 , 42.00 , 42.13 
4 , 19 , 2010 , 42.10 , 41.51 , 41.63 , 42.08 
4 , 20 , 2010 , 42.33 , 41.91 , 42.17 , 42.27 
4 , 21 , 2010 , 42.46 , 42.11 , 42.31 , 42.35 
4 , 22 , 2010 , 42.15 , 41.83 , 41.92 , 41.99 
4 , 23 , 2010 , 41.95 , 41.29 , 41.95 , 41.64 
4 , 26 , 2010 , 42.20 , 41.66 , 41.77 , 42.10 
4 , 27 , 2010 , 42.28 , 41.75 , 41.90 , 41.80 
4 , 28 , 2010 , 42.57 , 41.59 , 41.98 , 42.50 
4 , 29 , 2010 , 42.91 , 42.18 , 42.25 , 42.40 
4 , 30 , 2010 , 42.73 , 42.01 , 42.62 , 42.05 
5 , 3 , 2010 , 42.23 , 41.76 , 42.15 , 42.14 
5 , 4 , 2010 , 41.97 , 41.36 , 41.92 , 41.44 
5 , 5 , 2010 , 41.83 , 41.23 , 41.46 , 41.36 
5 , 6 , 2010 , 41.76 , 39.75 , 41.37 , 40.89 
5 , 7 , 2010 , 40.96 , 39.85 , 40.80 , 40.11 
5 , 10 , 2010 , 41.67 , 40.77 , 40.90 , 41.59 
5 , 11 , 2010 , 41.76 , 41.12 , 41.30 , 41.42 
5 , 12 , 2010 , 41.84 , 41.23 , 41.40 , 41.78 
5 , 13 , 2010 , 42.01 , 41.54 , 42.01 , 41.57 
5 , 14 , 2010 , 41.88 , 41.23 , 41.70 , 41.38 
5 , 17 , 2010 , 42.09 , 41.45 , 41.49 , 41.91 
5 , 18 , 2010 , 42.13 , 41.49 , 42.05 , 41.58 
5 , 19 , 2010 , 41.62 , 40.86 , 41.43 , 41.08 
5 , 20 , 2010 , 40.83 , 40.15 , 40.53 , 40.15 
5 , 21 , 2010 , 40.12 , 39.36 , 39.94 , 39.80 
5 , 24 , 2010 , 39.77 , 39.24 , 39.62 , 39.37 
5 , 25 , 2010 , 39.20 , 38.27 , 38.57 , 39.17 
5 , 26 , 2010 , 39.57 , 38.94 , 39.37 , 38.99 
5 , 27 , 2010 , 39.61 , 39.14 , 39.41 , 39.39 
5 , 28 , 2010 , 39.45 , 39.01 , 39.07 , 39.05 
6 , 1 , 2010 , 39.12 , 38.43 , 38.89 , 38.47 
6 , 2 , 2010 , 39.12 , 38.32 , 38.64 , 39.11 
6 , 3 , 2010 , 39.53 , 38.92 , 39.39 , 39.44 
6 , 4 , 2010 , 39.20 , 38.52 , 39.00 , 38.62 
6 , 7 , 2010 , 39.25 , 38.61 , 38.61 , 38.82 
6 , 8 , 2010 , 39.45 , 38.75 , 38.82 , 39.38 
6 , 9 , 2010 , 39.61 , 39.21 , 39.42 , 39.36 
6 , 10 , 2010 , 39.87 , 39.58 , 39.59 , 39.74 
6 , 11 , 2010 , 39.60 , 39.14 , 39.47 , 39.58 
6 , 14 , 2010 , 39.95 , 39.64 , 39.64 , 39.66 
6 , 15 , 2010 , 40.43 , 39.84 , 39.87 , 40.41 
6 , 16 , 2010 , 40.38 , 40.09 , 40.09 , 40.32 
6 , 17 , 2010 , 40.47 , 40.09 , 40.41 , 40.45 
6 , 18 , 2010 , 40.61 , 40.26 , 40.48 , 40.30 
6 , 21 , 2010 , 40.78 , 40.42 , 40.58 , 40.58 
6 , 22 , 2010 , 40.98 , 40.42 , 40.59 , 40.47 
6 , 23 , 2010 , 40.54 , 40.03 , 40.36 , 40.17 
6 , 24 , 2010 , 40.50 , 39.97 , 40.15 , 40.16 
6 , 25 , 2010 , 40.30 , 39.50 , 40.25 , 39.52 
6 , 28 , 2010 , 39.79 , 39.28 , 39.56 , 39.62 
6 , 29 , 2010 , 39.42 , 38.71 , 39.35 , 39.00 
6 , 30 , 2010 , 39.63 , 38.87 , 39.01 , 39.38 
7 , 1 , 2010 , 39.49 , 38.80 , 39.31 , 39.42 
7 , 2 , 2010 , 39.67 , 39.20 , 39.67 , 39.36 
7 , 6 , 2010 , 39.67 , 39.09 , 39.60 , 39.39 
7 , 7 , 2010 , 40.50 , 39.34 , 39.57 , 40.49 
7 , 8 , 2010 , 41.04 , 40.56 , 40.64 , 40.98 
7 , 9 , 2010 , 41.22 , 40.85 , 40.88 , 41.08 
7 , 12 , 2010 , 41.49 , 40.89 , 40.93 , 41.42 
7 , 13 , 2010 , 41.75 , 41.43 , 41.65 , 41.58 
7 , 14 , 2010 , 41.68 , 41.24 , 41.49 , 41.66 
7 , 15 , 2010 , 41.73 , 41.26 , 41.58 , 41.55 
7 , 16 , 2010 , 41.62 , 41.10 , 41.44 , 41.42 
7 , 19 , 2010 , 41.80 , 41.39 , 41.58 , 41.56 
7 , 20 , 2010 , 42.01 , 41.29 , 41.32 , 41.99 
7 , 21 , 2010 , 42.10 , 41.34 , 42.06 , 41.52 
7 , 22 , 2010 , 41.68 , 41.17 , 41.55 , 41.29 
7 , 23 , 2010 , 41.75 , 41.14 , 41.28 , 41.74 
7 , 26 , 2010 , 41.99 , 41.59 , 41.70 , 41.87 
7 , 27 , 2010 , 42.36 , 41.65 , 41.93 , 42.30 
7 , 28 , 2010 , 42.34 , 41.77 , 42.30 , 41.93 
7 , 29 , 2010 , 39.81 , 38.33 , 39.50 , 39.06 
7 , 30 , 2010 , 39.74 , 38.91 , 38.91 , 39.49 
8 , 2 , 2010 , 39.79 , 39.05 , 39.79 , 39.13 
8 , 3 , 2010 , 39.17 , 38.82 , 38.95 , 39.07 
8 , 4 , 2010 , 39.27 , 39.00 , 39.05 , 39.03 
8 , 5 , 2010 , 39.09 , 38.48 , 39.03 , 38.57 
8 , 6 , 2010 , 38.49 , 38.02 , 38.31 , 38.25 
8 , 9 , 2010 , 38.48 , 37.92 , 38.43 , 38.14 
8 , 10 , 2010 , 39.30 , 37.90 , 37.91 , 38.99 
8 , 11 , 2010 , 38.68 , 38.24 , 38.60 , 38.24 
8 , 12 , 2010 , 38.65 , 37.95 , 38.04 , 38.51 
8 , 13 , 2010 , 38.59 , 38.15 , 38.49 , 38.20 
8 , 16 , 2010 , 38.16 , 37.76 , 37.96 , 38.09 
8 , 17 , 2010 , 38.39 , 38.00 , 38.22 , 38.23 
8 , 18 , 2010 , 38.55 , 38.06 , 38.15 , 38.40 
