Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 31.86 , 31.25 , 31.35 , 31.55 
3 , 18 , 2010 , 31.67 , 30.36 , 31.67 , 30.53 
3 , 19 , 2010 , 31.35 , 30.27 , 31.35 , 30.68 
3 , 22 , 2010 , 31.01 , 30.16 , 30.37 , 30.67 
3 , 23 , 2010 , 30.93 , 30.02 , 30.75 , 30.47 
3 , 24 , 2010 , 32.73 , 30.18 , 30.28 , 32.13 
3 , 25 , 2010 , 33.35 , 32.17 , 32.63 , 32.32 
3 , 26 , 2010 , 33.32 , 31.23 , 32.55 , 31.49 
3 , 29 , 2010 , 31.95 , 31.15 , 31.51 , 31.48 
3 , 30 , 2010 , 31.83 , 31.05 , 31.59 , 31.58 
3 , 31 , 2010 , 31.86 , 31.02 , 31.14 , 31.57 
4 , 1 , 2010 , 32.82 , 31.83 , 32.05 , 32.29 
4 , 5 , 2010 , 33.13 , 31.44 , 32.62 , 31.77 
4 , 6 , 2010 , 32.01 , 30.47 , 31.24 , 31.73 
4 , 7 , 2010 , 32.02 , 30.98 , 30.99 , 31.21 
4 , 8 , 2010 , 31.24 , 30.48 , 31.23 , 30.70 
4 , 9 , 2010 , 31.22 , 30.48 , 30.72 , 30.77 
4 , 12 , 2010 , 31.04 , 30.41 , 31.01 , 30.45 
4 , 13 , 2010 , 30.67 , 29.90 , 30.67 , 30.39 
4 , 14 , 2010 , 32.30 , 30.22 , 30.53 , 32.24 
4 , 15 , 2010 , 33.22 , 31.91 , 32.18 , 32.57 
4 , 16 , 2010 , 32.56 , 30.37 , 32.19 , 30.79 
4 , 19 , 2010 , 33.05 , 30.87 , 30.95 , 32.56 
4 , 20 , 2010 , 33.49 , 32.15 , 33.04 , 32.42 
4 , 21 , 2010 , 33.09 , 32.35 , 32.42 , 32.85 
4 , 22 , 2010 , 37.19 , 32.45 , 32.65 , 35.94 
4 , 23 , 2010 , 36.70 , 34.86 , 35.95 , 35.32 
4 , 26 , 2010 , 37.85 , 34.60 , 35.32 , 36.70 
4 , 27 , 2010 , 37.55 , 34.75 , 36.26 , 35.00 
4 , 28 , 2010 , 35.95 , 33.77 , 35.39 , 34.41 
4 , 29 , 2010 , 35.98 , 32.45 , 34.95 , 34.65 
4 , 30 , 2010 , 36.05 , 34.01 , 35.06 , 34.20 
5 , 3 , 2010 , 35.38 , 33.99 , 34.47 , 34.14 
5 , 4 , 2010 , 33.81 , 32.29 , 33.26 , 32.78 
5 , 5 , 2010 , 34.63 , 31.82 , 32.03 , 33.28 
5 , 6 , 2010 , 34.23 , 29.83 , 33.01 , 32.63 
5 , 7 , 2010 , 33.35 , 30.62 , 32.95 , 31.39 
5 , 10 , 2010 , 34.95 , 33.24 , 33.25 , 34.95 
5 , 11 , 2010 , 35.12 , 33.84 , 34.15 , 34.19 
5 , 12 , 2010 , 34.75 , 33.95 , 34.55 , 34.20 
5 , 13 , 2010 , 34.41 , 33.12 , 34.18 , 33.12 
5 , 14 , 2010 , 32.94 , 30.86 , 32.87 , 31.43 
5 , 17 , 2010 , 32.00 , 30.37 , 31.87 , 31.56 
5 , 18 , 2010 , 32.91 , 29.70 , 32.35 , 30.00 
5 , 19 , 2010 , 30.79 , 28.67 , 29.95 , 30.49 
5 , 20 , 2010 , 30.83 , 28.83 , 29.55 , 28.95 
5 , 21 , 2010 , 32.09 , 28.36 , 28.36 , 32.05 
5 , 24 , 2010 , 34.55 , 31.36 , 31.36 , 32.95 
5 , 25 , 2010 , 31.95 , 29.67 , 31.16 , 30.81 
5 , 26 , 2010 , 32.13 , 30.15 , 31.51 , 30.28 
5 , 27 , 2010 , 32.27 , 31.00 , 31.54 , 32.14 
5 , 28 , 2010 , 32.77 , 31.50 , 32.23 , 31.68 
6 , 1 , 2010 , 32.55 , 30.58 , 31.44 , 30.68 
6 , 2 , 2010 , 32.93 , 31.17 , 31.47 , 32.93 
6 , 3 , 2010 , 33.39 , 32.00 , 32.96 , 33.05 
6 , 4 , 2010 , 32.56 , 30.20 , 31.86 , 30.48 
6 , 7 , 2010 , 31.13 , 28.24 , 30.83 , 28.26 
6 , 8 , 2010 , 28.83 , 26.53 , 28.60 , 27.97 
6 , 9 , 2010 , 28.91 , 26.58 , 28.24 , 26.64 
6 , 10 , 2010 , 29.25 , 27.15 , 27.88 , 29.07 
6 , 11 , 2010 , 29.51 , 28.16 , 28.35 , 28.84 
6 , 14 , 2010 , 30.84 , 28.46 , 29.01 , 29.79 
6 , 15 , 2010 , 30.96 , 29.90 , 30.47 , 30.30 
6 , 16 , 2010 , 31.11 , 29.78 , 29.78 , 30.48 
6 , 17 , 2010 , 30.85 , 29.53 , 30.31 , 30.25 
6 , 18 , 2010 , 30.65 , 29.45 , 30.56 , 29.78 
6 , 21 , 2010 , 31.03 , 29.48 , 30.37 , 29.81 
6 , 22 , 2010 , 31.16 , 29.05 , 29.96 , 29.16 
6 , 23 , 2010 , 29.93 , 28.23 , 29.16 , 28.46 
6 , 24 , 2010 , 28.53 , 26.28 , 28.12 , 26.39 
6 , 25 , 2010 , 28.55 , 27.00 , 27.32 , 27.81 
6 , 28 , 2010 , 29.06 , 27.71 , 28.19 , 27.71 
6 , 29 , 2010 , 27.25 , 25.75 , 27.02 , 25.93 
6 , 30 , 2010 , 26.44 , 24.51 , 25.78 , 24.66 
7 , 1 , 2010 , 25.14 , 22.90 , 24.61 , 24.05 
7 , 2 , 2010 , 24.35 , 23.08 , 24.15 , 23.32 
7 , 6 , 2010 , 24.53 , 22.83 , 24.28 , 23.25 
7 , 7 , 2010 , 24.03 , 23.05 , 23.05 , 23.98 
7 , 8 , 2010 , 24.91 , 23.68 , 24.20 , 24.68 
7 , 9 , 2010 , 24.94 , 23.35 , 24.68 , 23.79 
7 , 12 , 2010 , 24.21 , 23.35 , 23.49 , 23.75 
7 , 13 , 2010 , 24.53 , 23.78 , 24.13 , 24.01 
7 , 14 , 2010 , 24.14 , 22.59 , 23.73 , 23.45 
7 , 15 , 2010 , 23.79 , 22.73 , 23.33 , 23.62 
7 , 16 , 2010 , 23.57 , 21.25 , 23.31 , 21.60 
7 , 19 , 2010 , 22.35 , 21.43 , 21.73 , 21.84 
7 , 20 , 2010 , 23.54 , 21.36 , 21.51 , 23.40 
7 , 21 , 2010 , 23.72 , 22.92 , 23.54 , 22.98 
7 , 22 , 2010 , 24.99 , 23.38 , 23.52 , 24.69 
7 , 23 , 2010 , 25.89 , 24.34 , 24.41 , 25.66 
7 , 26 , 2010 , 25.91 , 24.75 , 25.61 , 25.08 
7 , 27 , 2010 , 25.65 , 24.97 , 25.39 , 25.12 
7 , 28 , 2010 , 25.93 , 25.05 , 25.50 , 25.05 
7 , 29 , 2010 , 26.29 , 25.15 , 25.94 , 25.52 
7 , 30 , 2010 , 25.41 , 23.52 , 24.90 , 24.11 
8 , 2 , 2010 , 25.68 , 24.61 , 24.74 , 25.58 
8 , 3 , 2010 , 25.76 , 24.08 , 25.76 , 24.26 
8 , 4 , 2010 , 24.88 , 23.71 , 24.35 , 23.98 
8 , 5 , 2010 , 23.93 , 23.18 , 23.71 , 23.32 
8 , 6 , 2010 , 23.52 , 21.89 , 22.95 , 22.64 
8 , 9 , 2010 , 22.90 , 22.09 , 22.87 , 22.74 
8 , 10 , 2010 , 22.49 , 21.09 , 22.35 , 21.13 
8 , 11 , 2010 , 20.35 , 18.51 , 20.16 , 18.77 
8 , 12 , 2010 , 18.55 , 17.18 , 17.92 , 18.23 
8 , 13 , 2010 , 18.64 , 17.30 , 17.94 , 17.31 
8 , 16 , 2010 , 18.20 , 16.81 , 17.12 , 17.65 
8 , 17 , 2010 , 18.53 , 17.46 , 17.75 , 17.92 
8 , 18 , 2010 , 18.30 , 17.21 , 17.97 , 17.51 
8 , 19 , 2010 , 17.60 , 16.35 , 17.35 , 16.50 
8 , 20 , 2010 , 16.55 , 15.67 , 16.50 , 15.89 
8 , 23 , 2010 , 16.34 , 15.64 , 16.13 , 15.92 
8 , 24 , 2010 , 16.39 , 15.25 , 15.45 , 16.10 
8 , 25 , 2010 , 17.61 , 15.57 , 15.69 , 17.53 
8 , 26 , 2010 , 18.92 , 17.67 , 17.90 , 18.53 
8 , 27 , 2010 , 19.72 , 18.38 , 18.61 , 19.70 
8 , 30 , 2010 , 19.91 , 18.08 , 19.37 , 18.15 
8 , 31 , 2010 , 18.14 , 17.51 , 17.76 , 17.98 
9 , 1 , 2010 , 19.62 , 18.38 , 18.88 , 19.61 
