Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 2.31 , 2.29 , 2.30 , 2.30 
3 , 18 , 2010 , 2.31 , 2.28 , 2.31 , 2.28 
3 , 19 , 2010 , 2.31 , 2.27 , 2.29 , 2.27 
3 , 22 , 2010 , 2.29 , 2.21 , 2.26 , 2.29 
3 , 23 , 2010 , 2.31 , 2.29 , 2.30 , 2.31 
3 , 24 , 2010 , 2.31 , 2.28 , 2.30 , 2.29 
3 , 25 , 2010 , 2.34 , 2.28 , 2.29 , 2.30 
3 , 26 , 2010 , 2.32 , 2.27 , 2.30 , 2.28 
3 , 29 , 2010 , 2.30 , 2.28 , 2.29 , 2.29 
3 , 30 , 2010 , 2.33 , 2.27 , 2.30 , 2.29 
3 , 31 , 2010 , 2.30 , 2.25 , 2.28 , 2.25 
4 , 1 , 2010 , 2.30 , 2.26 , 2.27 , 2.29 
4 , 5 , 2010 , 2.40 , 2.30 , 2.30 , 2.39 
4 , 6 , 2010 , 2.45 , 2.37 , 2.39 , 2.44 
4 , 7 , 2010 , 2.49 , 2.43 , 2.46 , 2.45 
4 , 8 , 2010 , 2.46 , 2.42 , 2.45 , 2.45 
4 , 9 , 2010 , 2.47 , 2.42 , 2.47 , 2.45 
4 , 12 , 2010 , 2.49 , 2.45 , 2.46 , 2.46 
4 , 13 , 2010 , 2.52 , 2.46 , 2.46 , 2.51 
4 , 14 , 2010 , 2.54 , 2.50 , 2.54 , 2.52 
4 , 15 , 2010 , 2.54 , 2.49 , 2.52 , 2.50 
4 , 16 , 2010 , 2.51 , 2.46 , 2.50 , 2.48 
4 , 19 , 2010 , 2.50 , 2.41 , 2.48 , 2.47 
4 , 20 , 2010 , 2.50 , 2.44 , 2.48 , 2.48 
4 , 21 , 2010 , 2.54 , 2.47 , 2.48 , 2.54 
4 , 22 , 2010 , 2.90 , 2.66 , 2.73 , 2.89 
4 , 23 , 2010 , 2.90 , 2.82 , 2.90 , 2.86 
4 , 26 , 2010 , 2.91 , 2.84 , 2.86 , 2.84 
4 , 27 , 2010 , 2.87 , 2.78 , 2.84 , 2.78 
4 , 28 , 2010 , 2.84 , 2.69 , 2.84 , 2.71 
4 , 29 , 2010 , 2.80 , 2.72 , 2.72 , 2.78 
4 , 30 , 2010 , 2.86 , 2.70 , 2.79 , 2.70 
5 , 3 , 2010 , 2.80 , 2.70 , 2.71 , 2.78 
5 , 4 , 2010 , 2.77 , 2.66 , 2.75 , 2.67 
5 , 5 , 2010 , 2.74 , 2.56 , 2.63 , 2.70 
5 , 6 , 2010 , 2.74 , 2.48 , 2.69 , 2.63 
5 , 7 , 2010 , 2.67 , 2.53 , 2.61 , 2.58 
5 , 10 , 2010 , 2.75 , 2.68 , 2.70 , 2.74 
5 , 11 , 2010 , 2.82 , 2.72 , 2.72 , 2.76 
5 , 12 , 2010 , 2.86 , 2.79 , 2.79 , 2.85 
5 , 13 , 2010 , 2.98 , 2.82 , 2.88 , 2.84 
5 , 14 , 2010 , 2.84 , 2.72 , 2.83 , 2.77 
5 , 17 , 2010 , 2.82 , 2.69 , 2.78 , 2.78 
5 , 18 , 2010 , 2.89 , 2.75 , 2.81 , 2.79 
5 , 19 , 2010 , 2.82 , 2.72 , 2.76 , 2.78 
5 , 20 , 2010 , 2.74 , 2.66 , 2.68 , 2.68 
5 , 21 , 2010 , 2.75 , 2.58 , 2.63 , 2.72 
5 , 24 , 2010 , 2.82 , 2.72 , 2.74 , 2.75 
5 , 25 , 2010 , 2.73 , 2.60 , 2.72 , 2.73 
5 , 26 , 2010 , 2.85 , 2.75 , 2.79 , 2.76 
5 , 27 , 2010 , 2.88 , 2.79 , 2.82 , 2.88 
5 , 28 , 2010 , 2.92 , 2.84 , 2.90 , 2.85 
6 , 1 , 2010 , 2.87 , 2.81 , 2.83 , 2.83 
6 , 2 , 2010 , 2.95 , 2.81 , 2.85 , 2.95 
6 , 3 , 2010 , 3.06 , 2.96 , 2.97 , 2.98 
6 , 4 , 2010 , 3.00 , 2.87 , 2.94 , 2.88 
6 , 7 , 2010 , 2.93 , 2.77 , 2.93 , 2.78 
6 , 8 , 2010 , 2.84 , 2.71 , 2.79 , 2.84 
6 , 9 , 2010 , 2.94 , 2.85 , 2.87 , 2.87 
6 , 10 , 2010 , 2.93 , 2.85 , 2.92 , 2.92 
6 , 11 , 2010 , 2.99 , 2.88 , 2.90 , 2.99 
6 , 14 , 2010 , 3.07 , 2.97 , 3.03 , 2.98 
6 , 15 , 2010 , 3.09 , 2.98 , 3.01 , 3.06 
6 , 16 , 2010 , 3.11 , 3.04 , 3.07 , 3.05 
6 , 17 , 2010 , 3.08 , 2.99 , 3.08 , 3.04 
6 , 18 , 2010 , 3.07 , 3.01 , 3.06 , 3.05 
6 , 21 , 2010 , 3.10 , 3.01 , 3.09 , 3.03 
6 , 22 , 2010 , 3.06 , 2.90 , 3.04 , 2.90 
6 , 23 , 2010 , 2.97 , 2.89 , 2.89 , 2.95 
6 , 24 , 2010 , 2.95 , 2.89 , 2.95 , 2.90 
6 , 25 , 2010 , 2.98 , 2.86 , 2.91 , 2.94 
6 , 28 , 2010 , 2.97 , 2.92 , 2.94 , 2.92 
6 , 29 , 2010 , 2.88 , 2.75 , 2.88 , 2.77 
6 , 30 , 2010 , 2.83 , 2.73 , 2.77 , 2.74 
7 , 1 , 2010 , 2.79 , 2.67 , 2.72 , 2.77 
7 , 2 , 2010 , 2.81 , 2.73 , 2.77 , 2.74 
7 , 6 , 2010 , 2.84 , 2.69 , 2.78 , 2.71 
7 , 7 , 2010 , 2.77 , 2.67 , 2.72 , 2.77 
7 , 8 , 2010 , 2.82 , 2.75 , 2.79 , 2.79 
7 , 9 , 2010 , 2.83 , 2.77 , 2.80 , 2.81 
7 , 12 , 2010 , 2.82 , 2.75 , 2.79 , 2.80 
7 , 13 , 2010 , 2.88 , 2.81 , 2.81 , 2.86 
7 , 14 , 2010 , 2.90 , 2.83 , 2.85 , 2.87 
7 , 15 , 2010 , 2.88 , 2.80 , 2.88 , 2.85 
7 , 16 , 2010 , 2.84 , 2.73 , 2.84 , 2.74 
7 , 19 , 2010 , 2.76 , 2.57 , 2.72 , 2.60 
7 , 20 , 2010 , 2.69 , 2.55 , 2.57 , 2.68 
7 , 21 , 2010 , 2.72 , 2.59 , 2.72 , 2.59 
7 , 22 , 2010 , 2.67 , 2.61 , 2.63 , 2.66 
7 , 23 , 2010 , 2.92 , 2.74 , 2.74 , 2.91 
7 , 26 , 2010 , 2.97 , 2.88 , 2.91 , 2.97 
7 , 27 , 2010 , 3.00 , 2.93 , 2.99 , 2.97 
7 , 28 , 2010 , 2.97 , 2.93 , 2.95 , 2.96 
7 , 29 , 2010 , 2.99 , 2.88 , 2.98 , 2.92 
7 , 30 , 2010 , 2.96 , 2.87 , 2.88 , 2.96 
8 , 2 , 2010 , 3.02 , 2.98 , 3.00 , 3.01 
8 , 3 , 2010 , 3.05 , 2.95 , 3.01 , 3.02 
8 , 4 , 2010 , 3.09 , 3.01 , 3.02 , 3.05 
8 , 5 , 2010 , 3.05 , 2.99 , 3.02 , 3.02 
8 , 6 , 2010 , 3.04 , 2.96 , 2.97 , 3.03 
8 , 9 , 2010 , 3.06 , 3.00 , 3.04 , 3.03 
8 , 10 , 2010 , 3.04 , 2.98 , 3.00 , 3.00 
8 , 11 , 2010 , 2.96 , 2.90 , 2.94 , 2.93 
8 , 12 , 2010 , 2.95 , 2.86 , 2.89 , 2.92 
8 , 13 , 2010 , 2.92 , 2.85 , 2.92 , 2.85 
8 , 16 , 2010 , 2.92 , 2.82 , 2.85 , 2.90 
8 , 17 , 2010 , 2.99 , 2.91 , 2.93 , 2.96 
8 , 18 , 2010 , 3.01 , 2.93 , 2.95 , 2.99 
8 , 19 , 2010 , 3.01 , 2.94 , 2.98 , 2.96 
8 , 20 , 2010 , 3.00 , 2.93 , 2.94 , 3.00 
8 , 23 , 2010 , 3.05 , 2.99 , 3.02 , 2.99 
8 , 24 , 2010 , 2.98 , 2.90 , 2.94 , 2.91 
8 , 25 , 2010 , 2.96 , 2.86 , 2.89 , 2.95 
8 , 26 , 2010 , 3.03 , 2.94 , 2.97 , 2.97 
8 , 27 , 2010 , 3.06 , 2.94 , 3.01 , 3.06 
8 , 30 , 2010 , 3.08 , 2.98 , 3.07 , 2.98 
8 , 31 , 2010 , 3.04 , 2.96 , 2.97 , 3.02 
9 , 1 , 2010 , 3.19 , 3.03 , 3.06 , 3.19 
9 , 2 , 2010 , 3.28 , 3.20 , 3.24 , 3.28 
9 , 3 , 2010 , 3.33 , 3.25 , 3.32 , 3.27 
9 , 7 , 2010 , 3.30 , 3.22 , 3.26 , 3.30 
9 , 8 , 2010 , 3.34 , 3.29 , 3.31 , 3.32 
9 , 9 , 2010 , 3.33 , 3.24 , 3.30 , 3.26 
9 , 10 , 2010 , 3.35 , 3.24 , 3.27 , 3.32 
9 , 13 , 2010 , 3.38 , 3.34 , 3.35 , 3.37 
9 , 14 , 2010 , 3.40 , 3.33 , 3.35 , 3.37 
9 , 15 , 2010 , 3.40 , 3.34 , 3.35 , 3.39 
9 , 16 , 2010 , 3.39 , 3.30 , 3.37 , 3.34 
9 , 17 , 2010 , 3.37 , 3.31 , 3.35 , 3.37 
9 , 20 , 2010 , 3.42 , 3.34 , 3.37 , 3.40 
9 , 21 , 2010 , 3.43 , 3.36 , 3.41 , 3.37 
9 , 22 , 2010 , 3.38 , 3.30 , 3.36 , 3.31 
9 , 23 , 2010 , 3.37 , 3.28 , 3.29 , 3.33 
9 , 24 , 2010 , 3.46 , 3.37 , 3.38 , 3.46 
9 , 27 , 2010 , 3.53 , 3.46 , 3.47 , 3.52 
9 , 28 , 2010 , 3.54 , 3.44 , 3.52 , 3.53 
9 , 29 , 2010 , 3.54 , 3.50 , 3.52 , 3.52 
9 , 30 , 2010 , 3.55 , 3.44 , 3.54 , 3.44 
10 , 1 , 2010 , 3.50 , 3.45 , 3.48 , 3.49 
10 , 4 , 2010 , 3.49 , 3.42 , 3.47 , 3.46 
10 , 5 , 2010 , 3.59 , 3.49 , 3.49 , 3.58 
10 , 6 , 2010 , 3.56 , 3.47 , 3.54 , 3.50 
10 , 7 , 2010 , 3.55 , 3.49 , 3.52 , 3.54 
10 , 8 , 2010 , 3.56 , 3.50 , 3.53 , 3.53 
10 , 11 , 2010 , 3.61 , 3.53 , 3.54 , 3.57 
10 , 12 , 2010 , 3.63 , 3.53 , 3.56 , 3.62 
