Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 40.31 , 39.36 , 40.01 , 39.65 
3 , 18 , 2010 , 40.32 , 39.43 , 39.60 , 40.24 
3 , 19 , 2010 , 40.63 , 39.15 , 40.34 , 39.17 
3 , 22 , 2010 , 40.09 , 38.73 , 38.77 , 40.01 
3 , 23 , 2010 , 40.52 , 39.70 , 39.99 , 40.31 
3 , 24 , 2010 , 41.03 , 40.06 , 40.19 , 40.66 
3 , 25 , 2010 , 42.19 , 40.96 , 40.96 , 41.45 
3 , 26 , 2010 , 42.23 , 41.03 , 41.69 , 41.32 
3 , 29 , 2010 , 42.15 , 41.19 , 41.74 , 42.05 
3 , 30 , 2010 , 42.40 , 41.28 , 42.05 , 41.32 
3 , 31 , 2010 , 41.23 , 40.54 , 40.94 , 40.81 
4 , 1 , 2010 , 41.26 , 40.59 , 41.18 , 40.97 
4 , 5 , 2010 , 42.61 , 41.02 , 41.26 , 42.55 
4 , 6 , 2010 , 42.78 , 42.10 , 42.33 , 42.66 
4 , 7 , 2010 , 43.08 , 42.14 , 42.42 , 42.55 
4 , 8 , 2010 , 43.56 , 42.17 , 42.17 , 43.39 
4 , 9 , 2010 , 43.82 , 42.84 , 43.49 , 43.26 
4 , 12 , 2010 , 44.75 , 43.31 , 43.31 , 44.58 
4 , 13 , 2010 , 44.60 , 43.91 , 44.54 , 44.35 
4 , 14 , 2010 , 45.80 , 43.67 , 45.01 , 45.46 
4 , 15 , 2010 , 45.71 , 44.43 , 45.66 , 44.55 
4 , 16 , 2010 , 44.87 , 42.22 , 44.47 , 42.89 
4 , 19 , 2010 , 43.22 , 42.10 , 42.50 , 43.21 
4 , 20 , 2010 , 44.00 , 43.11 , 43.54 , 43.98 
4 , 21 , 2010 , 44.46 , 43.50 , 43.98 , 44.14 
4 , 22 , 2010 , 45.25 , 43.42 , 43.77 , 44.95 
4 , 23 , 2010 , 47.13 , 44.60 , 47.13 , 46.13 
4 , 26 , 2010 , 46.24 , 44.54 , 45.97 , 44.64 
4 , 27 , 2010 , 44.92 , 42.51 , 44.33 , 42.69 
4 , 28 , 2010 , 43.90 , 42.90 , 43.21 , 43.27 
4 , 29 , 2010 , 44.72 , 43.59 , 43.77 , 44.27 
4 , 30 , 2010 , 44.51 , 42.70 , 44.11 , 42.81 
5 , 3 , 2010 , 45.76 , 43.13 , 43.13 , 45.53 
5 , 4 , 2010 , 45.40 , 43.80 , 44.77 , 44.29 
5 , 5 , 2010 , 45.00 , 43.07 , 43.54 , 43.64 
5 , 6 , 2010 , 45.00 , 39.90 , 43.33 , 42.52 
5 , 7 , 2010 , 43.14 , 40.37 , 42.45 , 41.54 
5 , 10 , 2010 , 44.78 , 42.85 , 43.51 , 43.60 
5 , 11 , 2010 , 45.18 , 42.68 , 42.81 , 44.18 
5 , 12 , 2010 , 46.18 , 43.98 , 44.75 , 46.01 
5 , 13 , 2010 , 45.52 , 44.30 , 45.40 , 44.31 
5 , 14 , 2010 , 42.86 , 41.51 , 42.58 , 42.16 
5 , 17 , 2010 , 43.19 , 40.26 , 42.71 , 42.01 
5 , 18 , 2010 , 42.61 , 40.03 , 42.61 , 40.97 
5 , 19 , 2010 , 42.62 , 40.58 , 40.61 , 41.78 
5 , 20 , 2010 , 43.14 , 40.69 , 41.03 , 40.73 
5 , 21 , 2010 , 41.44 , 39.66 , 39.84 , 41.21 
5 , 24 , 2010 , 41.84 , 40.26 , 41.35 , 40.32 
5 , 25 , 2010 , 40.17 , 38.48 , 39.28 , 40.05 
5 , 26 , 2010 , 41.17 , 39.41 , 40.70 , 39.71 
5 , 27 , 2010 , 41.68 , 40.47 , 40.69 , 41.61 
5 , 28 , 2010 , 41.77 , 40.30 , 41.44 , 40.70 
6 , 1 , 2010 , 41.00 , 39.85 , 40.10 , 39.88 
6 , 2 , 2010 , 41.21 , 39.60 , 40.25 , 41.15 
6 , 3 , 2010 , 41.33 , 40.17 , 41.14 , 40.59 
6 , 4 , 2010 , 40.08 , 38.43 , 39.52 , 38.71 
6 , 7 , 2010 , 39.61 , 37.76 , 39.05 , 37.90 
6 , 8 , 2010 , 38.50 , 37.11 , 38.19 , 38.41 
6 , 9 , 2010 , 38.94 , 37.23 , 38.73 , 37.42 
6 , 10 , 2010 , 39.56 , 37.97 , 38.27 , 39.47 
6 , 11 , 2010 , 39.80 , 38.72 , 38.77 , 39.66 
6 , 14 , 2010 , 40.35 , 39.47 , 40.15 , 39.86 
6 , 15 , 2010 , 42.02 , 40.07 , 40.11 , 41.93 
6 , 16 , 2010 , 42.24 , 41.27 , 41.51 , 41.90 
6 , 17 , 2010 , 42.00 , 41.27 , 41.99 , 41.77 
6 , 18 , 2010 , 42.14 , 41.51 , 41.89 , 42.04 
6 , 21 , 2010 , 43.59 , 42.53 , 42.61 , 42.73 
6 , 22 , 2010 , 44.18 , 42.42 , 42.78 , 43.05 
6 , 23 , 2010 , 43.32 , 42.18 , 42.85 , 42.64 
6 , 24 , 2010 , 43.07 , 41.95 , 42.29 , 42.17 
6 , 25 , 2010 , 42.99 , 41.56 , 42.50 , 42.84 
6 , 28 , 2010 , 43.00 , 42.05 , 42.95 , 42.33 
6 , 29 , 2010 , 41.87 , 39.92 , 41.63 , 40.22 
6 , 30 , 2010 , 40.93 , 39.55 , 40.22 , 39.70 
7 , 1 , 2010 , 40.18 , 38.06 , 39.65 , 38.98 
7 , 2 , 2010 , 39.52 , 38.00 , 39.42 , 38.83 
7 , 6 , 2010 , 40.35 , 38.44 , 39.32 , 38.97 
7 , 7 , 2010 , 41.58 , 39.29 , 39.29 , 41.49 
7 , 8 , 2010 , 42.60 , 41.29 , 42.05 , 42.18 
7 , 9 , 2010 , 43.21 , 41.92 , 42.14 , 43.08 
7 , 12 , 2010 , 43.17 , 42.45 , 42.74 , 43.08 
7 , 13 , 2010 , 44.60 , 43.33 , 43.66 , 44.40 
