Month , Day , Year , High , Low , Open , Close
6 , 24 , 2021 , 230.04 , 226.67 , 228.46 , 229.93 
6 , 25 , 2021 , 227.82 , 223.22 , 226.97 , 224.54 
6 , 28 , 2021 , 248.06 , 226.13 , 227.64 , 246.69 
6 , 29 , 2021 , 261.15 , 250.01 , 250.20 , 254.90 
6 , 30 , 2021 , 254.67 , 247.00 , 248.30 , 253.30 
7 , 1 , 2021 , 255.15 , 240.53 , 251.09 , 241.44 
7 , 2 , 2021 , 246.80 , 238.88 , 242.00 , 240.72 
7 , 6 , 2021 , 243.00 , 234.02 , 243.00 , 235.41 
7 , 7 , 2021 , 252.99 , 232.34 , 238.96 , 251.97 
7 , 8 , 2021 , 246.60 , 233.61 , 239.00 , 244.29 
7 , 9 , 2021 , 256.99 , 244.21 , 246.91 , 253.88 
7 , 12 , 2021 , 254.89 , 246.83 , 254.00 , 247.67 
7 , 13 , 2021 , 249.15 , 242.93 , 245.51 , 243.31 
7 , 14 , 2021 , 247.45 , 229.16 , 244.90 , 229.94 
7 , 15 , 2021 , 234.47 , 220.37 , 229.94 , 224.63 
7 , 16 , 2021 , 231.30 , 220.66 , 227.20 , 225.01 
7 , 19 , 2021 , 221.89 , 213.22 , 216.92 , 220.61 
7 , 20 , 2021 , 226.89 , 213.23 , 216.71 , 224.96 
7 , 21 , 2021 , 237.15 , 229.19 , 231.70 , 230.87 
7 , 22 , 2021 , 232.32 , 224.50 , 232.00 , 226.08 
7 , 23 , 2021 , 227.35 , 222.73 , 226.22 , 224.92 
7 , 26 , 2021 , 249.80 , 237.88 , 240.08 , 245.45 
7 , 27 , 2021 , 243.21 , 229.12 , 243.00 , 235.08 
7 , 28 , 2021 , 242.87 , 238.03 , 240.30 , 241.75 
7 , 29 , 2021 , 245.16 , 235.33 , 241.77 , 235.78 
7 , 30 , 2021 , 238.07 , 231.90 , 233.28 , 236.58 
8 , 2 , 2021 , 240.38 , 233.80 , 237.28 , 235.40 
8 , 3 , 2021 , 235.69 , 226.91 , 233.87 , 230.18 
8 , 4 , 2021 , 245.47 , 229.85 , 231.06 , 244.36 
8 , 5 , 2021 , 258.31 , 237.59 , 239.76 , 255.50 
8 , 6 , 2021 , 263.90 , 250.23 , 255.50 , 258.26 
8 , 9 , 2021 , 282.43 , 267.50 , 268.00 , 280.47 
8 , 10 , 2021 , 281.50 , 264.25 , 280.67 , 269.67 
8 , 11 , 2021 , 294.00 , 274.35 , 282.34 , 278.40 
8 , 12 , 2021 , 267.75 , 255.20 , 266.39 , 256.50 
8 , 13 , 2021 , 266.50 , 259.97 , 262.82 , 261.25 
8 , 16 , 2021 , 265.43 , 253.60 , 265.26 , 256.83 
8 , 17 , 2021 , 260.74 , 246.23 , 253.14 , 250.80 
8 , 18 , 2021 , 254.40 , 243.76 , 249.00 , 244.39 
8 , 19 , 2021 , 249.77 , 239.19 , 240.60 , 248.24 
8 , 20 , 2021 , 260.62 , 251.42 , 252.00 , 257.32 
8 , 23 , 2021 , 266.50 , 255.00 , 263.67 , 256.00 
8 , 24 , 2021 , 260.25 , 253.20 , 256.99 , 259.28 
8 , 25 , 2021 , 262.11 , 256.00 , 257.00 , 256.77 
8 , 26 , 2021 , 255.20 , 248.50 , 253.21 , 248.54 
8 , 27 , 2021 , 259.67 , 248.09 , 249.39 , 259.12 
8 , 30 , 2021 , 263.34 , 256.25 , 256.35 , 262.66 
8 , 31 , 2021 , 263.40 , 257.18 , 260.02 , 259.00 
9 , 1 , 2021 , 272.10 , 258.63 , 260.31 , 265.90 
9 , 2 , 2021 , 275.66 , 266.00 , 272.54 , 268.18 
9 , 3 , 2021 , 280.61 , 270.03 , 272.00 , 278.44 
9 , 7 , 2021 , 278.87 , 262.60 , 277.00 , 266.81 
9 , 8 , 2021 , 262.95 , 253.88 , 257.00 , 258.20 
9 , 9 , 2021 , 263.81 , 255.70 , 260.30 , 256.42 
9 , 10 , 2021 , 258.87 , 247.40 , 257.31 , 248.32 
9 , 13 , 2021 , 251.88 , 239.60 , 246.51 , 242.84 
9 , 14 , 2021 , 248.79 , 241.27 , 247.25 , 243.00 
9 , 15 , 2021 , 249.47 , 242.05 , 244.00 , 247.07 
9 , 16 , 2021 , 247.46 , 239.61 , 247.38 , 243.21 
9 , 17 , 2021 , 245.63 , 238.75 , 243.43 , 245.19 
9 , 20 , 2021 , 237.36 , 231.15 , 234.45 , 236.53 
9 , 21 , 2021 , 240.26 , 234.26 , 237.01 , 238.46 
9 , 22 , 2021 , 243.20 , 237.76 , 239.91 , 241.85 
9 , 23 , 2021 , 245.80 , 237.07 , 244.57 , 237.50 
9 , 24 , 2021 , 235.31 , 229.17 , 231.00 , 231.82 
9 , 27 , 2021 , 233.40 , 227.35 , 231.88 , 232.24 
9 , 28 , 2021 , 232.51 , 227.52 , 229.68 , 229.84 
9 , 29 , 2021 , 233.77 , 225.04 , 231.00 , 225.28 
9 , 30 , 2021 , 229.99 , 225.28 , 227.00 , 227.48 
10 , 1 , 2021 , 235.76 , 226.93 , 232.89 , 231.15 
10 , 4 , 2021 , 233.10 , 224.51 , 231.49 , 229.31 
10 , 5 , 2021 , 240.09 , 230.79 , 231.61 , 240.09 
10 , 6 , 2021 , 252.14 , 242.20 , 242.40 , 250.38 
10 , 7 , 2021 , 253.00 , 245.65 , 248.00 , 251.59 
10 , 8 , 2021 , 256.18 , 246.90 , 253.53 , 248.14 
10 , 11 , 2021 , 263.19 , 248.49 , 249.57 , 256.50 
10 , 12 , 2021 , 256.37 , 246.08 , 254.26 , 249.33 
10 , 13 , 2021 , 249.73 , 244.56 , 246.50 , 246.78 
10 , 14 , 2021 , 262.95 , 249.10 , 250.90 , 260.00 
10 , 15 , 2021 , 281.72 , 266.53 , 266.60 , 280.61 
10 , 18 , 2021 , 296.98 , 271.50 , 275.74 , 293.34 
10 , 19 , 2021 , 307.85 , 294.11 , 300.00 , 305.63 
10 , 20 , 2021 , 317.37 , 303.96 , 306.66 , 314.71 
10 , 21 , 2021 , 317.18 , 298.00 , 311.96 , 300.01 
10 , 22 , 2021 , 306.00 , 293.62 , 302.00 , 300.84 
10 , 25 , 2021 , 327.00 , 305.11 , 306.76 , 325.54 
10 , 26 , 2021 , 328.48 , 315.51 , 328.15 , 319.49 
10 , 27 , 2021 , 320.28 , 306.50 , 309.33 , 311.67 
10 , 28 , 2021 , 327.72 , 311.00 , 319.81 , 319.13 
10 , 29 , 2021 , 326.50 , 316.14 , 319.32 , 319.42 
11 , 1 , 2021 , 338.43 , 323.90 , 324.77 , 330.99 
11 , 2 , 2021 , 345.25 , 332.14 , 336.33 , 336.34 
11 , 3 , 2021 , 344.47 , 328.31 , 335.26 , 344.38 
11 , 4 , 2021 , 345.85 , 333.88 , 340.74 , 344.45 
11 , 5 , 2021 , 345.23 , 333.44 , 345.23 , 337.05 
