Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 38.14 , 37.48 , 37.53 , 37.99 
3 , 18 , 2010 , 37.93 , 37.37 , 37.93 , 37.78 
3 , 19 , 2010 , 37.99 , 37.01 , 37.96 , 37.52 
3 , 22 , 2010 , 37.44 , 36.74 , 36.81 , 37.32 
3 , 23 , 2010 , 37.70 , 37.03 , 37.29 , 37.63 
3 , 24 , 2010 , 37.96 , 37.40 , 37.93 , 37.64 
3 , 25 , 2010 , 37.88 , 36.85 , 37.85 , 36.88 
3 , 26 , 2010 , 37.10 , 36.22 , 37.08 , 36.49 
3 , 29 , 2010 , 36.89 , 36.37 , 36.79 , 36.59 
3 , 30 , 2010 , 36.78 , 36.42 , 36.55 , 36.68 
3 , 31 , 2010 , 36.81 , 36.46 , 36.64 , 36.61 
4 , 1 , 2010 , 37.31 , 36.86 , 36.94 , 37.26 
4 , 5 , 2010 , 38.24 , 37.26 , 37.52 , 38.22 
4 , 6 , 2010 , 38.33 , 37.93 , 38.13 , 38.23 
4 , 7 , 2010 , 38.14 , 37.56 , 38.04 , 37.93 
4 , 8 , 2010 , 38.89 , 37.64 , 37.74 , 38.72 
4 , 9 , 2010 , 39.89 , 38.93 , 38.93 , 39.77 
4 , 12 , 2010 , 40.42 , 39.73 , 39.84 , 40.26 
4 , 13 , 2010 , 40.88 , 39.86 , 40.58 , 40.04 
4 , 14 , 2010 , 41.01 , 40.06 , 40.22 , 40.97 
4 , 15 , 2010 , 41.43 , 40.79 , 40.97 , 41.10 
4 , 16 , 2010 , 41.11 , 39.94 , 40.92 , 40.33 
4 , 19 , 2010 , 40.87 , 39.82 , 39.92 , 40.78 
4 , 20 , 2010 , 41.52 , 41.01 , 41.11 , 41.36 
4 , 21 , 2010 , 41.54 , 40.72 , 41.46 , 41.22 
4 , 22 , 2010 , 41.07 , 40.26 , 40.85 , 41.04 
4 , 23 , 2010 , 41.91 , 40.73 , 40.98 , 41.88 
4 , 26 , 2010 , 42.17 , 41.86 , 41.94 , 42.04 
4 , 27 , 2010 , 42.19 , 38.96 , 41.84 , 41.46 
4 , 28 , 2010 , 42.42 , 41.37 , 41.50 , 42.23 
4 , 29 , 2010 , 43.45 , 42.58 , 42.58 , 42.65 
4 , 30 , 2010 , 42.92 , 41.67 , 42.80 , 42.72 
5 , 3 , 2010 , 43.74 , 42.90 , 42.97 , 43.11 
5 , 4 , 2010 , 42.66 , 41.23 , 42.63 , 41.82 
5 , 5 , 2010 , 41.13 , 40.18 , 40.86 , 40.87 
5 , 6 , 2010 , 40.92 , 37.24 , 40.50 , 39.60 
5 , 7 , 2010 , 40.08 , 38.61 , 39.19 , 39.28 
5 , 10 , 2010 , 41.05 , 40.24 , 40.57 , 40.80 
5 , 11 , 2010 , 42.13 , 40.29 , 40.34 , 41.27 
5 , 12 , 2010 , 41.78 , 41.06 , 41.20 , 41.57 
5 , 13 , 2010 , 41.65 , 40.89 , 41.37 , 41.01 
5 , 14 , 2010 , 40.71 , 39.71 , 40.63 , 40.17 
5 , 17 , 2010 , 40.43 , 38.96 , 40.36 , 39.67 
5 , 18 , 2010 , 40.37 , 39.18 , 40.18 , 39.28 
5 , 19 , 2010 , 39.37 , 38.27 , 38.99 , 38.70 
5 , 20 , 2010 , 37.55 , 36.30 , 37.34 , 36.42 
5 , 21 , 2010 , 36.87 , 35.52 , 35.66 , 36.84 
5 , 24 , 2010 , 36.87 , 35.75 , 36.75 , 35.80 
5 , 25 , 2010 , 35.72 , 34.58 , 34.98 , 35.66 
5 , 26 , 2010 , 36.24 , 35.26 , 35.91 , 35.39 
5 , 27 , 2010 , 37.42 , 35.95 , 36.40 , 37.40 
5 , 28 , 2010 , 37.68 , 36.92 , 37.59 , 37.13 
6 , 1 , 2010 , 37.39 , 35.91 , 37.07 , 35.97 
6 , 2 , 2010 , 37.61 , 36.30 , 36.66 , 37.61 
6 , 3 , 2010 , 37.85 , 36.87 , 37.81 , 37.23 
6 , 4 , 2010 , 36.75 , 35.47 , 36.43 , 35.76 
6 , 7 , 2010 , 36.12 , 35.37 , 35.96 , 35.40 
6 , 8 , 2010 , 36.48 , 35.35 , 35.37 , 36.36 
6 , 9 , 2010 , 37.17 , 36.15 , 36.72 , 36.26 
6 , 10 , 2010 , 38.45 , 37.06 , 37.29 , 38.29 
6 , 11 , 2010 , 38.38 , 37.68 , 37.90 , 38.38 
6 , 14 , 2010 , 39.28 , 37.78 , 38.88 , 37.85 
6 , 15 , 2010 , 39.04 , 38.18 , 38.29 , 38.99 
6 , 16 , 2010 , 39.13 , 38.51 , 38.69 , 39.12 
6 , 17 , 2010 , 39.74 , 38.91 , 39.34 , 39.66 
6 , 18 , 2010 , 40.30 , 39.61 , 39.89 , 40.30 
6 , 21 , 2010 , 41.01 , 39.89 , 40.89 , 40.14 
6 , 22 , 2010 , 40.43 , 38.96 , 40.06 , 39.12 
