Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 28.58 , 28.18 , 28.57 , 28.20 
3 , 18 , 2010 , 28.62 , 28.19 , 28.37 , 28.57 
3 , 19 , 2010 , 29.11 , 28.27 , 28.68 , 28.68 
3 , 22 , 2010 , 29.31 , 28.50 , 28.62 , 29.29 
3 , 23 , 2010 , 29.43 , 28.90 , 29.43 , 29.21 
3 , 24 , 2010 , 29.30 , 28.66 , 29.27 , 28.72 
3 , 25 , 2010 , 28.90 , 28.55 , 28.89 , 28.60 
3 , 26 , 2010 , 28.72 , 28.30 , 28.63 , 28.59 
3 , 29 , 2010 , 28.93 , 28.62 , 28.76 , 28.84 
3 , 30 , 2010 , 29.33 , 28.86 , 28.93 , 29.28 
3 , 31 , 2010 , 29.27 , 28.75 , 29.27 , 28.92 
4 , 1 , 2010 , 29.13 , 28.42 , 28.99 , 28.59 
4 , 5 , 2010 , 29.02 , 28.53 , 28.63 , 28.92 
4 , 6 , 2010 , 29.14 , 28.80 , 28.92 , 29.03 
4 , 7 , 2010 , 29.07 , 28.77 , 28.93 , 29.04 
4 , 8 , 2010 , 29.58 , 29.10 , 29.58 , 29.18 
4 , 9 , 2010 , 29.48 , 29.18 , 29.26 , 29.47 
4 , 12 , 2010 , 29.51 , 29.27 , 29.49 , 29.34 
4 , 13 , 2010 , 29.50 , 28.95 , 29.24 , 29.46 
4 , 14 , 2010 , 29.50 , 29.02 , 29.49 , 29.20 
4 , 15 , 2010 , 29.50 , 29.09 , 29.19 , 29.49 
4 , 16 , 2010 , 29.92 , 29.36 , 29.50 , 29.88 
4 , 19 , 2010 , 29.99 , 29.58 , 29.89 , 29.82 
4 , 20 , 2010 , 30.49 , 29.88 , 29.97 , 30.38 
4 , 21 , 2010 , 30.59 , 29.98 , 30.43 , 30.36 
4 , 22 , 2010 , 31.79 , 30.76 , 31.29 , 31.41 
4 , 23 , 2010 , 31.57 , 30.79 , 31.50 , 31.13 
4 , 26 , 2010 , 31.44 , 30.83 , 31.10 , 31.23 
4 , 27 , 2010 , 31.39 , 30.77 , 31.00 , 30.86 
4 , 28 , 2010 , 31.15 , 30.68 , 30.91 , 30.79 
4 , 29 , 2010 , 31.64 , 30.93 , 30.97 , 31.36 
4 , 30 , 2010 , 31.60 , 30.85 , 31.42 , 30.85 
5 , 3 , 2010 , 31.36 , 30.91 , 31.03 , 31.28 
5 , 4 , 2010 , 31.18 , 30.72 , 31.05 , 30.97 
5 , 5 , 2010 , 31.20 , 30.53 , 30.53 , 31.03 
5 , 6 , 2010 , 31.43 , 28.95 , 30.87 , 30.75 
5 , 7 , 2010 , 30.61 , 29.39 , 30.56 , 29.91 
5 , 10 , 2010 , 31.32 , 30.57 , 30.92 , 31.06 
5 , 11 , 2010 , 31.50 , 30.61 , 30.63 , 31.22 
5 , 12 , 2010 , 31.84 , 31.01 , 31.27 , 31.79 
5 , 13 , 2010 , 31.96 , 31.58 , 31.92 , 31.60 
5 , 14 , 2010 , 31.56 , 31.05 , 31.49 , 31.31 
5 , 17 , 2010 , 31.71 , 30.94 , 31.34 , 31.40 
5 , 18 , 2010 , 31.96 , 31.08 , 31.72 , 31.29 
5 , 19 , 2010 , 31.58 , 31.00 , 31.14 , 31.42 
5 , 20 , 2010 , 31.26 , 30.59 , 31.03 , 30.68 
5 , 21 , 2010 , 30.98 , 30.05 , 30.07 , 30.83 
5 , 24 , 2010 , 31.07 , 30.42 , 30.80 , 30.70 
5 , 25 , 2010 , 30.30 , 29.50 , 30.10 , 30.27 
5 , 26 , 2010 , 30.98 , 30.32 , 30.48 , 30.44 
5 , 27 , 2010 , 31.59 , 30.85 , 30.88 , 31.57 
5 , 28 , 2010 , 31.70 , 30.92 , 31.54 , 31.28 
6 , 1 , 2010 , 31.44 , 30.73 , 31.03 , 30.81 
6 , 2 , 2010 , 31.76 , 30.73 , 30.87 , 31.73 
6 , 3 , 2010 , 32.49 , 31.76 , 31.78 , 32.08 
6 , 4 , 2010 , 31.71 , 30.66 , 31.53 , 30.77 
6 , 7 , 2010 , 31.27 , 30.50 , 30.83 , 30.77 
6 , 8 , 2010 , 30.94 , 30.31 , 30.92 , 30.62 
6 , 9 , 2010 , 31.56 , 30.75 , 30.78 , 30.94 
6 , 10 , 2010 , 31.78 , 31.29 , 31.45 , 31.69 
6 , 11 , 2010 , 31.98 , 31.36 , 31.45 , 31.92 
6 , 14 , 2010 , 32.46 , 31.97 , 31.97 , 32.21 
6 , 15 , 2010 , 32.50 , 32.21 , 32.49 , 32.46 
6 , 16 , 2010 , 32.98 , 32.33 , 32.43 , 32.76 
6 , 17 , 2010 , 33.27 , 32.62 , 33.19 , 32.88 
6 , 18 , 2010 , 33.03 , 32.50 , 32.87 , 32.56 
6 , 21 , 2010 , 32.99 , 32.29 , 32.80 , 32.42 
6 , 22 , 2010 , 32.65 , 31.90 , 32.50 , 31.96 
6 , 23 , 2010 , 32.05 , 31.51 , 31.82 , 31.87 
6 , 24 , 2010 , 31.93 , 31.45 , 31.83 , 31.59 
6 , 25 , 2010 , 32.00 , 31.43 , 31.56 , 31.87 
6 , 28 , 2010 , 32.67 , 31.64 , 32.01 , 32.53 
6 , 29 , 2010 , 32.21 , 31.60 , 32.21 , 31.72 
6 , 30 , 2010 , 32.36 , 31.46 , 31.75 , 31.75 
7 , 1 , 2010 , 31.64 , 30.31 , 31.63 , 30.93 
7 , 2 , 2010 , 31.17 , 30.73 , 30.95 , 30.92 
7 , 6 , 2010 , 31.69 , 31.12 , 31.41 , 31.34 
7 , 7 , 2010 , 31.83 , 31.02 , 31.38 , 31.78 
7 , 8 , 2010 , 32.07 , 31.73 , 31.97 , 31.92 
7 , 9 , 2010 , 32.01 , 31.72 , 31.99 , 31.84 
7 , 12 , 2010 , 31.82 , 31.58 , 31.78 , 31.75 
7 , 13 , 2010 , 32.54 , 31.97 , 31.97 , 32.33 
7 , 14 , 2010 , 32.86 , 32.05 , 32.31 , 32.79 
7 , 15 , 2010 , 32.93 , 32.50 , 32.72 , 32.73 
7 , 16 , 2010 , 32.74 , 32.10 , 32.57 , 32.14 
7 , 19 , 2010 , 32.27 , 31.80 , 32.18 , 31.99 
7 , 20 , 2010 , 32.27 , 31.61 , 31.75 , 32.26 
7 , 21 , 2010 , 32.44 , 31.85 , 32.35 , 32.01 
7 , 22 , 2010 , 32.46 , 29.53 , 32.45 , 29.63 
7 , 23 , 2010 , 30.72 , 28.95 , 29.67 , 30.53 
7 , 26 , 2010 , 30.90 , 29.95 , 30.61 , 30.50 
7 , 27 , 2010 , 30.63 , 27.82 , 30.61 , 29.14 
7 , 28 , 2010 , 29.21 , 28.14 , 29.17 , 28.93 
7 , 29 , 2010 , 29.59 , 28.63 , 29.31 , 28.98 
7 , 30 , 2010 , 30.20 , 28.53 , 28.65 , 29.97 
8 , 2 , 2010 , 30.79 , 30.19 , 30.28 , 30.58 
8 , 3 , 2010 , 30.60 , 29.93 , 30.60 , 29.98 
8 , 4 , 2010 , 30.41 , 29.95 , 30.03 , 30.36 
8 , 5 , 2010 , 30.37 , 29.90 , 30.08 , 30.34 
8 , 6 , 2010 , 30.33 , 29.83 , 30.15 , 30.24 
8 , 9 , 2010 , 30.36 , 29.89 , 30.26 , 30.05 
8 , 10 , 2010 , 30.09 , 29.65 , 29.90 , 29.97 
