Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 17.46 , 16.90 , 16.96 , 17.33 
3 , 18 , 2010 , 17.43 , 16.92 , 17.00 , 17.27 
3 , 19 , 2010 , 17.50 , 16.49 , 17.38 , 16.72 
3 , 22 , 2010 , 17.09 , 16.43 , 16.54 , 16.88 
3 , 23 , 2010 , 16.89 , 16.36 , 16.76 , 16.76 
3 , 24 , 2010 , 16.74 , 16.02 , 16.74 , 16.07 
3 , 25 , 2010 , 16.42 , 16.01 , 16.42 , 16.05 
3 , 26 , 2010 , 16.42 , 15.91 , 16.25 , 16.13 
3 , 29 , 2010 , 16.43 , 15.96 , 16.14 , 16.14 
3 , 30 , 2010 , 16.50 , 16.04 , 16.27 , 16.17 
3 , 31 , 2010 , 16.11 , 15.68 , 16.06 , 15.71 
4 , 1 , 2010 , 16.30 , 15.71 , 15.73 , 16.14 
4 , 5 , 2010 , 16.87 , 16.00 , 16.33 , 16.82 
4 , 6 , 2010 , 17.85 , 16.75 , 17.05 , 17.74 
4 , 7 , 2010 , 17.96 , 17.50 , 17.65 , 17.72 
4 , 8 , 2010 , 17.62 , 16.82 , 17.60 , 16.98 
4 , 9 , 2010 , 17.41 , 16.92 , 17.04 , 17.21 
4 , 12 , 2010 , 17.21 , 16.26 , 16.89 , 16.35 
4 , 13 , 2010 , 16.55 , 15.76 , 16.22 , 15.89 
4 , 14 , 2010 , 15.87 , 14.94 , 15.79 , 15.62 
4 , 15 , 2010 , 15.44 , 14.90 , 15.41 , 15.03 
4 , 16 , 2010 , 15.52 , 14.93 , 14.96 , 15.19 
4 , 19 , 2010 , 15.53 , 14.61 , 15.29 , 15.47 
4 , 20 , 2010 , 15.92 , 15.33 , 15.70 , 15.49 
4 , 21 , 2010 , 15.56 , 15.04 , 15.40 , 15.51 
4 , 22 , 2010 , 16.41 , 15.12 , 15.23 , 16.22 
4 , 23 , 2010 , 16.48 , 16.00 , 16.07 , 16.20 
4 , 26 , 2010 , 16.30 , 16.01 , 16.20 , 16.07 
4 , 27 , 2010 , 16.25 , 15.11 , 16.25 , 15.17 
4 , 28 , 2010 , 15.49 , 14.74 , 15.30 , 14.85 
4 , 29 , 2010 , 15.45 , 14.92 , 15.01 , 15.35 
4 , 30 , 2010 , 15.68 , 15.02 , 15.13 , 15.08 
5 , 3 , 2010 , 15.50 , 14.90 , 15.03 , 15.31 
5 , 4 , 2010 , 16.37 , 14.31 , 14.83 , 15.88 
5 , 5 , 2010 , 16.83 , 15.72 , 15.75 , 16.36 
5 , 6 , 2010 , 15.11 , 11.00 , 14.95 , 14.03 
5 , 7 , 2010 , 14.70 , 12.83 , 13.86 , 13.31 
5 , 10 , 2010 , 14.99 , 13.10 , 14.62 , 13.52 
5 , 11 , 2010 , 14.30 , 13.33 , 13.40 , 13.94 
5 , 12 , 2010 , 14.19 , 13.66 , 14.06 , 13.88 
5 , 13 , 2010 , 14.49 , 13.60 , 13.81 , 13.67 
5 , 14 , 2010 , 14.12 , 13.21 , 13.27 , 13.74 
5 , 17 , 2010 , 14.44 , 13.53 , 13.82 , 14.35 
5 , 18 , 2010 , 14.99 , 13.68 , 14.64 , 13.78 
5 , 19 , 2010 , 14.48 , 13.49 , 13.59 , 13.77 
5 , 20 , 2010 , 13.52 , 12.55 , 13.00 , 12.59 
5 , 21 , 2010 , 13.73 , 11.79 , 11.93 , 13.44 
5 , 24 , 2010 , 13.41 , 12.68 , 13.34 , 12.76 
5 , 25 , 2010 , 12.50 , 11.39 , 11.96 , 12.50 
5 , 26 , 2010 , 12.70 , 11.71 , 12.60 , 11.98 
5 , 27 , 2010 , 15.26 , 13.04 , 13.34 , 14.74 
5 , 28 , 2010 , 14.92 , 14.02 , 14.79 , 14.25 
6 , 1 , 2010 , 14.85 , 13.73 , 14.18 , 13.98 
6 , 2 , 2010 , 14.98 , 13.95 , 14.34 , 14.95 
6 , 3 , 2010 , 15.16 , 13.30 , 14.23 , 13.93 
6 , 4 , 2010 , 13.45 , 12.01 , 13.45 , 12.17 
6 , 7 , 2010 , 12.62 , 11.76 , 12.01 , 11.85 
6 , 8 , 2010 , 12.72 , 11.55 , 11.69 , 12.66 
6 , 9 , 2010 , 13.75 , 12.58 , 12.68 , 13.40 
6 , 10 , 2010 , 14.06 , 13.30 , 13.82 , 13.65 
6 , 11 , 2010 , 13.65 , 13.00 , 13.18 , 13.52 
6 , 14 , 2010 , 13.90 , 13.30 , 13.64 , 13.52 
6 , 15 , 2010 , 15.18 , 13.92 , 13.93 , 15.16 
6 , 16 , 2010 , 14.89 , 14.12 , 14.47 , 14.34 
6 , 17 , 2010 , 14.72 , 13.99 , 14.59 , 14.58 
6 , 18 , 2010 , 14.73 , 14.05 , 14.50 , 14.21 
6 , 21 , 2010 , 14.70 , 13.55 , 14.50 , 13.78 
6 , 22 , 2010 , 14.31 , 13.54 , 13.87 , 13.61 
6 , 23 , 2010 , 13.68 , 13.02 , 13.59 , 13.44 
6 , 24 , 2010 , 13.45 , 12.00 , 13.17 , 12.22 
6 , 25 , 2010 , 12.86 , 11.87 , 12.17 , 12.44 
6 , 28 , 2010 , 13.20 , 12.22 , 12.59 , 12.65 
6 , 29 , 2010 , 12.37 , 11.39 , 12.18 , 11.63 
6 , 30 , 2010 , 11.67 , 10.69 , 11.52 , 10.83 
7 , 1 , 2010 , 11.16 , 10.22 , 10.73 , 10.90 
7 , 2 , 2010 , 11.18 , 9.76 , 11.18 , 10.23 
7 , 6 , 2010 , 10.71 , 9.51 , 10.69 , 10.00 
7 , 7 , 2010 , 10.33 , 9.41 , 9.76 , 10.29 
7 , 8 , 2010 , 11.79 , 10.52 , 10.78 , 11.71 
7 , 9 , 2010 , 12.29 , 11.60 , 12.29 , 12.19 
7 , 12 , 2010 , 12.43 , 11.73 , 12.05 , 11.93 
7 , 13 , 2010 , 12.75 , 12.15 , 12.15 , 12.51 
7 , 14 , 2010 , 12.40 , 11.87 , 12.39 , 12.35 
7 , 15 , 2010 , 12.59 , 11.85 , 12.37 , 12.55 
7 , 16 , 2010 , 12.60 , 10.95 , 12.59 , 10.98 
7 , 19 , 2010 , 11.29 , 10.60 , 11.13 , 10.82 
7 , 20 , 2010 , 11.09 , 10.11 , 10.37 , 11.09 
7 , 21 , 2010 , 11.10 , 9.49 , 11.07 , 9.61 
7 , 22 , 2010 , 11.08 , 9.84 , 10.09 , 10.90 
7 , 23 , 2010 , 12.00 , 10.78 , 11.00 , 11.95 
7 , 26 , 2010 , 12.00 , 11.45 , 11.79 , 11.71 
7 , 27 , 2010 , 13.36 , 12.39 , 12.49 , 13.21 
7 , 28 , 2010 , 13.40 , 12.41 , 13.22 , 12.51 
7 , 29 , 2010 , 13.00 , 11.77 , 12.74 , 12.21 
7 , 30 , 2010 , 12.89 , 11.71 , 11.71 , 12.71 
8 , 2 , 2010 , 13.34 , 12.76 , 13.06 , 12.84 
8 , 3 , 2010 , 12.91 , 12.38 , 12.62 , 12.55 
8 , 4 , 2010 , 13.61 , 12.24 , 12.49 , 13.40 
8 , 5 , 2010 , 12.74 , 11.86 , 12.74 , 12.46 
8 , 6 , 2010 , 12.64 , 11.76 , 12.25 , 12.54 
8 , 9 , 2010 , 13.49 , 12.54 , 12.55 , 13.16 
8 , 10 , 2010 , 13.31 , 12.63 , 12.79 , 12.98 
8 , 11 , 2010 , 12.62 , 11.81 , 12.51 , 11.87 
8 , 12 , 2010 , 11.96 , 11.37 , 11.49 , 11.67 
8 , 13 , 2010 , 11.71 , 11.06 , 11.41 , 11.31 
8 , 16 , 2010 , 11.50 , 11.00 , 11.14 , 11.37 
8 , 17 , 2010 , 12.29 , 11.38 , 11.51 , 11.83 
8 , 18 , 2010 , 11.99 , 10.99 , 11.25 , 11.68 
8 , 19 , 2010 , 11.63 , 10.61 , 11.44 , 11.01 
8 , 20 , 2010 , 11.12 , 10.48 , 10.73 , 11.04 
8 , 23 , 2010 , 11.65 , 10.85 , 11.33 , 10.90 
8 , 24 , 2010 , 11.67 , 10.05 , 10.52 , 11.60 
8 , 25 , 2010 , 13.40 , 11.20 , 11.37 , 13.07 
8 , 26 , 2010 , 13.15 , 12.15 , 13.13 , 12.28 
8 , 27 , 2010 , 12.53 , 11.41 , 12.39 , 12.19 
8 , 30 , 2010 , 12.85 , 12.07 , 12.21 , 12.07 
8 , 31 , 2010 , 13.06 , 11.74 , 11.86 , 12.50 
9 , 1 , 2010 , 13.89 , 12.76 , 12.93 , 13.79 
9 , 2 , 2010 , 14.83 , 13.65 , 14.41 , 14.59 
9 , 3 , 2010 , 15.05 , 14.19 , 15.05 , 14.57 
9 , 7 , 2010 , 15.00 , 14.20 , 14.25 , 14.64 
9 , 8 , 2010 , 15.42 , 14.80 , 15.37 , 15.21 
9 , 9 , 2010 , 15.51 , 14.83 , 15.50 , 14.94 
9 , 10 , 2010 , 15.79 , 15.14 , 15.30 , 15.54 
9 , 13 , 2010 , 16.23 , 15.41 , 15.82 , 16.05 
9 , 14 , 2010 , 17.21 , 15.94 , 16.00 , 17.04 
