Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 2.24 , 2.22 , 2.23 , 2.22 
3 , 18 , 2010 , 2.22 , 2.20 , 2.21 , 2.22 
3 , 19 , 2010 , 2.23 , 2.19 , 2.23 , 2.20 
3 , 22 , 2010 , 2.25 , 2.19 , 2.19 , 2.25 
3 , 23 , 2010 , 2.27 , 2.24 , 2.25 , 2.27 
3 , 24 , 2010 , 2.26 , 2.23 , 2.26 , 2.23 
3 , 25 , 2010 , 2.25 , 2.21 , 2.25 , 2.21 
3 , 26 , 2010 , 2.22 , 2.19 , 2.22 , 2.20 
3 , 29 , 2010 , 2.24 , 2.20 , 2.20 , 2.24 
3 , 30 , 2010 , 2.25 , 2.22 , 2.25 , 2.23 
3 , 31 , 2010 , 2.25 , 2.22 , 2.23 , 2.23 
4 , 1 , 2010 , 2.23 , 2.20 , 2.23 , 2.23 
4 , 5 , 2010 , 2.25 , 2.22 , 2.23 , 2.25 
4 , 6 , 2010 , 2.26 , 2.23 , 2.23 , 2.25 
4 , 7 , 2010 , 2.26 , 2.23 , 2.24 , 2.25 
4 , 8 , 2010 , 2.24 , 2.20 , 2.24 , 2.22 
4 , 9 , 2010 , 2.22 , 2.18 , 2.22 , 2.20 
4 , 12 , 2010 , 2.21 , 2.19 , 2.19 , 2.21 
4 , 13 , 2010 , 2.22 , 2.19 , 2.21 , 2.21 
4 , 14 , 2010 , 2.22 , 2.19 , 2.22 , 2.22 
4 , 15 , 2010 , 2.23 , 2.21 , 2.21 , 2.22 
4 , 16 , 2010 , 2.22 , 2.16 , 2.21 , 2.18 
4 , 19 , 2010 , 2.18 , 2.13 , 2.18 , 2.15 
4 , 20 , 2010 , 2.19 , 2.15 , 2.16 , 2.19 
4 , 21 , 2010 , 2.20 , 2.18 , 2.20 , 2.19 
4 , 22 , 2010 , 2.20 , 2.17 , 2.17 , 2.19 
4 , 23 , 2010 , 2.21 , 2.17 , 2.18 , 2.21 
4 , 26 , 2010 , 2.22 , 2.19 , 2.21 , 2.21 
4 , 27 , 2010 , 2.22 , 2.19 , 2.19 , 2.19 
4 , 28 , 2010 , 2.21 , 2.18 , 2.21 , 2.19 
4 , 29 , 2010 , 2.23 , 2.19 , 2.20 , 2.22 
4 , 30 , 2010 , 2.26 , 2.21 , 2.22 , 2.23 
5 , 3 , 2010 , 2.26 , 2.23 , 2.24 , 2.26 
5 , 4 , 2010 , 2.25 , 2.20 , 2.23 , 2.23 
5 , 5 , 2010 , 2.24 , 2.22 , 2.23 , 2.23 
