Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 19.37 , 19.08 , 19.22 , 19.19 
3 , 18 , 2010 , 19.36 , 19.11 , 19.17 , 19.23 
3 , 19 , 2010 , 19.38 , 18.91 , 19.23 , 19.01 
3 , 22 , 2010 , 19.50 , 18.65 , 18.68 , 19.38 
3 , 23 , 2010 , 19.45 , 19.11 , 19.42 , 19.28 
3 , 24 , 2010 , 19.30 , 18.99 , 19.15 , 19.04 
3 , 25 , 2010 , 19.39 , 18.99 , 19.17 , 18.99 
3 , 26 , 2010 , 19.08 , 18.66 , 19.05 , 18.74 
3 , 29 , 2010 , 18.86 , 18.62 , 18.80 , 18.69 
3 , 30 , 2010 , 19.13 , 18.69 , 18.80 , 18.85 
3 , 31 , 2010 , 18.88 , 18.57 , 18.82 , 18.61 
4 , 1 , 2010 , 19.03 , 18.67 , 18.78 , 18.89 
4 , 5 , 2010 , 19.24 , 18.97 , 18.98 , 19.21 
4 , 6 , 2010 , 19.86 , 19.03 , 19.10 , 19.71 
4 , 7 , 2010 , 19.70 , 19.17 , 19.70 , 19.30 
4 , 8 , 2010 , 19.53 , 19.04 , 19.18 , 19.49 
4 , 9 , 2010 , 19.97 , 19.35 , 19.64 , 19.94 
4 , 12 , 2010 , 20.31 , 19.87 , 20.00 , 20.13 
4 , 13 , 2010 , 20.17 , 19.92 , 20.09 , 20.11 
4 , 14 , 2010 , 20.99 , 20.42 , 20.48 , 20.97 
4 , 15 , 2010 , 21.10 , 20.78 , 21.00 , 20.93 
4 , 16 , 2010 , 21.23 , 20.76 , 20.91 , 20.87 
4 , 19 , 2010 , 20.96 , 20.25 , 20.76 , 20.66 
4 , 20 , 2010 , 21.15 , 20.76 , 20.90 , 21.12 
4 , 21 , 2010 , 21.30 , 20.99 , 21.21 , 21.27 
4 , 22 , 2010 , 22.36 , 21.00 , 21.21 , 22.18 
4 , 23 , 2010 , 22.30 , 21.63 , 22.12 , 22.04 
4 , 26 , 2010 , 22.38 , 22.05 , 22.16 , 22.12 
4 , 27 , 2010 , 22.30 , 21.39 , 22.30 , 21.45 
4 , 28 , 2010 , 21.62 , 21.20 , 21.61 , 21.54 
4 , 29 , 2010 , 22.09 , 21.57 , 21.71 , 22.04 
4 , 30 , 2010 , 22.10 , 21.38 , 22.10 , 21.40 
5 , 3 , 2010 , 22.07 , 21.44 , 21.52 , 21.93 
5 , 4 , 2010 , 22.32 , 21.33 , 22.25 , 21.65 
5 , 5 , 2010 , 21.61 , 21.16 , 21.38 , 21.31 
5 , 6 , 2010 , 21.54 , 19.00 , 21.24 , 20.23 
5 , 7 , 2010 , 20.35 , 19.04 , 20.24 , 19.38 
5 , 10 , 2010 , 21.40 , 20.54 , 20.62 , 21.37 
5 , 11 , 2010 , 21.98 , 20.96 , 20.99 , 21.55 
5 , 12 , 2010 , 22.14 , 21.71 , 21.71 , 22.10 
5 , 13 , 2010 , 22.46 , 21.61 , 22.10 , 21.67 
5 , 14 , 2010 , 21.57 , 20.82 , 21.51 , 21.18 
5 , 17 , 2010 , 21.70 , 20.63 , 21.38 , 21.31 
5 , 18 , 2010 , 21.92 , 20.85 , 21.75 , 21.04 
5 , 19 , 2010 , 20.94 , 19.94 , 20.71 , 20.40 
5 , 20 , 2010 , 20.32 , 19.47 , 19.72 , 19.76 
5 , 21 , 2010 , 21.02 , 18.48 , 18.49 , 20.81 
5 , 24 , 2010 , 21.26 , 20.53 , 20.58 , 20.55 
5 , 25 , 2010 , 20.56 , 19.70 , 20.01 , 20.53 
5 , 26 , 2010 , 21.45 , 20.62 , 20.69 , 20.94 
5 , 27 , 2010 , 21.75 , 21.35 , 21.42 , 21.75 
5 , 28 , 2010 , 21.88 , 21.34 , 21.57 , 21.63 
6 , 1 , 2010 , 21.74 , 21.08 , 21.08 , 21.22 
6 , 2 , 2010 , 22.11 , 21.19 , 21.48 , 22.11 
6 , 3 , 2010 , 23.95 , 22.32 , 22.35 , 23.80 
6 , 4 , 2010 , 24.09 , 22.19 , 23.13 , 22.41 
6 , 7 , 2010 , 22.87 , 21.91 , 22.52 , 21.98 
6 , 8 , 2010 , 22.44 , 21.60 , 22.26 , 22.00 
6 , 9 , 2010 , 22.98 , 22.14 , 22.29 , 22.26 
6 , 10 , 2010 , 23.16 , 22.59 , 22.84 , 23.11 
6 , 11 , 2010 , 24.22 , 22.62 , 22.66 , 24.16 
6 , 14 , 2010 , 24.27 , 23.32 , 24.24 , 23.38 
6 , 15 , 2010 , 23.91 , 23.36 , 23.58 , 23.75 
6 , 16 , 2010 , 23.77 , 23.28 , 23.56 , 23.59 
6 , 17 , 2010 , 24.40 , 23.58 , 23.74 , 24.28 
6 , 18 , 2010 , 24.25 , 23.84 , 24.22 , 23.93 
6 , 21 , 2010 , 24.49 , 23.64 , 24.35 , 23.85 
6 , 22 , 2010 , 23.95 , 22.83 , 23.73 , 22.98 
6 , 23 , 2010 , 23.45 , 22.69 , 23.19 , 23.24 
6 , 24 , 2010 , 23.41 , 22.60 , 23.38 , 22.76 
6 , 25 , 2010 , 23.00 , 22.42 , 22.95 , 22.91 
6 , 28 , 2010 , 23.08 , 22.72 , 22.97 , 22.82 
6 , 29 , 2010 , 22.43 , 21.13 , 22.43 , 21.35 
6 , 30 , 2010 , 21.89 , 21.22 , 21.27 , 21.46 
7 , 1 , 2010 , 21.91 , 20.90 , 21.42 , 21.77 
7 , 2 , 2010 , 22.24 , 21.59 , 21.83 , 21.78 
7 , 6 , 2010 , 22.54 , 21.74 , 22.21 , 22.03 
7 , 7 , 2010 , 22.87 , 21.95 , 22.00 , 22.85 
7 , 8 , 2010 , 23.27 , 22.53 , 23.22 , 22.89 
7 , 9 , 2010 , 23.09 , 22.73 , 22.86 , 22.95 
7 , 12 , 2010 , 23.19 , 22.63 , 22.86 , 22.96 
7 , 13 , 2010 , 23.57 , 23.00 , 23.22 , 23.41 
7 , 14 , 2010 , 24.11 , 23.60 , 23.74 , 23.93 
7 , 15 , 2010 , 24.05 , 23.61 , 23.98 , 24.00 
7 , 16 , 2010 , 23.85 , 22.95 , 23.82 , 23.01 
7 , 19 , 2010 , 23.39 , 22.89 , 23.01 , 23.16 
7 , 20 , 2010 , 23.32 , 22.36 , 22.64 , 23.28 
7 , 21 , 2010 , 23.62 , 22.96 , 23.43 , 23.04 
7 , 22 , 2010 , 24.11 , 23.38 , 23.43 , 23.98 
7 , 23 , 2010 , 25.08 , 23.67 , 23.93 , 24.94 
7 , 26 , 2010 , 25.37 , 24.72 , 25.00 , 25.02 
7 , 27 , 2010 , 25.25 , 24.44 , 25.15 , 24.70 
7 , 28 , 2010 , 24.94 , 24.37 , 24.64 , 24.53 
7 , 29 , 2010 , 25.00 , 24.07 , 24.87 , 24.45 
7 , 30 , 2010 , 24.86 , 24.03 , 24.21 , 24.74 
8 , 2 , 2010 , 25.62 , 25.02 , 25.28 , 25.48 
8 , 3 , 2010 , 25.49 , 25.06 , 25.45 , 25.25 
8 , 4 , 2010 , 25.94 , 25.25 , 25.30 , 25.89 
8 , 5 , 2010 , 25.87 , 25.48 , 25.87 , 25.67 
8 , 6 , 2010 , 25.61 , 24.97 , 25.36 , 25.58 
8 , 9 , 2010 , 26.11 , 25.54 , 25.59 , 26.02 
8 , 10 , 2010 , 25.62 , 25.22 , 25.49 , 25.41 
8 , 11 , 2010 , 24.81 , 24.31 , 24.78 , 24.48 
8 , 12 , 2010 , 24.45 , 23.78 , 23.93 , 24.24 
8 , 13 , 2010 , 24.55 , 24.12 , 24.25 , 24.31 
8 , 16 , 2010 , 24.37 , 23.94 , 24.22 , 24.16 
8 , 17 , 2010 , 25.16 , 24.38 , 24.60 , 24.83 
8 , 18 , 2010 , 24.97 , 24.49 , 24.88 , 24.83 
8 , 19 , 2010 , 24.98 , 24.09 , 24.86 , 24.10 
8 , 20 , 2010 , 28.25 , 26.04 , 26.06 , 28.19 
8 , 23 , 2010 , 28.35 , 27.19 , 27.68 , 28.07 
8 , 24 , 2010 , 28.54 , 27.08 , 27.11 , 28.32 
8 , 25 , 2010 , 28.36 , 27.34 , 27.96 , 28.05 
8 , 26 , 2010 , 28.33 , 27.45 , 28.07 , 27.46 
8 , 27 , 2010 , 28.05 , 26.81 , 27.63 , 27.87 
8 , 30 , 2010 , 28.07 , 27.27 , 27.54 , 27.29 
8 , 31 , 2010 , 27.66 , 27.08 , 27.13 , 27.47 
9 , 1 , 2010 , 29.20 , 27.83 , 27.97 , 29.10 
9 , 2 , 2010 , 29.90 , 28.91 , 28.99 , 29.78 
9 , 3 , 2010 , 30.36 , 29.59 , 29.94 , 29.91 
9 , 7 , 2010 , 30.11 , 29.71 , 29.76 , 29.91 
9 , 8 , 2010 , 30.32 , 29.79 , 30.11 , 29.95 
9 , 9 , 2010 , 30.50 , 29.31 , 30.49 , 29.41 
9 , 10 , 2010 , 29.84 , 29.13 , 29.63 , 29.36 
9 , 13 , 2010 , 30.00 , 29.23 , 29.72 , 29.65 
9 , 14 , 2010 , 29.73 , 29.13 , 29.19 , 29.45 
9 , 15 , 2010 , 29.44 , 28.83 , 29.37 , 29.20 
9 , 16 , 2010 , 29.43 , 28.99 , 29.09 , 29.23 
9 , 17 , 2010 , 29.55 , 28.94 , 29.50 , 29.19 
9 , 20 , 2010 , 30.94 , 29.31 , 29.46 , 30.79 
9 , 21 , 2010 , 30.74 , 30.18 , 30.70 , 30.35 
9 , 22 , 2010 , 30.37 , 29.50 , 30.34 , 29.67 
9 , 23 , 2010 , 29.86 , 29.18 , 29.48 , 29.37 
9 , 24 , 2010 , 30.26 , 29.67 , 29.93 , 29.84 
9 , 27 , 2010 , 29.89 , 29.21 , 29.83 , 29.26 
9 , 28 , 2010 , 29.50 , 28.42 , 29.47 , 28.69 
9 , 29 , 2010 , 28.95 , 27.80 , 28.73 , 28.40 
9 , 30 , 2010 , 29.10 , 27.94 , 28.68 , 27.95 
10 , 1 , 2010 , 28.29 , 27.63 , 28.27 , 28.00 
10 , 4 , 2010 , 28.25 , 27.47 , 27.92 , 28.02 
10 , 5 , 2010 , 28.73 , 28.11 , 28.50 , 28.48 
10 , 6 , 2010 , 28.53 , 24.48 , 28.53 , 26.24 
10 , 7 , 2010 , 26.75 , 25.57 , 26.71 , 26.23 
10 , 8 , 2010 , 26.70 , 25.73 , 26.22 , 26.47 
10 , 11 , 2010 , 26.47 , 24.94 , 26.45 , 24.98 
10 , 12 , 2010 , 26.60 , 24.69 , 24.95 , 26.37 
10 , 13 , 2010 , 27.30 , 26.51 , 26.72 , 26.83 
10 , 14 , 2010 , 26.99 , 26.26 , 26.88 , 26.84 
10 , 15 , 2010 , 27.19 , 26.71 , 27.10 , 27.10 
10 , 18 , 2010 , 27.23 , 26.00 , 27.23 , 26.41 
10 , 19 , 2010 , 26.34 , 25.11 , 25.27 , 25.91 
10 , 20 , 2010 , 26.45 , 25.55 , 26.13 , 26.11 
10 , 21 , 2010 , 26.88 , 26.03 , 26.20 , 26.33 
10 , 22 , 2010 , 27.22 , 26.17 , 26.37 , 26.99 
10 , 25 , 2010 , 28.41 , 27.38 , 27.41 , 28.14 
10 , 26 , 2010 , 28.20 , 27.58 , 27.92 , 27.97 
10 , 27 , 2010 , 28.99 , 28.01 , 28.61 , 28.77 
10 , 28 , 2010 , 29.03 , 28.13 , 28.88 , 28.75 
10 , 29 , 2010 , 29.25 , 28.58 , 28.71 , 29.02 
11 , 1 , 2010 , 29.11 , 28.16 , 29.05 , 28.44 
11 , 2 , 2010 , 29.00 , 28.27 , 28.57 , 28.86 
11 , 3 , 2010 , 29.23 , 28.41 , 28.95 , 29.11 
11 , 4 , 2010 , 29.84 , 28.40 , 29.50 , 28.51 
11 , 5 , 2010 , 28.79 , 28.11 , 28.70 , 28.29 
11 , 8 , 2010 , 29.10 , 28.13 , 28.48 , 28.63 
11 , 9 , 2010 , 28.82 , 28.18 , 28.55 , 28.69 
11 , 10 , 2010 , 29.52 , 28.61 , 28.70 , 29.47 
11 , 11 , 2010 , 29.52 , 28.39 , 28.83 , 29.18 
11 , 12 , 2010 , 29.54 , 28.66 , 28.90 , 28.75 
11 , 15 , 2010 , 29.00 , 28.33 , 28.83 , 28.41 
11 , 16 , 2010 , 28.41 , 27.30 , 28.13 , 27.76 
11 , 17 , 2010 , 28.17 , 27.37 , 27.80 , 27.54 
11 , 18 , 2010 , 29.13 , 28.18 , 28.29 , 28.94 
11 , 19 , 2010 , 34.33 , 31.60 , 31.60 , 34.19 
11 , 22 , 2010 , 35.05 , 33.82 , 33.83 , 34.96 
11 , 23 , 2010 , 35.74 , 34.30 , 34.32 , 35.63 
11 , 24 , 2010 , 36.36 , 35.16 , 35.45 , 36.29 
11 , 26 , 2010 , 36.61 , 35.58 , 35.58 , 36.46 
