Month , Day , Year , High , Low , Open , Close
8 , 22 , 2019 , 96.58 , 92.80 , 96.29 , 92.97 
8 , 23 , 2019 , 91.56 , 86.00 , 91.37 , 88.43 
8 , 26 , 2019 , 90.84 , 86.13 , 90.24 , 88.88 
8 , 27 , 2019 , 89.95 , 83.23 , 89.28 , 84.08 
8 , 28 , 2019 , 87.52 , 82.61 , 83.78 , 86.99 
8 , 29 , 2019 , 89.35 , 83.29 , 88.30 , 83.82 
8 , 30 , 2019 , 84.94 , 78.89 , 84.02 , 81.28 
9 , 3 , 2019 , 83.80 , 80.25 , 80.85 , 83.76 
9 , 4 , 2019 , 87.77 , 82.89 , 85.00 , 85.31 
9 , 5 , 2019 , 87.19 , 82.50 , 86.25 , 86.85 
9 , 6 , 2019 , 81.50 , 75.31 , 79.70 , 75.98 
9 , 9 , 2019 , 76.12 , 64.34 , 76.11 , 67.10 
9 , 10 , 2019 , 71.80 , 65.70 , 65.70 , 71.65 
9 , 11 , 2019 , 70.93 , 67.20 , 69.21 , 69.11 
9 , 12 , 2019 , 72.40 , 69.06 , 69.68 , 69.66 
9 , 13 , 2019 , 70.31 , 64.71 , 69.86 , 64.86 
9 , 16 , 2019 , 68.86 , 63.50 , 63.71 , 67.86 
9 , 17 , 2019 , 71.33 , 68.13 , 68.64 , 71.04 
9 , 18 , 2019 , 71.88 , 68.80 , 70.12 , 70.85 
9 , 19 , 2019 , 71.87 , 67.64 , 71.50 , 68.93 
9 , 20 , 2019 , 69.46 , 66.19 , 68.95 , 66.97 
9 , 23 , 2019 , 68.57 , 66.54 , 67.12 , 66.91 
9 , 24 , 2019 , 67.37 , 62.00 , 67.02 , 62.52 
9 , 25 , 2019 , 63.39 , 60.11 , 62.00 , 62.02 
9 , 26 , 2019 , 62.36 , 57.66 , 62.05 , 58.30 
9 , 27 , 2019 , 58.33 , 52.84 , 58.27 , 53.46 
9 , 30 , 2019 , 58.65 , 51.61 , 53.65 , 58.31 
10 , 1 , 2019 , 59.51 , 55.65 , 58.30 , 57.89 
10 , 2 , 2019 , 57.66 , 54.07 , 56.81 , 56.63 
10 , 3 , 2019 , 62.40 , 56.75 , 59.48 , 62.14 
10 , 4 , 2019 , 64.46 , 61.55 , 62.18 , 63.84 
10 , 7 , 2019 , 69.70 , 62.72 , 63.36 , 68.78 
10 , 8 , 2019 , 68.43 , 64.48 , 67.40 , 65.30 
10 , 9 , 2019 , 66.43 , 62.50 , 66.35 , 63.08 
10 , 10 , 2019 , 63.61 , 60.40 , 62.64 , 61.41 
10 , 11 , 2019 , 61.48 , 57.27 , 58.77 , 60.27 
10 , 14 , 2019 , 57.85 , 53.20 , 55.80 , 54.52 
10 , 15 , 2019 , 56.41 , 54.03 , 55.01 , 55.21 
10 , 16 , 2019 , 55.77 , 51.80 , 53.57 , 52.03 
10 , 17 , 2019 , 53.15 , 50.33 , 51.76 , 50.44 
10 , 18 , 2019 , 50.32 , 46.46 , 50.00 , 47.04 
10 , 21 , 2019 , 48.97 , 46.22 , 46.93 , 47.40 
10 , 22 , 2019 , 48.48 , 44.58 , 47.25 , 46.20 
10 , 23 , 2019 , 50.43 , 46.03 , 47.00 , 47.87 
10 , 24 , 2019 , 52.18 , 48.11 , 48.60 , 51.84 
10 , 25 , 2019 , 52.07 , 49.41 , 50.88 , 50.11 
10 , 28 , 2019 , 51.31 , 47.71 , 50.26 , 47.95 
10 , 29 , 2019 , 48.37 , 46.21 , 47.43 , 47.80 
10 , 30 , 2019 , 52.48 , 46.78 , 47.72 , 51.45 
10 , 31 , 2019 , 51.64 , 48.10 , 51.20 , 49.91 
11 , 1 , 2019 , 50.85 , 47.75 , 49.94 , 48.50 
11 , 4 , 2019 , 50.48 , 48.01 , 49.15 , 49.65 
11 , 5 , 2019 , 50.60 , 47.77 , 50.18 , 48.70 
11 , 6 , 2019 , 48.71 , 46.90 , 48.56 , 47.83 
11 , 7 , 2019 , 48.50 , 45.38 , 48.26 , 45.50 
11 , 8 , 2019 , 47.21 , 44.80 , 45.02 , 47.21 
11 , 11 , 2019 , 47.00 , 45.46 , 46.50 , 46.20 
11 , 12 , 2019 , 47.85 , 46.11 , 47.50 , 47.05 
11 , 13 , 2019 , 52.44 , 46.65 , 46.83 , 52.00 
11 , 14 , 2019 , 54.92 , 50.64 , 51.31 , 52.73 
11 , 15 , 2019 , 59.99 , 53.00 , 53.00 , 59.75 
11 , 18 , 2019 , 60.00 , 55.52 , 60.00 , 57.07 
11 , 19 , 2019 , 57.56 , 53.76 , 57.45 , 56.00 
11 , 20 , 2019 , 58.31 , 53.39 , 55.24 , 54.88 
11 , 21 , 2019 , 55.46 , 52.85 , 55.46 , 53.77 
11 , 22 , 2019 , 55.30 , 53.75 , 54.19 , 54.20 
11 , 25 , 2019 , 56.17 , 54.86 , 55.32 , 55.84 
11 , 26 , 2019 , 58.02 , 54.26 , 56.30 , 55.58 
11 , 27 , 2019 , 56.67 , 55.23 , 56.37 , 56.29 
11 , 29 , 2019 , 59.50 , 56.32 , 56.96 , 58.00 
12 , 2 , 2019 , 58.60 , 52.54 , 58.50 , 55.01 
12 , 3 , 2019 , 57.59 , 53.01 , 53.29 , 57.37 
12 , 4 , 2019 , 57.00 , 54.30 , 56.61 , 54.98 
