Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 26.40 , 26.18 , 26.20 , 26.26 
3 , 18 , 2010 , 26.43 , 26.22 , 26.24 , 26.34 
3 , 19 , 2010 , 26.44 , 26.07 , 26.37 , 26.15 
3 , 22 , 2010 , 26.38 , 25.89 , 25.92 , 26.28 
3 , 23 , 2010 , 26.75 , 26.17 , 26.19 , 26.64 
3 , 24 , 2010 , 26.62 , 26.44 , 26.56 , 26.45 
3 , 25 , 2010 , 26.85 , 26.42 , 26.66 , 26.43 
3 , 26 , 2010 , 26.75 , 26.34 , 26.44 , 26.47 
3 , 29 , 2010 , 26.69 , 26.45 , 26.61 , 26.51 
3 , 30 , 2010 , 26.71 , 26.34 , 26.64 , 26.65 
3 , 31 , 2010 , 26.61 , 25.96 , 26.52 , 26.03 
4 , 1 , 2010 , 26.30 , 25.66 , 26.20 , 25.83 
4 , 5 , 2010 , 26.24 , 25.80 , 25.87 , 26.17 
4 , 6 , 2010 , 26.38 , 26.05 , 26.13 , 26.22 
4 , 7 , 2010 , 26.59 , 26.10 , 26.10 , 26.34 
4 , 8 , 2010 , 26.39 , 26.00 , 26.28 , 26.28 
4 , 9 , 2010 , 26.64 , 26.22 , 26.28 , 26.60 
4 , 12 , 2010 , 26.74 , 26.49 , 26.57 , 26.53 
4 , 13 , 2010 , 26.50 , 26.17 , 26.45 , 26.44 
4 , 14 , 2010 , 26.93 , 26.56 , 26.63 , 26.88 
4 , 15 , 2010 , 27.25 , 26.95 , 27.00 , 27.21 
4 , 16 , 2010 , 27.44 , 26.79 , 27.15 , 26.98 
4 , 19 , 2010 , 27.11 , 26.55 , 26.93 , 27.07 
4 , 20 , 2010 , 27.45 , 27.06 , 27.19 , 27.18 
4 , 21 , 2010 , 27.40 , 27.12 , 27.17 , 27.24 
4 , 22 , 2010 , 27.37 , 26.72 , 27.08 , 27.32 
4 , 23 , 2010 , 27.51 , 27.21 , 27.38 , 27.47 
4 , 26 , 2010 , 27.70 , 27.48 , 27.58 , 27.57 
4 , 27 , 2010 , 27.58 , 26.73 , 27.41 , 27.01 
4 , 28 , 2010 , 27.38 , 26.82 , 27.11 , 27.04 
4 , 29 , 2010 , 27.64 , 27.10 , 27.10 , 27.53 
4 , 30 , 2010 , 27.74 , 26.92 , 27.68 , 26.93 
5 , 3 , 2010 , 27.69 , 27.01 , 27.03 , 27.54 
5 , 4 , 2010 , 27.25 , 26.40 , 27.24 , 26.56 
5 , 5 , 2010 , 26.82 , 26.15 , 26.31 , 26.55 
5 , 6 , 2010 , 26.65 , 23.23 , 26.40 , 25.49 
5 , 7 , 2010 , 25.64 , 24.33 , 25.52 , 24.71 
5 , 10 , 2010 , 26.53 , 25.90 , 26.12 , 26.13 
5 , 11 , 2010 , 26.77 , 25.82 , 26.06 , 25.96 
5 , 12 , 2010 , 26.80 , 26.19 , 26.22 , 26.74 
5 , 13 , 2010 , 26.10 , 25.37 , 26.09 , 25.53 
5 , 14 , 2010 , 25.30 , 24.69 , 25.26 , 24.94 
5 , 17 , 2010 , 24.98 , 24.26 , 24.97 , 24.87 
5 , 18 , 2010 , 25.02 , 24.18 , 25.00 , 24.36 
5 , 19 , 2010 , 24.52 , 23.97 , 24.23 , 24.26 
5 , 20 , 2010 , 23.89 , 23.13 , 23.56 , 23.31 
5 , 21 , 2010 , 23.51 , 22.56 , 22.67 , 23.46 
5 , 24 , 2010 , 23.70 , 23.13 , 23.46 , 23.37 
5 , 25 , 2010 , 23.31 , 22.60 , 22.73 , 23.31 
5 , 26 , 2010 , 23.75 , 22.84 , 23.56 , 22.89 
5 , 27 , 2010 , 23.68 , 23.02 , 23.39 , 23.67 
5 , 28 , 2010 , 23.57 , 22.99 , 23.52 , 23.16 
6 , 1 , 2010 , 23.48 , 22.92 , 22.94 , 23.00 
6 , 2 , 2010 , 23.37 , 22.74 , 23.07 , 23.35 
6 , 3 , 2010 , 23.77 , 23.27 , 23.49 , 23.72 
6 , 4 , 2010 , 23.55 , 22.76 , 23.32 , 22.96 
6 , 7 , 2010 , 23.29 , 22.68 , 23.01 , 22.76 
6 , 8 , 2010 , 23.00 , 22.52 , 22.89 , 22.96 
6 , 9 , 2010 , 23.45 , 22.74 , 23.03 , 22.78 
6 , 10 , 2010 , 23.10 , 22.51 , 22.99 , 22.77 
6 , 11 , 2010 , 22.99 , 22.52 , 22.53 , 22.91 
6 , 14 , 2010 , 23.28 , 22.73 , 23.08 , 22.76 
6 , 15 , 2010 , 23.45 , 22.80 , 22.82 , 23.33 
6 , 16 , 2010 , 23.78 , 23.09 , 23.11 , 23.29 
6 , 17 , 2010 , 23.50 , 23.05 , 23.49 , 23.17 
6 , 18 , 2010 , 23.65 , 23.15 , 23.28 , 23.49 
6 , 21 , 2010 , 23.94 , 23.13 , 23.84 , 23.34 
6 , 22 , 2010 , 23.65 , 22.92 , 23.32 , 22.97 
6 , 23 , 2010 , 23.14 , 22.64 , 23.11 , 22.86 
6 , 24 , 2010 , 22.98 , 22.47 , 22.68 , 22.57 
6 , 25 , 2010 , 22.67 , 22.11 , 22.59 , 22.18 
6 , 28 , 2010 , 22.75 , 22.29 , 22.30 , 22.42 
6 , 29 , 2010 , 22.19 , 21.40 , 22.15 , 21.62 
6 , 30 , 2010 , 21.73 , 21.24 , 21.52 , 21.31 
7 , 1 , 2010 , 21.49 , 20.93 , 21.20 , 21.26 
7 , 2 , 2010 , 21.31 , 20.99 , 21.21 , 21.13 
7 , 6 , 2010 , 21.67 , 21.05 , 21.42 , 21.34 
7 , 7 , 2010 , 22.49 , 21.45 , 21.49 , 22.48 
7 , 8 , 2010 , 22.79 , 22.15 , 22.67 , 22.55 
7 , 9 , 2010 , 22.81 , 22.43 , 22.59 , 22.70 
7 , 12 , 2010 , 22.98 , 22.61 , 22.61 , 22.86 
7 , 13 , 2010 , 23.28 , 22.99 , 23.04 , 23.09 
7 , 14 , 2010 , 23.89 , 23.39 , 23.43 , 23.74 
7 , 15 , 2010 , 23.96 , 23.42 , 23.70 , 23.92 
7 , 16 , 2010 , 23.87 , 22.61 , 23.87 , 22.75 
7 , 19 , 2010 , 23.03 , 22.55 , 22.87 , 22.73 
7 , 20 , 2010 , 23.08 , 22.05 , 22.27 , 23.05 
7 , 21 , 2010 , 23.22 , 22.40 , 23.06 , 22.56 
7 , 22 , 2010 , 23.36 , 22.73 , 22.73 , 23.27 
7 , 23 , 2010 , 23.41 , 23.01 , 23.16 , 23.35 
7 , 26 , 2010 , 23.61 , 23.20 , 23.32 , 23.61 
7 , 27 , 2010 , 23.72 , 23.20 , 23.68 , 23.30 
7 , 28 , 2010 , 23.62 , 23.25 , 23.29 , 23.39 
7 , 29 , 2010 , 23.65 , 22.96 , 23.53 , 23.21 
7 , 30 , 2010 , 23.40 , 22.88 , 23.02 , 23.07 
8 , 2 , 2010 , 23.94 , 23.40 , 23.43 , 23.80 
8 , 3 , 2010 , 23.89 , 23.62 , 23.84 , 23.82 
8 , 4 , 2010 , 24.25 , 23.78 , 23.79 , 24.14 
8 , 5 , 2010 , 24.18 , 23.83 , 24.03 , 24.17 
8 , 6 , 2010 , 24.17 , 23.60 , 23.92 , 24.07 
8 , 9 , 2010 , 24.87 , 24.20 , 24.21 , 24.77 
8 , 10 , 2010 , 24.59 , 24.16 , 24.46 , 24.31 
8 , 11 , 2010 , 23.95 , 23.45 , 23.86 , 23.73 
8 , 12 , 2010 , 21.61 , 21.00 , 21.42 , 21.36 
8 , 13 , 2010 , 21.58 , 21.25 , 21.51 , 21.36 
8 , 16 , 2010 , 22.12 , 21.22 , 21.24 , 21.91 
8 , 17 , 2010 , 22.29 , 21.95 , 22.07 , 22.05 
8 , 18 , 2010 , 22.51 , 22.02 , 22.04 , 22.41 
8 , 19 , 2010 , 22.50 , 22.01 , 22.34 , 22.22 
8 , 20 , 2010 , 22.41 , 22.13 , 22.19 , 22.23 
8 , 23 , 2010 , 22.48 , 21.65 , 22.47 , 21.68 
8 , 24 , 2010 , 21.45 , 21.10 , 21.43 , 21.13 
8 , 25 , 2010 , 21.35 , 20.82 , 20.99 , 21.21 
8 , 26 , 2010 , 21.31 , 20.69 , 21.18 , 20.70 
8 , 27 , 2010 , 20.94 , 20.36 , 20.84 , 20.81 
8 , 30 , 2010 , 20.89 , 20.29 , 20.80 , 20.32 
8 , 31 , 2010 , 20.37 , 19.82 , 20.11 , 19.99 
9 , 1 , 2010 , 20.70 , 20.25 , 20.35 , 20.26 
9 , 2 , 2010 , 20.70 , 20.31 , 20.48 , 20.52 
9 , 3 , 2010 , 21.13 , 20.76 , 20.97 , 21.04 
9 , 7 , 2010 , 20.99 , 20.53 , 20.90 , 20.58 
9 , 8 , 2010 , 20.89 , 20.55 , 20.68 , 20.64 
9 , 9 , 2010 , 21.05 , 20.58 , 20.96 , 20.61 
9 , 10 , 2010 , 20.68 , 20.32 , 20.63 , 20.62 
9 , 13 , 2010 , 21.34 , 20.86 , 20.92 , 21.26 
9 , 14 , 2010 , 22.17 , 21.21 , 21.36 , 21.45 
9 , 15 , 2010 , 21.86 , 21.49 , 21.54 , 21.59 
9 , 16 , 2010 , 21.96 , 21.52 , 21.58 , 21.93 
9 , 17 , 2010 , 22.12 , 21.77 , 22.07 , 21.86 
9 , 20 , 2010 , 21.99 , 21.64 , 21.97 , 21.75 
9 , 21 , 2010 , 21.96 , 21.37 , 21.78 , 21.64 
9 , 22 , 2010 , 21.89 , 21.40 , 21.67 , 21.67 
9 , 23 , 2010 , 21.81 , 21.43 , 21.55 , 21.53 
9 , 24 , 2010 , 22.25 , 21.75 , 21.84 , 22.09 
9 , 27 , 2010 , 22.31 , 21.86 , 22.01 , 22.11 
9 , 28 , 2010 , 22.11 , 21.45 , 22.00 , 21.86 
9 , 29 , 2010 , 21.91 , 21.56 , 21.63 , 21.87 
9 , 30 , 2010 , 22.28 , 21.67 , 22.05 , 21.90 
10 , 1 , 2010 , 22.22 , 21.78 , 22.12 , 21.91 
10 , 4 , 2010 , 22.00 , 21.50 , 21.81 , 21.76 
10 , 5 , 2010 , 22.12 , 21.77 , 22.02 , 21.99 
10 , 6 , 2010 , 22.40 , 22.01 , 22.03 , 22.30 
10 , 7 , 2010 , 22.50 , 22.11 , 22.47 , 22.39 
10 , 8 , 2010 , 22.52 , 22.09 , 22.37 , 22.48 
10 , 11 , 2010 , 22.65 , 22.38 , 22.48 , 22.47 
10 , 12 , 2010 , 22.75 , 22.27 , 22.38 , 22.62 
10 , 13 , 2010 , 23.40 , 22.83 , 22.93 , 23.18 
10 , 14 , 2010 , 23.30 , 22.85 , 23.26 , 23.07 
10 , 15 , 2010 , 23.40 , 23.00 , 23.24 , 23.36 
10 , 18 , 2010 , 23.50 , 23.23 , 23.35 , 23.30 
10 , 19 , 2010 , 23.18 , 22.76 , 23.10 , 22.97 
10 , 20 , 2010 , 23.58 , 22.91 , 22.91 , 23.40 
10 , 21 , 2010 , 23.55 , 22.98 , 23.48 , 23.26 
10 , 22 , 2010 , 23.49 , 23.18 , 23.25 , 23.48 
10 , 25 , 2010 , 23.90 , 23.57 , 23.63 , 23.61 
10 , 26 , 2010 , 23.75 , 23.36 , 23.49 , 23.40 
10 , 27 , 2010 , 23.36 , 23.03 , 23.25 , 23.29 
10 , 28 , 2010 , 23.49 , 23.07 , 23.43 , 23.19 
