Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 5.76 , 5.66 , 5.73 , 5.69 
3 , 18 , 2010 , 5.77 , 5.67 , 5.70 , 5.76 
3 , 19 , 2010 , 5.83 , 5.68 , 5.80 , 5.72 
3 , 22 , 2010 , 5.79 , 5.67 , 5.67 , 5.76 
3 , 23 , 2010 , 5.78 , 5.64 , 5.78 , 5.75 
3 , 24 , 2010 , 5.73 , 5.64 , 5.73 , 5.68 
3 , 25 , 2010 , 5.81 , 5.68 , 5.75 , 5.69 
3 , 26 , 2010 , 5.72 , 5.61 , 5.70 , 5.67 
3 , 29 , 2010 , 5.76 , 5.67 , 5.71 , 5.72 
3 , 30 , 2010 , 5.76 , 5.68 , 5.74 , 5.70 
3 , 31 , 2010 , 5.71 , 5.62 , 5.69 , 5.66 
4 , 1 , 2010 , 5.81 , 5.70 , 5.70 , 5.80 
4 , 5 , 2010 , 5.91 , 5.75 , 5.84 , 5.85 
4 , 6 , 2010 , 5.84 , 5.76 , 5.78 , 5.83 
4 , 7 , 2010 , 5.85 , 5.73 , 5.85 , 5.77 
4 , 8 , 2010 , 5.90 , 5.72 , 5.74 , 5.89 
4 , 9 , 2010 , 5.94 , 5.81 , 5.91 , 5.88 
4 , 12 , 2010 , 5.91 , 5.83 , 5.91 , 5.88 
4 , 13 , 2010 , 5.94 , 5.81 , 5.87 , 5.92 
4 , 14 , 2010 , 6.18 , 5.95 , 6.06 , 6.16 
4 , 15 , 2010 , 6.19 , 6.09 , 6.14 , 6.14 
4 , 16 , 2010 , 6.15 , 5.95 , 6.13 , 6.05 
4 , 19 , 2010 , 6.04 , 5.97 , 6.02 , 6.02 
4 , 20 , 2010 , 6.17 , 6.05 , 6.07 , 6.13 
4 , 21 , 2010 , 6.22 , 6.09 , 6.13 , 6.17 
4 , 22 , 2010 , 6.21 , 6.02 , 6.11 , 6.19 
4 , 23 , 2010 , 6.32 , 6.19 , 6.21 , 6.31 
4 , 26 , 2010 , 6.35 , 6.28 , 6.33 , 6.33 
4 , 27 , 2010 , 6.37 , 6.17 , 6.32 , 6.19 
4 , 28 , 2010 , 6.26 , 6.13 , 6.25 , 6.21 
4 , 29 , 2010 , 6.40 , 6.23 , 6.26 , 6.36 
4 , 30 , 2010 , 6.43 , 6.22 , 6.39 , 6.23 
5 , 3 , 2010 , 6.44 , 6.25 , 6.28 , 6.39 
5 , 4 , 2010 , 6.33 , 6.09 , 6.33 , 6.15 
5 , 5 , 2010 , 6.08 , 5.95 , 6.02 , 5.98 
5 , 6 , 2010 , 6.89 , 5.38 , 5.95 , 5.90 
5 , 7 , 2010 , 5.99 , 5.74 , 5.84 , 5.85 
5 , 10 , 2010 , 6.21 , 6.04 , 6.07 , 6.14 
5 , 11 , 2010 , 6.25 , 6.07 , 6.07 , 6.18 
5 , 12 , 2010 , 6.34 , 6.19 , 6.20 , 6.30 
5 , 13 , 2010 , 6.32 , 6.20 , 6.29 , 6.22 
5 , 14 , 2010 , 6.19 , 6.04 , 6.15 , 6.11 
5 , 17 , 2010 , 6.17 , 5.92 , 6.12 , 6.07 
5 , 18 , 2010 , 6.19 , 5.95 , 6.14 , 5.99 
5 , 19 , 2010 , 6.01 , 5.74 , 5.93 , 5.90 
5 , 20 , 2010 , 5.74 , 5.51 , 5.72 , 5.53 
5 , 21 , 2010 , 5.72 , 5.36 , 5.44 , 5.68 
5 , 24 , 2010 , 5.73 , 5.60 , 5.64 , 5.61 
5 , 25 , 2010 , 5.62 , 5.37 , 5.40 , 5.61 
5 , 26 , 2010 , 5.78 , 5.62 , 5.65 , 5.65 
5 , 27 , 2010 , 5.85 , 5.66 , 5.73 , 5.85 
5 , 28 , 2010 , 5.89 , 5.74 , 5.86 , 5.81 
6 , 1 , 2010 , 5.91 , 5.67 , 5.80 , 5.73 
6 , 2 , 2010 , 5.95 , 5.73 , 5.78 , 5.94 
6 , 3 , 2010 , 6.00 , 5.82 , 6.00 , 5.89 
6 , 4 , 2010 , 5.80 , 5.53 , 5.78 , 5.56 
6 , 7 , 2010 , 5.59 , 5.40 , 5.57 , 5.41 
6 , 8 , 2010 , 5.51 , 5.33 , 5.44 , 5.47 
6 , 9 , 2010 , 5.66 , 5.44 , 5.52 , 5.47 
6 , 10 , 2010 , 5.76 , 5.58 , 5.58 , 5.75 
6 , 11 , 2010 , 5.80 , 5.66 , 5.68 , 5.79 
6 , 14 , 2010 , 5.93 , 5.75 , 5.88 , 5.76 
6 , 15 , 2010 , 5.96 , 5.81 , 5.83 , 5.96 
6 , 16 , 2010 , 6.03 , 5.90 , 5.91 , 5.97 
6 , 17 , 2010 , 6.12 , 5.94 , 6.02 , 6.11 
6 , 18 , 2010 , 6.12 , 6.05 , 6.11 , 6.11 
6 , 21 , 2010 , 6.29 , 6.18 , 6.18 , 6.22 
6 , 22 , 2010 , 6.26 , 5.91 , 6.24 , 5.94 
