Month , Day , Year , High , Low , Open , Close
8 , 6 , 2019 , 30.22 , 29.47 , 30.06 , 30.05 
8 , 7 , 2019 , 30.83 , 29.43 , 29.58 , 30.64 
8 , 8 , 2019 , 31.79 , 30.67 , 30.71 , 31.61 
8 , 9 , 2019 , 32.00 , 31.22 , 31.94 , 31.63 
8 , 12 , 2019 , 31.83 , 29.51 , 31.49 , 29.59 
8 , 13 , 2019 , 30.15 , 29.19 , 29.33 , 29.60 
8 , 14 , 2019 , 29.36 , 28.28 , 29.12 , 28.34 
8 , 15 , 2019 , 29.23 , 27.93 , 28.93 , 28.42 
8 , 16 , 2019 , 30.31 , 28.56 , 28.69 , 30.24 
8 , 19 , 2019 , 30.84 , 30.25 , 30.75 , 30.57 
8 , 20 , 2019 , 30.68 , 30.09 , 30.62 , 30.26 
8 , 21 , 2019 , 30.98 , 30.28 , 30.30 , 30.58 
8 , 22 , 2019 , 30.95 , 30.21 , 30.78 , 30.29 
8 , 23 , 2019 , 30.16 , 28.81 , 29.80 , 29.05 
8 , 26 , 2019 , 29.48 , 28.67 , 29.35 , 29.02 
8 , 27 , 2019 , 29.43 , 28.54 , 29.15 , 28.73 
8 , 28 , 2019 , 29.53 , 28.31 , 28.48 , 29.17 
8 , 29 , 2019 , 30.23 , 29.52 , 29.55 , 29.71 
8 , 30 , 2019 , 30.03 , 29.26 , 30.00 , 29.32 
9 , 3 , 2019 , 29.10 , 28.00 , 28.99 , 28.23 
9 , 4 , 2019 , 28.84 , 28.17 , 28.62 , 28.43 
9 , 5 , 2019 , 28.99 , 27.95 , 28.74 , 28.46 
9 , 6 , 2019 , 28.81 , 27.89 , 28.45 , 28.39 
9 , 9 , 2019 , 28.82 , 28.02 , 28.35 , 28.75 
9 , 10 , 2019 , 29.13 , 28.14 , 28.70 , 28.56 
9 , 11 , 2019 , 29.30 , 28.11 , 28.50 , 29.27 
9 , 12 , 2019 , 30.09 , 28.90 , 29.50 , 29.90 
9 , 13 , 2019 , 30.35 , 29.90 , 30.04 , 30.12 
9 , 16 , 2019 , 30.06 , 28.84 , 30.05 , 29.40 
9 , 17 , 2019 , 29.47 , 28.96 , 29.32 , 28.98 
9 , 18 , 2019 , 29.46 , 28.75 , 28.75 , 29.15 
9 , 19 , 2019 , 29.71 , 29.06 , 29.26 , 29.14 
9 , 20 , 2019 , 29.57 , 28.85 , 29.35 , 28.92 
9 , 23 , 2019 , 29.00 , 28.45 , 28.64 , 28.88 
9 , 24 , 2019 , 28.99 , 27.96 , 28.71 , 28.24 
9 , 25 , 2019 , 28.50 , 27.77 , 28.22 , 28.20 
9 , 26 , 2019 , 28.20 , 27.49 , 28.11 , 27.64 
9 , 27 , 2019 , 28.23 , 27.31 , 27.55 , 27.80 
9 , 30 , 2019 , 28.35 , 27.76 , 27.90 , 28.00 
10 , 1 , 2019 , 28.38 , 27.23 , 28.03 , 27.55 
10 , 2 , 2019 , 27.67 , 26.62 , 27.15 , 26.94 
10 , 3 , 2019 , 27.16 , 26.51 , 26.91 , 26.88 
10 , 4 , 2019 , 27.04 , 25.80 , 27.00 , 25.89 
10 , 7 , 2019 , 26.47 , 25.73 , 26.00 , 26.00 
10 , 8 , 2019 , 26.43 , 25.59 , 25.64 , 26.22 
10 , 9 , 2019 , 26.83 , 25.74 , 26.79 , 26.17 
10 , 10 , 2019 , 26.72 , 25.71 , 26.17 , 25.73 
10 , 11 , 2019 , 27.12 , 25.99 , 26.10 , 26.66 
10 , 14 , 2019 , 26.77 , 26.20 , 26.40 , 26.33 
10 , 15 , 2019 , 27.09 , 26.07 , 26.22 , 26.70 
10 , 16 , 2019 , 27.23 , 26.29 , 26.35 , 26.87 
10 , 17 , 2019 , 27.21 , 26.66 , 27.05 , 26.77 
10 , 18 , 2019 , 26.64 , 25.64 , 26.60 , 26.04 
10 , 21 , 2019 , 26.58 , 25.43 , 26.29 , 25.50 
10 , 22 , 2019 , 26.05 , 25.23 , 25.51 , 25.98 
10 , 23 , 2019 , 26.02 , 25.22 , 25.89 , 25.61 
10 , 24 , 2019 , 26.55 , 25.50 , 25.63 , 26.37 
10 , 25 , 2019 , 26.96 , 26.24 , 26.37 , 26.73 
10 , 28 , 2019 , 27.14 , 26.60 , 26.79 , 26.77 
10 , 29 , 2019 , 27.24 , 26.42 , 26.51 , 26.78 
