Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 35.40 , 34.82 , 34.98 , 35.21 
3 , 18 , 2010 , 35.31 , 34.94 , 35.31 , 35.09 
3 , 19 , 2010 , 35.26 , 34.23 , 35.16 , 34.55 
3 , 22 , 2010 , 35.28 , 34.33 , 34.48 , 35.19 
3 , 23 , 2010 , 36.00 , 35.22 , 35.40 , 35.92 
3 , 24 , 2010 , 36.10 , 35.42 , 35.91 , 35.51 
3 , 25 , 2010 , 36.55 , 35.68 , 35.71 , 36.42 
3 , 26 , 2010 , 37.00 , 36.49 , 36.49 , 36.79 
3 , 29 , 2010 , 37.14 , 36.51 , 36.81 , 37.07 
3 , 30 , 2010 , 37.32 , 36.89 , 37.07 , 37.03 
3 , 31 , 2010 , 36.97 , 36.48 , 36.91 , 36.56 
4 , 1 , 2010 , 36.51 , 36.06 , 36.12 , 36.23 
4 , 5 , 2010 , 36.30 , 35.86 , 36.26 , 36.01 
4 , 6 , 2010 , 36.01 , 35.71 , 35.88 , 35.85 
4 , 7 , 2010 , 35.85 , 35.54 , 35.83 , 35.66 
4 , 8 , 2010 , 36.72 , 35.57 , 35.61 , 36.47 
4 , 9 , 2010 , 37.26 , 36.35 , 36.35 , 37.23 
4 , 12 , 2010 , 37.20 , 36.85 , 37.02 , 36.98 
4 , 13 , 2010 , 37.25 , 36.59 , 36.85 , 37.18 
4 , 14 , 2010 , 37.32 , 36.89 , 37.06 , 37.26 
4 , 15 , 2010 , 37.69 , 37.03 , 37.17 , 37.37 
4 , 16 , 2010 , 37.72 , 37.12 , 37.28 , 37.14 
4 , 19 , 2010 , 37.21 , 36.70 , 36.98 , 37.03 
4 , 20 , 2010 , 37.43 , 37.05 , 37.05 , 37.20 
4 , 21 , 2010 , 37.40 , 36.59 , 37.24 , 36.90 
4 , 22 , 2010 , 37.08 , 36.60 , 36.89 , 36.83 
4 , 23 , 2010 , 37.10 , 36.52 , 36.80 , 37.01 
4 , 26 , 2010 , 37.12 , 36.76 , 36.92 , 36.87 
4 , 27 , 2010 , 37.01 , 36.20 , 36.71 , 36.26 
4 , 28 , 2010 , 37.47 , 36.35 , 36.39 , 37.11 
4 , 29 , 2010 , 37.62 , 37.21 , 37.31 , 37.26 
4 , 30 , 2010 , 37.82 , 36.86 , 37.14 , 36.92 
5 , 3 , 2010 , 37.43 , 36.67 , 36.99 , 37.08 
5 , 4 , 2010 , 37.39 , 36.27 , 36.59 , 36.48 
5 , 5 , 2010 , 36.89 , 35.90 , 36.33 , 36.06 
5 , 6 , 2010 , 36.30 , 33.54 , 36.01 , 35.24 
5 , 7 , 2010 , 35.50 , 33.93 , 35.18 , 34.86 
5 , 10 , 2010 , 36.24 , 35.69 , 35.92 , 36.17 
5 , 11 , 2010 , 36.41 , 35.65 , 35.93 , 35.75 
5 , 12 , 2010 , 36.38 , 35.67 , 35.82 , 36.32 
5 , 13 , 2010 , 36.83 , 35.85 , 36.28 , 36.50 
5 , 14 , 2010 , 36.45 , 35.55 , 36.26 , 35.78 
5 , 17 , 2010 , 35.99 , 35.26 , 35.88 , 35.87 
5 , 18 , 2010 , 36.07 , 35.03 , 36.07 , 35.20 
5 , 19 , 2010 , 35.07 , 34.59 , 35.05 , 34.95 
5 , 20 , 2010 , 34.46 , 33.74 , 34.22 , 33.86 
5 , 21 , 2010 , 34.31 , 33.19 , 33.23 , 34.30 
5 , 24 , 2010 , 34.34 , 33.88 , 34.13 , 33.95 
5 , 25 , 2010 , 34.11 , 33.06 , 33.12 , 34.07 
5 , 26 , 2010 , 34.37 , 33.65 , 34.19 , 33.77 
5 , 27 , 2010 , 34.61 , 33.96 , 34.08 , 34.59 
5 , 28 , 2010 , 34.98 , 34.14 , 34.57 , 34.63 
6 , 1 , 2010 , 34.93 , 34.00 , 34.40 , 34.34 
6 , 2 , 2010 , 35.21 , 34.46 , 34.49 , 35.20 
6 , 3 , 2010 , 35.31 , 34.51 , 35.16 , 35.06 
6 , 4 , 2010 , 34.57 , 33.64 , 34.45 , 33.79 
6 , 7 , 2010 , 32.04 , 29.62 , 30.94 , 31.04 
6 , 8 , 2010 , 31.35 , 30.72 , 30.92 , 31.16 
6 , 9 , 2010 , 31.45 , 30.30 , 31.26 , 30.67 
6 , 10 , 2010 , 31.98 , 30.83 , 30.86 , 31.90 
6 , 11 , 2010 , 32.12 , 31.39 , 31.70 , 32.08 
6 , 14 , 2010 , 32.75 , 31.83 , 32.39 , 31.87 
6 , 15 , 2010 , 32.26 , 31.85 , 31.89 , 32.21 
6 , 16 , 2010 , 32.26 , 31.82 , 32.06 , 31.88 
6 , 17 , 2010 , 32.08 , 31.57 , 31.98 , 31.84 
6 , 18 , 2010 , 33.50 , 32.42 , 33.45 , 32.43 
6 , 21 , 2010 , 33.04 , 31.69 , 32.91 , 31.78 
6 , 22 , 2010 , 31.84 , 31.35 , 31.40 , 31.40 
6 , 23 , 2010 , 31.64 , 31.18 , 31.40 , 31.43 
6 , 24 , 2010 , 31.28 , 30.51 , 31.21 , 30.79 
6 , 25 , 2010 , 30.87 , 30.54 , 30.77 , 30.60 
6 , 28 , 2010 , 31.08 , 30.51 , 30.67 , 30.89 
6 , 29 , 2010 , 30.65 , 29.62 , 30.57 , 29.82 
6 , 30 , 2010 , 30.25 , 29.22 , 29.94 , 29.32 
7 , 1 , 2010 , 29.30 , 28.47 , 29.19 , 29.23 
7 , 2 , 2010 , 29.54 , 28.86 , 29.26 , 29.08 
