Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 75.06 , 74.16 , 74.18 , 74.67 
3 , 18 , 2010 , 75.07 , 74.24 , 74.85 , 74.76 
3 , 19 , 2010 , 75.16 , 73.89 , 75.03 , 74.98 
3 , 22 , 2010 , 74.88 , 74.00 , 74.17 , 74.46 
3 , 23 , 2010 , 74.79 , 74.03 , 74.43 , 74.77 
3 , 24 , 2010 , 74.50 , 73.78 , 74.27 , 73.93 
3 , 25 , 2010 , 74.62 , 73.69 , 74.40 , 73.80 
3 , 26 , 2010 , 74.88 , 73.82 , 74.00 , 74.43 
3 , 29 , 2010 , 75.44 , 74.49 , 74.61 , 75.23 
3 , 30 , 2010 , 75.50 , 74.96 , 75.27 , 75.30 
3 , 31 , 2010 , 76.14 , 75.08 , 75.47 , 75.83 
4 , 1 , 2010 , 77.13 , 76.34 , 76.40 , 76.69 
4 , 5 , 2010 , 77.75 , 76.73 , 76.97 , 77.66 
4 , 6 , 2010 , 78.00 , 77.20 , 77.57 , 77.88 
4 , 7 , 2010 , 77.83 , 76.96 , 77.67 , 77.37 
4 , 8 , 2010 , 78.00 , 76.63 , 76.93 , 77.66 
4 , 9 , 2010 , 79.62 , 78.00 , 78.04 , 79.50 
4 , 12 , 2010 , 80.80 , 79.37 , 79.50 , 80.43 
4 , 13 , 2010 , 80.57 , 79.27 , 80.38 , 80.21 
4 , 14 , 2010 , 80.61 , 80.03 , 80.46 , 80.58 
4 , 15 , 2010 , 81.76 , 80.51 , 80.61 , 81.59 
4 , 16 , 2010 , 81.90 , 80.28 , 81.46 , 80.75 
4 , 19 , 2010 , 81.50 , 80.05 , 80.25 , 81.32 
4 , 20 , 2010 , 82.36 , 81.66 , 81.82 , 82.05 
4 , 21 , 2010 , 82.67 , 81.24 , 82.30 , 81.92 
4 , 22 , 2010 , 81.45 , 80.64 , 81.11 , 81.20 
4 , 23 , 2010 , 82.77 , 80.95 , 81.04 , 82.67 
4 , 26 , 2010 , 83.14 , 82.34 , 82.52 , 82.59 
4 , 27 , 2010 , 82.51 , 80.07 , 82.08 , 80.23 
4 , 28 , 2010 , 80.92 , 79.85 , 80.62 , 80.62 
4 , 29 , 2010 , 82.99 , 81.19 , 81.19 , 82.29 
4 , 30 , 2010 , 83.13 , 81.29 , 82.37 , 81.44 
5 , 3 , 2010 , 83.41 , 81.33 , 81.96 , 82.83 
5 , 4 , 2010 , 82.24 , 79.63 , 82.01 , 80.76 
5 , 5 , 2010 , 80.73 , 79.45 , 79.69 , 80.19 
5 , 6 , 2010 , 80.21 , 71.50 , 79.41 , 77.20 
5 , 7 , 2010 , 78.61 , 76.41 , 77.12 , 77.10 
5 , 10 , 2010 , 80.56 , 78.53 , 79.37 , 79.89 
5 , 11 , 2010 , 80.75 , 79.49 , 79.64 , 79.70 
5 , 12 , 2010 , 80.46 , 79.36 , 79.77 , 80.06 
5 , 13 , 2010 , 80.06 , 78.75 , 79.80 , 78.92 
5 , 14 , 2010 , 78.49 , 76.98 , 78.42 , 77.83 
5 , 17 , 2010 , 77.95 , 75.95 , 77.39 , 77.73 
5 , 18 , 2010 , 78.67 , 76.39 , 78.31 , 76.85 
5 , 19 , 2010 , 77.00 , 75.54 , 76.35 , 76.60 
5 , 20 , 2010 , 75.40 , 73.53 , 75.04 , 73.60 
5 , 21 , 2010 , 74.65 , 72.00 , 72.35 , 74.48 
5 , 24 , 2010 , 74.38 , 73.31 , 74.22 , 73.44 
5 , 25 , 2010 , 72.69 , 70.80 , 71.74 , 72.57 
5 , 26 , 2010 , 73.50 , 71.44 , 73.19 , 71.55 
5 , 27 , 2010 , 74.36 , 72.30 , 73.13 , 74.36 
5 , 28 , 2010 , 74.40 , 73.04 , 74.00 , 73.87 
6 , 1 , 2010 , 74.52 , 72.29 , 73.56 , 72.29 
6 , 2 , 2010 , 74.13 , 72.12 , 72.66 , 74.13 
6 , 3 , 2010 , 74.75 , 73.14 , 74.66 , 73.91 
6 , 4 , 2010 , 72.71 , 70.80 , 72.15 , 71.28 
6 , 7 , 2010 , 72.49 , 71.19 , 71.66 , 71.35 
6 , 8 , 2010 , 71.73 , 69.82 , 71.68 , 71.02 
6 , 9 , 2010 , 72.39 , 70.60 , 71.17 , 70.79 
6 , 10 , 2010 , 74.17 , 72.69 , 72.87 , 74.17 
6 , 11 , 2010 , 74.06 , 72.79 , 73.48 , 74.06 
6 , 14 , 2010 , 75.55 , 74.16 , 74.23 , 74.18 
6 , 15 , 2010 , 75.26 , 74.18 , 74.57 , 75.23 
6 , 16 , 2010 , 75.39 , 74.45 , 74.61 , 74.95 
6 , 17 , 2010 , 75.49 , 74.20 , 75.02 , 75.32 
6 , 18 , 2010 , 75.75 , 74.90 , 75.47 , 75.52 
6 , 21 , 2010 , 77.25 , 75.29 , 76.81 , 75.72 
6 , 22 , 2010 , 75.72 , 73.88 , 75.45 , 74.00 
6 , 23 , 2010 , 73.90 , 72.15 , 73.84 , 72.26 
6 , 24 , 2010 , 72.13 , 70.70 , 71.80 , 70.83 
6 , 25 , 2010 , 71.13 , 69.88 , 71.13 , 70.06 
6 , 28 , 2010 , 70.57 , 69.63 , 70.56 , 69.96 
6 , 29 , 2010 , 69.39 , 68.00 , 69.20 , 68.36 
6 , 30 , 2010 , 69.06 , 67.80 , 68.22 , 67.86 
7 , 1 , 2010 , 68.30 , 66.83 , 68.19 , 67.48 
7 , 2 , 2010 , 68.15 , 66.87 , 67.79 , 67.31 
7 , 6 , 2010 , 68.32 , 66.86 , 68.28 , 67.56 
7 , 7 , 2010 , 69.50 , 67.49 , 67.82 , 69.45 
7 , 8 , 2010 , 70.69 , 69.21 , 70.18 , 70.41 
7 , 9 , 2010 , 72.00 , 70.05 , 70.46 , 71.84 
7 , 12 , 2010 , 72.13 , 71.35 , 71.53 , 71.85 
7 , 13 , 2010 , 73.58 , 72.50 , 72.99 , 73.23 
7 , 14 , 2010 , 73.12 , 72.35 , 73.01 , 73.05 
7 , 15 , 2010 , 73.23 , 72.16 , 73.23 , 73.04 
7 , 16 , 2010 , 72.84 , 71.25 , 72.65 , 71.50 
7 , 19 , 2010 , 72.30 , 71.49 , 71.84 , 72.00 
7 , 20 , 2010 , 73.21 , 70.96 , 71.00 , 73.10 
7 , 21 , 2010 , 73.55 , 71.57 , 73.33 , 72.17 
7 , 22 , 2010 , 74.00 , 72.58 , 72.80 , 73.44 
7 , 23 , 2010 , 73.55 , 72.67 , 73.28 , 73.52 
7 , 26 , 2010 , 74.62 , 73.41 , 73.82 , 74.62 
7 , 27 , 2010 , 75.43 , 74.50 , 74.86 , 75.30 
7 , 28 , 2010 , 75.66 , 75.01 , 75.13 , 75.56 
7 , 29 , 2010 , 76.37 , 75.28 , 75.89 , 76.02 
7 , 30 , 2010 , 76.37 , 74.89 , 75.15 , 76.21 
8 , 2 , 2010 , 78.33 , 77.32 , 77.62 , 77.80 
8 , 3 , 2010 , 79.12 , 77.81 , 77.92 , 78.66 
8 , 4 , 2010 , 79.10 , 78.23 , 78.78 , 79.02 
8 , 5 , 2010 , 79.19 , 78.24 , 78.51 , 79.07 
8 , 6 , 2010 , 79.02 , 77.81 , 78.23 , 78.73 
8 , 9 , 2010 , 79.43 , 78.87 , 79.38 , 79.29 
8 , 10 , 2010 , 79.48 , 78.16 , 78.54 , 79.04 
8 , 11 , 2010 , 77.98 , 77.02 , 77.97 , 77.13 
8 , 12 , 2010 , 77.78 , 76.20 , 76.41 , 77.07 
8 , 13 , 2010 , 77.77 , 76.91 , 77.04 , 77.40 
8 , 16 , 2010 , 77.83 , 76.37 , 77.11 , 77.71 
8 , 17 , 2010 , 78.08 , 77.08 , 77.57 , 77.77 
8 , 18 , 2010 , 77.73 , 76.54 , 77.61 , 77.04 
8 , 19 , 2010 , 76.82 , 75.50 , 76.72 , 75.84 
8 , 20 , 2010 , 75.56 , 74.55 , 75.46 , 75.05 
8 , 23 , 2010 , 75.99 , 75.05 , 75.34 , 75.05 
8 , 24 , 2010 , 74.90 , 73.62 , 74.27 , 73.78 
8 , 25 , 2010 , 74.30 , 72.57 , 73.32 , 74.07 
8 , 26 , 2010 , 74.38 , 73.10 , 74.37 , 73.33 
8 , 27 , 2010 , 75.04 , 72.93 , 73.89 , 74.93 
8 , 30 , 2010 , 74.80 , 73.78 , 74.63 , 73.78 
8 , 31 , 2010 , 74.53 , 73.23 , 73.51 , 74.08 
9 , 1 , 2010 , 76.91 , 75.24 , 75.36 , 76.77 
9 , 2 , 2010 , 77.48 , 76.47 , 76.75 , 77.45 
9 , 3 , 2010 , 78.00 , 77.39 , 77.39 , 78.00 
9 , 7 , 2010 , 77.91 , 76.97 , 77.68 , 77.05 
9 , 8 , 2010 , 77.88 , 77.07 , 77.16 , 77.25 
9 , 9 , 2010 , 78.28 , 77.27 , 77.97 , 77.36 
9 , 10 , 2010 , 78.82 , 77.94 , 78.33 , 78.82 
9 , 13 , 2010 , 79.51 , 78.67 , 79.37 , 79.25 
9 , 14 , 2010 , 79.98 , 79.18 , 79.25 , 79.51 
