Month , Day , Year , High , Low , Open , Close
2 , 23 , 2021 , 185.46 , 165.55 , 175.96 , 173.50 
2 , 24 , 2021 , 180.55 , 173.52 , 174.36 , 176.32 
2 , 25 , 2021 , 182.56 , 163.73 , 174.41 , 166.87 
2 , 26 , 2021 , 172.97 , 155.02 , 155.50 , 169.49 
3 , 1 , 2021 , 173.79 , 164.20 , 171.44 , 168.89 
3 , 2 , 2021 , 170.80 , 155.22 , 168.00 , 160.59 
3 , 3 , 2021 , 161.34 , 144.56 , 156.69 , 148.25 
3 , 4 , 2021 , 152.47 , 138.82 , 147.32 , 150.00 
3 , 5 , 2021 , 160.00 , 138.45 , 150.50 , 151.48 
3 , 8 , 2021 , 150.40 , 130.03 , 146.41 , 133.41 
3 , 9 , 2021 , 147.21 , 130.00 , 132.91 , 141.48 
3 , 10 , 2021 , 147.74 , 134.04 , 143.14 , 135.77 
3 , 11 , 2021 , 147.73 , 139.56 , 140.00 , 144.97 
3 , 12 , 2021 , 145.46 , 136.55 , 139.83 , 142.03 
3 , 15 , 2021 , 144.04 , 138.03 , 143.78 , 140.69 
3 , 16 , 2021 , 141.99 , 133.09 , 140.79 , 133.66 
3 , 17 , 2021 , 136.25 , 127.70 , 133.00 , 133.80 
3 , 18 , 2021 , 134.67 , 129.31 , 131.46 , 130.62 
3 , 19 , 2021 , 136.62 , 127.13 , 132.08 , 135.03 
3 , 22 , 2021 , 139.48 , 133.44 , 136.00 , 135.91 
3 , 23 , 2021 , 139.90 , 131.35 , 136.20 , 131.76 
3 , 24 , 2021 , 132.54 , 124.90 , 131.77 , 125.53 
3 , 25 , 2021 , 132.77 , 121.00 , 124.88 , 131.75 
3 , 26 , 2021 , 136.99 , 129.57 , 131.63 , 134.01 
3 , 29 , 2021 , 138.52 , 129.66 , 133.53 , 129.98 
3 , 30 , 2021 , 132.00 , 126.16 , 128.21 , 130.60 
3 , 31 , 2021 , 132.83 , 127.64 , 130.96 , 131.13 
4 , 1 , 2021 , 140.90 , 130.94 , 135.60 , 133.14 
4 , 5 , 2021 , 134.73 , 130.54 , 133.89 , 133.55 
4 , 6 , 2021 , 135.50 , 130.51 , 131.75 , 131.09 
4 , 7 , 2021 , 134.71 , 127.25 , 131.19 , 127.50 
4 , 8 , 2021 , 130.45 , 126.14 , 129.02 , 128.14 
4 , 9 , 2021 , 141.00 , 122.06 , 126.30 , 140.50 
4 , 12 , 2021 , 149.01 , 136.28 , 138.00 , 147.83 
4 , 13 , 2021 , 150.36 , 143.55 , 146.84 , 149.46 
4 , 14 , 2021 , 153.28 , 143.11 , 150.01 , 143.65 
4 , 15 , 2021 , 154.88 , 144.87 , 145.00 , 151.50 
4 , 16 , 2021 , 151.29 , 148.25 , 151.29 , 149.49 
4 , 19 , 2021 , 150.34 , 142.31 , 143.51 , 146.67 
4 , 20 , 2021 , 148.81 , 142.25 , 146.72 , 144.35 
4 , 21 , 2021 , 143.74 , 139.06 , 143.74 , 143.32 
4 , 22 , 2021 , 149.50 , 142.21 , 144.90 , 143.96 
4 , 23 , 2021 , 153.17 , 144.01 , 145.06 , 152.75 
4 , 26 , 2021 , 157.34 , 150.44 , 153.20 , 153.80 
4 , 27 , 2021 , 164.67 , 154.90 , 156.55 , 162.13 
4 , 28 , 2021 , 167.23 , 158.40 , 160.01 , 162.45 
4 , 29 , 2021 , 164.04 , 144.13 , 164.04 , 150.11 
4 , 30 , 2021 , 150.63 , 142.13 , 148.31 , 143.17 
5 , 3 , 2021 , 146.43 , 139.53 , 142.85 , 140.47 
5 , 4 , 2021 , 138.03 , 129.59 , 137.31 , 135.22 
5 , 5 , 2021 , 134.00 , 124.93 , 134.00 , 128.39 
5 , 6 , 2021 , 131.11 , 120.05 , 127.88 , 122.77 
5 , 7 , 2021 , 129.49 , 122.55 , 126.49 , 124.89 
5 , 10 , 2021 , 125.09 , 118.56 , 124.90 , 120.45 
5 , 11 , 2021 , 125.50 , 114.69 , 115.46 , 124.54 
5 , 12 , 2021 , 120.17 , 112.05 , 119.52 , 112.99 
5 , 13 , 2021 , 118.72 , 110.13 , 114.05 , 115.49 
5 , 14 , 2021 , 146.63 , 123.57 , 125.00 , 141.07 
5 , 17 , 2021 , 140.69 , 130.71 , 138.91 , 133.79 
5 , 18 , 2021 , 143.85 , 133.09 , 135.50 , 138.56 
5 , 19 , 2021 , 140.73 , 130.01 , 130.36 , 140.20 
5 , 20 , 2021 , 138.02 , 133.35 , 134.81 , 137.00 
5 , 21 , 2021 , 138.85 , 135.44 , 136.77 , 137.57 
5 , 24 , 2021 , 143.42 , 137.36 , 139.00 , 140.46 
