Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 59.96 , 58.96 , 59.02 , 59.59 
3 , 18 , 2010 , 59.91 , 58.96 , 59.32 , 59.25 
3 , 19 , 2010 , 59.64 , 58.64 , 59.62 , 58.99 
3 , 22 , 2010 , 60.04 , 58.28 , 58.33 , 60.02 
3 , 23 , 2010 , 62.08 , 60.10 , 60.20 , 61.96 
3 , 24 , 2010 , 61.65 , 60.31 , 61.64 , 60.49 
3 , 25 , 2010 , 61.83 , 60.07 , 61.06 , 60.20 
3 , 26 , 2010 , 61.20 , 60.11 , 60.52 , 60.56 
3 , 29 , 2010 , 61.42 , 60.73 , 60.83 , 61.35 
3 , 30 , 2010 , 62.00 , 60.99 , 61.56 , 61.11 
3 , 31 , 2010 , 61.14 , 59.20 , 60.62 , 59.46 
4 , 1 , 2010 , 60.70 , 59.10 , 59.99 , 59.74 
4 , 5 , 2010 , 60.80 , 60.10 , 60.38 , 60.64 
4 , 6 , 2010 , 60.85 , 60.27 , 60.48 , 60.68 
4 , 7 , 2010 , 60.96 , 59.94 , 60.66 , 60.40 
4 , 8 , 2010 , 60.78 , 59.71 , 60.22 , 60.62 
4 , 9 , 2010 , 61.68 , 60.74 , 60.86 , 61.68 
4 , 12 , 2010 , 62.39 , 61.58 , 61.76 , 62.04 
4 , 13 , 2010 , 62.20 , 61.09 , 61.73 , 61.54 
4 , 14 , 2010 , 62.03 , 60.64 , 61.81 , 61.77 
4 , 15 , 2010 , 62.73 , 61.26 , 61.52 , 61.76 
4 , 16 , 2010 , 61.94 , 59.89 , 61.51 , 60.51 
4 , 19 , 2010 , 61.00 , 59.24 , 60.06 , 60.47 
4 , 20 , 2010 , 61.50 , 60.03 , 60.85 , 60.20 
4 , 21 , 2010 , 61.00 , 59.89 , 60.33 , 60.50 
4 , 22 , 2010 , 61.09 , 59.09 , 59.89 , 60.96 
4 , 23 , 2010 , 61.83 , 60.67 , 60.99 , 61.79 
4 , 26 , 2010 , 63.68 , 62.02 , 62.47 , 62.21 
4 , 27 , 2010 , 62.09 , 59.01 , 61.78 , 59.32 
4 , 28 , 2010 , 60.27 , 59.27 , 59.96 , 59.58 
4 , 29 , 2010 , 60.80 , 59.75 , 60.16 , 60.61 
4 , 30 , 2010 , 61.65 , 59.77 , 61.03 , 59.82 
5 , 3 , 2010 , 61.60 , 59.82 , 60.41 , 61.32 
5 , 4 , 2010 , 60.61 , 57.87 , 60.23 , 58.42 
5 , 5 , 2010 , 58.77 , 55.82 , 57.29 , 57.51 
5 , 6 , 2010 , 58.14 , 52.73 , 56.97 , 56.39 
5 , 7 , 2010 , 57.38 , 54.63 , 56.12 , 56.38 
5 , 10 , 2010 , 59.67 , 57.32 , 58.78 , 59.43 
5 , 11 , 2010 , 60.41 , 58.50 , 58.72 , 59.46 
5 , 12 , 2010 , 61.31 , 59.84 , 59.86 , 61.14 
5 , 13 , 2010 , 61.17 , 59.80 , 61.04 , 59.88 
5 , 14 , 2010 , 59.49 , 57.30 , 59.12 , 58.36 
5 , 17 , 2010 , 58.87 , 56.77 , 58.57 , 57.95 
5 , 18 , 2010 , 59.60 , 57.00 , 58.47 , 57.16 
5 , 19 , 2010 , 59.52 , 56.00 , 59.35 , 58.87 
5 , 20 , 2010 , 58.56 , 56.35 , 57.14 , 56.67 
5 , 21 , 2010 , 59.05 , 55.23 , 55.52 , 58.73 
5 , 24 , 2010 , 58.87 , 56.19 , 58.19 , 56.33 
5 , 25 , 2010 , 55.90 , 53.20 , 54.87 , 55.89 
5 , 26 , 2010 , 57.61 , 55.92 , 56.70 , 56.14 
5 , 27 , 2010 , 59.49 , 57.24 , 57.24 , 59.44 
5 , 28 , 2010 , 59.57 , 57.03 , 59.40 , 57.68 
6 , 1 , 2010 , 58.68 , 56.58 , 57.22 , 57.13 
6 , 2 , 2010 , 60.10 , 57.00 , 58.10 , 60.07 
6 , 3 , 2010 , 60.86 , 59.21 , 60.41 , 59.67 
6 , 4 , 2010 , 59.33 , 56.50 , 58.37 , 56.88 
6 , 7 , 2010 , 57.15 , 54.71 , 57.14 , 54.78 
6 , 8 , 2010 , 55.72 , 53.95 , 55.01 , 55.06 
6 , 9 , 2010 , 57.45 , 54.94 , 55.76 , 55.27 
6 , 10 , 2010 , 58.00 , 56.55 , 56.84 , 57.87 
6 , 11 , 2010 , 58.97 , 56.95 , 57.23 , 58.86 
6 , 14 , 2010 , 59.69 , 57.27 , 59.45 , 57.64 
6 , 15 , 2010 , 59.51 , 57.40 , 58.46 , 59.50 
6 , 16 , 2010 , 59.68 , 58.62 , 59.01 , 59.34 
6 , 17 , 2010 , 59.96 , 58.26 , 59.83 , 59.42 
6 , 18 , 2010 , 59.85 , 58.75 , 59.50 , 59.26 
6 , 21 , 2010 , 61.43 , 59.85 , 60.00 , 60.45 
6 , 22 , 2010 , 60.75 , 58.92 , 60.38 , 59.10 
6 , 23 , 2010 , 59.85 , 58.21 , 59.07 , 59.21 
6 , 24 , 2010 , 59.42 , 58.06 , 58.73 , 58.19 
6 , 25 , 2010 , 59.86 , 58.12 , 58.73 , 59.74 
6 , 28 , 2010 , 59.51 , 58.36 , 59.51 , 58.51 
6 , 29 , 2010 , 57.55 , 54.90 , 57.54 , 55.43 
6 , 30 , 2010 , 57.53 , 55.46 , 56.12 , 55.68 
7 , 1 , 2010 , 56.18 , 53.69 , 55.98 , 55.21 
7 , 2 , 2010 , 55.90 , 53.92 , 55.30 , 54.50 
7 , 6 , 2010 , 56.06 , 54.13 , 55.71 , 54.63 
7 , 7 , 2010 , 56.60 , 54.39 , 54.69 , 56.60 
7 , 8 , 2010 , 57.28 , 56.14 , 57.02 , 57.26 
7 , 9 , 2010 , 58.54 , 56.87 , 57.20 , 58.01 
7 , 12 , 2010 , 57.98 , 56.79 , 57.69 , 57.48 
7 , 13 , 2010 , 59.55 , 58.09 , 58.33 , 59.37 
7 , 14 , 2010 , 59.80 , 58.49 , 58.98 , 59.72 
7 , 15 , 2010 , 61.32 , 59.02 , 59.63 , 61.08 
7 , 16 , 2010 , 61.09 , 59.52 , 60.45 , 59.73 
