Month , Day , Year , High , Low , Open , Close
10 , 27 , 2016 , 13.93 , 13.45 , 13.84 , 13.53 
10 , 28 , 2016 , 13.77 , 13.44 , 13.47 , 13.68 
10 , 31 , 2016 , 13.86 , 13.67 , 13.72 , 13.75 
11 , 1 , 2016 , 13.86 , 13.51 , 13.76 , 13.57 
11 , 2 , 2016 , 13.75 , 13.49 , 13.51 , 13.72 
11 , 3 , 2016 , 13.84 , 13.58 , 13.71 , 13.66 
11 , 4 , 2016 , 13.78 , 13.58 , 13.61 , 13.61 
11 , 7 , 2016 , 14.00 , 13.69 , 13.69 , 13.87 
11 , 8 , 2016 , 13.98 , 13.86 , 13.87 , 13.91 
11 , 9 , 2016 , 13.97 , 13.57 , 13.61 , 13.82 
11 , 10 , 2016 , 14.01 , 13.61 , 13.82 , 13.79 
11 , 11 , 2016 , 13.85 , 13.67 , 13.78 , 13.76 
11 , 14 , 2016 , 13.87 , 13.54 , 13.76 , 13.72 
11 , 15 , 2016 , 14.09 , 13.67 , 13.73 , 14.02 
11 , 16 , 2016 , 14.23 , 13.92 , 13.96 , 14.18 
11 , 17 , 2016 , 14.60 , 14.14 , 14.16 , 14.50 
11 , 18 , 2016 , 14.66 , 14.48 , 14.50 , 14.56 
11 , 21 , 2016 , 14.76 , 14.53 , 14.53 , 14.68 
11 , 22 , 2016 , 14.80 , 14.43 , 14.73 , 14.59 
11 , 23 , 2016 , 14.66 , 14.39 , 14.50 , 14.43 
11 , 25 , 2016 , 14.68 , 14.38 , 14.40 , 14.61 
11 , 28 , 2016 , 14.67 , 14.50 , 14.56 , 14.60 
11 , 29 , 2016 , 14.98 , 14.57 , 14.57 , 14.92 
11 , 30 , 2016 , 15.04 , 14.89 , 14.99 , 15.00 
12 , 1 , 2016 , 15.02 , 14.35 , 14.99 , 14.53 
12 , 2 , 2016 , 14.84 , 14.29 , 14.47 , 14.77 
12 , 5 , 2016 , 14.96 , 14.71 , 14.79 , 14.86 
12 , 6 , 2016 , 14.98 , 14.76 , 14.79 , 14.94 
12 , 7 , 2016 , 15.17 , 14.80 , 14.90 , 15.09 
12 , 8 , 2016 , 15.37 , 14.92 , 15.06 , 15.10 
12 , 9 , 2016 , 15.26 , 15.00 , 15.08 , 15.11 
12 , 12 , 2016 , 15.19 , 14.86 , 15.12 , 15.09 
12 , 13 , 2016 , 15.26 , 15.03 , 15.08 , 15.06 
12 , 14 , 2016 , 15.25 , 14.99 , 15.03 , 15.18 
12 , 15 , 2016 , 15.96 , 15.22 , 15.26 , 15.89 
12 , 16 , 2016 , 15.92 , 15.62 , 15.86 , 15.80 
12 , 19 , 2016 , 15.88 , 15.63 , 15.72 , 15.79 
